id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
44ae73d8196d66dc2eedef6b1afa76070dc9e4d9,777,108,315,123,2,61,5208,0.006
854bc689009a2df9e556de4cc0e132b0db8422f3,278,42,33,7,14,631,512,0.007
4858115e4e3f78baabec1965daf37f1e2b4ab093,157,19,28,31,20,39,298,0.007
97a99e3e154f75a6bc386460532c3e3c8e2da034,267,96,87,90,8,823,116,0.008
55d02de2f22adc3187faca763930abe3b3f0d409,-1,-1,-1,-1,-1,-1,-1,0.008
6ebf33c2cb0d2b4d5e545f24d2241af45f1d28f8,3488,319,25,645,0,0,1026,0.009
b11252f8080d92e0ee4b301793ad4816eaac8150,214,144,55,55,2,18,1,0.012
052e2825af8f9cd6bb4ded63eb17d2bba70c36ae,739,35,238,35,0,0,41,0.016
75d6dfcdf5be57a96207fd46024b6b1f832d5434,149,24,50,17,1,3,45,0.016
608a9f7d6b4584a4324a985ab32b59fb26daa4d7,397,59,139,62,0,0,48,0.016
8c71301044361124a6ae8629ed11d0118da5415d,-1,-1,-1,-1,-1,-1,-1,0.017
0ad6b11bcac832b7faefffc68a5803f78e149e1f,286,74,84,74,7,134,153,0.018
3398917029e83ba1f55026b6505f6732b3de7d05,141,57,44,56,2,36,3,0.024
8694b8b33f933acc6f0e296b81b96e67dc3f83e7,308,179,526,78,7,189,500,0.028
1f3f630a66bc858c47db74b8dc8891528113c50a,304,157,323,154,0,0,799,0.029
a9047194103aa5f93c2db501b7c9cbc7d1ddd911,-1,-1,-1,-1,-1,-1,-1,0.033
b997b57c952a7fa49a50cfb8b58e256a366fa556,99,100,84,98,0,0,55,0.035
7ab1828bc4c38929a40307df21554013fc711c29,3084,154,107,528,0,0,709,0.036
e1cbca139ae20e0164f305c12e36dcd2d7985358,190,91,52,82,0,0,1,0.040
c48c0c855cc29bd42b28b74098cce793ce740cba,390,47,61,48,2,13,55,0.041
fb76726d98e0c3ffe295cfa7b877c18887ad5dea,-1,-1,-1,-1,-1,-1,-1,0.044
7d811fcdd5f04d496f6dfd715cc22af21d5ce9dc,401,36,984,37,0,0,678,0.045
b3a2394b059cf60191abcd2ba48958c2bdc97dcc,143,115,467,108,0,0,1,0.047
072dc35b6225dda041233253e8a2b181f85d9711,-1,-1,-1,-1,-1,-1,-1,0.048
cd67c307eba0241f5b922d26d7a544f95fa4b493,679,185,431,183,9,47,2563,0.049
a324cb1b2a6c612075a5cd2bba635eb31426899d,253,7,65,7,0,0,52,0.051
ebd6f82d7080c19ce71cc624409af7119d76849f,627,59,334,73,0,0,147,0.051
b037c0e116b81c56ad23ef7b91dec3fbbdee66d0,980,2,89,9,7,169,34,0.053
8e6f1ec72f1bff86ab2a7e497e179240a590dd62,176,53,20,39,0,0,137,0.055
afc8320b7489a9b0c0b1ac7890309d184c0c1b6e,-1,-1,-1,-1,-1,-1,-1,0.056
e1d85695d8b9996c4b6bd43758abb5067f61689e,2136,63,724,114,1,106,353,0.061
56a23f8b8ed03a015abbf2f82a96bb88e86bf1a4,334,15,96,24,0,0,278,0.064
5fdf860fbe6b088ce0d4199c0bd5be9ff5535988,-1,-1,-1,-1,-1,-1,-1,0.067
f81c0877ce3b548c678ed25eb328d7a624dc359d,-1,-1,-1,-1,-1,-1,-1,0.078
80bda5d51ed056adf1b00c0ae7dacdcf6043d56a,151,154,1918,88,0,0,2,0.083
434fcc4a916cc602cab81b0a18d93c38a4ce2e44,-1,-1,-1,-1,-1,-1,-1,0.089
e6de22c0c41aa0c97ad62a3ce425d4cd392a070b,304,17,105,16,4,77,12,0.090
0d9637f137231b7649d8bf8cea1714cea36ba750,453,298,17,185,4,46,2503,0.090
1440297335b0c1b02923c01426ac3324015281cf,287,217,121,215,0,0,4605,0.092
f7713f00ce8c1ad48c95afd4d0014eadd617385b,374,173,276,154,0,0,11,0.092
e8718216b7f6ffcc9dcd68a17e3e2e2cc8e9e760,546,156,19,164,0,0,10,0.093
5fc80668b72e5b2dddefae2e822a637210322a08,389,18,78,18,0,0,63,0.093
1458f8f668834883be3493be4669b7c24492216a,334,15,27,16,1,0,502,0.094
38bd1018dac8ed53127e0d624511d0494d7ac1d0,425,72,114,69,2,0,29,0.094
b61463f392bebd24afc4382b5ece2919798c4731,-1,-1,-1,-1,-1,-1,-1,0.094
03151df769c98e7878d06b40ba1b260d65e87d48,-1,-1,-1,-1,-1,-1,-1,0.094
8b486e53b294b8a0cf09806fe5b1513c7c5b8bf2,439,111,582,109,2,54,172,0.096
e76d0299f9c9ab80dd3a677ca8ca701363e4b3fb,-1,-1,-1,-1,-1,-1,-1,0.096
537580f3a38ac75b24defa598be9148a65c20cc5,239,2,98,2,2,182,400,0.096
f83fb7e70aa9121fbaf4e59a4203f1eac2e936f3,213,149,591,145,1,20,137,0.096
ba5a6643776576f36fd6323039542b5e8e2a4bf9,-1,-1,-1,-1,-1,-1,-1,0.101
d829e42b087e878a868e9bd8b45fb2f0f1998ea0,79,29,25,17,4,52,263,0.102
b8972fdd9f51c859b1b6300eecde34b60387ff1f,334,118,229,72,1,8,1155,0.102
2f6d5f5478d488f333c303f3e8b70c93446f86ac,387,107,82,109,9,2,982,0.105
c6b6a4af3f54d2b87ffb61e39fda359ea2b9cb39,692,34,191,45,13,112,165,0.108
135a388a8256fa1b79e1a0571aa901ce127b7f26,4732,104,45,309,5,1843,2405,0.110
f2cc7757ce85e00ef527688689a202854bd48c90,-1,-1,-1,-1,-1,-1,-1,0.112
40086a6aeda981319831b731f51278857aca25a3,-1,-1,-1,-1,-1,-1,-1,0.118
2f2569caff5de3c8a5ea98b88e07f85cfcb7e367,-1,-1,-1,-1,-1,-1,-1,0.118
ecbc85b69edc89c071284848129c18e3968406bd,-1,-1,-1,-1,-1,-1,-1,0.124
7a798792d01b639ba7b7d2f5fcc3b8773e263ea9,365,88,390,81,0,0,78,0.130
c6703ff30c22f2e4fd3edc8f901e871864e7a7cb,-1,-1,-1,-1,-1,-1,-1,0.141
fc9aff0ea99c6784a273b35a2a3388a644dc9406,207,124,95,114,15,35,512,0.141
2b55ba314f32f3fe737796d696041e710392696d,2937,92,10,114,8,12,72,0.143
cc6c05b8e05fc939c950effa9db239734d6080fb,235,16,75,15,1,16,19,0.148
