id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
b1db4d599da99cf259019a3bc6f19008e040e015,1167,12,162,12,0,0,170,0.002
4d72b19b4862a525f7bf09f6a1a4b14bb48757a9,-1,-1,-1,-1,-1,-1,-1,0.012
11602ef80d4cb2e29eb22aa0a66935f64df39c5a,553,123,418,110,1,16,1,0.014
58c8f3e9297fad6a68feae582218a07373f7f3b9,5489,195,9654,692,2,38,1956,0.018
3baeede83e37ed2e82ceb02382a9dc57aeaea0a7,201,36,122,35,0,0,62,0.018
672de2618a1a1a926d412f6ffddbd47d15c4a5d3,-1,-1,-1,-1,-1,-1,-1,0.029
c14a1635f3dd10fad71c258b2480c583b0cb6f88,12,0,11,0,1,10,0,0.036
0d382a50a2c97083750adeb92df67dfb8cfe8b86,172,25,247,25,0,0,63,0.038
49364a7c8399d808c1dce70e5043b09d04a5b254,409,21,137,33,3,36,243,0.043
42aee9d238a4575a38b9582bbc1996f7d37b2c37,439,115,360,106,5,148,261,0.044
2b24ef6d5e0eeea49b079ff3e9078dc397f77a96,194,89,464,84,1,0,311,0.045
b5c4582de91a03e2b95538d37c7c901630e61576,1428,128,98,70,1,60,0,0.049
b83f6332d3379d05a2045e4c996050a5bec545b4,-1,-1,-1,-1,-1,-1,-1,0.050
39c22478eaa920d1994605bc1b07c568ad08e8a4,950,190,273,231,2,5,271,0.051
c4d4cee67efc723dcfdfd9f798c4dab4ae8ffabf,306,99,315,95,2,104,555,0.051
fbe159d00470ddb3531099ae3bfccad63d1a29a3,-1,-1,-1,-1,-1,-1,-1,0.053
6c9cdf9be920e66fe292282f6caf2f27ae57cc73,-1,-1,-1,-1,-1,-1,-1,0.054
5516b46a795265842c4392d83feace9332989eb5,-1,-1,-1,-1,-1,-1,-1,0.055
8dcbd57f8dc9d1b78c852cdc23173cb5d330f499,-1,-1,-1,-1,-1,-1,-1,0.060
b8e6f231bf378073971be8c354a13dbd81ab2712,-1,-1,-1,-1,-1,-1,-1,0.066
850be9a2c6335708e0c0cfbcd74dbf85e4df64c1,78,22,22,22,2,54,201,0.081
eb9f80eae2da0c802fe9600663756fc4118bc07a,-1,-1,-1,-1,-1,-1,-1,0.082
cecea2d309ef02dcf0cb4f6788793dde81db2c7c,354,206,343,185,1,14,95,0.088
1f125881161ccdce13fd0f0049ee38bf01ea755c,340,83,45,65,7,9,20,0.099
0f85e068da6b9fcc8124e0d39c6d3366be5dd960,12,2,8,1,0,0,12,0.106
e0c41ddeedde46556f2b67c4e1c024ade63dabc9,114,152,547,150,10,262,1926,0.113
d29a01066c2ad3d840f71d734bf4786679391967,69,100,148,95,90,0,4,0.113
