id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
ff516ff0f7be4a049f95a930202f506768cb9f35,2316,258,324,238,2,292,5115,0.000
c1abde639bcd75c920c5fdcfc6e76ae1ffbbf119,-1,-1,-1,-1,-1,-1,-1,0.000
c04bfeb81831cbae7df0e4fcd863f521a2c8fbce,375,22,80,22,11,473,698,0.000
b33fba3cea62b468560821c07a4597e038cd4e3d,882,51,12,24,2,24,266,0.001
8c12730b054d0a82f1943880f0e83c66cc0fa1b2,2088,45,252,78,8,330,1336,0.001
3bf5faa9be20d00654d93668273736d91d377fb0,298,51,353,50,0,0,701,0.001
082b49952374f5964c66f28cfbab81b793d59aec,-1,-1,-1,-1,-1,-1,-1,0.001
06ff7b80880c42f7c11bd8c8d3d3b11bea9fefa0,1159,128,793,125,0,0,418,0.002
baca4b89557ab62984c1554ec0c3cb94ab4bdd4e,-1,-1,-1,-1,-1,-1,-1,0.002
1cc0e01d13004f54400f862f1e3c5fb187769d54,1284,46,142,132,4,11,1273,0.002
1204cf62db63360537f6909da82c7405014b0f4c,422,18,517,18,0,0,512,0.003
85f5ebdee84ff4bb4573d3bbfbbf0ea30da5971c,-1,-1,-1,-1,-1,-1,-1,0.003
b324761415276fc2f3f93426659cf52fed47e96f,245,155,144,52,1,24,2982,0.003
f6c63354e3bbe3d2c6a87a315fda69e4516a97e4,-1,-1,-1,-1,-1,-1,-1,0.004
1b155d4d98439e02d1444c0fa35cc1f5807de233,-1,-1,-1,-1,-1,-1,-1,0.004
fc45952f2e38a99c0b6e55f96ce8718b299d7556,407,66,173,81,1,13,244,0.004
c83bf6749125a420dc50241ca11cc9931b7b052c,433,214,167,208,0,0,39,0.004
c81481933e4c42c35f405c3dbc6d9d7c8cacb1a1,269,195,297,189,4,201,12,0.004
18e3800a659fb2a20e2a197d9d9f3d279cd2521b,-1,-1,-1,-1,-1,-1,-1,0.004
50f3830c6fb37c0b8e1aea3055bae46882a279e4,-1,-1,-1,-1,-1,-1,-1,0.004
e80101f99c70c6360e551fd5fc763743b01fd404,506,91,165,40,0,0,18,0.004
a4464f2d2663856d2fb124ee016257eb4ff06e1a,409,2,99,5,0,0,406,0.004
bf645942f40f9bd748a62336d2bd06eb54e5a259,259,94,162,103,77,2503,7317,0.005
975083d2179d5e120d270ee7c6254ff79f74d1c7,-1,-1,-1,-1,-1,-1,-1,0.005
9e0b89802364399ca734d08ee4d7e9b5a6aa80c5,365,19,101,23,4,194,349,0.005
835ba20ce4e548f431597dcd9e34033e1122daf1,118,77,219,78,0,0,91,0.006
5412e9ccdeda10909c8131402629881df640b850,-1,-1,-1,-1,-1,-1,-1,0.006
6d59cd69b81716c39262b17d0e4c8079d061dbb2,488,33,289,312,4,32,335,0.006
90b8602726b6cf24dbe4156f398687fbbc0f5df7,215,7,248,8,0,0,831,0.006
2a87b86bfd053747b1017ea31c91d950d678118d,223,46,241,44,1,46,1626,0.007
3d8c8a82919041426754148b1d736f5202455ecc,242,141,248,48,16,1386,682,0.007
c2a51e521aaeb9d23f61e33caf2237f5d4cebb3f,658,49,580,49,9,696,2164,0.007
3b6def6d0d5faa6fee0c4e0387310de80bd95fbd,-1,-1,-1,-1,-1,-1,-1,0.007
1ffda71afd6b9673c73dda1304b785b49537c79a,-1,-1,-1,-1,-1,-1,-1,0.008
f9bd7f5b3d8ade63f59bf0a213c555e99263d355,6380,53,1149,32,24,1806,6587,0.008
a4b2513248ae27185252e4dbf8d44b154f0dc659,437,109,53,31,19,233,166,0.008
2fab4a2001295c9cb3caab26cc8ce64db3c67fb4,138,133,85,24,3,138,84,0.008
538fba472bc07dee41d63c57b4709fae1a23a7b4,425,30,117,31,6,166,481,0.008
58fbb5f020086e63a16c43ea895b23d0f0378634,1818,17,43,63,3,100,143,0.009
8441f4fcc859590abb3c81313440b01e7545dc12,-1,-1,-1,-1,-1,-1,-1,0.009
e1a2df2a8c0ccc8422126af8c683db7ffb7060ea,599,186,224,162,4,3,454,0.009
0502a4a1f668173a9ac1ab34238e1952c4c8cd5a,110,60,66,55,4,57,22,0.009
21322df0db068047460152d0e6a52a693310365d,-1,-1,-1,-1,-1,-1,-1,0.009
dbd6931aed2b8811e8a0e55b8cc3695ec0835739,392,181,132,107,1,28,2489,0.009
596bff751a4981b7bf59fc935268097b22c324e8,236,113,127,112,0,0,142,0.010
cce18dbebeb51fc7c786dcd219ffeda9bad2516d,1526,78,1219,77,5,537,1253,0.010
