id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
e8ce4f7d0382ecabfad2f6eaee8c0f4c1934a3d4,-1,-1,-1,-1,-1,-1,-1,0.001
a3b4779e1365d5b0fb449052d27c7c596e56bb5c,211,20,289,20,0,0,536,0.003
3907f6b0313ecb1a817efe119b7754b101963278,670,64,401,75,5,46,1600,0.003
35b631e01ce4ee02c650ffa2e2c5182c12a2850c,1335,214,56,195,7,471,18498,0.005
0eb905ffdf3d589f1e0a7196210e6bda5b007909,481,8,1,6,3,1787,3,0.008
979dd61881ebd8b87f6f40cc40a72e675c50ad72,-1,-1,-1,-1,-1,-1,-1,0.009
aa940979d0fe3151e8960bc949f1ac34c42284f4,-1,-1,-1,-1,-1,-1,-1,0.020
3e81e45eecff4932d0ed4df9789345771a0cea77,230,285,948,273,2,100,125,0.020
a1cc5664f4bb751697b91bd9d6a8d8c77f8abe0f,-1,-1,-1,-1,-1,-1,-1,0.029
dd74d157363edeb2ac64ab7a57fba0abdf1ce6f9,43,152,59,147,1,16,521,0.032
781085b34147f063a7a137e0a3d0af0bd22ec1fa,42,58,38,58,0,0,63,0.036
da3ba94b47f441ba8989040fe2ff2db0ce9764a0,4923,22,1,39,4,15,300,0.041
8181a34cc11dae9bce32037e12d2cfb7cf7bbf70,389,232,110,99,6,51,767,0.045
ff69cfb936cda2b3eae1413db85700cac3b46c85,887,6,159,5,1,47,338,0.051
578edabab49fc9b1ee30b12db7fa0183365fe48b,94,23,58,24,1,0,13,0.063
d9577641f7f08b874ae8f2f31e9f196a0e2c01cd,5894,76,8701,131,6,0,22,0.068
f8c89d0f7e54623fba619a45542076520af4d135,98,21,40,22,8,237,4,0.071
bbabfdbd231157bffeac280f5043327a59268dc5,4052,64,0,63,0,0,9,0.075
8ce8744e26c61a690954ccc4d35b40704875715d,654,805,315,746,7,558,15815,0.079
e8fe41899b107bcba32b06aa698bcb12e6690e82,367,121,447,116,6,163,604,0.082
ee56a1a48bedfc7d89ef2565f849b521f87ede16,118,78,628,75,1,0,361,0.096
cb59624011e505972357479234157fe7a0c27cf3,-1,-1,-1,-1,-1,-1,-1,0.100
64416ed77403f558bd2ab316593745ceb849fcce,32,36,6,3,3,37,9,0.115
a32878a89d74671197446b057c10a4fd8ca7395a,-1,-1,-1,-1,-1,-1,-1,0.172
9e6eb43395c0d963b16561559bd59139a721ef92,84,127,56,125,1,50,165,0.186
785bbd787f3c846cb46bf6681d43383f690aeaf5,73,245,56,157,2,138,93,0.194
0d66c097547f0123befb8ce797b8a3623708a688,-1,-1,-1,-1,-1,-1,-1,0.223
fbb8224cb0dba2c5f68aa6d01c516b4d75500496,775,1936,96,1994,27,292,13456,0.231
eb9dd627aaf233e4d10a1973d34661bfd6a841d6,61,57,31,71,1,45,1211,0.250
3610713d0aa0bb362b1259621accd191ee6ff57a,2090,8,188,8,2,69,15,0.254
3b2b824652e2f15dbdddac69419e0d6b7e8b870a,92,281,455,267,22,2254,970,0.270
2bab1ebf5d2edf0586baba040f69f28b5db31e51,1036,7,132,6,0,0,52,0.270
1266eba1f9cd1c38d4660538e869f7e6cf0a7d14,25,29,29,20,0,0,15,0.273
7a562a15b7cf18bd316b80e8b06eb854c8d02c66,165,104,361,94,0,0,11,0.280
990f45e0727257920d695cace834e41bdeca8803,330,1000,1398,1699,0,0,9159,0.281
fef42925cc98db28aea792e5b97114ed3e0f80a5,152,218,110,206,1,0,6,0.282
c10568820195609c5a9018a8f978cc64e3ae493d,189,281,179,287,1,0,35,0.287
f8cdfdd6fd97c7a75680d36e60a731bc405e3bee,-1,-1,-1,-1,-1,-1,-1,0.290
bb50199e6bdb14d5dd0c31985582295ec6dce52e,33,92,108,89,3,54,667,0.296
a13954ca17f9ec045599a22f6560213b1c0b4855,60,33,67,33,1,28,970,0.311
654e9797aafa66bb771cae8c8edb4794cb5f7be0,58,64,35,63,2,9,76,0.316
eee34dc670b01f578b74cb27637741d46875e3ac,64,221,63,197,1,1,93,0.317
ff662ff658aec958c503c17e19ade427a53ca08f,585,587,176,396,3,517,13492,0.322
8d0317c71709eb9ecd1ec943add850c22ace149a,88,31,62,30,2,14,399,0.346
d6b27bcc90731a120deb95b9f36ef654168a9e29,3,17,46,21,0,0,13,0.347
1f4863169e15949f150042adb2e961bd2a616ab7,-1,-1,-1,-1,-1,-1,-1,0.351
ef9a7d73ee267190e10ac3e38892c27f18ec8581,42,15,46,17,1,24,19,0.355
653e590e73f5647c177e67d075917bb260e11731,256,221,81,215,5,5,744,0.363
be381df1ccf0b151680305db7f51c716d93fc214,3120,129,627,351,1,32,151,0.377
21ccd61fb05f804603661e294579e1d3c30ec51a,297,182,129,182,1,0,5,0.397
2ee3c561d925ba83efde9c65a8ccee41cfad1725,61,107,38,91,1,388,112,0.398
a4683fe880c3d473d4713845794d58fbb5215c8a,94,209,74,189,1,1,29361,0.401
ba62aad5476715d187ecd99c4892097408c2955f,195,801,119,774,24,30423,19,0.420
88a7ef0487a238fc5604fd1ede95b36309919700,255,0,8,17,0,0,0,0.422
e83ffc9d3fc7b1216830b557097123a009df6a14,137,528,173,503,0,0,908,0.435
1129d8451e4aa06d5d8a00f1ea177a56f7809a30,134,252,66,200,1,0,15,0.443
48912b54f87409139b188172e0764944fa45d20c,178,376,45,355,1,0,243,0.449
b2e5f9f4b4445c211e72b97152ecc907725e5cac,652,79,5,68,2,7,1777,0.456
e8d2e6c5542f893d566bb31b285a2c607b069039,5,8,4,6,0,0,0,0.465
d026ee069a5b9cf741b70f058a9a9bdfebd8f913,579,760,19,729,0,0,5238,0.475
f3b79c23421487cd312258b37b76659eecdf4299,258,160,63,161,3,0,273,0.475
2c2ec7fb23920a40592563cf0710f67f31a7d7a5,936,300,208,456,0,0,1,0.493
400fbf6e0e95d4b36002fc6e2a7d22d9443f9b53,55,66,90,43,0,0,282,0.496
3ea7bd9bc3d604166ba944509c7e5fc4b1c473f3,-1,-1,-1,-1,-1,-1,-1,0.505
943b8ef9c5f77f9f6acde5c4bce69a25cf97452a,128,411,46,370,14,3366,7849,0.505
5687b34e83e0d772879ec8f11b8f45c8ac159ae2,115,27,27,32,1,0,76,0.511
d735ec874b05d24f5c69f82b53aafe144bab48e9,165,59,29,60,0,0,4,0.523
86b28c0cb2c5fb976ff2646d5f64eb93bccb3abf,204,326,54,232,2,284,13530,0.523
c54ee8ea623c282c08d62a5abeed87d9ae6a9ef4,6537,505,1799,354,0,0,1148,0.528
fc75f6e1ffd0d449a8fec0ce4aa83f60be2c808a,85,11,20,11,0,0,14,0.532
e61ec013420712dab51520594e50792e7197f232,21,50,10,42,0,0,11,0.533
5df6e52772ce92a0f8c0f224fa452a270387e284,3992,8,50826,74,0,0,1278,0.537
0c7bd8389362c44243131f787a6a09dc727b7c69,7,2,13,2,0,0,43,0.540
e1ae9c96455e9768eb3ed2740b0542543ecaa4bf,3,5,0,4,0,0,0,0.546
819ce1a3bd7e2b22cafcd406e704e585ea59b9f4,1468,41,5,221,2,69,358,0.548
ed4ebe456e057f7e9e1d5b4deac0b9e3161be810,155,47,64,47,0,0,0,0.568
dc4a27e848ffce0caf784bbae7d13b5ea1c68d35,444,586,76,534,1,0,3,0.585
d1dd04fbee1a91c72eeebb4aeff0307f80d07110,98,142,482,95,37,134318,32,0.590
4bbc62707f03d570a0afd3db42cb1f78fac39345,151,120,414,103,0,0,16940,0.621
d5150fe511469cc3551d10fa22d049234ef2f1a6,17,77,1,64,1,5,31,0.628
a78ab1964a6422af8f7294ea187a19b739953800,102,56,170,61,0,0,24,0.641
7af4a1aef5917dd4a527f6a47cc2dd8ffd226761,189,506,117,489,1,0,22,0.655
e79be1663c2202e7a1895a6f365925ca826d9bd2,1491,2,208,1,0,0,52,0.676
0fa9692e78d161570d3bf669ca14dd5f8cc2c72c,46,141,28,133,1,6,6,0.696
2fd067226eec08cd5b8f11cb9d1d582fd3fe3c41,0,15,0,15,0,0,0,0.704
869c986aaa0b8fe4430239988a1651847563149c,-1,-1,-1,-1,-1,-1,-1,0.709
1124403d876d02882d6420ea39580bb7b3c0e22d,27,100,16,101,1,0,9,0.726
73d696add9c11d848bf2568227090e488f22330f,6,21,0,19,0,0,30,0.730
4cc857b2f098926c8cfc36bc6911e55ebfb18b80,-1,-1,-1,-1,-1,-1,-1,0.737
ed22f713b421389dd51ef076c33e901be8a8811e,98,83,63,47,1,51,27,0.786
87fb327bcb7d9300063b250d85c10d7dc79bac16,-1,-1,-1,-1,-1,-1,-1,0.803
2167515bb7e162a6811a5a7b1f57919e3dacd4c9,20,22,17,22,0,0,7,0.819
661f9580058ae44a97b8962644672f18f06d90a5,93,208,10,201,0,0,1,0.833
4ac5851f2e22c926fbba8b3a085732b507b11df3,281,35,0,38,0,0,19,0.838
ed967b5bb1c6e5bea5384c563084b0cfe86d180d,16,23,165,20,0,0,487,0.890
48ecd2b2e67f276eeb8b77f5999f5c3df4ef16e9,-1,-1,-1,-1,-1,-1,-1,0.894
6f0e2fefd46b8c654762e3d3f26b9598c6592140,17,19,6,15,0,0,10,0.965
