id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
2eb97d666e937cc619dd8cedec2638736349f769,397,202,87,23,6,606,1223,0.007
0ebfc5aedcc4cb6c99610315e25907dd342a0538,293,309,324,293,0,0,15,0.050
0ed8bca3e7498e4c794c99e1be9257a670905dc5,771,66,454,78,1,5,245,0.068
4d4961158f1c69d1278ca4db774944bce521e045,-1,-1,-1,-1,-1,-1,-1,0.086
7f670c6cc45ac638ee9e5145e50dcfd26d972cfc,271,13,163,13,0,0,25,0.095
c570be03a126736b864db4b9196209f5248d8b28,129,56,335,55,1,0,5,0.107
f96c690ee13e7ffb4671891713fecf7e6381c918,109,108,489,105,4,492,1698,0.108
61ba89b7589b24353e42168f19c82b94b603e610,210,161,188,155,0,0,655,0.127
32586a50b29603323667c5143ef9e10b53d43e73,3339,272,3790,608,3,349,913,0.139
813bf06a67a2af08821b28d65df07316f8ae04d4,-1,3,523,3,0,0,0,0.152
a0514f3508e9e212b0da5bb9b2dd9ac2a9699201,-1,-1,-1,-1,-1,-1,-1,0.178
6c525ebb0cbcd932c8bef2dbe3faadc7af23f0c9,1020,203,458,235,2,325,6705,0.191
5a19ff1023ed690f95ecc6836f60d4e06b8d5ba6,-1,-1,-1,-1,-1,-1,-1,0.193
3c481ede2d2f1013c76c84c6403e85144d4f2410,120,75,204,73,2,54,34,0.201
7b81e31d488fd9d27f07ffd341ef309d7603af6e,52,152,244,138,0,0,10,0.203
43e66e49d854615f345c0c70a7f32a60438e7e6a,256,59,56,77,1,16,16,0.222
6651dc96d4a856bbace6f93e179aaa9f8fb90d91,231,115,266,112,2,53,501,0.222
1fa01dac4bc6eadaba5617c8a947a27e20f878d4,32,25,157,24,0,0,1,0.228
cb558b96f4bca20d146a896f65aba09df706ba12,89,174,218,167,1,25,217,0.248
6c76519b2ef2e8866dee89c59650c831799d2199,153,34,102,37,2,54,205,0.250
c0f02415eea45f6bb66dad7950d4e697da93fef9,31,127,303,119,1,56,61,0.269
3b40182491c04c5871b152245049cf091cbd504c,167,305,483,321,9,0,920,0.270
e3d766d85492475764ab8a36eaf5e9d77481b360,64,71,77,70,0,0,1,0.276
3069b144047a5893d7f2c7a90871fe36a9ad1a44,107,138,53,126,0,0,54,0.282
a7106894917354b4aaa1f630d1f6fe398b9e047b,-1,-1,-1,-1,-1,-1,-1,0.282
f9fa08fd53d92bb3f0b4da5a15958543b0c33ac5,78,31,210,30,0,0,3,0.284
ffd4dd6eaee1cb44067c26b5ae2410f612196fd5,-1,272,323,261,2,0,5,0.290
1b093ead028babdf74d09e8cfd340381b7608289,-1,-1,-1,-1,-1,-1,-1,0.291
fb1afbb68175770a953436bd467286cb5dcfb8fa,-1,-1,-1,-1,-1,-1,-1,0.292
8fb5c64120864d7a0f42e5ca7a1e63e69f6302a4,183,32,91,32,0,0,1127,0.301
27b339ee97b5488c1dd8dcdacb76612fcc15d1f9,149,152,224,134,1,0,6,0.307
c8b87e724d2b360fa6f99a82c0eea2ce5df3bf88,76,175,211,163,0,0,22,0.309
846240c2a54998abfe8e60894879021fb2dcc406,184,45,146,42,0,0,6,0.316
821e24f6a68f4513136e0cf830c302ac04612fd0,107,20,102,20,0,0,5,0.320
923184d3173af19f2e0ebe7ab5ae2ea84d55fd89,267,71,344,64,0,0,2,0.328
a7f25f9f2fb94196a659906bad125a376f0ad480,77,268,205,221,1,0,4,0.331
7e62d2ae06ef89ddf813e64c3e7373dfb93754f9,-1,-1,-1,-1,-1,-1,-1,0.333
4cc1e18c71b7dd9ea512d78de8f90d61a637ff18,-1,-1,-1,-1,-1,-1,-1,0.358
bbc078653231f39b29efce1ec2af2450cb31851f,49,63,535,62,0,0,2,0.363
c868eb38c94de8362d095e8f99642d080cf59700,150,84,125,80,1,0,19,0.363
05723ae1d96a73adbb4d7ac5bd404e24a17ee483,-1,-1,-1,-1,-1,-1,-1,0.371
6de20c63ac662e6369f13353924b764bd98c6eb5,709,40,993,39,2,0,190,0.384
d020b15eec006f1ffc680b6882081cd71aae04e4,87,1000,364,1171,0,0,21,0.386
b9e7300cb2361a54674c838212031e6182502954,146,76,265,74,0,0,23,0.407
07e7c6b16d7bd68ce55d78fe74d59278267c481c,1397,172,112,150,1,61,187,0.408
a6bd8f584608f9c12f7d128c3e76cb99c53d6a31,-1,-1,-1,-1,-1,-1,-1,0.409
b98afc2b5c08df2259f1eb4060a9b4309381cf46,5182,371,282,411,0,0,229,0.414
fd41608adf5918344d7373d5ca194ddd3de1f7af,836,132,1359,127,2,0,3,0.415
7c8b8a2b34bf8e941c3241fd1b1475bdc7ff1bf5,111,55,163,54,2,0,14,0.429
db2a763a433b2d72d1a680e18c3d7830d5c57483,117,104,173,100,0,0,0,0.438
15464b6f6c514728d951653126a0b7d9ab951697,-1,-1,-1,-1,-1,-1,-1,0.472
2141497e5b8e3841518f03733303e0a2436c7ebc,69,66,228,63,2,0,14,0.479
21d905a91a794e786b0186a03a3a4d54e50708e9,214,51,280,47,0,0,19,0.497
28d5951ff60c681ff38dca5140d53509b158089f,123,31,9,46,0,0,44,0.507
6ba0fe0906e30828fa4149e98818a05cc86b45d6,112,122,39,119,2,7,514,0.519
df4b40063f5f2d1b3978bcc9bf0e4ded68d38524,168,458,295,439,0,0,13,0.555
246f7798a9e3e87f8a704d470a5f1fa2fc1ad34c,-1,-1,-1,-1,-1,-1,-1,0.571
411e2b622d180bd1f29af39d9afb35a72cd18920,178,63,94,61,0,0,66,0.587
fe0545d20c31ca31d81680c93238a30eeced227e,309,136,88,137,1,3,29,0.593
4736a92225a4d33ccaa103efcb71609af2ae9ede,-1,-1,-1,-1,-1,-1,-1,0.602
bd0639a8ad826d27ee74ff1d9a33edd55d884a75,-1,-1,-1,-1,-1,-1,-1,0.605
3e6a88a2dedf72d3d9b7d866411b239136f747a2,-1,-1,-1,-1,-1,-1,-1,0.634
198ace4b93a133e719e9e311aa22355cca79a37f,81,238,208,226,0,0,2,0.650
fee55d4370b6b45e1a93aa04c7c106154276cb91,69,105,62,102,0,0,21,0.673
8ccb405a332f02cca85f84484cc7c63038145ad8,140,47,37,43,1,0,13,0.697
d1d1cd8259b0b8e3831bcb7bb74cac6d1b47fc0f,-1,-1,-1,-1,-1,-1,-1,0.720
a47939d52e6fed13ac57a36b2dae3a42f89451bc,-1,444,88,426,1,0,0,0.745
db5be00094b08a991e42090d695c02ed1254a333,33,0,0,0,0,0,3,0.767
2be6861f4adabc3e807b9b7de6b9495017c067e1,-1,-1,-1,-1,-1,-1,-1,0.786
b1448fe416e1102fb3bc5272d0732eb12981554b,-1,-1,-1,-1,-1,-1,-1,0.821
ecede5170eaab16eebb0de36b2a76afc4a93ad26,-1,-1,-1,-1,-1,-1,-1,0.830
c8d3cac43e37acf34e9b9c3d4a5167a0740d9111,-1,-1,-1,-1,-1,-1,-1,0.861
