id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
ab8006e7ee1ac5b6886432ac77d8f8ab2cec1c80,1987,168,844,207,0,0,1124,0.004
cb2fa8a72f058fcad5bec90db0e73840beaa63ca,1049,588,130,6,3,32,607,0.014
c5f76310f15c55fbd20a888b9d427b10f8bb1e70,248,11,291,9,3,320,425,0.018
ca3ca96c2c220091bcd863ed11a5dd867c7eca4a,499,68,53,18,14,642,51,0.053
93cebfe73a2f021f13ee60dd128eb211da829638,196,78,211,80,11,177,1561,0.067
7f6a05ba2fd0adf59b255d64bc7bb1eb2289bede,-1,-1,-1,-1,-1,-1,-1,0.093
b43960810648dcea3b14115f0d7bbc0776ada246,305,227,171,214,0,0,42,0.140
c53e6dd4af27eeb18e0186c10e57af04e7de05c5,-1,-1,-1,-1,-1,-1,-1,0.172
aaf458f6dc850a9f469e0ba0a0569baa2e8922fe,446,43,571,44,0,0,32,0.201
29d04d5dc478f8fa902f7cbe6c884f811b144b47,289,54,189,53,1,0,2,0.224
a3ef08de627ad0d486fc2c581ca1aa72d7e33fbc,94,88,212,87,1,1,10,0.224
0679ca9f2189e7502e8dcd83d0ba3aaa3d221c73,111,90,126,81,1,0,18,0.225
31593f139cd62ff50bd410c62c3dd0f8216c34bd,270,58,193,58,1,1,64,0.236
d31a0f4c6f2a12ef0beb687b26476e42a7033212,338,186,66,180,9,102,106,0.238
067cf3fbe12f86eec9bc0e47c54a9474b9cc747e,122,63,73,64,0,0,3211,0.253
f263a2e21c64571f0d3ac6849f3e4bb7ad109e8b,239,109,137,105,1,0,356,0.261
55b2d6f9b7b23d5d41a2bba469509a3244770640,201,39,17,39,0,0,12,0.270
ff671540336dd628e3f0475802c503d6ac95ef62,-1,-1,-1,-1,-1,-1,-1,0.286
4c35029a2b96ec41f978cfd7614837341d2ea96d,33,24,87,19,0,0,4,0.303
2362d40c04c655b4f85a700ed8d7273cdf87f95f,-1,-1,-1,-1,-1,-1,-1,0.334
4d22e617eb10d745535eeec0ab93fab11b2b25bf,-1,151,161,143,0,0,1072,0.336
eb2079cc6e8835ec108d7e19440bb168ece5d64f,105,30,138,28,0,0,0,0.336
b60bd3021b7434c54cd721c83acfb744ed156279,185,29,342,28,0,0,71,0.337
bee6d918d9efd224a7bc1acdd98edbf7c73487f0,141,80,211,62,0,0,7,0.348
8810ce016d087a53e9f21688e9da3427065b0338,360,449,436,399,1,1,211,0.360
5986edf63b91f474b69755a77a25c04d68fddfea,365,221,203,207,1,0,15,0.370
81422c444d39d4c621aea06d95547a10f244f6a4,220,50,113,49,1,0,0,0.391
aa9eeee4e216995a4b8f31bf13044f6002937377,-1,-1,-1,-1,-1,-1,-1,0.396
79b3bb41d78ff65ece26f4d89743d3637920b683,21,30,74,22,8,0,1,0.398
0fb01ebaf8073842c892a4c226d6765e2cdca740,209,32,199,31,1,0,33,0.422
05ce5aefe94cb38b5d708c09ba4abbc8dc6ff07e,218,73,328,72,0,0,0,0.438
57a85e2dcd9d96a46d89fe640784c9bc815462b8,199,35,81,31,0,0,5,0.452
d894bcb711c1e875e4dcc093d7f59e79dec99ccd,-1,-1,-1,-1,-1,-1,-1,0.454
79c7e946ce9a6ab04bc4b7b2bc7d4d5e946f60f7,-1,-1,-1,-1,-1,-1,-1,0.504
e97b74cf781eb4be0e33cdd5cc8c33a246db96c5,93,30,20,2,0,0,1,0.514
50f0a8a798763a66234f5c70e53b3ca9e4c0b250,119,62,127,58,0,0,0,0.528
8a7a3515101dd66bae4fe0df258644d5e7fe5d14,77,113,146,112,0,0,12,0.566
dda40828c693ee9435be9d7f9a0e6a1bbe894976,-1,-1,-1,-1,-1,-1,-1,0.608
56d3533b355ca2c7f4819a86c320595678d4ce6e,-1,-1,-1,-1,-1,-1,-1,0.610
3747b6c9c19fe11a4a0c2a808def30efa2442a75,308,88,121,83,4,0,2,0.621
e23596a6fd76715b88bb1d9e9a11601b2868b29f,97,34,18,34,0,0,1,0.643
052f62c11a45fe1b412adc546b19bc3908be51ca,166,80,31,34,1,9,127,0.657
3453f741e8a5b2e262ed68cae999a411117c58d9,-1,-1,-1,-1,-1,-1,-1,0.879
ec99c35d52c22df68398478350354e8eb666186a,-1,-1,-1,-1,-1,-1,-1,0.925
be6f551795a550d36f7627db2c8990c488b616af,-1,-1,-1,-1,-1,-1,-1,0.962
