id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
f4d51e9eb4973b60fbdfac4b306ff8941ad3b05a,148,115,32,26,0,0,119,0.003
119240ff230aae5b476d3e57c92e804ffa9c6015,196,28,11,16,3,45,66,0.003
e344cdc6cf8d749cb9dd4fd93767c906a2b36672,364,133,119,130,1,10,1542,0.008
a44f64b9a9f1a5e4315eec2b6fccc853d019b869,324,8,24,9,1,10,131,0.033
24bcafc72fc1fcc49e99966bce449abbeab4ea37,603,324,266,142,1,1,1265,0.036
2c3e5eaa0eabd117f7aead98ecfeea6e47690770,730,148,198,141,19,504,1051,0.037
73d7daa1c9086a39ff514a30048b33fa4f53cec4,114,21,12,8,9,877,192,0.060
d76222be71690afa0c0c62556dc0ea60ab51c6d6,173,104,122,74,1,17,111,0.067
4e55accc60db7a620bee9cc3bd5b5894e989e55c,403,343,96,134,9,51,674,0.080
a5c099c2ec23fc7f4fe5c115a6aa00fbb2366ddc,-1,-1,-1,-1,-1,-1,-1,0.083
d291a2796d556cc9f0793d7b0158fc9c9f378a1e,514,361,801,358,1,0,597,0.106
233956b62b536ebed5b1a480236c03b754b72f83,187,17,63,19,1,0,6,0.117
f51a3b8925dcf239d41440c9f3c0eab1319d0ade,4226,283,995,355,2,195,239,0.120
bc4e935916d9327bd7203cb8fc27b1715d7c702f,151,178,406,164,1,0,10,0.132
ca9afb4583d0366ae5e6855688c41e7508fe8bbd,1137,274,26,106,15,688,730,0.152
7fbefe2f7ed18ac5d72a0e6bd563759471119c43,32,47,16,46,0,0,10,0.154
ed3bd8e54db6cb496c72d228e9422f04da0c9be3,544,479,68,151,47,554,1874,0.173
f40b825abd48e2795ae641fd39309252ada6c97f,259,29,37,28,0,0,1,0.187
4319e2e1c91a0201495c4adcb6059bd1d5b25f7a,378,30,129,36,12,447,308,0.194
57f4e0ac3f502ecd0104b25654ff38f7bb5abb05,-1,-1,-1,-1,-1,-1,-1,0.201
1062ab26e2c5a451cc7cc640fd25c218f0b13897,220,114,190,45,0,0,614,0.202
44a948469bc6284afa854db38e3739b20128a394,737,541,318,491,1,41,98,0.218
8f8cbe06163054aa2364c6273773f28265e38459,1633,229,6322,244,0,0,120,0.222
185fd309fc01c462c3b17135daf5292bd22b3cd9,406,14,111,14,0,0,7,0.226
83592962d2d68067725916e2dea129ba8ebd24d9,103,0,88,0,0,0,23,0.226
b8ac93bfe4c01c8f22a66fd42f96b244cb76c009,823,177,297,179,4,84,1628,0.232
96e08e849b5850b46c022b84fb4c32f3b43609ec,0,326,100,318,0,0,0,0.236
b9a6627dddcb31e6a9e735cf0e814fb8594ca73d,167,126,121,124,0,0,1702,0.239
adccce863c5685dfae29f20ca15949979d3fd478,-1,-1,-1,-1,-1,-1,-1,0.257
7b7d364150426e3b9d7b40c0d649b3a94a9e2b2f,186,8,89,8,1,49,19,0.258
f7005c8ee81f84544b4275d28a2ef48f9d1a92fd,117,63,59,21,2,16,375,0.258
709c232d27d136532aa33e016022beedf9419ceb,486,187,231,200,0,0,77,0.265
824700af807eb244da09b971d1e1d40b78cb3f70,-1,-1,-1,-1,-1,-1,-1,0.281
b0ff0ccedbe3ce946cefccc3b6bdceffc5ba6835,293,399,69,367,0,0,1225,0.301
cb25e73490de9080457677c1e1bb52d6e2b67d63,438,38,47,37,2,12,268,0.305
923d67aa25844b7a7f0354f00b2a0e9921dffa3a,588,0,18,134,0,0,78,0.327
f10e6716c236a4101428aed255d22a41782625a0,244,132,17,129,1,0,12,0.328
59be1dea600f2ad3a7b8da2aebe7f98ef7d8e618,105,277,34,263,11,35,484,0.331
f44da0d0759e415b0c83375458d744fd2818bd71,-1,-1,-1,-1,-1,-1,-1,0.332
9e9bb0084b4dc97f2105233e2e0bc507feae8bab,1427,23,213,113,1,6,322,0.339
0e215ea37c94238544563a0a70ebd2af1e4c598f,-1,-1,-1,-1,-1,-1,-1,0.343
7371d9ff4425bfac1980822ac2d06c818c19e8a5,-1,-1,-1,-1,-1,-1,-1,0.343
1b7258bea043460d92bbcb61ac01eb0b4a3ecc8f,115,121,40,123,0,0,38,0.368
a2241540b80429bdeaf405c85c53ef6cb03332d1,391,88,29,86,4,14,131,0.368
d737eb1e2dd415aa5622c4b2dae6ed1cd7c17ef7,144,1157,319,1066,3,17,2896,0.370
49287a0f2e6ad6c8350be9cbfaab9b7d22848f08,102,233,305,226,0,0,9,0.381
0eb6a763e56a2bc775d72868f95b117d9241c5c2,81,0,41,0,0,0,1,0.402
a2dd1b79fcebe7dd6e16d8252ec3de12514e028d,-1,-1,-1,-1,-1,-1,-1,0.402
5ce1a5c9be4965f13d7c481fcbf8aa26a32b8cc8,4328,287,68,448,13,188,5824,0.410
edcfd0f3bb66a8e5eb54cc3180f88218849fa37c,27,1,17,1,0,0,41,0.416
7dac9a2fbd025f830e48bc109a609ffcfd55698c,1759,5,10,498,0,0,295,0.423
0f91edd4ef36023521d2e5f41dd8f6c5d0f2206e,205,206,41,203,3,127,64,0.433
54565e7f78ca7fe32b772f3c95d4a3eaa50b98e9,-1,-1,-1,-1,-1,-1,-1,0.452
5886aa4a1e36bca4cc3036088b0074e4a3f7428e,198,32,107,34,1,1,8,0.472
