id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
15514e47b7af559a8865083f0f3e47ed6e355e72,123,78,120,35,31,3510,380,0.003
d5bd38ba4fec924ec2c0026c38ce2e06576ea3fe,1354,597,316,618,3,310,2906,0.003
398d02a44b214527592872616798a0ce86bfec1b,758,95,318,92,32,1493,1048,0.005
e90f348e0c61325772dc011f6a740b46e89843fe,-1,-1,-1,-1,-1,-1,-1,0.007
97ae9d1768a993712e903ea33bc6435dd7b7ac1d,3908,504,155,796,0,0,2601,0.008
bcea023dd1dcc4b16c27cea8e3523bc7f070e58a,1161,62,60,74,5,51,1167,0.009
4e4adc5f61c8a285dcb14fbb317ae683f3e1314b,1458,30,385,39,73,4679,2419,0.012
edb3e3eca4435ba399b90145d7b4d4b21a7119f2,863,58,1139,100,1,10,448,0.013
3c451302140137e432c7d14477a5540edcab417a,347,186,380,174,3,496,1525,0.019
78d19c6a45e9e13d5b423f34864831cd0274bcf6,299,232,426,224,1,30,6774,0.034
143068c4a126ac8d01a229e96345d131bccde41a,849,314,71,311,10,312,539,0.036
ed664cdbfb4cad591c5cdd9e99235c0e5a78a9a9,303,78,716,79,1,4,55,0.037
b7eb84a44dcbb8f8823d9315968c80f808a7d15c,7594,1,95,3,0,0,5373,0.041
e12358ee1093d277368eade83760e3234a7ef8b0,155,38,677,35,1,0,35,0.044
c315a24a71612765715ca76bdfda37c17377b6a3,-1,114,950,116,17,941,305,0.044
16eaf06147c3b8ef8c3f4cbc92fa1af577bf99e7,74,27,80,10,0,0,780,0.047
f39c40e9b53342b4cd433ca101626f9ec3b8fea4,193,104,336,98,0,0,87,0.048
214ba698bcb22ae4fd8ce143e4ef5d97f4383194,-1,-1,-1,-1,-1,-1,-1,0.050
fb4d7d8015183a2d76c28c1e253680ba20733001,324,58,396,57,0,0,4,0.050
b4b65e818523b424a472547183fe26f1126eb039,-1,-1,-1,-1,-1,-1,-1,0.050
e9f7d7d46d9ebcb4a8808a5d49c20aeea5109ef9,664,28,430,26,0,0,16,0.052
5db1d457b385e3f1a27d25c83c308bc1590570cc,142,50,40,51,0,0,1,0.055
54c9b1cc479cd0bb847d17fb42158d390756fb48,-1,-1,-1,-1,-1,-1,-1,0.056
1ba2c973aebd35489cac3bbb9648e34510c940cf,381,49,195,47,1,0,705,0.058
4db21074be058ef33d7eb1308574b3da738c719d,-1,-1,-1,-1,-1,-1,-1,0.059
88138f3675041d4aa1eb35eee31c943ef21a30c1,226,101,210,105,0,0,61,0.066
9b9a1b081c4a5a5b2f6709df06c9a44367dc44b9,-1,-1,-1,-1,-1,-1,-1,0.068
682d796696c16d6a0d92c008ad7eb7f5d3067009,208,125,162,124,1,19,78,0.071
a0a6e11f370fdf16403d31f9e6886827064f2738,-1,-1,-1,-1,-1,-1,-1,0.071
a3b9ffd46df40671239a950a69f67e552f02d103,430,1000,900,1777,25,960,12460,0.071
7f7282e62ccd960fb7a8a120abc6112c6539254a,-1,-1,-1,-1,-1,-1,-1,0.073
4978cbfaf45133e9ff824b9e29b55d4e0dfecc50,272,7,1062,7,0,0,7,0.073
56fac0ebadeb4ca9c062aaa9e29f1b9eef09a618,102,128,185,121,0,0,78,0.073
546046097688a5210feb77a7f7a514955c4dd349,222,119,386,115,2,12,3271,0.073
f2386f255776e90564cb03c6ff58b727b67fdd8b,272,115,158,104,0,0,617,0.078
f487f0f44e6f4c9c6008d20f10547330d343a098,160,61,628,57,0,0,15,0.078
02a8cfbf8ef129a6bf457975d062214bde38727c,-1,-1,-1,-1,-1,-1,-1,0.086
502abc456ec80337c6fce99a84a2c460e6983868,216,73,140,71,0,0,34,0.092
4620ac9d3833660c938063d8d43bceed9cfe5b2b,63,6,46,8,0,0,0,0.094
f15757145bc759dfa02d0d4d191073a5ea733cc1,175,59,113,42,0,0,0,0.096
6afd4bab36aa7450ae193f106ab4657386705ada,185,95,175,90,0,0,57,0.098
719a1a7eef1ccb52009eba8bea800c384372015c,-1,-1,-1,-1,-1,-1,-1,0.098
7fc5c17b80c87d3a9206c79cf12aaea38fa875c2,-1,-1,-1,-1,-1,-1,-1,0.101
25305d0c33b5e367210a5b59d22c3807bfeb4f88,370,117,423,112,10,155,2843,0.104
d4187868f8612a2deba6a2e0a6447cfbb0abc27c,340,315,212,305,1,0,18,0.106
fcb59e5e6227803fbe2024d9e093e1b2a626a7fa,397,69,191,71,4,144,346,0.108
6b484a44df8d394c0490844201b35572e48075f9,98,171,225,163,0,0,916,0.108
29cf553db8cb9322944cbc0c4de6e22daa5aced9,646,286,537,274,1,40,2684,0.110
5b648a5587599e68d0f9687f5ddbeabfa55e3395,60,27,242,27,0,0,0,0.116
84673cd6795da661b1d9e84c4f25b599307ff137,103,82,120,80,0,0,49,0.116
095c581a617ed4b42c735c652b9e4ef6e8ad6a81,4452,178,116,181,1,490,423,0.117
b58dc3ccc2fa9a1dadc493ab2ecc2fbc118338ce,1427,1008,266,1136,4,89,3438,0.118
657eb8c241c5bbf463250c8268677d440522c04e,-1,-1,-1,-1,-1,-1,-1,0.120
bce2c550038b4227f93d5b2bb086109ada9a1368,1783,60,178,131,5,845,622,0.126
61b12037fd98ded4dc482848bd84235c32db0eac,356,169,44,37,4,162,2978,0.131
18f334043014014fb4cfa8280c0f55ed4b4ac049,103,57,1404,56,1,1,13,0.131
