id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
563307753c94e3a98410104d6435cb427c90ffeb,200,24,400,36,38,907,2501,0.002
6ad08e8d26f8b92a2b7488f26e00e79799fcac89,-1,-1,-1,-1,-1,-1,-1,0.006
5830ea3f255deb8621d11ea52b463cd82a7f8744,62,55,60,8,1,1,787,0.006
b75509c8c34edc161e25f1bf5f5c264641ef87fc,279,7,81,8,1,1,12,0.007
c7181a44f69e2f51545e4cf048dfe925fe2cc8fb,176,55,92,56,2,104,556,0.012
30722d2a8de4e060d64299b41d56571846610be8,255,87,142,89,18,769,1746,0.018
159da19aa4ddf7808858b0a09f18a74ba2fa2d3e,104,47,64,47,8,24,492,0.021
f64b493e7f0a17843ba8cae9df106f091930f33b,178,26,146,25,10,601,244,0.024
a18a18e652963b01428a225d18271937459d7d42,-1,-1,-1,-1,-1,-1,-1,0.025
76e936b289558e35176a8f35ab895a437d729c97,-1,-1,-1,-1,-1,-1,-1,0.028
fe3e1a74521055d6885be2441f311aa321207b2c,365,34,333,39,7,472,63,0.032
f8975c1b5b0789e0cfef99b6e8829ec93a85c629,1014,150,409,192,0,0,311,0.032
d3aa7668929653bd2c94757627c33932ebaee90a,-1,-1,-1,-1,-1,-1,-1,0.033
2c228326177a1d2102a371a4571154c62cf0f8e8,99,127,349,116,2,211,135,0.040
d6d6fef3da43474a2196148b716d734afd7dde66,-1,-1,-1,-1,-1,-1,-1,0.042
99420cfe3423eb5c35252e07c18a9bc6449e0e57,217,24,166,32,2,0,10,0.042
e56f8208cee6e8a0f893e4aa320d4367fadc397a,301,1060,1029,938,0,0,8,0.051
a5f8ff44aa4c1894a2b9b025c130ba828b9254a1,133,98,220,65,1,3,678,0.055
57ba43ab226c367294ce960cadccfea72f055fca,21,15,29,7,5,140,18,0.056
9c3f5131813792e2548c3d6e28d40869cfb96b70,112,278,439,273,0,0,132,0.057
3f3b851e1c96b438fd7dbc084dcac2e2778fcfca,817,278,399,257,2,54,180,0.059
06ba4123070a54f0e490e812cff9f1c410a22fad,145,151,115,147,1,24,213,0.064
b9d10c0414dea8e875d1eab06a8c579fa2e2aa76,56,2,10,2,0,0,2,0.067
58e5401578a03cab605a1c6a4cbcd1714d427f05,245,253,189,141,0,0,369,0.076
d21154640f2a0afc6f7fdd2b2adc0c1a153e37e1,151,59,93,28,5,131,541,0.085
d3d334411351f46acbe359ff0ba402a4c4a9329a,1797,279,94,152,9,209,933,0.085
7f3b275cb5168d20e737cd8e6345ad289c1f24df,98,80,296,77,0,0,47,0.090
6b69039f07e7dad7d2366f67977395ce70af2346,-1,-1,-1,-1,-1,-1,-1,0.100
bae7ae8cc2588a736c2b1630b6021d1110dc722e,158,44,228,40,1,125,600,0.101
41a64d466e0eadafa6d24cba86051740cfabd1ef,234,75,38,76,1,3,59,0.103
d89af1196def9d0c27a84f5a10220d1d495772da,-1,-1,-1,-1,-1,-1,-1,0.108
38cb86e8f6d698954116ff059db4f47d2e9fa490,-1,-1,-1,-1,-1,-1,-1,0.120
7fee733efe116bdaf6b2bbea222439d1dc917dbc,57,252,22,1,3,32,58,0.125
884e9a0662ec409541412d7916988a987506e5c9,40,35,15,18,5,69,34,0.128
