id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
aab5609fc811ac2194a0323c2556a27a91b291bf,1066,42,212,50,4,166,130,0.001
992bc85cce8de68e894bd7771e4a4f530142c258,870,69,137,77,5,63,281,0.001
7f9302daa0ccbd8ee1baa03a228dc4a50166e1bc,-1,-1,-1,-1,-1,-1,-1,0.001
78550534b775be3ed76e940ae04d722edfb36e85,425,12,168,21,4,224,838,0.002
12308d3f3b359d8dd76370303905e43b889974e9,315,194,338,210,9,148,1382,0.002
6938efc60ef87d89122d36958e7e2feb86212b08,465,124,135,28,19,1182,552,0.005
b90959f8cfb7d3ab8ec2c7fe6dbffb119903d782,1627,11,273,7,0,0,2131,0.006
ccd0ebe1d02b3177e50fb01b0eb324574150d890,4289,230,1288,256,21,886,3674,0.013
3deb507d1053b149cb30b5ee8d4b53c14e9496ea,259,39,64,37,2,28,418,0.019
b3ab2f617ed3ed8d923a91823bb7e49f19ee52b2,207,58,79,29,0,0,41,0.024
d7aec910c29590072c8dc7db4ef50f67b363bf49,-1,-1,-1,-1,-1,-1,-1,0.025
8e5f821f73612f83863d7c0cdf18450003944d55,110,63,108,45,1,0,3,0.055
a3642c03cb2ef47a80d45e172260e31da5ad6c12,138,19,287,19,1,3,107,0.067
967e4ebc368bbd2b30e9421e3be70e826058be13,152,17,152,17,1,9,0,0.069
dd7e003c794b546bebb22a35718e4ede430cfd36,22,1,7,1,0,0,3,0.074
d813243ce1c47b5972e6d5bf88d73c31500b8d01,211,15,27,17,1,0,18,0.077
3a12d0a388d85efde0e76ecefd84d1aefdde08dd,1675,23,231,218,0,0,4206,0.080
19fd552569ec1a4b655d133f43fad4c630feeb23,669,451,385,430,6,198,389,0.091
d7c61eb5d8bbdd395dda92f8b8279c10ff26efa9,343,73,63,70,0,0,6455,0.096
f3f4480547b10731a8af7039565795a96aa1d28e,21,36,37,37,1,0,8,0.100
b8bb5824960bacaa039870ac0c25d0e33d4f6a57,-1,-1,-1,-1,-1,-1,-1,0.102
6065b8ee77712257a0305963226df4a126c280d8,178,90,204,88,3,81,108,0.103
2366be7d8dbcd8bf0cbea63187b0c6dc535150d5,259,213,175,202,0,0,461,0.104
9b4d2a788aef9c00c587c0550442c08f0a151594,-1,-1,-1,-1,-1,-1,-1,0.107
bf0a25f50d1cf6aff6b6fb3ebfa084d4c08ae20b,-1,-1,-1,-1,-1,-1,-1,0.107
38c24318d394b4dc4e61b9056eee10778ab7446f,157,92,137,92,1,27,560,0.109
fbc76e96ba998b8426daca61dcd2c66b92e85c85,282,175,196,45,2,3,6,0.118
a0c46e6d75a1aa23e5b84c5fd241315fe811f94d,-1,-1,-1,-1,-1,-1,-1,0.124
428d474665ce1ceb869cdcf9bfb3873f85d83e26,-1,-1,-1,-1,-1,-1,-1,0.127
46f6e13ca64036c17c79f5199edd67f7a0572b3f,-1,-1,-1,-1,-1,-1,-1,0.138
85f1de4a63e0f62c26a324cbbe1cd1903029432a,80,181,231,174,0,0,43,0.145
c5020e71ece67763828d345330b00286a30f9235,225,59,31,17,3,166,0,0.148
01a4cb4d34bd9f96631e23168af820e11551ecb9,70,16,39,9,1,3,0,0.149
e7f8e6c6dd8860755f5a650aea77721d5aba7258,-1,-1,-1,-1,-1,-1,-1,0.155
c8de16e2f308d70618b65499c2b4daa16b16cce1,366,418,96,217,3,3,182,0.164
dbdd88c0ca9fe2fba4c6494c24ffc39789799e8c,352,66,279,59,0,0,1,0.166
0926692106e2549cff217d07bf639d8cfb550fda,-1,-1,-1,-1,-1,-1,-1,0.179
3d26c8171cd566270ee01938ba1f095a44ad4d85,65,53,115,52,1,0,47,0.184
c965b516451bbfe089e35fbdba267b9b8f4d439d,-1,-1,-1,-1,-1,-1,-1,0.195
2fd84bb697c38f8dcb5848bda7a0ea5e6a5bf4d9,238,48,604,45,1,2,18,0.199
09030fc0c980faf3d172a0e6981d27deace06b3e,105,154,135,145,1,1,7,0.208
b128d3c8cd81047136dd34dd5f1b864aa0020e84,134,29,68,26,0,0,48,0.222
4455159b5b0e6abb599e609f45d70498cca92bc5,63,50,12,64,5,64,93,0.240
c4c9a8ecad0591871df66fcbc65b3278b5864cfe,-1,-1,-1,-1,-1,-1,-1,0.249
762230b6db6cc9e7198ce9605a0fc80403ee799f,192,136,177,131,1,0,17,0.249
805297fa3d38a4808b80f5f27f32aff724d32637,308,532,110,3,8,4,180,0.251
45d80ba05aafe66a1a3529efcf769138938d41e7,71,37,155,38,0,0,3,0.254
b669cef6d908a04703cd58d73f0f81c112e76075,68,7,0,7,0,0,55,0.256
21de2cc7e28bd2a5d69f86469be006c0f6795e3e,-1,-1,-1,-1,-1,-1,-1,0.267
d5bdb64d05ccc298187a4f84d6d5d0d705e6c2b8,213,104,397,96,4,194,8,0.272
dd3c96acfa407bce05064e0c7b383edf59b5d531,8107,11,11502,12,1,5,7,0.275
9f867031f29ea5eaf262b55c533293b26b6a2f77,152,190,64,181,0,0,195,0.279
f2255c06c1fcc20485b5881e06bd3509327ff17f,-1,-1,-1,-1,-1,-1,-1,0.282
