id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
df412652450d70524838cf8051faacf0061dd4ee,223,40,356,39,2,32,1015,0.012
5109127e9ceee15e246b7131a053346234ec50a4,69,849,737,807,0,0,1892,0.020
9df0649202b98a2064ff3feb660a59c395617076,7,3,21,5,2,24,15,0.038
580c7b823d9febc5658e8f149ff63e7712fe5430,8901,19,25042,19,1,0,3711,0.121
fdcf8939b8babfd0af18f7ad1a5a654411bcc400,3348,89,1058,87,2,166,4355,0.158
04b4d59df068bd5093e3a472ba2b115b83a64b95,286,91,252,87,0,0,14,0.257
a5030c2ed0fb4a23c474c80314f36b5c46507209,-1,-1,-1,-1,-1,-1,-1,0.290
b577c033969d6c5430b905d8fd49ac5a67b41a51,-1,-1,-1,-1,-1,-1,-1,0.318
6fc32f7fb5f065bdafd4abd8f11674cd79002fb5,118,82,71,145,0,0,21,0.395
d69777962cb4ff6e455511eba00970f97d08cb64,-1,-1,-1,-1,-1,-1,-1,0.401
3548428460c522834890309309fef746f491b2bc,107,202,2,187,0,0,817,0.425
4280d70ea5a83e72b1093aa10adac6d0b5cbf0eb,90,12,35,12,0,0,2,0.473
7024079d20004d02424ed24f2ca7c2f1710d4630,54,1438,158,1349,1,0,10,0.478
dce65abc7b4cde88a25c5c41fad154600477a38c,90,485,102,471,1,13,216,0.479
f084ad8a6cf9bb4a1f299b5ed83e9f865f32ad0a,97,39,0,37,0,0,9,0.495
fc5c9e5c855a005db096aafc1c565286686cd830,292,375,6,368,2,3,991,0.533
fd4f0d4ec2c4ab30541fcb48d3828473b7e0f8be,239,157,42,131,0,0,33,0.544
cb64b23cee22fd48e9b5f6ce4cf8a1800fd4a5fc,1669,1,111,6,1,278,169,0.627
00a7c6932d2ca0f7ad011aa3c0760e0f73ef4374,596,258,98,246,0,0,9,0.843
edf51e1b88be2d82b477787d623c2bf6367d07ca,-1,-1,-1,-1,-1,-1,-1,0.865
