id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
4e684a53e02fcfc5e397a19f24b1ea8110cba594,91,25,169,23,0,0,1,0.002
7262280256e495ee3120caf119c986f94a4770a0,402,31,810,31,0,0,195,0.002
47c499eac2dfcfc51544c8b163404442222ab3b8,315,238,136,65,7,325,167,0.003
902686325468adead9c1318e0de9bc16662d9c1a,224,52,174,55,0,0,0,0.004
b741a52306edd3f5c032b41e53544ce22f357044,845,42,80,41,44,4723,303,0.004
9fa686682bcc39ce139f3afbca244d2633a6a2cb,3444,94,335,283,9,523,889,0.004
36d957d9e2142e99336e3cba83284c19ed138a81,-1,-1,-1,-1,-1,-1,-1,0.005
282d2ec567f05d251c2397bd955ccf62a8baabb2,143,5,56,5,0,0,234,0.005
583203ead2ac0a4e41b0fc261722c8d2bca0d7fe,879,40,121,46,3,92,2464,0.006
74d7aeeffebf33143738442c1de17716d0f231a1,314,38,195,41,1,5,535,0.007
3189a2b9660da64fba6c5389c97ebc3a07da6389,530,299,881,286,3,118,2694,0.007
9fac69cd7a78a0a4e8f839967ca102b0781f1e97,6575,154,1369,398,0,0,257,0.007
86d255cfc46d3f580f11bf7eb4da936d94e4b571,419,36,200,35,0,0,1416,0.007
3e474f94cc10ac56cf518f1b23519fdf0a510f69,287,52,124,51,14,462,144,0.007
bbf595c7606939e12044ed4931234ebb8df6c0f1,427,136,183,48,8,307,4619,0.008
e71ff2993616b33b2c1f15e73c2a4055559854c3,356,204,278,208,1,8,28,0.008
2113497487a386dca606497e5096134df097def0,515,72,361,66,2,124,574,0.008
66ac0289e0e0d7e829cc94099473eda9675f6e28,-1,-1,-1,-1,-1,-1,-1,0.009
97feede0a14d07e737b7f1d09ca6165544c5b63e,206,63,145,36,12,150,191,0.010
854046c9fefc093d3019a22505afac3f9a0dd856,192,212,59,105,0,0,16,0.010
b8a376d1b618c7a913ec86a169f18c562d330e84,468,197,765,53,9,464,4892,0.010
b310ff814697c2ef8ca24334cd2b8a26ef6ea3cd,1127,650,116,97,0,0,61,0.010
c27b598cac4becd9538947729ccb7c24bf9e1640,77,45,76,38,0,0,263,0.011
a85389606467111583d6fd9bd9f8f758380aff33,-1,-1,-1,-1,-1,-1,-1,0.011
97b501d2f0cf523ff1cab9ac1c40975ee84e2b70,-1,-1,-1,-1,-1,-1,-1,0.012
b8aa066015a4e373f652965ab638727ec04b742e,476,40,133,43,0,0,962,0.013
31f20ce96df418465af58391a5ef373d410519ff,1157,93,1676,159,0,0,3445,0.013
07d04e6cc2d4edbe3acc2f25d7b2f7cbb2f5b8bc,281,107,935,111,2,4,2671,0.013
4550fe7ad68bb781cd26ce57a5ba0f8f04a32d2d,262,61,384,61,2,78,3095,0.014
9dee2f0b03cd9bfbdf050b514be85589e82d810f,2070,109,314,149,1,0,136,0.014
d51b261b4b54a5eb9f2e0aafde3b545a0fe93759,1507,81,410,75,8,294,1207,0.014
40676c04d58214b62184de6f258b8ec265e16587,287,12,251,20,1,0,6,0.015
e2c94258ed1d84add3da41a05d5330a998270b5d,940,71,323,113,1,0,1012,0.015
43a08dd640843fe631af274dc74dd1aa5b973336,398,154,147,139,6,223,441,0.015
b3cb08f87fd8db8bd52702857eb3deaf1ccf8cc7,154,48,95,49,0,0,176,0.015
4328845b509c84d32f42cf0edec1a7bbdccf65d1,-1,-1,-1,-1,-1,-1,-1,0.016
e9af4f7e40e43082d0d3aa4897017f2365b20866,737,21,526,26,18,475,6423,0.016
ff21e13fb74d52b45bb3331692a88ce28b5f9ba2,495,20,127,25,2,18,647,0.016
85fd3b7c45e190c45550cd6c3c2c4c008357f6aa,-1,-1,-1,-1,-1,-1,-1,0.017
10d38c6e410e02eb56a3b66da5dfb5d3d700f71c,-1,-1,-1,-1,-1,-1,-1,0.017
9c29ccdac20a3ac41be3f4f06d1a64f22f2cd601,171,88,284,37,0,0,307,0.017
ae86cf458ed31f95d222745846dc7da1bcb1fa93,183,36,298,35,0,0,100,0.018
63a0d38ea916bf828393b60014be9faff94e10ea,-1,-1,-1,-1,-1,-1,-1,0.018
5a3ae1c0d7635bc504340d576402da9acf66457e,-1,-1,-1,-1,-1,-1,-1,0.019
4fd8b9d859c9895a9aab20e644b20f7b324e04b9,-1,-1,-1,-1,-1,-1,-1,0.019
09b0e9ce893072f020b5895a2c044fdd72a9c125,-1,-1,-1,-1,-1,-1,-1,0.020
ff418664cde2257190753a0a6af35f75cb699163,56,1,12,1,0,0,0,0.020
87cc36268e11b717a80eb62dfd8bf53568693cd8,-1,-1,-1,-1,-1,-1,-1,0.021
f2cf46619f51693933dd14f7645937851eaa15cb,217,16,0,15,3,73,1052,0.022
8941b05d17637b4f280b15a9907661bbb2f9e28f,-1,-1,-1,-1,-1,-1,-1,0.023
4cdac76998edd8987e951e3adf237952458f0d5d,1372,210,609,213,10,1093,3430,0.023
798ad11a6075847a1dd94a6e5f5d6f849a7cffa0,1628,47,2434,46,3,51,802,0.024
6eb494831e6119b12ba29b311dc6e7affe354702,-1,-1,-1,-1,-1,-1,-1,0.025
284d35b4f655caffb93503aa30271549b4b3ee91,221,40,256,38,0,0,12,0.025
bb2457e3e691e01d39fdaded971099bde0d44777,408,357,212,170,4,56,87,0.025
b7b3e49276ca1df04495c64d7d41f4bbf0bfaa59,111,15,130,15,0,0,22,0.025
5b8396a5a364f423b855c9e8fab40f2bf1b2177b,-1,-1,-1,-1,-1,-1,-1,0.025
0cf2964e0b0da47def836fc7d324d93ecdeee491,365,66,350,82,11,286,4800,0.026
6942ead20bc85ff51d40844d69d7f84cd3a5d24e,263,94,2563,89,51,1945,2599,0.026
4495ef479181544fe85d8e094308ca18072af0f5,5917,19,5257,154,0,0,3868,0.027
1141a6a95e57d78137311ed94ed05feedcf44779,281,36,106,34,2,2,2024,0.027
