id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
3a73df60c5b592ced4a5ffe3ef8fcdaf3216f2d4,2158,598,288,838,0,0,300,0.008
6f8b03962702873d78b267dbc288e4087a852931,9987,71,21698,70,0,0,2135,0.016
4d9bfb475478144db8f54c71a6f06b13c98baa25,275,11,54,15,2,29,422,0.020
d5d42012b602e21bb0c2a0def56d32aeb4a5f119,302,26,60,7,13,184,572,0.045
37c30cae968fd7816a59cc56c813942e97f534ba,-1,-1,-1,-1,-1,-1,-1,0.053
c5cd4586e03b95ccf3ffaeadee792f833d5c3437,45,5,42,3,2,34,5,0.057
99f6a0e99a5fe11a0097710586931d63529b1a9d,69,21,19,26,1,17,50,0.060
533954612882e3f4d072b0dca67d99f5b8cea946,669,38,63,32,20,494,830,0.061
f6f6dc5e78f12b1ace0068a99e52836b6377ccd8,-1,-1,-1,-1,-1,-1,-1,0.063
2f7ed0887ad248dc59767f5ea8d412a8c0228e09,387,95,49,99,1,4,1,0.074
f6cec8fd30eb5f7fb0370b091c53760b6a6d0f60,246,41,351,37,2,12,15,0.082
ebaf4ea86b189fd3c2fd0e901fb6981cc712bb62,224,34,203,33,0,0,16,0.093
54255848c1146b88159a3cf83d44ac439af2b187,-1,-1,-1,-1,-1,-1,-1,0.101
3f663694f9a1eaab0143c68f7e2f4162a92a6261,167,80,64,79,1,0,353,0.107
2f75ee5e8670ff0453dc040a718cac7778ee47fb,-1,-1,-1,-1,-1,-1,-1,0.126
57288f8714f080770470f2881f11ada0d49ccff4,273,507,211,311,3,43,7837,0.136
e21377042c4b88b60caf0ceaa22ed7445fa258b4,-1,-1,-1,-1,-1,-1,-1,0.142
95aa502041957d7e24066cc3f1354e9b4f0c5e06,-1,-1,-1,-1,-1,-1,-1,0.163
82f0bbacb9600b1495afa89d5eed5e247e733c97,323,89,863,79,1,0,6,0.166
2cf178763e0eaf03780663d31f4ad930ba60727e,66,62,7,37,2,72,26,0.166
674f57ead75e981412ec5610b5a22b753dc45f44,-1,-1,-1,-1,-1,-1,-1,0.177
2e1b4432db98ea10374f9cc3925c429ee758a719,1089,96,217,95,2,0,23,0.194
80b5fd555f4c3d587d1c0912a1895df8cb58b4fc,334,328,161,79,1,97,3063,0.199
745d6a6ef43e4f01112d4d05963a22dc754a8268,890,1000,9,905,30,490,7843,0.214
557468fa0571a36d6d3527fc2a240dd4a1d3026b,42,147,35,141,0,0,1,0.219
66952522a3ff79a527b52afc2f1bd6120597a3f6,44,33,6,10,1,5,32,0.219
4ea93284f64d6cd0b3ee7d5536c89d341955898f,129,11,244,10,0,0,54,0.221
b9e7ec834dddd77b8d9d7eaae7da43605a0a1d19,-1,-1,-1,-1,-1,-1,-1,0.224
227bbea33058721fd2bc760bececfe1f4692794e,15,1,3,0,0,0,7,0.225
de2c1e0fe9ff9136b2b472fcfabea138040e41bf,383,121,48,51,8,78,271,0.227
37a519c215ccf0fe2f194590aceb5a75692e9795,-1,-1,-1,-1,-1,-1,-1,0.227
43d6937f2e728927fb864d0e17e1ad35151a2885,330,74,660,77,3,70,4,0.232
3e6f8dab781ac26d14ae8791c6e8e1e6b965b9ec,1089,736,18,44,1,4,307,0.238
a2e89b4bc9761ce650d24b2c6d69f695133fec0c,-1,-1,-1,-1,-1,-1,-1,0.247
14a8cd21ad17923756c91068cdd1ea2a60e16736,86,44,100,44,0,0,139,0.267
b7922d5bfe2afa12ee1a4576f48a6a1dd5688abb,-1,-1,-1,-1,-1,-1,-1,0.300
f19287e39a749a2efa8ce5b2efadb2ec1eada791,21,4,15,3,0,0,5,0.304
ed0dea5baec47cbe7a395deda83ec4713b7d15fe,31,11,18,6,1,0,26,0.311
c920c4aa80294a01fc9497543d179093a4d82a83,211,76,258,41,0,0,24,0.313
b716c85c8b73547586570af461a7547f9dca2c81,833,167,117,112,1,19,315,0.322
eeac3b7f44ae2ee8a8adcd2fa3865a137ce5cd9d,60,11,133,11,2,2,42,0.322
3ea8f860ec6e2cb9d9c2d916c49387bd9b577c8e,2915,56,23,609,16,187,337,0.336
3c6d1a29802a4ec64c1e54a9215c970dc6191446,393,120,87,67,0,0,58,0.354
e8f2fcff08e1828d562ab6e21cad133f926d7cb9,2354,38,3,72,4,56,6178,0.356
5df8087a6bf881d5934c88a4911cc986b8092a86,-1,-1,-1,-1,-1,-1,-1,0.366
dcf00a3825efb17b56793f5245306fa277ab3fbe,-1,-1,-1,-1,-1,-1,-1,0.382
297746420066485fc0801d26711f0b96b11dca0f,968,41,32,34,1,63,2383,0.389
1cd8c95edd567162f9f55d476015ec76e48d7f3a,-1,-1,-1,-1,-1,-1,-1,0.395
c1b00470ffbc6d26cbb622027db1aad89dc5cf01,-1,-1,-1,-1,-1,-1,-1,0.397
94797a8b649d19cde7dae287a0a05e4baf6be26a,48,2,9,0,0,0,25,0.399
443059e53fa00d7a0b8e4927c45c6a639c4541cc,192,75,24,63,2,1,26,0.418
c822d2de80e5fa12c5a6d4f47fa11ba1df30f76e,1956,359,270,346,5,150,4606,0.435
adc7c58c2277c5782b8e2e57742ff5ee9119c3bf,-1,-1,-1,-1,-1,-1,-1,0.444
887231445efedcf50f3d860abfeb7bc6999a0a42,24,11,49,16,0,0,16,0.451
866411e1dec2e002274f6b3548ce3ad75a737b50,101,181,39,177,0,0,78,0.467
f9da113f7803263a0230bc7b5222419f3a0c1b38,55,264,381,243,1,0,3,0.479
b0aef721474ce90f54fd27507f17ec9fa3c840ae,88,53,146,54,0,0,4,0.515
e7aa56480dec20c43fc2f6f788976592c00283cb,358,72,36,29,0,0,448,0.533
11e631ffb366ea9bea57a26c96810b0b52828f95,-1,-1,-1,-1,-1,-1,-1,0.535
410c2d465cfd462e4c2df338ba807e58e1a422e1,-1,-1,-1,-1,-1,-1,-1,0.542
9b8445692de9df87a01419b56922a2858f9eb24b,322,166,326,61,2,0,5,0.572
5a8adc9fe13ac95d17f544341ef1e7b5d4134457,115,128,15,125,4,72,519,0.576
d2ea72dff30ed1a2827001710c2737c03074b691,144,144,26,123,0,0,14817,0.578
7169c341a800e6c0be57552f8a519122274dc150,28,11,8,9,0,0,13,0.600
14d70e50e88ee16ea209f24eaadc583726a67110,209,484,235,505,5,0,5,0.610
6f54fb35992427eccd59755f109c2c80e0cfb971,-1,-1,-1,-1,-1,-1,-1,0.623
009a6856dc034c16de2d74544ff33b628792cce1,101,38,21,27,1,10,19,0.651
c4713dc2b977535c45743aaf75713d3bae691d13,167,422,443,390,20,0,14,0.670
dabc758ab96ff54c606be0506f86b0dfceb50df4,-1,-1,-1,-1,-1,-1,-1,0.679
014a645ef7fe7bb8dc4d54ac567d972a33f19ff6,54,4,5,0,2,5,2,0.683
f2775a35b2d40ecaedaa7dbd340d0ff13d641a27,-1,-1,-1,-1,-1,-1,-1,0.690
91388b498e7fac5bb8354999ad50a366a0c7d877,93,50,11,27,0,0,462,0.707
d293b790c8147205a192341358ac07c68c7fefce,98,79,19,66,0,0,17,0.708
792296830b29922b921e098220513d1b7d30095e,-1,85,101,102,6,0,0,0.719
0e64eca5c27ae50992fb539878437d9e381f9b45,52,62,9,29,0,0,13,0.720
3f06a801c78db586fcc70a812885553ea20e444b,84,38,8,14,0,0,23,0.721
e0b07fa77f288fcb0388ad26be714305ecba87ab,-1,-1,-1,-1,-1,-1,-1,0.737
0f025f6e0cae05791216ec22cc721e619004f724,33,26,9,0,1,20,4,0.737
