id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
9520f48166b6e5c65861e8edc80e1db2f94cbc50,160,4,95,4,2,3,0,0.047
ee87381d87986006de3847aad54c2cfe7ce0eca2,530,134,141,125,2,0,15,0.048
b12d0df289dfb74176d2b1c08c3bcfc38a9350a8,577,182,538,166,0,0,1216,0.055
92b0f1a4f99523ac03501b4053ab677a34a8577f,770,40,104,51,1,0,66,0.055
f04603543b0225ce51e4271398ee75c1cd1ab38a,251,85,274,82,1,0,10,0.066
a72b0295534bea462a8228d3e2cde93b007a3aeb,178,124,722,119,2,33,23,0.068
d78e2ad77c4527d6d2ed70c6e1a60e59014a25d1,152,184,75,179,0,0,1,0.080
35a4de88ec3f3b893d016251308e4eee91097e11,133,255,2008,236,0,0,1003,0.088
a5af1e594121034c8222c6684437eaf6141dad0e,64,97,8,87,0,0,55,0.095
8f35a5adc444dd7df69dc2eaedbefa9aed03e817,191,172,530,159,0,0,8,0.096
e6c880639dce13f3612697f6a5bce9dded433d29,131,3,188,3,0,0,3,0.098
60ccabd3b69dacac42376986252c3a069bbc4e4d,-1,-1,-1,-1,-1,-1,-1,0.105
74df3abbec80c3bbeceb1796dedebf7dfe2d3b8c,56,69,2433,67,1,0,1,0.108
78ccd7d016e49948eac9126401f5b8a5c8ab4426,231,10,2767,10,0,0,1,0.131
82f48f4977242596f3209b74a0e37ab4628527b8,-1,-1,-1,-1,-1,-1,-1,0.132
10b05d087b9235f361f931dfd1e79f3f33469613,-1,-1,-1,-1,-1,-1,-1,0.133
e490c2e8d89189af12d315c036c178e348514f56,-1,-1,-1,-1,-1,-1,-1,0.138
21d0db9b1037a1facd53e550a24424254254e585,-1,-1,-1,-1,-1,-1,-1,0.150
47566dba7e9b6fdba6784cbff4b10f03bde9b642,-1,-1,-1,-1,-1,-1,-1,0.151
13afe3b537405983cb243f17f953f864a81db5d4,106,211,667,199,0,0,1,0.160
936bdc8717fda757bba757c327a3ffd6ee2771d4,-1,77,2670,76,1,0,5,0.162
cf0ae06262da9610a5a18255183156837b4ab955,-1,-1,-1,-1,-1,-1,-1,0.206
6a3b0f1e9bb85f04879cdba47e78200467fad862,188,95,251,92,0,0,15,0.219
2baa692a91c794d9d296b09f89cff2c13ee52930,429,65,827,62,1,83,340,0.224
2e94df4357c0d7e12429c0d283dd593a96c9ecc4,363,273,412,246,2,16,2522,0.226
91e8a123a4290a9bfec5c7c905de453df216f1e6,1458,118,288,178,0,0,9,0.234
22ab41a3d9e139aed625fe5cdc073eccad7e7e7d,701,78,283,77,1,1,52,0.235
9975ba55d1e8350f3d2c9b3e9338468012b2acd8,212,33,347,32,0,0,8,0.239
723ed3438a9139e22ec61744a74ec0cec0a770c8,120,21,106,20,0,0,0,0.240
eab7ec5c28bd8b4d6fb85759bea2f70ca69a126e,-1,-1,-1,-1,-1,-1,-1,0.241
2ca27ccf4be39617eb09f844d7fd82f04a867add,602,220,366,228,0,0,278,0.250
b35f15f9ac1cf75b8e83ba8769a4be018c27aad6,-1,-1,-1,-1,-1,-1,-1,0.253
013e7dfdf05099edb08b6a88f36e8ce5169c53f3,137,11,126,12,0,0,0,0.256
f3fb530ad4f0e2beaf937bb00548de1447639447,80,163,229,249,0,0,28,0.258
142ceb71c6be61f79f6147a2d65c1bf80dcb1651,281,55,50,31,4,78,120,0.269
8cd7f6786a4b12fb41c0a180b357a7288505f2e1,-1,-1,-1,-1,-1,-1,-1,0.287
0c38e262a55d42c90456360715720e76e1010cee,235,75,284,73,0,0,2,0.294
a67fe508d5e52d6ee6ad0e81ca739afe6a8df92e,272,96,109,64,0,0,1,0.301
d9d2bdb1e5d9f4d1c112f904ec84114c292aea88,-1,-1,-1,-1,-1,-1,-1,0.371
aa3c8c6585248be95024a6392ab51778be2d4002,87,96,87,102,0,0,151,0.436
75fb10d659eaea925a3421477511b45d9f8d61b7,4689,58,180,74,0,0,1852,0.477
9502ed1c5f20f5c2a1e4b311dd74b5c2fd4612b1,174,80,32,79,0,0,48,0.477
ab32e6f601f0ccc62ead59f85fe9f82a45b5774e,24,10,166,15,0,0,2,0.554
99f52ec53792ee75dece6012230376a50b1ea24d,-1,-1,-1,-1,-1,-1,-1,0.592
4ef523d69bd6be59e15ff0784880326f880d9c6b,188,26,40,18,0,0,4,0.597
f3bbb456a09746b7589baac834db9ea9d09050d0,138,28,39,30,0,0,4,0.611
0d2fba01cae2ebe14f7c0f991a79c5a903621f1f,-1,-1,-1,-1,-1,-1,-1,0.704
74fd214433d0b073636c51385fabc206e2fea77e,86,42,117,39,0,0,0,0.710
f06db0412afb9f5f27622bde17a53317410179cb,267,34,94,64,2,0,1044,0.718
091356c4d564586eda971538345a9465d6d4d3ca,-1,-1,-1,-1,-1,-1,-1,0.767
4e5ef975cf3211cb72f1c75a3e8338fa935a48b3,93,97,31,98,0,0,8,0.806
70d5878860b302698b37347f15d3ae96b72d6717,19,21,4,18,0,0,1,0.853
