id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
7a31c189ac7e7955c31f162799b8b76197b4f821,9998,1000,15039,1949,34,1871,415,0.000
ee0356f0df7432b44b8c7fa70151a0d7258083b0,7699,1387,13211,1713,9,523,3577,0.000
5a8fda472d101adb554bd35e066c5c386ed588af,353,54,344,51,30,1027,2370,0.000
db0cb3abdd17978077ceeba8aeab23c748ba4db4,884,582,1254,584,3,547,1304,0.000
8507995a18744e207c3ed3eb59f14e9185886fef,1447,20,200,46,6,573,1450,0.000
ade2f92fe667cbee554ab54cd74a6bc050d36e90,4571,454,990,424,4,75,44,0.000
9111c68bdc9b9aded5ea7323ba4af8fef778272a,9659,49,3436,95,2,41,3420,0.000
e1d297181ecc25b7cb01ed56301aa0e0e3051920,3703,2,1882,2,1,197,4243,0.001
77e7425bb9e7895af7089948811ec13c71cbb49c,179,5,78,7,4,118,1007,0.001
4b0834b992fd4486d14e944ebbf868c529bf83c0,195,25,81,36,5,225,1203,0.001
077443679f3822bbb890108b43da679827de3686,-1,-1,-1,-1,-1,-1,-1,0.001
3f05d8d6ef407b5e823f763bc082be308cbdd97a,2153,253,440,321,1,10,6304,0.001
bd1da31b9a851a5751c00f4179ee65b45518c3df,343,87,209,106,1,11,1783,0.001
e350471088093a0f7c1af2cb621594e2a7a9bf88,967,92,413,92,2,34,246,0.001
35fab1f3572759ad8ed3218b84ab2202ed38593d,7605,49,5104,70,7,758,3783,0.001
64daa72bbdf571b718811d21db059311e84eb97b,592,175,493,182,1,1,556,0.001
0a739db0dbcb8f55d7849574a8f42ec414b7ca30,8582,1189,4137,1585,4,252,5689,0.002
b31f96e45828bc43bd2842c1eb0cc9e9072c65a2,2124,555,564,320,4,185,689,0.002
82d6364c15479b5bc9dcc3c6a3fb55b1a2f46c29,-1,-1,-1,-1,-1,-1,-1,0.002
c88604d2b91dcedeecf0afd001a87e3f28c47bc8,568,9,9,12,22,353,1100,0.002
da3fcfc3ab1a82fa6195bd99122310d32a03a3fe,-1,-1,-1,-1,-1,-1,-1,0.002
95c41679ac6747575936aab5e6baec134b247397,147,124,67,71,2,135,546,0.002
e617e665729ef7690abee514c064da7aa549c077,226,154,165,155,3,49,305,0.003
5943ee5bfae15a11f1a4bd6b9623298099245014,4461,109,231,1209,1,15,2621,0.003
b3a749240570c31a92a258a37cb5b0c8000c6734,730,51,366,61,1,29,854,0.003
d9e17afc03414a60eee426bdcbf9dc3e8a1ddfbd,353,61,78,60,0,0,6,0.003
5ddb338fe1e493f8df5a7ec917bb07feeb234a05,434,95,341,108,6,662,299,0.003
fc7e2820d6e8d32999572e5d89ec03352849f168,3827,706,85,63,0,0,1885,0.003
cc929a23f4b449393cc621960809cc04e5a123d4,-1,-1,-1,-1,-1,-1,-1,0.003
27806af70cd9f85342eb43b675701720f41e203c,1661,638,658,601,0,0,3418,0.004
554a37872622f6de0bcb828dc0e94c3092ddc043,3248,82,4459,95,4,88,5206,0.004
94228dc2bdad359aeb2d161336915a472d2b3651,435,28,243,28,1,3,1638,0.004
a5bcc207d95ab497d7a62684ceb46033fc1af726,1937,369,1206,426,15,485,2803,0.005
ea16377bc539b13c90159377dc0774040b0a27e4,2681,293,368,18,23,1086,305,0.005
7089ac153a5c339fc64ad1c78e60d99532a604dc,278,28,112,26,0,0,3654,0.005
6822a52e8440fc8dc751f7fc7c61c4a907e0bcf5,-1,-1,-1,-1,-1,-1,-1,0.005
22b45409a44676315ed57421aabaa71dd9d62d15,4519,451,1053,827,11,181,4000,0.005
41db609ecbb229f751c167fd97058259318e8526,-1,-1,-1,-1,-1,-1,-1,0.005
6bdbc153aee57d0a8a03db1f0df6ce2ef745e8e0,1232,385,484,384,7,664,1721,0.005
03f291c7e79756020a95eade20de81f631163b3d,73,4,14,5,6,160,377,0.005
f960ef4732f13e6cdae95d6debcdce2b459098be,2535,17,1208,53,3,178,2210,0.005
64b0dcc5fdfc647d688fa21fae0c2f55cd32fd00,445,165,132,60,18,967,1217,0.005
d40b174bae1c4478745874b9a63db47fcb8f6769,1768,43,86,30,4,147,383,0.006
d65f3e978007c91a05fcd21a842448b69fb71003,-1,-1,-1,-1,-1,-1,-1,0.006
03b7cb50dab4c91ba6d0e1a3d99cd33cc89bce7a,6922,13,1808,15,3,88,3407,0.006
b0f1f9beb7674f4fa348784d40bcbfe98da32cb1,343,130,632,121,0,0,133,0.006
75fb89cfc63c9bd20f2730f79d01fdf1a9d817a5,3938,71,247,226,5,102,2912,0.006
51d7f7b9a8ab7e783f73182c682d97e230511e88,1940,91,1491,95,11,435,2843,0.006
dccb9ffd6d962e09c359f248695666741afd781d,6798,1000,2289,214,28,742,1309,0.006
f1a68f457ee7a79fd703be0abd6e182f76def77a,8227,294,37,68,8,165,3606,0.006
cd3d7ebf50734fc899890506b8382491f0912a09,241,98,236,97,3,226,1282,0.007
fc2994d81031c3074cda3ca36e6782993eb70c2b,2790,541,877,752,4,48,1899,0.007
fd3b675feb86d5fc85441193949b50115969403b,1296,61,537,56,1,30,228,0.007
08c877b5a84f26c77bba68ce9920dff7a0733ae2,438,1000,243,42,9,87,2256,0.007
eaac773a631e7a6712e5ccf81680e23c66ec1c0f,4007,217,996,681,4,32,2165,0.007
e322e74418db78fefcd75c4a884bee08c62f1112,494,19,3389,20,0,0,233,0.007
81bdc25ea401cba008e7967025fdda2bfc44539e,352,3,93,9,0,0,250,0.008
67b080784d1e953519ae7d7274a76ad9651a52a2,7668,874,1876,1098,37,3653,9495,0.008
a2d5fb648546b72281f79d0542ae7b297c1f8fc8,-1,-1,-1,-1,-1,-1,-1,0.008
7a0579812bf4956d6c202b7744a986d9247eb792,304,1000,316,557,10,325,13736,0.008
297653a1b72097aaa6fbcb76c118a7fd6183d0ce,404,126,286,115,14,533,725,0.008
7cf05bf7bddc3a956d06512c90d24594e1f095a2,962,71,514,66,0,0,989,0.008
