id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
6484fd5ca0cc98f81ee94fbaec152d0291296a34,2962,1,923,0,1,0,1133,0.007
e9ccebb3648c22596297ded37e404fd6f2fdaf67,8045,868,1513,599,1,18,6381,0.009
fc9f0bfeb2afddec1e43e42504bbd02274010d67,193,10,254,12,18,373,26,0.048
eefcf479b51d17e93975c388eb366aefa70d5a81,338,41,171,33,0,0,1,0.119
7ba5ac3e4278ea15fc08b7342d66e7c697eaf01f,290,38,163,34,1,0,6,0.174
e9c42ee573f6f5229d86ec887f859894a5121d4c,218,147,160,142,0,0,17,0.191
43262af57af8ae39a91941945f35d9db43b7f1ae,108,87,181,82,1,0,1,0.215
2e0fefc292291bee0e978de0ce8bcbab24ecbe92,321,465,209,429,1,8,11,0.236
2fc9cc62540314407cc96fdd93946976396868a6,-1,-1,-1,-1,-1,-1,-1,0.237
3ba45a7dd8b896f5c0056d96f850aaba8310cb8f,-1,-1,-1,-1,-1,-1,-1,0.240
12768b0b5f847b8fb329c8ec86da64ce3cc90fd4,-1,-1,-1,-1,-1,-1,-1,0.245
cd25f180e399eb506d9bd9cedf80597742b49863,182,6,665,6,0,0,1,0.247
ab54ede7768af1aedf8f342d607053652a68a3eb,-1,-1,-1,-1,-1,-1,-1,0.252
e127a378258f49dfeec01b7bf64267d86c09338a,115,105,241,124,5,0,13,0.259
8da330bb41f8cf413529ea638f9b97dd448bb8c1,-1,-1,-1,-1,-1,-1,-1,0.265
094bf4e5e6ca1bf8e27f92ec625bb0bccaf54bca,352,-2,119,126,0,0,15,0.266
447a6effda639a278a020fbd7d329a7fcac95013,-1,-1,-1,-1,-1,-1,-1,0.268
64e474419abe17fa9cda9912f4b15a46b113b640,-1,-1,-1,-1,-1,-1,-1,0.270
c602036437c870fcbf3b9015ccca330a5caf7745,149,199,286,190,0,0,3,0.275
655c45379914936d25b0a6db5a7bb140c3a3c037,121,44,87,39,0,0,2,0.284
fd413450d6860074209709f01d526607cc5f4e27,134,143,194,136,0,0,8,0.285
cb181303c01dfe5d613046103589f993ec152954,-1,-1,-1,-1,-1,-1,-1,0.287
298c0a97832cdf9b98d3c34d78aa2864609e18a0,18,528,98,516,0,0,7,0.290
034055c8b1b39fec7bb9d5adc666df96e7b64430,238,39,50,31,2,0,1,0.294
5d190c5ce6aaca3d0659ed46f83cfb67c6f8e3c1,132,50,70,35,1,0,10,0.294
73773f4bc084a3cdc3fd34ef2b805fede686bf2d,157,46,161,44,1,1,6,0.296
f7a5d3e2600fa45e07e40c3fb1155e5f0e9ab4dd,249,81,274,74,1,0,15,0.296
52b02bea8bffd1596ad153e91b14d22b65d8053e,-1,-1,-1,-1,-1,-1,-1,0.306
811bd033298128699683b11fe9abc1a3a0a1fe43,75,395,399,364,0,0,0,0.318
eb306fb73fc78009c0c21711e9a170fe2d926dc4,184,168,118,160,2,39,517,0.331
7e6f57424bc89447cc00d55f45546b90eb4e9542,205,425,123,416,0,0,63,0.331
5bf28f39beb7e234b576cf01475697cdaf108e86,143,177,27,100,2,0,583,0.342
1d55f032aa123120b9a3a8b101d08651dd762486,148,184,87,200,1,0,232,0.343
0e79cca9d4baff067a762fdc631473f9f597e507,-1,-1,-1,-1,-1,-1,-1,0.376
aaeec120a5b9d1dc51015fbfbfc41bd51770636d,270,276,168,289,4,0,2704,0.379
c4c3f6554c98827aed2fd17be2636328610a7394,664,71,109,65,0,0,503,0.381
3a97d63b372e3b93d21307c4627b5e7ec2028ddf,65,66,306,60,0,0,2,0.394
7a21a3ff0e35b00c2799c79bef64755d2f7f61ca,309,274,492,262,0,0,46,0.422
bb768d9804938a7a409a2925cd01f417f5e28e26,-1,-1,-1,-1,-1,-1,-1,0.530
e9e3d0037aa26e12e32ddc10d3234ed6848d1da9,-1,-1,-1,-1,-1,-1,-1,0.561
4d25cf0e08f96181845a90c722e95194a49da0b0,3628,182,21,303,0,0,173,0.563
6d675c51672a45f0bcda69968b23cf1165417ad4,178,23,80,24,1,0,13,0.563
34cb0fb4def4ca31d688cfb5e9d5289aca63796d,-1,-1,-1,-1,-1,-1,-1,0.591
7c97a92535b46269f93af9ca290b53a8e2dcedbb,247,92,10247,83,0,0,19,0.623
b04f880021745d28b59dd529d9bdb8b32595b2fa,48,217,61,210,0,0,5,0.630
2ad01079892ddf54b6ede4769025b46e20b5db09,2367,42,197,38,0,0,129,0.700
7b8344208c18383b53e139b46f7538baa6f25c3a,109,117,20,114,0,0,35,0.703
c296ad5689e13556fe883f74d83197c86bf60433,102,19,1,1,0,0,8,0.731
33960967675f8b3fceeedcfe6be09c6847ece630,2649,29,4,10,1,0,103,0.760
b800fc0d666184b33c6417c2eaafdd2b3c4e3f12,4,2,3,1,0,0,1,0.787
5b89c1cdca1278339bf07c070e5f3a7551c71768,7068,14,541,6,0,0,130,0.813
cc7d6170a5dc26b68244267889a6beb94a5d75a1,3,17,1,16,0,0,84,0.826
15ea3652939d80eed840c9e0312c7240e36e1cc3,15,81,8,74,0,0,6,0.886
4f48f940308c5c81300a055194616dba325f9ca7,47,2,21,2,0,0,6,0.913
b4add72354749244a9bd61b752c6214543e115c8,-1,-1,-1,-1,-1,-1,-1,0.922
df151f8e0cfd6a5e71c4c710e032d6353ccca84d,386,113,1045,105,1,0,6,0.929
