id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
e56c15d687477009f8a726cc57889d12720ca867,249,85,242,76,1,214,279,0.003
701554a8cb18687315fc5bbc948a07e59bc581cf,345,84,154,85,1,2,1513,0.004
9cced8d0806cd39300a6132bf58170e149334320,896,75,29,100,2,37,498,0.010
bef138647267dbf88fe095909c792a2909082073,427,106,47,104,9,279,2428,0.012
8e59fdef7fddbe467620814a4f16382985706150,129,61,116,57,22,548,537,0.016
5df4509c36032ef7530bbf10a3a0a7806b41257b,515,141,354,46,10,194,55,0.020
9f42fa270a244adcb9637ceb71d8ba546e20cd62,485,106,277,79,0,0,591,0.043
843e2673538150970210eab0b166d1d09908de80,85,60,216,59,0,0,38,0.044
25ad3b0339b49ae359fbe28a46e4e95586b4c951,-1,-1,-1,-1,-1,-1,-1,0.045
49e432d9a47e70d7621932d54d29bb03ab6d6db8,-1,-1,-1,-1,-1,-1,-1,0.049
c19cb5072e1ca2fb5c9063b849f3e4800d766fcb,-1,-1,-1,-1,-1,-1,-1,0.052
d9d2c384a516ba8161f2b803fdf41ff7a10b99c6,2071,410,707,405,19,739,2358,0.053
2f0f0a24c23528e253e13336639e1e39f52af1bc,112,9,22,8,1,21,19,0.056
64cf247600206cb5e798fbbd8232274a1b37a68d,45,35,254,34,0,0,5,0.069
2ee97808cb78686a53b2036ea2906f0cb10e7af6,333,29,134,31,1,3,427,0.070
17e7f7ba2085badb719f60ca631631dd5342abea,-1,-1,-1,-1,-1,-1,-1,0.071
d3f675b7bc76b52dcbfdf7b8c77ffd37437e18d0,383,132,108,133,0,0,950,0.072
883b4f116d89255d54c84e81d546955a9c6b1f71,-1,-1,-1,-1,-1,-1,-1,0.075
0dc8959abd661ea122e52fc4f0972a057caf5311,47,5,10,6,0,0,18,0.080
910bd26cb0ab3d75eb62f9a0463096afc0f805a0,122,89,362,89,0,0,15,0.090
f4093ea6238853945843442f00c4aa6d5a745dac,201,114,112,114,7,105,4856,0.095
4766c8f05e54ee84e3a27126bfb7c321b266b972,190,10,13,10,3,31,72,0.095
6e1976f21ec77c82b2cb76f810605ed937f5bdd6,175,16,49,16,0,0,2,0.095
a73b432c9979fb660bf66c66d371f51e21e013ea,247,363,396,355,2,77,14,0.096
c11ae44f7c993b85730409e7cfd74424f6ae9667,233,273,526,249,1,0,11,0.096
3cfec12ab16c35817eb507516fd1f1d1a9d04707,342,37,200,37,0,0,365,0.104
f939c633d7526abcc5c82b500114223fba3d2b1e,193,294,357,280,1,0,2443,0.106
4c0556cd37386806a93c0c6262a8fe483e1580fc,121,405,186,398,18,28,414,0.112
31c1a383ad1432b4b65eb8ead7c4010f37c3c7c4,322,162,289,159,3,0,6,0.114
421488acd977ef0e5e3a878b616d491914bc1a79,146,108,124,103,0,0,6,0.115
26e53c68005e8d76727a1ab1bb266d9937b3e92c,189,80,193,74,0,0,19,0.128
499d18cd93d0b2d831cba1498c34ef45bbefca0b,374,600,215,547,2,53,15,0.137
4cddb64dfb02a5ef1ec0477e8be743c8428914a3,60,65,70,63,0,0,1772,0.138
dd6d257eba89f75e3dbecce37e17f969583f91de,179,244,81,243,3,245,4953,0.138
