id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
06e4676eb464df5983d885271d6b8e67863ecd83,-1,-1,-1,-1,-1,-1,-1,0.006
05c4c48da9d3fdb6654907c9206cb0ed5ecd2337,135,106,412,106,2,31,1977,0.025
55e720ae700b630932a9ccf29fdfc88a3bda7909,-1,-1,-1,-1,-1,-1,-1,0.026
ef8d7ef0677a4c5641a3c15983bc0a5ad0bff8a3,-1,-1,-1,-1,-1,-1,-1,0.056
693fcf7cfc83f03549f56b9b15b2913708a7371c,163,133,489,129,0,0,5,0.057
80ddb628843d11aa704a7240a09646ffae1e0a95,69,67,126,70,0,0,9,0.068
002bb940f123c6cb6b5bc5064dc0b98f11707636,3794,119,110,119,4,0,2702,0.075
13ddfae82581dbf03b9a037505a85c620017cd7e,266,301,287,277,0,0,167,0.094
7026c4d428b91c8aea181c3d91faf5eb8576f8c5,181,136,539,133,2,1,14,0.201
4e340594bbef590b76ba2e6bb416586830a73e46,-1,-1,-1,-1,-1,-1,-1,0.234
0072b5fe2199def66cc441286832506f8f02e043,-1,-1,-1,-1,-1,-1,-1,0.251
4018f6ab54544ccc281b186e5f58edf5779ff01c,-1,-1,-1,-1,-1,-1,-1,0.296
26e998fb82961b0ed5c8271aeabb94b44d671c2e,-1,-1,-1,-1,-1,-1,-1,0.397
7e6bbda30c33990b3b0fbaf2d5637f4a4e1514a1,113,130,70,121,0,0,127,0.460
f9749724b718a26e398c6f4db5b9c6b59c885101,2,4,75,1,0,0,0,0.505
532098d737d3023eeacea53d69c7df62ccae1230,3,240,18,225,1,107,19,0.505
d9f49df1c1cb9ad6a910a995cb030c988984e77d,65,78,105,78,1,0,21,0.651
fc53f23f8d4ba9587219c048443b8e657871e141,79,17,53,11,0,0,10,0.695
a243f32a32ddc2a447eece8a894b3ae072dddb6b,-1,-1,-1,-1,-1,-1,-1,0.786
2861a4a34b9129bf9952c2bf60a4373a4c7d1fbe,61,5,5,5,3,13,4,0.880
