id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
e6efbdfbe37d3120aa8b96f8656225e410ecb770,586,242,743,236,0,0,1769,0.000
d4085ed9a16b03270ffb05713171e861e46f67d9,-1,-1,-1,-1,-1,-1,-1,0.002
14568ae5d9e965774ff43bc30ff159dc708c0c41,1415,2,109,3,0,0,0,0.003
d5f2ae0ef6bc9b9a274bd9c2978587b994267bde,108,39,33,35,1,200,209,0.003
756590793f4621b4f9a9555808cb16bd8ee08135,124,15,131,17,12,1596,7221,0.004
10a1b916f2d52e89406ec6fe12a6181dc6474a1c,-1,-1,-1,-1,-1,-1,-1,0.004
587ef243de4ae31fd368443804bdcecb2085f491,476,81,387,60,2,3,122,0.004
7c03a8a57604101a5732ded593e46640dea8ed96,82,47,53,43,0,0,6,0.005
c0bee5bd9db8ee9e1ad50d73804a44090502b8d5,78,29,58,29,2,11,20,0.009
9d1d8c8f3e45d5812f140320e1b7068f6d594c75,661,87,366,82,1,71,873,0.009
e17f0e2edfaa7f41a7cf34e4bbb4196f5c50fdd3,1088,68,714,66,13,318,2916,0.014
9ac0edc7123abbead5d47afb8562dace0de9530e,100,58,159,58,0,0,1863,0.015
d5fe117ca786abce080228b7583fb7d3326c3dc3,141,1000,81,1639,0,0,2554,0.015
cc9d586bf4aa749d9be124c3410449716e6e10e7,130,853,18,60,2,69,182,0.015
430a57d2dc8746a64e6e1ecd7409a9f2de877284,41,4,1,4,0,0,2,0.016
c33b0066d1431810949d55898d6a005da51e3588,155,45,14,43,1,11,173,0.017
934a88790f1b3b6ef175afe71ef5a45a4e93d90d,178,3,124,3,0,0,1,0.021
3b0dd5a2c2f9e9cf1cfbe2b3da9678ad4d5811da,2082,82,2654,40,0,0,2515,0.032
190e91e50d40649aac54a64cb3788529ed3eb609,-1,-1,-1,-1,-1,-1,-1,0.051
0d8f36e02f8c942a9956af655e9d47e243852d33,1439,17,2434,17,9,372,3480,0.057
67bbedb782bcb09e5733dbceace5f371d86ce4ad,1648,3,36,11,1,53,858,0.084
fd62adcc6b464ce61ad6013fb68c70b63d01a4cf,146,288,73,292,0,0,117,0.085
ba16b24f64b7ad12dbc17d27b0714c6b63beab0e,323,1000,593,679,2,14,440,0.087
1f9fb877cd2aa14ab5849a33ea033b32b2253368,1795,503,200,483,3,113,1773,0.087
0ecacd8bae7e1d337c62c3e5df67ba18d6efd0b2,6742,45,767,42,4,95,439,0.089
6781ea5b1995efa455d06d5c2ea5804278bf40e2,263,193,108,186,13,150,200,0.105
683ff289369375d196c4f9801c4157426888dcbe,3318,136,14,300,9,651,2222,0.116
c0f1ca33f3eba68618185ffc3d15e08523bdc088,102,130,11,97,3,7,1294,0.118
6704646388f7cf86cc5417b97ec3acebc60a54a2,-1,63,171,60,0,0,1,0.134
fcfb2a3b00739f34f06cae867dcfa73b231b180d,-1,-1,-1,-1,-1,-1,-1,0.156
ca46cebf206e2fe32fa46a98a1d1127551aa64db,-1,-1,-1,-1,-1,-1,-1,0.222
0e28b17d7ba8ffd492ddffb416d58f0c392c7dbd,-1,-1,-1,-1,-1,-1,-1,0.223
dff04d031dbca7b5325c74ecfb6b73cbc9033b9c,-1,-1,-1,-1,-1,-1,-1,0.233
f18d68617db628ca397a91216ef59667282ef3f7,137,132,46,57,0,0,12,0.239
e91a7df8431418c6cb3041d812532a53e38a4fd8,-1,-1,-1,-1,-1,-1,-1,0.252
bd373519ec3f905fd50bad8be7299b77f4340621,7786,119,9764,157,9,143,607,0.273
1099ee0d17e56ae86d549138b30c2ec9f4b3725f,658,22,146,133,7,12,221,0.297
96c9b9d2e784dc47d32d7c1cd11a1b13e773c596,1729,40,23,95,0,0,228,0.303
865b9ea7f614e2e914c1b02951db422c2fad493a,1680,760,52,433,36,153,1321,0.309
893135af6cf9c32dc03df9fd5290caf0b7a7ef49,23,1,2,1,1,0,8,0.344
15e9cb358dcf7a31dd82a1a2d6637a4cc124db84,984,8,1,66,1,1,160,0.361
