id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
784cab480d80099e5e3c32523670252a8cb193f6,714,45,338,45,0,0,1673,0.000
b51bf276f9524383459fa16caaca35fdce74f979,-1,-1,-1,-1,-1,-1,-1,0.000
4c3a58b5f828daa90f4bdc05eb4bd468333055a2,737,82,285,80,1,7,1352,0.000
4d9b06db232a49f112ccbbfa10d346205298e139,506,62,490,62,1,158,428,0.000
ea6ba126925a08e80902368142574e8d307799e8,-1,-1,-1,-1,-1,-1,-1,0.000
2ac35be61c258404f3762cb941f4007e0e539e6f,1855,316,1197,324,9,119,1956,0.000
fa10de860c4604d179166529a8d38fb8dcf01756,482,214,320,212,0,0,684,0.000
c817991a97a8046fb89de62224a25a84746778e5,-1,-1,-1,-1,-1,-1,-1,0.000
2c03d83dee24f0f93edc1e885964ca8cf0fb1c43,-1,-1,-1,-1,-1,-1,-1,0.000
69c6511f01c7f7f3e69ba47af7331bc84e9385b1,-1,-1,-1,-1,-1,-1,-1,0.000
5de872073ef357675e6d3e13bec96e5098399af9,404,177,421,166,0,0,347,0.000
c03d17c19d6031e9494b5f69fa5c8d8a4f64472d,-1,-1,-1,-1,-1,-1,-1,0.000
237fa7ae69a3b4bb613992d12c7beba2b80a1c34,-1,-1,-1,-1,-1,-1,-1,0.000
598d1985537b83a384f4a621a7dc344de940ba6f,-1,-1,-1,-1,-1,-1,-1,0.000
bf5a6a70faa7718594707b66d5154d093325cf64,337,63,238,65,3,71,139,0.000
ca293ae33d3506d8f7337af554a4d9201707e7e3,-1,-1,-1,-1,-1,-1,-1,0.000
b85fcac057171a1ef0dbed2b92e14cf9c4d7f5e1,659,199,257,193,1,10,1550,0.000
118ff37ad6a50912abcbf8ded948c38dba93b471,178,76,168,71,0,0,191,0.001
6e7749bfded68c42d90988bc3bd897ca400e1760,2532,18,446,18,0,0,408,0.001
88ec5ab378e20f6517e430dcb0563acf872e8662,278,56,328,51,1,1,624,0.001
1a9345b8cbec051a3a70a2cfeba1e0afc3193466,356,304,414,291,2,137,628,0.001
d1fe9035c5b8124f6d8e78cf154b438ac2f3bdc0,231,29,38,29,15,452,170,0.001
9c3fb800f367321be5ac8589693aed9d3b82f38d,226,66,39,63,1,0,611,0.001
adf9445580636075fb2a87611f138bac17b08c4d,1236,100,654,107,81,4565,6806,0.001
72db50af284994ad60549117e79f6a09488d1560,2594,1000,228,5,18,260,2341,0.001
86732892495a64b3f0c3b040f7ea5e1a19543115,-1,-1,-1,-1,-1,-1,-1,0.001
4a9649f495e47faa6a34df142cfa5e7cea21f4e8,60,96,179,90,1,14,39,0.001
ab4bb03cc571c17f09b3d26688023f9a88055236,505,72,145,70,13,990,268,0.001
b0cf63fdc2043443acee8e3c20f7f6e26e211ac0,-1,-1,-1,-1,-1,-1,-1,0.001
14ac6bb78d25a9b3a7b26773747c377108650a1d,363,99,117,98,0,0,351,0.001
c3b31b0c3d468513d4e3eb05ce1d790a5fdf6236,-1,-1,-1,-1,-1,-1,-1,0.001
cc970aff861c9830b1a91b087fd96c808ea8cbf8,178,8,47,9,0,0,60,0.001
48c9978e9506df3e72092b635e75a7656b6d1fae,698,25,105,30,10,1128,1468,0.001
cb963419c45526bf98ac23ae25a80d2fa178d56f,536,179,39,27,11,1176,1446,0.001
21974a2424348bb9460fa49ecca8994a2e2b3435,775,12,86,13,1,0,446,0.001
c5261100e2344e27946781f002222bef6508f3b7,1423,41,1707,42,0,0,1477,0.001
d91d30d5db743e81aaf528a6365bec90a15c429d,-1,-1,-1,-1,-1,-1,-1,0.001
db8a060fe7008c3bd4d191cceff6da8129e183cb,352,235,443,234,24,1159,253,0.002
df6e1b9135c8de329afb663b32be194bee8aa99f,706,510,1697,142,213,41568,16932,0.002
342cc2a7c95b31e26f21322c9b87f143151079af,497,76,815,68,3,78,123,0.002
e7bf95d4ed3bb13060bbc035075f8c9d6407e25a,1144,432,1727,431,20,358,3043,0.002
0498becb82e81e0a758d9b73c568c4da704e2073,167,26,47,26,0,0,31,0.002
883487411f4077f93e41ad851ca6c3c34ede07b7,-1,-1,-1,-1,-1,-1,-1,0.002
291b3c4b42694431c784591d7523cc38ba943d2e,3107,118,601,110,19,450,4058,0.002
f18e9ae134513fc1ec3640a9d4cb005bcca96ca3,640,504,307,478,2,4354,452,0.003
667a456881686c4e5faac75a632ff9beaa4d8d0c,-1,-1,-1,-1,-1,-1,-1,0.003
136b2fb57119a4081588e36d92853f0ffc63a06f,981,19,230,32,80,8063,698,0.003
018854d72152fa920ba27b053c52f3a283df1294,-1,-1,-1,-1,-1,-1,-1,0.004
683c4df742409dc6aefbfa036a227f8ac80feaf2,-1,-1,-1,-1,-1,-1,-1,0.004
f109438f1050156b5276260be77ffc9495ec276d,502,471,424,461,8,244,555,0.005
a5e88e94bb81648153353536a02aed15609090de,192,25,52,24,1,17,21,0.006
724dbb1797554f8d8de73ee921a9e7256c3ee845,304,119,124,118,55,4368,829,0.006
6602efc550b883863e1522cc70552b6ee6257889,359,101,38,97,0,0,761,0.006
f5a20eea63d04261651b060c01eae8e9de43acd1,173,44,303,40,1,28,202,0.006
11c46d55422a55558b5d6c9e7f37b63a6392da3e,472,56,178,12,13,559,356,0.007
