id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
bf8b9cfdb22d28d0d22d87eb7398c292114bbb67,7486,41,1094,219,15,884,11112,0.001
eb0fa85eed18ecfea8b6c4ab30dea8cef084083f,9234,24,1476,219,0,0,770,0.001
5b76d6f4f3e4f9c78c8db6b03859b6c5a0383370,6930,282,6481,938,107,4346,12350,0.002
2a70c65e6c8b4eb62ed1c18d31dc5185dc44fe3f,9503,138,1046,246,2,18,6201,0.002
dc84bae7561f4c9f3120237e272ba435aa5a0675,-1,-1,-1,-1,-1,-1,-1,0.002
13ffa92571e52763c164bc3eb7aa0e7842e97b91,-1,-1,-1,-1,-1,-1,-1,0.002
1da155db88313ab407d196c0c2879c316e2ef8bd,665,98,217,119,6,176,4278,0.003
865944f692ecf300a1f6bcdcdf719aa10da60bd4,3132,87,898,90,17,9242,1591,0.003
4dc644376f7dd9cea72a1a2bc154bc5dc009f926,752,20,306,43,0,0,85,0.004
48d31e3e2262e3e69f5d42b379e5dcb19c4c9f3e,3241,119,3730,112,12,1613,3067,0.004
b1a339e7bd0214c62e8e1ad1704ee277e38cf373,2034,393,91,432,2,39,758,0.005
b21e1612fdd5a5d581346d50c5f645f33a3ac286,6018,22,906,25,6,151,259,0.005
d5d4c69fb36efec101fd445e37a2893e24c9e2f8,2994,37,168,53,1,110,712,0.005
6bab3fc6aa6a28054206edb4018ac3f12878dbfc,2210,108,354,105,0,0,3715,0.006
2050b5b6955118b1519622d11cc95323ff9d8f11,5114,81,124,152,3,104,341,0.006
e58bcd2f13c68201e5dcc34e718a440fdf3b0e90,7308,69,1513,584,6,104,3912,0.006
f4a8b13d09f5f6d0336cab94a855fd042e69ebe7,5373,71,663,434,3,37,10997,0.007
aae2887adef73ee250dba0bd971366aec94e62a2,5257,64,246,87,3,331,2753,0.007
a2ab95ca1058feecc6c2d2e09ee83e4d5caef076,19,1000,309,132,7,502,2918,0.008
ea429505259a1fe1262343a60e3bf4627fa55ec1,9422,1000,716,196,9,541,150,0.009
475a1bae7664933118e6e694e5f8b0e9a80f710c,9953,88,2553,85,29,2542,15275,0.009
056496284b040e576d6149fd668667a1ca0d68ce,-1,-1,-1,-1,-1,-1,-1,0.011
798e5887bcfca044df94a038f8f1844ab5d84f12,3013,75,542,77,0,0,1722,0.011
b04fa98fafaf9368409eee1ca7cf3f2d343c2da8,7176,47,3069,61,1,4,2183,0.012
255ea60a4cee6bbbe2b83d897ca3b92f665ae04a,1192,191,309,322,11,405,2007,0.012
d67557d9d4b236336e5c412ccc7963e027b3cac8,2918,16,2798,22,1,0,475,0.012
0c9f7cd8d97831e04f8d902364307edf7fb589b7,3111,16,2198,4,1,1,154,0.013
6e0cfbcc928b9ff4b548e1b53b32a9c2dac3fd3a,9569,202,1394,271,17,2376,12981,0.013
be3268d059d065c10bdc7ffd66028d6324553c0c,1359,251,580,245,0,0,70,0.014
15cdf94f4971bceb46fc2a8d3af73af806d5076e,2186,242,85,464,3,79,404,0.014
86ca61b975385319529370067a0d712abf153084,2205,65,349,61,2,25,4991,0.017
2c6e8bcae3c9db1df80f003bdd7f02bb03ba7176,-1,-1,-1,-1,-1,-1,-1,0.017
2229d780860600e7ed2d76f2f5a651a0a8487c1b,8589,180,775,469,19,507,12714,0.019
5618045f2c78157b83f7c9387b20a99f0f132811,-1,-1,-1,-1,-1,-1,-1,0.021
1ba0ab5950dc766475d58f77b4a2e8e661a32d20,9975,15,4520,13,29,2092,2009,0.021
1a63b84a30344f5d8b0f0ad8bf6c382846578596,650,589,961,557,2,3,287,0.024
86165e8bad3a14b887662fc7654eea71732ed457,58,5,32,6,0,0,2500,0.026
263b931f5b06db282235a00abc73d1ce618f35ef,2683,272,1960,251,0,0,5629,0.026
5e1a402b8af12d6660beff16c0718baffd44f00d,2617,12,994,12,0,0,646,0.027
5afeabaf9667408bbd30499b8f533d039b616f86,9931,12,1474,11,9,1350,213,0.028
e86f25ce0b911b786c951980248f36646550d2fc,2631,104,582,177,0,0,839,0.028
37a4e82061fb6e5772562bb91a5f11eba7bad65f,-1,-1,-1,-1,-1,-1,-1,0.029
0f98fa82b2ab8ae1ed3efdd75ac67b0ec0b4eb4e,2224,112,543,116,5,103,264,0.030
62fec19a1de6af32e4dcf9411fa1cc488fb3216a,-1,-1,-1,-1,-1,-1,-1,0.030
3234e76be1e03dca70a34e0a676ef57d88f67f6a,155,2,904,2,0,0,25,0.034
ff8813fe05cb02d83af96feb18500c1ef2de115b,799,72,177,85,0,0,3963,0.040
950c2dd6009f7767c0d690c153dddce8d1ffd5f6,952,100,826,116,0,0,1887,0.041
a682435d1eb75ba3c81679ce3fb6278d3622b8eb,1360,143,269,136,4,144,469,0.041
975fd3414d5011046616ec625d4ccafa13626d1d,5426,46,72,758,20,277,600,0.044
18f317987cd685c68f568dbee25b89c1dbe6caa0,737,142,782,136,0,0,126,0.049
fed84c749854495e05f16279dc4b124d13f61beb,253,150,86,150,0,0,4,0.050
437bbdeeb2ea7adf082fea0184c50fe77944e667,837,100,136,91,1,34,14,0.050
bf881ffbc7a5576da0595b427b44b2c58568990b,3180,55,1012,160,0,0,189,0.052
bcb24ffc44ee27fb14c315e243649e7940544e6b,311,139,359,125,0,0,154,0.053
f5852abe05c92300175612a5a2f4ac7f3941e78f,1931,181,647,222,2,3,49,0.056
5411904a76e2f587e3521207c8a2f9e9d40cbaaf,1003,79,569,79,2,35,365,0.062
bf857d257fea152efe555cda24fdc02cfff482bf,1740,470,218,441,0,0,575,0.065
4013987068c0cffc1f5390f60961184e38c0c4e0,-1,-1,-1,-1,-1,-1,-1,0.066
6eda9ef1083e98b2c1c79608374f5572bc6fac8c,518,531,178,504,2,68,1217,0.068
5e1e56dc5df0a1b3a2a7b9980f4251347674b06d,720,147,504,133,0,0,5834,0.068
fa2f2c222086f47f2c647e3e1245421e533535ff,319,319,743,307,0,0,7984,0.071
da16af695a0fd59b901b1a0f680aedaa34cf2683,1703,61,9,89,3,214,546,0.071
707f0e1d59e725c1ea17f0e3a92038ab5bafc60c,181,14,542,33,0,0,32,0.072
8926586d9ec4c966f1aa114f79882cc569f81192,202,1064,212,927,1,86,13119,0.072
d798cd5ca72042c979f507178611f4c82b8cb60b,650,74,329,72,2,6,1483,0.078
117fb971a88431b61ab8ff6975c0cb613cb3494a,9902,205,2577,197,376,55546,12820,0.085
ea48c9b949195b0094bf334f994c281e6ca948b0,145,50,35,51,0,0,75,0.086
2bc13da2fde0fc9a2174e50b0bffd788153443aa,170,71,289,58,3,142,242,0.088
f47c12d7584aabb67716bcb927ecf9c3c05cbdaa,1285,47,254,65,1,0,118,0.089
a5e2487734856c6612da381c8acd5b750f76ff0c,683,252,139,241,0,0,1307,0.089
b31452577593597963bcab7fb600ab7581f6aec2,9966,1,15518,1,1,0,10,0.090
f4102a720f692cc7adbb5fb749746ca073679eda,-1,-1,-1,-1,-1,-1,-1,0.093
ef3ecea0b7473b76dfabaf1bbe640376bc49a5ae,685,90,142,86,1,9,28,0.095
7135e968748562a8208e2ecee46814bac81fb34d,-1,-1,-1,-1,-1,-1,-1,0.096
e089eba32fbe5d7bd6833fd37d8b19facc187026,392,37,259,41,0,0,31,0.097
56173af6af6696210c1521701c83f77a475ced03,598,103,410,101,0,0,9,0.098
3efa8d3b092a063f3c0f792132528142b396ad11,-1,-1,-1,-1,-1,-1,-1,0.109
edc8d1c66354b32d159334b207a04ebd348ff8ae,9942,143,1007,122,1,71,4331,0.110
