id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
d10477735eda002a9150ef4b3213af431b671f98,-1,-1,-1,-1,-1,-1,-1,0.001
31e7736bb322ed3ab4f333913c468b8f664129bc,279,108,82,116,2,56,538,0.002
5cdcc72e0b1417e89a4d0565f828e8aaa3f496f6,199,69,98,67,18,295,7922,0.002
957e748839ecd95dedba342a86b09a6d8bed781f,572,76,293,71,0,0,149,0.003
be3a68c36ceb01bbd17e677a7b90ee1c06f67f03,127,42,23,41,1,5,137,0.003
d09ded3a7eabe84575c61a4baa05a81e03eece5d,-1,-1,-1,-1,-1,-1,-1,0.007
98e494cfed584dbe20ae01e1f122a77ac9bb7506,333,248,169,241,23,1104,2288,0.007
a7eafa93c0c5ae84e22ad8a99856c2a85f33cd4d,337,35,379,9,3,238,651,0.008
d71f07c2d45272bba533dd58d7ba5bfd772c50f7,548,6,4,6,0,0,2073,0.008
906315544e8c58d35add63312ea034050b3a169a,191,26,52,28,6,48,32,0.009
e56bbec63bab70d73799da0bbcac5931ae372d31,75,3,14,3,0,0,0,0.009
5a9c303914528958498a3488fa89489224ce2fa8,163,115,92,103,1,0,9,0.010
666236ebc5eeb85748d1e0893c983a1fc145a29e,331,202,179,196,0,0,358,0.010
ebd1dd7046456b81fc787ead96aac99153aa1a33,-1,-1,-1,-1,-1,-1,-1,0.011
cc837862cab38200031f3cfa094fca5583ad8f35,75,9,42,8,1,1,18,0.012
6cfef92b1b41e3258b0680f368cb062eb2c0e2f4,364,25,363,20,1,10,159,0.012
f45c1f4d01d3f38e9032e1c2330e9971519abb0f,203,118,231,111,1,0,577,0.013
de3d9a1942b06046ea2f6fe9a1eb2c67b0737aa9,-1,-1,-1,-1,-1,-1,-1,0.014
ed718ccc24023ef1be1e42017ddbdfadacaafd26,-1,-1,-1,-1,-1,-1,-1,0.016
c10519fed97213dc74d1d96afec1746447bafecb,-1,-1,-1,-1,-1,-1,-1,0.017
11cefe6b4797a6e410ffa394e51551406dcc3295,116,30,42,29,0,0,40,0.020
96ca2a1f76c4c06d02f5d07af5ab799e9a01d7fc,549,104,1367,102,1,2,51,0.020
ca93b1c1e2943096a00ac5afafdcbdd7f339af22,242,22,26,11,1,0,59,0.021
09bcf4df6d04769770128e9b18b5a7299b165a49,-1,-1,-1,-1,-1,-1,-1,0.022
fb601fdaea831bfd85c11bbf136755dc6b5b0c32,142,125,147,121,0,0,35,0.022
bd71fb9666237e42c29d380fbcce08914cc08c7c,106,17,60,17,1,29,263,0.030
71512ea16a0d2d73950c47b97498c16e571d57d9,-1,-1,-1,-1,-1,-1,-1,0.030
625e4105280b2e9790c881b9496b503a5588d1f1,406,337,633,322,5,752,4644,0.034
84c1f1a6dec89a893d5c1cc67415836052743b0d,-1,-1,-1,-1,-1,-1,-1,0.034
9bbb3925cfb167452136c46426852f41276e0403,103,132,150,125,1,293,4505,0.034
04d522087d28d3a32c90cf7b115d0b047b977a59,301,67,265,71,2,79,386,0.035
52264c5200cbff398df18245b8b7270348b44f1f,155,81,156,89,3,147,62,0.037
beea6fdea2c97f71fb50d48d9c1bb2a71b5d821e,123,83,123,77,0,0,6,0.037
7ebbfb2916a8390344676eaaa507516dabc9b0b7,143,23,161,21,0,0,22,0.038
43f6286187b38e5959ee4dd747d1e0100f3c5470,89,25,153,24,1,1,412,0.039
791f24258373a31112658db2e86d73c7acc24c90,119,18,106,17,0,0,25,0.042
21e6adc9d44c8c87c3ca2da42f54484fa86d57b9,95,28,579,27,0,0,22,0.045
27abbd15d30179b589f47bce71b9149a9454e08d,9787,351,1099,319,0,0,5593,0.045
d86a34c1110ff10524f1d35a0ed8fd48fe8149ae,-1,-1,-1,-1,-1,-1,-1,0.045
88c002328a49dabe5116637257ea496e78566668,354,111,230,113,72,5897,1526,0.047
fb8e0cb7ff737b213d46c8ff4682b2182b72b946,-1,-1,-1,-1,-1,-1,-1,0.047
58af577083b76e3ace99a0eb302fd31f9b09b231,253,39,137,40,0,0,86,0.049
362675f430368b2d5cf0d5f13977afcd1eab67bd,454,279,170,139,0,0,27,0.052
635e1af3491e2b5d18286796c169f3e8d4c61cbf,368,49,366,46,2,69,247,0.053
07ced9bc7827a1873570240d8c092d30a094c4f7,-1,-1,-1,-1,-1,-1,-1,0.054
32a140db85a90a9a91ae9c43a5cad7e3c0e4e464,246,149,231,147,1,1,38,0.055
77cc6637bf968822c0d7a1afa8da6ef0edadd0a4,272,197,45,181,7,415,1784,0.055
c7bbaf03bb85e16d18efd0134ac4b804c8a09c0e,-1,-1,-1,-1,-1,-1,-1,0.060
422fc1c0eceeaa17038644a93c5ad3cb1d50688e,102,13,51,12,0,0,64,0.061
e0961c4d38df23906a736ee9ccfe723d7c7c2a08,689,85,471,86,0,0,46,0.066
8ff724724f9303b3952a4efb534614d693c76304,-1,-1,-1,-1,-1,-1,-1,0.066
904443074897955f194d5ce44aee9b0795a02e53,345,495,257,199,10,161,718,0.084
14c9419521efde443fb847490b7134f141b0ebd5,494,7,547,7,2,164,8499,0.086
eb5c65d62278425c94fba9a3950cd89164b26916,369,18,90,27,2,10,73,0.086
0b88d9d080c56bc645bcc8b77017f51b83505197,107,74,187,66,1,0,2,0.087
249dcf59baf0da6555895d9acccaca2f233c8c4e,251,141,127,134,3,15,610,0.088
912a96618693833f7f54f787f4caf66a45f1429e,233,77,119,66,1,0,6,0.090
52d186a59b358c33ae9b14d0f6f1d68bfcb5ef79,-1,-1,-1,-1,-1,-1,-1,0.090
cfd69ca524b9ea61a9ca71c9b0bec3f9d2381732,107,267,113,258,4,895,2142,0.093
7f5f73e23b51476747607b56b1099158cf8b4bdd,34,98,54,71,0,0,132,0.099
d6ac1154b6241268e7f532cc0526ef5df3071002,302,71,73,30,0,0,100,0.102
971c5f2daab18f8ddeb1e9b5af3592053b9aa5f8,100,123,419,116,1,7,5681,0.102
5db9975b70e53a7c8982dad88b83dcc24651610f,8640,106,1675,107,127,35430,11064,0.112
dd862f3eb26502fe3c60bac1c962bac4c8af22b1,266,310,5,267,4,34,246,0.114
7d314457b1f3421e3e05575d0508665ed948bf9e,663,29,137,170,2,2,357,0.120
5af1e5c341ffc3ba62c7df51f40077a4fdd947d6,36,15,14,15,3,0,37,0.123
7fa2f7a245aa85e198216be1398a29817ff32e41,-1,-1,-1,-1,-1,-1,-1,0.127
bab8d94a768534a4de5c64a49b4e0a39a8e55c8f,189,39,28,88,3,17,32,0.128
95a18655435fb2ab1513af387f3f876a141d7c40,-1,-1,-1,-1,-1,-1,-1,0.134
7f681bcdf7774095f38b940cd38905df75c3e678,-1,-1,-1,-1,-1,-1,-1,0.141
914700e14f7238664526d0e0a64a1b475efb78c2,-1,-1,-1,-1,-1,-1,-1,0.150
48dbc55b3652c6227533088c677be0cce8a123d7,454,129,31,150,6,353,697,0.160
3acaa98035e4703f45c44a49ba822f92b9098ba6,172,333,157,317,1,0,576,0.167
a9a6f7a5bcb1d61e1eee8503f4f712904020e354,127,110,203,107,0,0,38,0.167
bd8e71298da85b53d2f2a370a9a671a5dfb84175,150,19,64,19,0,0,3,0.172
5242701971104a3d1c056ac45f002c4edb6021d0,117,11,9,10,0,0,0,0.178
13e5121a1ea39d8437498bb385dde39091bc7c2d,199,44,132,43,1,21,44,0.180
b568d69e4d2e8f2be4a64cc729d15d43b2ccb6e4,2724,197,214,164,23,911,10575,0.197
6a7f5d9e8b4f740815c8c9ec90f524c2e68de96f,-1,-1,-1,-1,-1,-1,-1,0.197
e638b6f117bd422399d736f1d0a46ffd8e9c7833,155,103,71,102,1,0,85,0.199
e49a5c2413aac44f56189c3cdc9d66aeac5a0a22,863,60,0,153,3,21,1282,0.202
8f798ab2390046452bc946f64049bfc40d32f0ec,139,248,119,167,0,0,92,0.218
75dbc9d4e6381eb1fdc6515c2fbb71f06abf0149,-1,-1,-1,-1,-1,-1,-1,0.222
767611ac6fa9420bfe3badf724ba48138c3a2d15,86,1,23,2,0,0,8,0.223
8379d26f42789d248f894dafc3cfe1710e23ff81,154,11,10,39,3,13,82,0.225
2ab5bc62b8f67775459e6d0896756cb4d4722ba0,72,60,100,56,0,0,2,0.228
cfe8ab7ab8b1524dd4b50af787d8dc3c5490f72b,-1,-1,-1,-1,-1,-1,-1,0.232
ef6022e71f93347540afdb3eddb7d24c285ce511,681,76,1311,73,0,0,0,0.242
6d6f033cbbf22b6ff49ab0dcd5b6e150eaf06030,-1,-1,-1,-1,-1,-1,-1,0.242
1a04536614a1629595286c4580fdb056624adfa9,488,529,17,471,0,0,46,0.249
78309fffccbe5a739cf9c6aa9785f7764a5aa0d1,16,10,53,15,0,0,12,0.249
f991ecd1a1da3b10da87a08d2a66d30bb5d6e586,182,172,112,148,7,0,81,0.252
472a1031cd0257703eaeca398ccf590e567fafce,164,18,65,20,10,449,872,0.258
b61a10a719b8135cc3de63b440f6cd7d427e7839,-1,-1,-1,-1,-1,-1,-1,0.262
a69c3a3e45d51c843b70b3d652a3ee4202366f01,162,81,71,47,2,6,519,0.264
d7211ca0c4261f8a73b2daeb71ed0dcebf331c7b,74,599,171,551,2,0,3,0.280
5dae67d1b4f504fe283f2806df3768a52574c844,310,202,571,203,1,0,458,0.293
1c73ce724ace4b5d3da7f37d5533f3b7d93543e0,905,149,109,23,2,13,849,0.333
7ad2a929c5d87c4323a44213bcc294e0bdf88422,2274,131,95,127,0,0,7,0.335
210926a4fa6912a08306881cd7e28336ed4e7de1,0,0,5647,0,0,0,0,0.348
4a1f61d98771b87e7cd1d6fc2dd24573149e78c7,81,0,18,0,0,0,0,0.349
a4a2116638aa75475a30fc8057983f842dfed920,230,24,57,22,2,14,41,0.358
32259287d2e76f8b89b8d3ad186abc28d61a906e,620,228,284,217,7,331,2791,0.364
3e9e7c67fdd40842e9eb6edecce5ce07dfc72e61,128,111,265,108,1,0,19,0.370
c5dd6816377ca8ffbb81b97f6c535f60dcd14753,-1,-1,-1,-1,-1,-1,-1,0.373
88ed8b7a75deee9762725ca223b4f6cd1fa8b4c3,178,230,252,224,0,0,9,0.379
8cf95709f6d4c02d30aaf6debc98fc3da52d3cbc,268,969,187,692,4,0,44,0.382
e9acd16bc289b588a26be6e2d5d570fd49235506,-1,-1,-1,-1,-1,-1,-1,0.384
8644586907d175afee246bc56cbf8c5726c44c65,1199,1515,524,1459,0,0,3424,0.386
f2b491c6d67b0a5905e9f5343fe5a4772dd14721,-1,-1,-1,-1,-1,-1,-1,0.393
c61f458cf066ca6ea480dd2ca38354fc52046591,7462,53,654,198,1,0,8238,0.402
02554755370ca2a5168913cbb6734085a30025ec,246,1437,138,1355,0,0,463,0.404
69a4577d2232ae691a98a18717f0aaecbabe89a9,486,913,157,647,2,9,2252,0.430
5378f6ec151133fe56bb089174c891dc4068a300,133,181,119,203,0,0,1075,0.452
0ec3dc6f795bdd7c82f00d3cb6f2617b6aea19e0,360,354,49,248,2,0,5,0.452
073a58aa17badcf942d6aa8c1a0da94c30050b2f,9205,953,4551,328,2,1,3104,0.455
1f9eda5a52f204090c7fb778658ee7bb61b64ba0,-1,-1,-1,-1,-1,-1,-1,0.456
8a9683920872c3ff0113382f4d6c1de46cda305c,6244,20,0,18,0,0,249,0.466
9b89371e016012495275a030f7414d69b021ba51,362,180,201,214,2,0,0,0.473
25412f2a9c0a3040d674335d6ba306f24580a303,438,306,115,403,13,0,2,0.506
ef22076b906a6829c8fded47af472688c43ea612,270,444,58,424,1,0,6,0.513
ebee806824b455e743a3412a5c95213ebd310a77,57,36,86,35,1,25,80,0.528
e6b7e5a06aacd7b055f2d9644dbcda0f31f86601,-1,-1,-1,-1,-1,-1,-1,0.530
caefc91adeb5d8de393507ca1168cc96b963b46f,80,120,252,114,2,13,7,0.536
972fb95c1512bfb92570921a91b6b7a81e95f250,-1,-1,-1,-1,-1,-1,-1,0.557
7847a5ef71e33d6d6ba9f9e0980b2ce1fc136f45,1523,1,398,360,0,0,17,0.562
ae04cae04cd73ba3aeee31d8565b35733f9c4f9c,-1,-1,-1,-1,-1,-1,-1,0.614
41f2a5d0814cfbbcb9f7fc5164b3f68f99665691,-1,0,57,32,0,0,15,0.616
6df8bb8f08f61798617050907444725e353fa8fb,-1,-1,-1,-1,-1,-1,-1,0.619
2417a361f029f4ddf4efb92fddf45a070dbc6998,171,12,15,101,2,19,34,0.670
65ed7ea088d31dff3357b34683f77144ddefac9c,424,2,0,50,0,0,284,0.676
24aeea3b7a94827b170104af67d2ff1da2457b6e,2409,20,554,82,0,0,86,0.685
1bad447c21b3473d7a6c90322bd36cc41e7bd1d1,172,365,8,317,0,0,2,0.710
3578ce13bfb6df8e521d3fd74da12817fc21ea61,4047,242,124,2418,0,0,1410,0.730
