id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
255e3abf6f22ee6481b540b4e6072e6e823ae73d,1320,1000,958,469,9,347,155,0.000
10c3dcb8bde531ee786193a53f0ba084a88e0d4a,129,11,32,11,0,0,129,0.002
52491bbc3d4a025da297a4b0ef307f619812aa5c,6454,62,4047,237,13,495,7592,0.003
5af8e917e07f0592ee2088fa1ef98833268b6264,6039,614,729,348,29,3254,2822,0.004
be40641eceef6f174c4e5bcd2455baee17ea9d51,3147,190,210,326,11,650,1670,0.006
484fc192b009669608d2fe985e27c14151ae541c,707,48,287,53,1,41,966,0.009
d75ca7481b29771e9b63ca52ef3d20f6a0302f77,372,103,317,106,0,0,11,0.010
16fe8fd2cbafe9ccc014cc58bd1b63f797a624ee,-1,136,821,63,8,70,148,0.010
d9a5f90ec3f8ac10b333412102cd1e26257ca8af,273,47,151,48,5,52,1577,0.017
a8d26f984c8a119520055823a85067913891e73f,409,69,94,83,117,14128,173,0.021
05dc31fa7a4f2c008af1ca5a1cc3f0306e327966,171,189,76,186,2,52,54,0.028
0e28c89c43ee63f7ef71314968b09e095e4130fb,168,0,64,1,2,25,11,0.028
8d7cc85a06ec3ecf8aa7525c770301200b87f700,517,203,401,199,1,33,742,0.030
7b58b63f58965fef4d5d7ba26b4adbed1b5cf84e,148,33,20,6,2,3,246,0.032
432bea3381e0a81bbe5c1623c135252e41cd312f,-1,-1,-1,-1,-1,-1,-1,0.032
0859f488f074d09e1b5916b30db4e329105d2cf4,189,20,154,20,0,0,233,0.032
24bb3e9cc1bdff61552bdd6b7344d95802636748,294,336,426,312,7,81,7,0.035
922b724055773a77737eba4bc2287eb649f5081e,233,216,323,203,2,31,2139,0.038
4451c3ee51022de17c8c1a77fea921dcae696fc3,68,36,132,37,0,0,775,0.039
fb9c509a72547953801ee936ee3179081229b903,-1,-1,-1,-1,-1,-1,-1,0.040
ea9bf4051256ff7ba35201b482c27598d5a03993,1127,288,1003,299,0,0,1384,0.043
71f0509f1bb9db360c50eb338d0572d53b940baa,470,173,528,168,0,0,631,0.045
2accbe00a51d3c7d13c240490518870ab3d2a25e,438,29,285,27,0,0,796,0.046
5406e991f23e6e6fa5ff22df3568c5313d3f848f,941,126,79,34,3,17,41,0.053
14b788d23d9488e34fbeb308f3dc3e5a79d8dd99,189,24,0,24,0,0,18,0.055
39c440d6cdf72a3ecd16b2950a786f3ebcbdf915,740,173,1166,167,1,0,138,0.055
2095432dc09f4c189746862d03f78e28bd2d02d5,99,21,146,22,0,0,1,0.056
65423c031c5c0b4c72d2e313a565aaa08b059adb,317,77,242,67,11,460,2154,0.056
0465dc214934f305c5af14067beadfc657917c5a,259,86,223,113,0,0,158,0.059
5da64d7af2db7aae1b1238614228ea7ce8f8f102,110,14,72,14,0,0,0,0.064
bb9765aeb9b1aa705c9997a459795000a5c9ae5a,184,53,244,54,0,0,27,0.067
ea3bdb79ab4d3ebd9d9855b796d8834db7e62518,-1,-1,-1,-1,-1,-1,-1,0.071
335ecc19f81bb76ea1dc89a1e75dcfffd98ae58d,-1,-1,-1,-1,-1,-1,-1,0.071
abe7f3159becd1e1bf9618f056e930179ae7935b,538,12,572,23,0,0,12615,0.074
48e71ba9ac9893867a1018b9fd3f1542ff088c65,245,254,187,245,1,16,33,0.081
8bacbc39c7fe064308e739e7ddc203bff2116b20,465,94,351,91,0,0,19,0.082
a27a1b9b8ba37265b42eaa7d7106ef6011d8ed71,84,180,47,123,6,28,890,0.082
9a6dfb99bbb964d650d5034641a5889bb2076b84,-1,-1,-1,-1,-1,-1,-1,0.082
ccd97156140e14e04974e683784e449c13bfa0e6,1672,40,40,40,13,1595,443,0.082
e95e4c3858e03d5edb3bbde13d0ecf3c9923b4f1,548,1091,170,969,2,0,5755,0.085
1dd4bc8e887851e6af39d3ecc1c7b554dff5dc18,-1,-1,-1,-1,-1,-1,-1,0.085
787e23de56a0be30fa8c1634b5c1e28fe203ccb2,507,33,186,31,0,0,1807,0.086
0cf62a3594660a54e327f830733a1a075f27e5f0,1641,150,937,150,0,0,1132,0.088
de8f24e6f14f9b4e75aef453faf0c73a3092b7f4,176,40,463,35,0,0,1458,0.089
bac47307c65f81b1a855e278b49b4eec7a5563cc,-1,-1,-1,-1,-1,-1,-1,0.090
e89d7bca6b409fd1e1962f391e76ac302d29b819,156,9,424,9,0,0,546,0.090
d7be87c36ab0031da667c4bd930a1044f9bd3b18,167,250,262,284,0,0,8,0.096
4952b757e387bc8fcf4df421398e9c5b778f11c0,27,5,0,1,0,0,9,0.097
17ceaa1d678ed2ce76d4833b5c71f5eeda3cd3cb,316,25,132,6,1,0,2,0.099
29df4823818ae7f4f65f5f38497d7f9ec7bfbf48,223,200,98,195,1,83,291,0.100
c07d4c0978a10ade1b670d8dc1b082950f178c8d,126,140,240,139,1,7,24,0.103
c5abf1b0c22b31073311fe03dce5fde0a6e5f50b,208,43,331,45,1,22,1742,0.103
59a94fe6db6e8991fb6f97d5383dcd3ca377fc5f,-1,-1,-1,-1,-1,-1,-1,0.104
