id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
f6dff8da13c6c1d6e59074697c75b5c0219b8116,7718,5,1171,2,5,97,8310,0.000
29e032a92a15f57379b42cda5ea3e073a8513e0d,3298,70,522,72,3,430,435,0.000
a06581d30494bb502891916d3df5ddd4e4418356,-1,-1,-1,-1,-1,-1,-1,0.001
5cea825859410e5d7c0c1158c05d0a7c1b82bdea,3856,46,157,48,0,0,603,0.002
657f5115cc99f5729de9bb217b87fc58a5800045,1258,97,63529,96,0,0,518,0.005
2da9844bfb657681f86e156726298133b58d06c7,6311,41,210,31,11,237,5498,0.016
a34a8f7150e6e812ca11dea519244cd11b2fe79c,36,12,18,11,7,8,7,0.017
62b90d2b940aebc90b9bc20af62d390f66370c6c,-1,-1,-1,-1,-1,-1,-1,0.018
f5d8e0499e0705e406be18cd7b4ec67afe7b7ada,296,170,532,170,2,39,11785,0.020
33647fef7c97aa2e74bbc1e760ce4f1cbf95f96c,1959,285,471,264,0,0,1085,0.032
9e7ffd402f4405bd8bfa2d8b199ccdd62096c74b,4010,289,107,143,0,0,148,0.041
544dfdda633b3d122eeb752418c62e809520bbc0,7491,8,1469,10,3,73,10369,0.042
9530d1a50f2f8c3c50b885dab658d92dd70baffe,9820,21,12061,24,0,0,2971,0.044
32e772b29fe9003ec158ecf30c04e657f4b2d3c0,303,62,38,60,4,59,3387,0.051
625299dce248029c4cb4e6f69bce738a58f8f62a,129,163,98,148,1,0,8465,0.055
00af83b93534b8b6fa9b81b1d8ecfd13113c6a9d,93,64,2404,62,0,0,16,0.062
5d01eef1cd099dd987e2b3ff8b90c620f55da619,68,23,538,26,0,0,39,0.071
2ebc34d65237bb2ef5a1eefd7b9aa5fcd1338572,2239,0,11245,0,0,0,597,0.075
f1b1fea4e2a3bb5a3f0e563a008e4ea4f8b76e13,99,129,97,19,0,0,29,0.087
d46e0e3e4d0345ba0fb23ef973938f2b87b3efcf,55,149,75,147,1,25,1578,0.090
807c44a34c32868c8c2ef0852379739622ad439d,282,38,0,32,2,3,142,0.105
6985660678d783d5e916f552ed2afd2e69f549e7,136,22,48,24,0,0,22,0.113
6a54ab3780902da9d4614dcd06d73e4dfbb3765c,-1,-1,-1,-1,-1,-1,-1,0.122
89f2f12db5decebafc3b3d11612376e2f7da7088,6366,119,0,256,1,43,277,0.128
e7376416c2a0103eaff2ff4ad5661765fead495b,42,15,73,13,0,0,280,0.136
58d0c6656ebd328c671b00e0143a4c4a11b2090a,254,72,664,69,6,159,7,0.141
cca8b762ceb357a80688055ed26de5fedd5051b7,269,151,266,144,3,130,88,0.143
40ef283d763f5e5ac93a3865c21c80cb3bd58cdf,133,312,181,298,0,0,5,0.150
1266e0158399f3727386a4d43d718d58b92b9d9b,185,2,171,2,0,0,0,0.193
81e4859ee8f2c7311574939d729ff028ab41dfc4,-1,-1,-1,-1,-1,-1,-1,0.198
98e8c04ddcbe5bde5cc1a1af92733d3bb18740a9,4830,4,12061,4,4,408,2567,0.202
36cd09fc32420cefef6c30cae8f185774f772382,75,376,294,360,11,387,175,0.205
e235dd08e39394f82242c9156bba3cb1dd542970,85,134,619,133,0,0,7,0.214
307d14af8b099aeaaf46ff3ac1df4f053d4479af,6861,1,1799,2,0,0,31,0.217
a32e400a1247b1045da695ab743e8e837dd9a828,48,110,77,106,5,55,322,0.217
261dd192f5a5d040a38a07b165004b4df16b8877,135,262,279,282,1,0,46,0.220
a823ce1f91bfc3b50c80316abe903d03af5c1e5c,173,55,208,53,11,175,1053,0.221
1c5883b8170fac39c126116b00d41b251cd86ebb,78,39,115,36,1,4,1,0.223
297a14c9b32b6bd5ca9e9e1fb562233fa123c52c,32,86,33,86,0,0,1,0.225
4a5e48c8badc5062022c398a03a48e954ff2d8fe,61,58,65,54,2,2,6,0.237
04700e51a8c0e1e5b7bc69475a6f0ed3c0ec1885,4313,66,1552,57,2,21,88,0.238
5858eb8ad323a5a7853ee7c0cfc410df07b31d4d,6119,2,17000,4,2,0,204,0.246
022c5099e1082e62b49d90c65f9ad62271ae33c1,-1,-1,-1,-1,-1,-1,-1,0.246
be078fe399b7977c7e3907c6c51750fdcbe47e7f,8944,62,9233,141,3,73,9242,0.262
6dd62c41fc9cd7896616b392a015994a2d34b2a1,388,461,250,171,0,0,0,0.269
4c047caa668a53ad4bddccc99062fd5cbfa12831,534,16,2,44,0,0,1984,0.281
fabe0e5b02728f4107bf4e7337478cba2e20cf67,110,62,511,61,0,0,25,0.289
9ea363fe1c34bb1d284f96284280407fd21ead5b,48,20,34,20,0,0,2,0.289
ffead425b827ef5a6aad46fa190c44190b20cc50,-1,-1,-1,-1,-1,-1,-1,0.296
27d6c089492dcaee07d0dc220538c16207de4041,4458,4,22,0,2,21,306,0.298
3ab036eef12113060f2d950001f1d71cebd40c35,-1,-1,-1,-1,-1,-1,-1,0.300
7036c720dda89dfceb7b6ce875343b2019b604c3,109,67,181,56,1,4,4,0.327
52fabc470a9692409229fee042d0d401106f4418,6211,5,38,6,0,0,125,0.342
c21e9e796dd2af05340797e091facd9890c780c4,47,0,35,1,0,0,0,0.372
bf5d38f18bcaa22d1df7734b2e7cfd5f2058a754,374,17,4,16,0,0,32,0.383
1b379994e2a4eb73518a0783e0ded5feedeb7b7f,3362,3,113,3,0,0,584,0.418
65f5031fe9b7c483b4815e6594d6dc0172d57eb4,-1,-1,-1,-1,-1,-1,-1,0.427
