id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
b3ddbd8916c92059c6081b4408423fa34afdbe14,-1,-1,-1,-1,-1,-1,-1,0.000
f90807b8fc4bfffaf239d7b99ad9f9a3cf8b440a,268,92,367,93,1,121,579,0.000
4b7f9ecf1ef40de06380b7a038157a7910b09625,220,56,106,57,0,0,365,0.000
a6a5c3e26fa690b8544ff3897b10650b8cf72c5d,136,32,96,32,0,0,650,0.000
690e44edce07552d6c4844c8fef2e59f45f00819,-1,-1,-1,-1,-1,-1,-1,0.000
06f326169c5945821640a1957eef416d02340410,702,249,1142,161,29,855,2165,0.000
aad8df150fbbe43ab0740f6453a6644a59f38cf9,705,76,273,91,0,0,966,0.001
d7bfebd836a3928ad00bf612856960dfe8b4e1b2,5430,520,635,225,1,0,182,0.001
1f59921f116b96ed0aefd3b84349be19d17d8a3e,262,35,165,34,4,142,432,0.001
ff88321589e326b3bc314ff561192c22d0e364f6,529,56,102,68,3,140,1457,0.001
f4da95943a8fa525fc6956e8df3dabb17eeaae66,373,23,157,23,54,1901,58,0.001
31f9a36cfccb3ef269e315b968a68092952502b8,1040,885,298,199,12,384,2451,0.001
a7277ae4210a33d15d603fb77392deeea44cdbf0,856,27,51,25,0,0,179,0.001
1805b17d836f897031c125fcb370592a1a394423,153,24,504,31,11,782,15,0.001
08703ebf1353fffaa75526a85132066d6216c5f7,331,78,93,89,2,36,1500,0.001
92f3f8818416c89b9dfc43b4d85037b4c901b14f,351,276,595,271,1,57,1330,0.001
ecec335f1b608cd561f9b443b607a84aca1e0f00,556,7,44,12,8,406,978,0.002
61706821f70cae8eb2255b8b6b58f8766a2c02ba,-1,-1,-1,-1,-1,-1,-1,0.003
714e587f126aab07b6cab7ec5ea7d32c39a92e0f,230,54,319,54,1,67,862,0.003
c1a0dca4a8f647bd5463b0765ace0d37f755e94a,305,68,617,67,0,0,1318,0.004
bb496a1235545d5f142e412d34366556bfd5aa5e,2192,237,232,559,2,3,555,0.004
9399a363aaeb343951c2e0a8a46ed1b23cee4660,2036,272,1126,275,13,405,4426,0.005
a064dea3c37fd740fed162d0b63830e6bc7e09d8,2832,13,524,15,1,79,128,0.005
9c253e53b065e699e1fe9447eb6aefc5ebb71b8d,93,17,177,17,0,0,11,0.006
beaac8ed9687dc85faa8a67fc7f8d17247c9fc73,132,94,279,89,5,92,174,0.006
89244eaf987dcdbc9e8d06e23ddd28dfb926c6e0,169,62,96,61,0,0,575,0.007
e3d870ec588eecd751aee4acc5e07629af29f622,364,17,135,16,2,13,332,0.007
853bfda89af6119d294a15fd64d78e1b3c724a13,722,286,44,82,1,0,2562,0.007
1f9027d7a8c73f3c150d3453f3d93f535252be51,-1,-1,-1,-1,-1,-1,-1,0.008
40271fe5196f118c3974cb7fa55316df0d0bd97f,511,81,140,128,2,12,783,0.008
68b5b5841d5b113f609b69a0dea48b129d1aa63a,-1,-1,-1,-1,-1,-1,-1,0.009
1672e50f18e71e85f57584c288cc6a7f6f781615,5717,1000,111,212,27,3468,2896,0.010
0f9a2fa60c2e21d1d55cbdba4dcc3be8057e7d58,213,4,11,6,5,38,236,0.010
08dedcd03841d5d002c998ecd40cc59ecf354ead,209,122,247,115,26,1606,1199,0.010
eb4e5353fa27de4e017fdb2062e81129921e24a6,427,590,392,406,0,0,1742,0.011
f37b66a6df9e65ecf5d011099d47e12d237568b4,475,61,133,60,1,0,98,0.011
620645f87f35e08ca961189aefc999f776dda648,10,4,23,0,0,0,6,0.011
8baa7193fe906d7cd38c912ddd84d4f33c5fe1cb,668,91,259,89,2,82,456,0.012
166d0d0fd8354430d64ea1f0870982204bec87c6,338,430,312,409,3,74,1140,0.013
eb32ec3c5e2ecd0fb83e6e588ac39141b8a1ac40,1942,176,216,176,0,0,1350,0.014
2d5bf4e0f780ad591efca83abb346aafd1d9397a,20,0,5,0,0,0,10,0.014
4c7be171da62350acfa2516edd97f50f36e096c0,82,1,20,1,1,29,25,0.016
4e0e5eb2a0f3049919ac52567aff08e3eb7875e8,-1,-1,-1,-1,-1,-1,-1,0.016
ca9aa5e0d2c669e3c87c5151842c013787f8b5b4,79,6,65,7,0,0,177,0.018
