id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
9b988f26e6140bd10c2fa75772025e3f35a96f32,1226,21,272,34,1,0,337,0.000
407eb3f667cafd252a2f3588429a3e7640026a2a,60,75,88,34,1,6,42,0.002
ef5153d45fd4b6f2dac0ccf1c59b7f974c17e68c,286,11,2226,10,3,88,4,0.010
2d918272acc1c85c1c0d8012d68fe299feaa761e,-1,-1,-1,-1,-1,-1,-1,0.010
e6314c65d63777a3a09e3fa7d11704e03821dbd6,3805,37,206,809,0,0,65,0.012
5949f1c15b15a8c3be0e0fec9dc2b11e63513960,4423,305,144,278,0,0,97,0.014
759559c2c7dcdc552bc4496cfcf611579cb0319c,-1,-1,-1,-1,-1,-1,-1,0.017
1bebced4c62dd62e5c047870a4633f0b68694afb,9989,0,9027,1,10,346,4793,0.017
9669a9b47e1e100a42e5f18541ca3c1996d7b41b,307,138,668,131,1,113,290,0.020
ba1d5f32e01cd3190b1ec3dffe0294705203050c,171,73,23,28,2,52,628,0.021
264c2c7da38d1d2b8d1c6f8132ccc15211238e78,290,49,221,48,16,539,820,0.022
c5ad6891bed80f94c79f505aa3b39b424861350e,2197,660,100,1615,0,0,11629,0.022
c9be6e9f1ae327458e7f3ccfde378c694f4b6da8,291,56,213,52,0,0,591,0.022
83a42a645fde21eeaba9ddafb927d9939762bdaf,1077,137,134,48,3,176,273,0.023
0a33c45380a05184328a86ae8182c567147fbbb0,389,142,940,129,1,16,224,0.023
74e4f376ae082d9888860602ba1a76595d72947d,-1,-1,-1,-1,-1,-1,-1,0.024
03e9dd09a7be1cb42aa21ad6516224df485e143e,3082,170,833,1399,5,169,4231,0.026
b673d764e047a7e095faf17c3bf64e71d8182f11,590,16,123,14,2,38,19,0.029
fd2078d7049dd145f78c7fcc0619d84696f2ffb5,-1,-1,-1,-1,-1,-1,-1,0.030
3d52d20776591f8a12ae94221177afb2cf701934,-1,-1,-1,-1,-1,-1,-1,0.033
972b29d64a2ca751c7ddc6456bd1b90a4b91b75f,360,86,231,84,0,0,1321,0.033
9f6de748c28a7dd0ee2caa84221ee091f1d05275,326,103,173,96,0,0,79,0.033
94adb6b00bf8bb12537bdb03f0a96aef55f000b2,324,159,85,44,2,71,275,0.033
0328a40cce338a4b9060ec58f8c8015b4f4ff72a,5330,51,1036,566,6,108,831,0.035
30e123d019bbd22858d8e9dcb0245af21e5ba921,228,160,55,154,1,12,0,0.037
728c0516f5691fb1659e9fd6a0e137529c594432,452,84,149,81,1,1,256,0.038
1da32494a24b65bef40b68c40039bd560bee10d7,-1,-1,-1,-1,-1,-1,-1,0.038
8194cd88833924295fb89246c29527cc75a7715c,6085,46,2,127,2,92,1370,0.042
