id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
d15313ce44dcf6be534c9f28c4a9fc99f40232a2,382,221,444,80,2,81,3759,0.013
470187a4427fca92e067e515f8f98db34ddfb243,757,136,1,133,5,158,46,0.037
69a2bb4906f4647901f04906ea000b4a33fa1307,117,49,121,45,1,0,2,0.041
5c4cef5b3e2c52047b7ddc038a642fef886c4c92,1087,6,301,25,1,0,59,0.041
ee94b80f4d8764530737cd6fa177ff3f19715834,101,312,516,170,1,51,358,0.042
2e5195ba0f67981bd1e48cc5ef6d660acefa9ae4,1010,234,2695,208,0,0,975,0.043
8621de8d168b81664d5a19a405269342493e06f1,1476,163,1125,141,13,1818,3604,0.044
498404dbda1e6913e019685bde5d2004c3c58700,1742,33,352,44,0,0,512,0.044
5a55d9f17025b5681fbe8d8244b297ef48f4663d,420,11,780,11,0,0,0,0.046
60b896907c004f1c96dcdf2b83bb7d4de4961352,841,71,332,101,1,8,272,0.049
4b752eb999acf0b02c1dc7eab2d167faee422a98,583,77,812,79,2,27,1436,0.051
2ef8cead076f276ad5f2b6c54afe9aecbb8fca0f,312,40,263,36,0,0,296,0.074
6953c9b27b3d2cdef1d4ce73fc97faecaa76fc75,-1,-1,-1,-1,-1,-1,-1,0.074
b66a3d04654df909e9392747a19142b8bd14fe34,201,46,273,45,0,0,67,0.074
8b05ececd6bfdb08ec498621c976bf3e002e962a,-1,-1,-1,-1,-1,-1,-1,0.081
a1f98306f715f5cef51fbf072502d4079df8d35d,-1,-1,-1,-1,-1,-1,-1,0.086
d349ae0c1400d30d376f41f79d26f2cd006225cf,348,117,208,111,0,0,209,0.126
29b1b9c67dd5084ec26c3304fb8d3523d464f351,830,48,168,47,1,22,25,0.130
8077bae1e160cf8f6937673d97a75cc22b7ae225,231,124,124,121,0,0,439,0.133
c1474a38b5c3852155caa3d9c197a5084eaa0f0b,590,11,111,12,1,50,368,0.137
5c959d6fc8dbf28b526241acdb0bdca4a15dc85a,170,133,278,108,0,0,493,0.143
dc38e7308a68bf5d0202f4178f6fc122826d002c,-1,-1,-1,-1,-1,-1,-1,0.145
ded63efce78f8026944cd47685d9098fb403e9e4,181,25,167,28,2,164,62,0.146
847d8337857b71e222f22c0a139680fbb3359b04,-1,-1,-1,-1,-1,-1,-1,0.154
c5ac8a93ddce18af9b08d326e4170d2960ea95da,444,363,97,344,6,397,2580,0.164
9d85b85fc6d7c1a3b734b87281ec78bc02e114f6,179,29,1158,29,0,0,19,0.183
50eaaa4b31e20d840d3c2f777c0f5c413ba546b7,401,68,62,68,1,3,14,0.218
e816e673ce127a56aa9344bb5d1cc0d4a47817a7,231,22,189,20,1,0,12,0.229
d1be48da10d3de433cd3aa672a47e2a6e7af869a,158,4,290,3,1,0,9,0.229
5c31d371d1bea7f14d93b55b7c37cfd58c5b6a63,218,41,132,54,0,0,1661,0.232
c9da47c262bd82ae546099a9e7dec15d8f22133b,-1,-1,-1,-1,-1,-1,-1,0.233
3251cda555921a0feaae8e428d99bc1ea0c9e0bc,183,135,123,119,0,0,7,0.234
3923875ed096871763a4c47a5b31dcf1a40de7e8,240,65,206,62,0,0,31,0.239
64131cf1365f6100ecd9bf51f69eac21512563ae,202,56,86,59,0,0,55,0.250
803a0a6a530b31293175569463b5d75904b3d1f7,347,95,748,93,3,52,59,0.282
1cf0b3dc8460493170767108fd73f1d0fe8a2aef,25,253,311,248,0,0,9,0.287
d95d0135029e663a0b944adbc6b29bfcbba5e251,76,191,1476,177,1,0,12,0.325
efc892ec200a640ed85bf48848e793272367dd21,393,194,234,192,2,0,617,0.344
79e0d755890674a589963ded0a4a911c10d31817,-1,-1,-1,-1,-1,-1,-1,0.361
63f5b35d1dae132be3793a6fa69626ba0d9431ed,49,7,22,6,0,0,88,0.438
b85ad776b7fb7a44eb1f85295680cd2db0f8e206,313,122,163,133,3,9,223,0.503
e08e9414406fa1ce62e8332018115317f67293e0,-1,-1,-1,-1,-1,-1,-1,0.523
6ebe7af6fda429e83096cd76220a6a75067976bf,-1,-1,-1,-1,-1,-1,-1,0.548
19c31f372c359863c817683651fd57ccdae3d917,-1,-1,-1,-1,-1,-1,-1,0.567
e09a8db1db3b41c0e59e66dd3d64f62c8816ce10,-1,-1,-1,-1,-1,-1,-1,0.570
087530479a2e84eec13e354f63a0ef08885a1891,151,9,6,9,0,0,1,0.599
857ce32580869dea4c03056a86b3a190e09ee60e,65,98,20,96,0,0,5,0.688
46f2b320199b13410abeffc57033a0c69b70ffdc,-1,-1,-1,-1,-1,-1,-1,0.722
e983afb1ffc8d624a1c07afbe1935e4e9e6d3c61,-1,-1,-1,-1,-1,-1,-1,0.869
61631e0c4c9fbcd00604210559809cd25dfc25e1,3066,175,2,420,8,424,2464,0.913
