id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
8168cbecf3880c1d97750792e6082d59db4f1530,134,12,34,10,0,0,213,0.012
b386acec5e80261ccb64a4bc1e5d1ade4b998ea4,177,19,71,15,0,0,14,0.028
9a9f6400a2c25dbe687d77eb6cad707243997d10,182,90,222,92,3,42,2810,0.065
e4de8ec4b78e8dc8691b437a5d4a99759db0c4c2,79,10,53,11,1,200,510,0.071
37b87c662db7040938cdea320fb4fdde11f9850b,73,11,39,8,0,0,20,0.072
1ab27bad9fba050329df3ef53b033992e2459a94,803,71,437,71,8,63,517,0.078
fe9e69606aad681bcc8a72b7aafffaf00ce2f279,298,236,188,218,1,25,3096,0.119
d692130753c5555eaafe16df94a5a26dbf7bdfa1,495,54,151,55,7,107,2331,0.137
8d9c7fec4728c6aea30e767b144d77c84ab89260,288,198,96,182,12,87,423,0.145
c6715e9f287a533b60e855025b7eb378e8a3c983,209,247,77,199,0,0,504,0.202
7ab2e05eee647b90bfdde3e162b8e4b7d5e7c6b3,-1,-1,-1,-1,-1,-1,-1,0.223
9652d0b693bce3561bef38c1baac830fbf57ba12,-1,-1,-1,-1,-1,-1,-1,0.225
3fefd8318d2444c9acdfc913aba14cc0f5190912,124,271,2,115,20,71,613,0.226
41e12bd6a5441201532cf731fdbf4603a83ddf73,104,165,278,143,0,0,4,0.234
f2b7a0dc28c06d43bd4dbec583539183d26ed27f,129,55,94,53,0,0,466,0.251
c51bc13636bfa964dc26f8d71b791de9c2714d74,370,17,680,18,0,0,1,0.270
ea7498720226b808fd1518c357a92a795529eb1d,-1,-1,-1,-1,-1,-1,-1,0.276
f566df47841560a4a93183bf7a3fe3bf91852c2e,228,44,109,41,0,0,232,0.291
d0905093eea9c756dcd86601d6d3fe8b541ec78d,-1,-1,-1,-1,-1,-1,-1,0.297
1b7a357c63d503e1934dc956076d5dbf19542bd2,-1,-1,-1,-1,-1,-1,-1,0.300
0d2de36444603da06d5713b4e8844bc86f8840d2,-1,-1,-1,-1,-1,-1,-1,0.305
ab711d5a26cd968a06bbcdedfbd2adc9fd79cd1a,68,52,63,49,0,0,426,0.332
af81bc8c36fc622dc48389f8b6435294d69acf87,98,42,24,44,3,85,16,0.341
3f6980ba84a8a6cdf3ca9f1d3752569a3ec655f5,108,18,23,19,0,0,81,0.347
22cfd2e1e9bddb258b9d490cecf1c726bf35c566,1490,1,3510,1,4,8,292,0.347
177d770aa5dfefcc1a55f8e51eccb7bc2039fe73,-1,-1,-1,-1,-1,-1,-1,0.350
bb6c9104aa4540b1999835652bee131ebf403ee6,-1,-1,-1,-1,-1,-1,-1,0.351
d3c1f27ea4bc2b9498cd4d3f89031aa20cbc4b2a,-1,-1,-1,-1,-1,-1,-1,0.355
0688146536f937b22db1b2c1baea95231dcef12b,-1,-1,-1,-1,-1,-1,-1,0.356
8210c0aaa130e5b949e7ccbba4ef423fce48ce84,23,104,3,45,6,33,236,0.370
b7599bc0f19a95ccf33ec4ca38f7146faca9105c,3334,202,97,181,3,0,0,0.383
8a7cf273bb86e6cb92c5076c531d92c512bf8a6f,66,71,28,72,3,0,9,0.393
e43435e8a8a918496942cbb3d97abe09dfb6a296,25,29,6,21,2,0,19,0.402
5f928353959ab2e15591e5638a3aedb0667c814a,97,6,85,6,0,0,11,0.405
784861f8e4415d7ad6add2f1404a58d363fa2511,174,35,88,37,0,0,58,0.407
c135ad400cc933148e144ecc9a5537b85434c514,27,315,50,167,3,31,2617,0.415
e2106f4dc525f634ef442ad2da1daf9fc555f9a1,-1,-1,-1,-1,-1,-1,-1,0.416
896953b54dd1ddf7b07ff99bd0f59ae3fad5ac91,82,634,77,583,0,0,5569,0.440
6d0a4b2fb5ec4d1703d567156ecc28e6e1b5f390,94,86,213,85,0,0,1,0.449
6493307fdb3de362e0d9b57226d5afcb6a52a01f,-1,-1,-1,-1,-1,-1,-1,0.458
ddd8f38edf104b24d458def7ef0e39bbacb64ac3,-1,-1,-1,-1,-1,-1,-1,0.460
2e2aece2191054f80a513cdc5c2aefe5b1ef8dbb,99,366,7,349,0,0,397,0.464
eb3cf23cc8eb763c9ceaaf0ef0c8a5dfc6c94df5,630,42,45,65,3,13,3263,0.483
7b469aa25f6595ca513b5ea8664d11c96ad7160d,-1,-1,-1,-1,-1,-1,-1,0.486
606d98fe6b43dc3f32d206adc68fb32e71712e05,232,166,53,85,1,0,222,0.490
22699de6ef151d0e5c24158adbdf2ea9a87b8a62,4587,8,2,7,80,12202,1622,0.496
