id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
790df9373800cb39c81b32d865e4d008af0ce986,-1,-1,-1,-1,-1,-1,-1,0.000
a74a071fb7674b3d7f3c1b4ef20367fcd06f90fc,1660,190,324,220,1,17,174,0.003
ef502208ca92d6679b1316ac1340af9f16882552,3455,267,3648,252,9,4794,7301,0.005
1f2ab735e8a04fd5d41a65ca3ba54925033fa380,1137,117,402,144,8,152,1733,0.006
fc367b86a06623a657eb76dd583448a69e9a234e,260,19,111,21,5,370,1153,0.006
f9f42239c02213bc8afaf41c05851aafb68dcad1,1766,618,720,128,6,364,2969,0.007
deb0c000e2b899b560688f675b038ad2c1bf4e4f,537,115,260,119,0,0,2947,0.007
5e95babe7f8d5b27bcb8dfeb16c9b0875d853929,646,77,252,112,2,350,2096,0.008
a4b1744bdf156c717eb42d145b3a5f94e30262bc,3108,68,206,66,20,658,1226,0.009
86bdd25f1c5d4abf499167d35836e8c9d0ef86f4,3961,560,2435,593,10,745,1790,0.010
b23f0f55dbc33dbf4d26863920d957de398c08d8,-1,-1,-1,-1,-1,-1,-1,0.012
24c34eac88e252bbccf83ad7664e4d4e3e43a737,91,45,123,44,0,0,6,0.014
9e8c81f7274bc259deb78298ccb78ee06e2cef5f,189,70,83,71,4,94,1297,0.017
fdaeb21e4693a2ca02233e2fb8ae97e5c90f3d9f,-1,-1,-1,-1,-1,-1,-1,0.021
fe3a9be749c05a1a7ca865ebed620c092c4a6f9c,223,92,34,53,2,76,250,0.022
0dd1f70ada2e47147bdb7586007e46bb569434bd,383,43,416,40,1,38,22,0.024
e533a82d54ddde9f4b7cac58093a175553abc12c,156,115,43,120,20,2738,3192,0.027
b0ec2acfa84b321928aeb1d869ac5e96b288d36a,146,36,93,33,7,114,650,0.028
c91f372d54885b668306857e13ed7417b82437de,546,646,705,640,1,0,116,0.030
acfb2d8a73020f0e8eac6eb3af9c30cb89343fbc,147,19,106,18,0,0,122,0.030
3fe4e93f935513dbcf92595d8bed121f7a2b1f81,139,52,47,29,0,0,299,0.031
e4cb4f172afc9dcd5c8edd5782750dbdf38ea4af,760,7,275,7,1,7,20,0.032
47182ab156ab846b18a090dfd87e9b14eefca85a,391,189,1212,171,2,31,272,0.033
18879cf8600d4f0a4693604fab1f7dc78dc23df6,726,208,389,207,8,140,1365,0.034
54899e28da18dd7cf8d5231d708df421dcc9c1c3,184,-2,38,11,3,14,280,0.035
31784719fcc00c17d90dded679438bf4d60be323,316,53,427,56,0,0,23,0.035
73d02f7717ec450bc9b2458dce498f7345ce1489,8,57,12,31,0,0,0,0.036
265b1f2ae7e4d8263251677f3be3ea9c6a326f47,124,55,61,51,0,0,10,0.037
eed8e8d660164b74523237d0eed5e5295e1aaabc,1506,472,9,95,4,106,697,0.039
b95c4c25819ef26a5c3ec06729227c26204cdd38,27,131,322,124,0,0,437,0.048
32f9204998e7998dcc8722f24cd2e1ecf11468d3,155,36,83,35,0,0,18,0.049
6609d0ed8a3c0becf8bddac4833833987434f587,-1,-1,-1,-1,-1,-1,-1,0.050
19d1e710a4920276e7165db2e7c9b7aea05395ff,174,82,184,80,0,0,3,0.051
05c3d8c43bd606742dd2bb657829a2ad48faaffa,162,66,104,65,0,0,209,0.053
69daca5bf33090dabbeb589ab8e66dae9e8f59f3,125,165,3140,156,0,0,3,0.054
20a624ad8a13a4002bc513ef6c02b9a5c878c46e,163,326,146,144,3,57,172,0.056
535696a4d566f6da461966c1a991ad4fe8b6b9ef,58,142,397,138,1,0,8,0.057
0afdaf079371172496713b930484d36140aed943,5783,59,150,49,0,0,2774,0.059
f42cec30f3614cf8ed7998dd04dc1252fb7d9da8,37,26,86,10,4,25,184,0.062
52eb1ed4e5716aea412e1c33f319e3c320e7dfec,43,1,11,2,5,79,8,0.065
26f60140c6a55b7c1c673df2a922a2e471a767f4,23,169,1006,158,0,0,863,0.072
5f23f0dc4c180497bcd0d7ed3a3a3b693582ec04,84,37,214,32,0,0,3279,0.079
c8afcf1485fe09d7005aed613af5354b57eed25b,143,42,154,40,0,0,231,0.081
a990b0d550692ca9495f15bef5b9051d9dff401e,85,109,118,99,0,0,11,0.081
e5a963679761865aac7cb8b6373c9fc51adbc4ef,136,110,159,100,0,0,358,0.084
e5298813870e115adb2a031d86b3f8def6d1f6c8,127,169,120,170,0,0,134,0.084
dd66f862fb2de155dfbf2c3066f65fb5478dae66,155,71,67,55,0,0,93,0.086
5e2276da381f8818a5a9e1df579e5aba444ceb38,124,103,80,90,0,0,6,0.093
dd6b0bfef41ca62e81502693401c591f7b3f0706,447,32,131,33,0,0,273,0.102
034521a3af701b64eb878936b4b4ffd306e01429,104,37,163,38,1,0,5412,0.103
339274acaf6e7b406ac30b5cd37017043166aca3,51,1,15,7,1,93,251,0.104
