id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
b6b1958536de26eb31b5caa062592760b9339fbd,-1,-1,-1,-1,-1,-1,-1,0.000
be5c4c17a9b92b2a96586e87fbad4bb6a2dcb117,-1,-1,-1,-1,-1,-1,-1,0.000
f9f96a99ee6b60bed3e55a35bd7d822f2685b0ad,1819,262,2529,247,19,1958,590,0.000
2fd1b02061cfee83b0ca0a331d0eb1f10b7c081d,1311,30,445,35,0,0,909,0.000
8404d78b06868f6650d57eb4f9d7882a36454fe9,-1,-1,-1,-1,-1,-1,-1,0.000
ed2a49c3191dc3f3918ec8b2c4c522d32a83080d,1075,7,298,20,6,259,850,0.000
ca6d8a07ae2f94dc4a2bd092afc98987abf0f8b4,-1,-1,-1,-1,-1,-1,-1,0.000
2b0944c6e3b12006be7a2ed2f27cab3e48598e99,1738,84,30734,88,2,0,46119,0.000
5e3e114675469206e2c777dfdcd22512f02e71f4,966,65,653,77,19,268,668,0.000
2f58037e5f0b2f7ea5a06b80f51e03a08792b911,207,30,89,28,11,657,250,0.000
fb6adc58622a8a69f8cf98583348ed696a055ab1,428,91,300,110,3,65,146,0.000
7db9cf03ea52aa706a136ec459e21f916c49cad3,725,15,255,16,1,4,607,0.000
cb0b5af3c20ae9577defbe58668d643819d3dd93,1964,103,1009,108,20,932,873,0.000
8c4d159dc33f31829dbd2409512e6a996a49a7d7,1838,36,846,35,14,763,4671,0.000
f7a0c97eca16a488d382ff159c2771ae6be28178,3261,445,682,28,4,62,6562,0.000
4c64df4db0c12a6525c3fa56870ebc4dcd24ac29,-1,-1,-1,-1,-1,-1,-1,0.000
ea31a1ddfee80c97c6522cc309b949101e935dea,367,56,560,58,0,0,392,0.000
d73b199116ee6bc93a481168cec574c75f1c4349,777,14,154,20,1,5,345,0.000
6b100627b236127889928a73ffba4e0f0f63dfb1,-1,-1,-1,-1,-1,-1,-1,0.000
de1a3e2ad08d6911daa98d04f18cc09eb2c3756f,-1,-1,-1,-1,-1,-1,-1,0.000
214fab180a11341cc5e4a8f8cc11891e14de47c3,1461,42,366,53,2,85,532,0.000
d7657270d0ec8fa814db6dd2deaedb552c2f07d2,496,1,168,1,30,2235,495,0.000
b0c9e8f160e321a70a0b3fb778c88d4538e8e6f5,228,59,217,57,8,260,533,0.000
41084dcf35befe96845f69d7c3748bbfa9237c9d,1580,54,1014,60,3,43,1227,0.000
bdb0f842fdb48765a668e8275b69a77f93bedea7,539,29,358,28,37,4436,2441,0.000
38676ad90f20e1818c600f88ef54a4cedede31ae,994,21,54,23,2,11,116,0.000
2303ee33097c5c4aa91caa9b4e3f61ca0ef64d20,2554,337,833,335,5,124,1510,0.000
ab58e777bdbfa1c98c20e1c96f3f72705714a06e,657,134,121,18,0,0,1561,0.000
c1e194f7a2b6f62a510c10fc2bbf782062d450c5,767,23,134,56,18,212,288,0.000
f6e88579aa701933b7df6a159904f46326729fac,416,41,302,40,1,16,2812,0.000
856506eeeebc74997cd0da8b1797e5c257ac8966,695,11,223,12,0,0,695,0.000
f4eeadb595cc05802f34ce8618e107ae6bfeacda,347,3,96,2,0,0,161,0.000
8da0d32605ac54b158eca35a520118b213b17c86,563,87,1070,82,0,0,840,0.000
4f583b68e9b2efb4b3f94c89f7c8bc9c9a6bb6f6,1114,149,503,160,0,0,6,0.000
267111f18550ac5128a7d39161bb4aca43d79728,-1,-1,-1,-1,-1,-1,-1,0.000
5a88ad21e610ed879e892fe13a4661b4cd8bf418,1133,33,140,31,23,1107,739,0.000
4baa6da36687042511df32e930d8b7be5547e1bd,195,12,99,12,8,321,63,0.000
d8f689eca6bce6763d5b2950e042648542d0617e,-1,-1,-1,-1,-1,-1,-1,0.000
6ae343c73ab33eeee2b0ac5dd6e9720567b54280,612,7,151,8,8,426,66,0.000
2253e74e47247aa3bf7ad16311e37b1cfc04635f,137,8,22,8,0,0,0,0.000
3ff07acbb2dc4197f1af16654b101fb56b27cea2,532,8,113,9,0,0,183,0.000
5d9dd3a922626f4ac3dcfc1db6ebeb7f57085460,1466,44,330,53,3,56,78,0.001
00934e0ae8726fa5003db700a3621e42238bc84c,-1,-1,-1,-1,-1,-1,-1,0.001
90652986106434f0ada7caa0e6fde2d01ea0318c,92,0,9,6,1,39,21,0.001
c94d813f0f85b0cff8f314300665bed1eebb4e37,242,34,50,36,1,14,115,0.001
3c8f741f7b03a1b332c44e96839e2d3388c310d0,1548,30,793,33,4,203,918,0.001
abcb0954c5fc5c45abf8417e80dba68d1bd7c788,8150,105,631,47,5,48,1270,0.001
889e5fc914daa9b5072a9ad84e467eadbd95a0f8,870,24,297,24,0,0,17,0.001
e9f6bdbe2ebd41b4d90048466ea484df0070bd63,580,205,559,194,15,901,853,0.001
f72eb45d9b206fb08f84e4d873b91cbe9ed0c7f6,-1,-1,-1,-1,-1,-1,-1,0.001
b97daef669b533e1e3a438453d9e7d45c432c9e0,-1,-1,-1,-1,-1,-1,-1,0.001
3b6044321bd1e871a72f019135160cec09303c45,492,162,55,10,1,1,698,0.001
c7c0935d70d8d3eeac19cb7052fdc22ae1842050,1114,37,314,52,2,59,1033,0.001
66786cf4bada6409109c3deda9d428e19e32b9ff,813,307,261,127,35,670,1776,0.001
670090a3448cee38850cc078f0e246b29ac4fd52,218,56,20753,51,13,360,317,0.001
f2b02ce2ded86605510ed32f80173487b467ae38,-1,-1,-1,-1,-1,-1,-1,0.001
b9e7667c574cda5bb5785960ab9e68ef56afd908,524,299,50,48,7,155,1370,0.001
3fda76ae59e351768d0f138f193975700f50632f,446,22,147,22,0,0,14,0.001
20ec44c4306654065d944e72202eb096980d1cf3,174,17,62,16,0,0,1299,0.001
002a9b5b1372519691c4d1a1e618db2570a75c60,575,48,74,49,2,57,149,0.001
8b524fc2b71f49877b356c7976517c1b21ec49d5,-1,-1,-1,-1,-1,-1,-1,0.001
88c9fede28e9b4b51401246838996e8b29fde20d,2303,60,771,100,8,1502,698,0.001
bbceede922f4f9320fb3ffc9d13f905d893b9843,672,56,318,60,7,232,520,0.001
4f43e14fa168e2fd5973df3734aaec5789b7b883,239,10,140,17,9,176,669,0.001
8a6adb2cf30b160fbb9a1baca848b3ce16ce0335,749,38,122,57,17,1150,1359,0.001
430599fc1319bf6594be31f0d6a1ce85dd22d7ac,466,72,189,75,10,202,486,0.001
b875f28812f1a54662fc9128a2ef05f34dae0406,2651,221,971,252,0,0,1701,0.001
b3d72412ad7ba2f4e9387f8359012b3d5437ed7d,584,27,131,37,129,8971,2019,0.001
2426ced3904d0cef554da23c538a8be9766f78c4,1555,895,239,844,2,44,2514,0.001
57f84f4fa6be0086a0e613981a9685a7beb08f7b,782,19,63,20,1,501,12,0.001
6812160411233e732af67ab395ec0615592f6955,-1,-1,-1,-1,-1,-1,-1,0.001
9908d6eed491fc8b415d908ec360efb1ff9ed397,324,61,27,62,0,0,0,0.001
159027db5d038f617d6687d48ed8c18750553bab,372,64,156,16,13,752,586,0.001
46aecab789e3f2ca1438771c42acb1817add73db,-1,-1,-1,-1,-1,-1,-1,0.001
8adae1387305e47dabe27124e4c01d6ba150ea62,-1,-1,-1,-1,-1,-1,-1,0.001
95bb9a8b4ed9e5fdc3603f548b215ef289c64af7,615,89,268,83,3,120,1085,0.002
dcf576b8c519164274b9cfedc7086de00630ff06,814,522,199,90,25,237,1813,0.002
31e336f03022c238a522231b133d7d191321e119,376,50,35,2,1,21,2,0.002
cfda0e5fd6aecbf0810458e9c65fc4530a3b4e25,1998,43,499,123,2,17,261,0.002
3ba44309b6ce08a622511683520fdc5b73fb9551,378,53,110,49,0,0,52,0.002
bd48840ba95180519fddd39fe915fc953f4fbb0d,-1,-1,-1,-1,-1,-1,-1,0.002
602e6f76ade5000b174affab133fe35d990b7cd0,957,39,331,48,3,31,248,0.002
9414cdc77637413bf8030eae9d1b76acfea8666e,2586,43,607,43,0,0,2668,0.002
3849eefea4c57d860fbaf54e7047ac83592ea830,328,0,67,0,0,0,53,0.002
d343e42f7033230ec88f477af1e433ac36899900,-1,-1,-1,-1,-1,-1,-1,0.002
dba96b093280bbf8e2fba81249161679236f3da3,4328,379,2246,432,2,76,2404,0.002
1cf51fd89512aa5954e468b54a263e44d34664c3,458,123,393,128,27,6085,5950,0.002
867ad99b1c22bd5b9220723fa682f0b32a730fd8,241,3,89,4,0,0,1405,0.002
4f5f286c5dce820e2d490924755d3bca1e83c9ce,551,40,270,39,6,128,785,0.002
8ba07d755c974dc7fdf7972234cdbfa3375f2f87,-1,-1,-1,-1,-1,-1,-1,0.002
6052fdc6f2afef34ffdcea9fd95d10f659342ee6,-1,-1,-1,-1,-1,-1,-1,0.002
8d0b9a65af8261cd994cd0e6a45d1356f97dcc2b,744,148,326,143,8,309,595,0.002
d4d2746e29bc518365d83cf14a37ab2a91e036c8,-1,-1,-1,-1,-1,-1,-1,0.002
09e16c7079748db53f81ce207aa0b8a42335201a,459,96,124,7,13,264,1221,0.002
e4f99673a67f17027766ade8974acb62fe4a8117,354,146,366,142,0,0,724,0.002
065e391b1ab3e2eda641ab85f0cf925ba9fffbd6,-1,-1,-1,-1,-1,-1,-1,0.002
9f985f6bf62cc301022de7a97dcc5c0fe631c4b8,-1,-1,-1,-1,-1,-1,-1,0.002
3b89690cdab14ca8c6e9dd0b19abf436c50c12b6,572,195,116,29,2,323,588,0.002
e24ca9c01f9cea0d0b7bc665b6d44a0e7bbe42a3,354,2,134,3,0,0,268,0.002
fa627eead52a16045bbad363c2edfbca165a5bff,718,4,68,3,23,722,772,0.002
87dfa927a6afa717601536d821c64065d876fbae,721,253,280,39,19,1143,4199,0.002
33f227f5ed4ba33813991908d1e56b085483dae7,-1,-1,-1,-1,-1,-1,-1,0.002
7cbc450167f8de6d8f8571903921255511e32356,350,72,321,66,1,17,420,0.002
484e2fb87f6efd1f00ae5773fa42cd7ebb236d8d,497,28,154,30,0,0,1334,0.002
7b66fd77110e3f38572f4977f032871306caacd4,-1,-1,-1,-1,-1,-1,-1,0.002
829a3870aef505ac37381d4dd5189c118fde41e9,-1,-1,-1,-1,-1,-1,-1,0.002
1691a4f3bd41925c320fcb9d6a7f69837561a7c7,1254,3,351,2,8,1043,673,0.002
6a3997ca9d75a1c2efff1130e11c8fe87ecdd48e,-1,-1,-1,-1,-1,-1,-1,0.002
40fc1a421980ef5bcc959a64e9dcf21b4a3e54d4,1882,143,769,459,5,325,2489,0.002
5cd254e30d37cb476cbdd405b084d97de96a3286,-1,-1,-1,-1,-1,-1,-1,0.002
bb61c151850e0675ec57070cc95424194e4ddade,-1,-1,-1,-1,-1,-1,-1,0.002
7ed2e4432c023855f7d175af63a292d9b0c68cd2,272,52,173,51,1,64,1432,0.002
4589c0dbca12c4f03551f2bf43f67a011b63fd73,1828,35,185,41,7,123,1428,0.002
89f3c914bbba74653a5b26f26b18087ac2ddbb45,821,74,764,80,0,0,1361,0.002
e43a4e1d7b15a617a779c57f23c0f493af1529ea,-1,-1,-1,-1,-1,-1,-1,0.002
21b9c1ffd5be44ddc9f8c37c47c148734b7e1b3b,171,31,252,31,1,0,111,0.002
cc002076d9bed6ec4c3b9134e4af967518da908f,-1,-1,-1,-1,-1,-1,-1,0.002
a57c1ad549bfa9882416d833b20f0936e1447339,1079,63,544,67,2,386,56,0.002
8fec6aa9c4a026228e5bffd2d92ec5962769567a,697,60,110,64,6,44,918,0.002
2f78d0440777455d6beb5e4c728d7b47b54b7b94,338,14,97,12,1,0,135,0.002
623324c629a01d7e48b5cae33c5458651cfb1810,-1,-1,-1,-1,-1,-1,-1,0.002
d57bc5d3abd93709132eeb4eec8c6ae4006548b5,301,56,95,55,0,0,109,0.002
2ac8e1eb0de353281b5657fe164bb05edba93439,611,166,801,162,38,1552,7366,0.002
1379aef1abaeb6c72abfa9c1f35630e248c32fb0,698,13,331,12,5,367,2152,0.002
8a0e42efc22bb9258067370e3aca19fe34f7c01e,-1,-1,-1,-1,-1,-1,-1,0.002
ef97a1b3a54517734b0b53cefd1e9a4f15447d3b,465,27,252,28,37,836,2480,0.002
bbf139186d45276a7d8d996605dbea3b118dbf43,718,32,114,33,0,0,0,0.002
6bf3aa30f446bc391c1e6c7a2abec366ce36722e,1343,313,262,59,31,1738,1079,0.003
74c2fd5b8ac1ece29ee0034259407d707b8a8e91,437,41,96,43,0,0,486,0.003
c830b64ccaf3cb07010e966e1c0d118f924482af,1307,129,211,140,8,306,1547,0.003
7a2f2522762c3a4b745ced6e16711f0e327adc95,1042,135,237,139,4,43,538,0.003
7b2d62deaaa3e925e1301610146ea1962fd50a30,-1,-1,-1,-1,-1,-1,-1,0.003
16d6516a0771bfe6db70d0293980d50534e0432c,567,14,77,20,3,93,686,0.003
d562198e7bd97408de33d685e225fd494bd91725,-1,-1,-1,-1,-1,-1,-1,0.003
17cdf8aff12c330d980bff61f3be9753b3c92fc9,-1,-1,-1,-1,-1,-1,-1,0.003
40bc6efc04d807e1c02070c42bb48a081bb33231,911,113,222,105,1,0,523,0.003
81e4479d8f54652e6b4869044b0763a8de565ae5,1231,245,298,342,3,174,785,0.003
f568089a4d18d2447131a8b2fe0282d4eb2797c2,465,52,388,51,1,0,889,0.003
1b9afafa9c52609f42c220c4ece94179132aabbd,-1,-1,-1,-1,-1,-1,-1,0.003
9159410552585cb8e3e96af82bd6d2445d4f9394,132,10,32,9,9,566,134,0.003
a6c494026c1dbfb8edee2813312d75916b62eba6,681,63,159,66,5,230,217,0.003
58ae9b8fc0e76b464bbc88efe479d6e3e1e67bb7,-1,-1,-1,-1,-1,-1,-1,0.003
dbf3563eac531b14b375cb43392034713a61a088,904,227,452,222,2,178,785,0.003
cadac4c54a48b2f9d45aef5782196471e8fb096b,1252,45,122,48,1,0,113,0.003
c6673dd705176b86864da3e4c7906f930f189430,-1,-1,-1,-1,-1,-1,-1,0.003
40de89266a9d1d99dcd64d87632ad905b5d6a9bd,432,87,96,82,6,41,235,0.003
e53b5f0407146cbc4ca0bd95f4cbdc054082029d,-1,-1,-1,-1,-1,-1,-1,0.003
92ed17ee3083a6fe019bbf1d14c0891d404935ba,472,6,34,6,0,0,0,0.003
4e374caaef645dfe3fc7275e6e2642e776172dd0,-1,-1,-1,-1,-1,-1,-1,0.003
ddf16a2a83aa298bcef4a9675a295e533e4a408a,3087,442,848,434,2,36,2594,0.003
