id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
09687d7a6df9f14f6b716c802a1e17b368ba05a4,1700,189,954,333,1,998,269,0.000
5801b6ec7658cf8a94e50e68d6648900ec7551e0,176,81,198,82,3,174,649,0.000
8595c1437f7631a52928e9870a7f4192524335f6,302,62,222,60,1,0,811,0.000
2028b60e8c629233193fc46100497fd7b24a6983,-1,-1,-1,-1,-1,-1,-1,0.001
ed5660fc07613cef9843be2184b9230c554889a5,161,12,73,13,2,49,151,0.001
060a7e2061533d1f76e854659024777d57030c24,-1,-1,-1,-1,-1,-1,-1,0.001
b1d1b85de5fb74433ef0132e8e51e45cd4a84bef,477,74,24,22,23,1736,66,0.001
fb0726b14c5cc8377a62fd0a612186c7181f24c1,775,1000,602,528,35,1552,3406,0.001
1b0fc5d618dd06300767594c8e2e02ffda3c3b28,363,52,190,52,8,197,1183,0.001
21915cdaf18058fc09cea71f77c3b8548ed38d52,311,67,751,47,50,4229,1107,0.001
218921f86ad419c18617840ddd801ddc319ba207,-1,-1,-1,-1,-1,-1,-1,0.001
3d2d86f40348bb6712635068ed15254896706ca2,775,146,274,126,6,39,1944,0.001
dd507499addf6874b4ab93a25dc5bbf431996c5c,200,214,176,95,14,146,68,0.001
02d5dc40500ce16720bdc09f551992fb4c9d02ec,167,6,19,5,0,0,163,0.001
30e806a37e61a444c94ac99230c72553be1ff13f,-1,-1,-1,-1,-1,-1,-1,0.002
36d1bfdfdc45896b9866bdde310ad445d49becb1,340,46,11,46,3,221,196,0.002
97f1b474ad423effbea0d321fe0cac4bcede5a3d,307,92,164,22,9,587,1526,0.002
366cafcbbdcbadc86ba93e8ce6e74d99170a2b79,1697,417,1455,382,10,1388,2530,0.002
a820846fb4d768c68c3198548df2945ed0883252,455,241,1153,226,1,63,337,0.002
b3ab304ab9c05a687c50dafeb85a846835c0b72a,424,171,370,167,0,0,3947,0.002
eb5c4ab75cb785523aee6a9761da8602181ff7e7,116,62,890,94,1,1,113,0.002
a1007e7082c3da84ef037c0e8c9b20a5afafab33,1198,856,1088,982,2,127,3295,0.002
18d9f479676697f4b3dd4bfba4f699f9819718ca,111,58,174,58,7,222,836,0.003
c36028d141fb7ead4c3b14b37ec9cea987522722,968,171,550,213,3,325,303,0.003
04fb9f569164d576a53762c59eefac894f40d41b,643,61,359,70,5,274,4100,0.003
5a82c1e84fd28e68c1f0a4b163615d1b0d401d35,164,151,326,140,7,397,3319,0.003
ac3d59138475c01892ee3cb41f63aa47f94f22e0,897,46,456,60,3,112,3250,0.003
7e9873d417d914358e3a33135e25e1d17fb00c28,-1,-1,-1,-1,-1,-1,-1,0.003
837ff8aed813719034c50e86f6248fa890bcffb5,-1,-1,-1,-1,-1,-1,-1,0.004
cedf238c5ba43a04272bd5d4421822c553310a59,-1,-1,-1,-1,-1,-1,-1,0.004
63bc56e68f4046dfd344a2c6a139d708ed961055,-1,-1,-1,-1,-1,-1,-1,0.004
3d25c38d436a8736f7fd8c3d83223db176e2649e,540,60,1486,58,3,348,9062,0.004
9dfbe29d8a768b03b0ed4f8942ab466e81cec8ad,-1,-1,-1,-1,-1,-1,-1,0.004
cf640aab5ff34c08ee3c13bb01a9477d070f9108,318,201,167,111,0,0,222,0.004
d83c91c7c3efea91891abd1f31b42dc501f082a5,-1,-1,-1,-1,-1,-1,-1,0.004
b605a6d5a0d080486429e5e2fc545f9b44ce370b,91,36,23,37,0,0,21,0.004
c8bffe81446972c1e0e002134a1b83f251dbd252,112,23,17,2,0,0,82,0.004
c334b23e93b665bcb214b2efe98b4e8fc6d23a7c,48,83,146,94,0,0,230,0.005
e17f3e82536ada170398f4e2e9db1f35ef3d84de,-1,-1,-1,-1,-1,-1,-1,0.005
f4bb902b1766ce2e8cac9fe79a97c9d0a97023d2,402,304,310,317,11,694,4201,0.005
c930fe2431e3c730e464fb7558796b552ddb5581,234,289,295,257,0,0,2069,0.005
80a30bff704c2fd2a205f18ecf76a06243fb9a66,-1,-1,-1,-1,-1,-1,-1,0.005
