id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
6696e4702517010fc1c003a0dba1788ada789845,352,57,937,59,13,921,555,0.010
c91acb1f179f033320c29b783d4f2d7c16eb5aab,113,36,51,35,2,68,79,0.015
12ca9dc201a13dea8ba51ae4eb4145a2209995d9,-1,-1,-1,-1,-1,-1,-1,0.021
6a7adfb3e3c2f19bc5ac1bf9a17c19ec16c33bb6,385,94,123,96,10,805,784,0.022
98ed1df5d5d684c19ea66d687d6a5db2a8a86678,578,247,346,222,1,43,352,0.023
97b5b3bed04253bd60e58febd6f8b4b4550d8ff4,-1,-1,-1,-1,-1,-1,-1,0.026
dec1299e31e0ca7a99a2b177381ae672e2d2d1de,246,104,24,126,23,185,4094,0.026
b61a1b672b4c9a5373baaf4ccc77e9cc40568cbd,366,46,231,50,3,110,3337,0.026
71e8c41f433c4a9650be88ac1b9c247de9d29ac3,160,62,427,60,2,12,19,0.030
7cf22d214fda5bfdabff05489c9a5f52f8b65f99,285,300,590,276,1,39,1319,0.031
c6eefaa2042fd1d5970bb45de95048cd5a0a28d2,-1,-1,-1,-1,-1,-1,-1,0.038
7feca8ebaf25d0d694675b92bf0a0077a1b61336,61,19,187,18,0,0,10,0.062
bdfe3419e93a86b206a0b4807ec8bd6ed0ccdaff,-1,-1,-1,-1,-1,-1,-1,0.067
7d9cff24540925b7656f103d34dd6173d48ea477,169,66,173,78,1,1,922,0.075
02065c4f7945090f4c1857c650731abc0cca07f2,-1,142,216,133,0,0,1,0.086
011993004e817fbb22a8afc06fcaf461f3c29165,58,33,11,32,1,33,317,0.089
57d882ec5c7421d5f633974d6b13a58335237836,79,37,119,36,1,39,32,0.090
97a2856b44581d965c31cb94f3ecada08ab3b83d,83,53,196,56,0,0,35,0.098
abde7d1b43573230a984bc52a0ea63b6b70d911f,4505,102,183,389,4,0,897,0.098
02aa26aac0cec32fb6a13924fac8a9e33b77af54,5643,443,651,1520,4,1867,3630,0.101
41ae00e1eb928180ea8e33ad2e5c1094bd428432,260,21,22,22,0,0,187,0.103
4d3e8a93ffbd2e90f167ec78fc5ade98bc4eee8c,198,110,99,101,1,3,241,0.104
b8f5b8362fdf254b96fa5ca41039b0aeb8557521,-1,-1,-1,-1,-1,-1,-1,0.131
f92ff2790360b2c5c04c001b1c758e32e12608ae,-1,-1,-1,-1,-1,-1,-1,0.135
99d3d6e5605e8be49ded69003025e6d5127471e4,1817,53,31,75,3,0,18,0.145
442968cae7486c1169ec71088f8c4786a2c3c719,-1,393,99,355,1,108,299,0.147
e8c0788015ba7f4d74baa18ff7b33a49a291783b,68,161,10,153,0,0,160,0.157
860780d20d7d0e164085eeb060047943fcc0e178,16,31,233,29,0,0,913,0.157
214f13507e5a0217952d574d4bbfd520ff71c084,-1,-1,-1,-1,-1,-1,-1,0.157
e457748806ffeaa702296475b91c65c2ca7357fd,189,99,84,81,0,0,10,0.188
5baee3af6a061712170f48c4b4bd0fd4dc11dbb5,-1,-1,-1,-1,-1,-1,-1,0.196
6e955f5228288dc4a4e818051dda549fda28535b,-1,-1,-1,-1,-1,-1,-1,0.220
4e4e1a20a78840fa2e77fd197cc2b00ef3a373cd,70,241,78,236,2,1,10,0.226
7563c0ac7786ad939efe162ca9fa399e94968cc6,15,17,31,19,2,4,142,0.227
67d9931eff6d149134de86d70223cc7f66d705c4,249,613,198,258,1,1,811,0.231
dd569d1b140391d7fb5c28761431bce7411b5de9,165,199,320,117,1,342,116,0.254
40465176106d8efc1908f76f96396a1356aee5a5,65,11,39,13,0,0,21,0.258
a4bb32ebe7dec106ce0ff955e8b0c70bc09deb44,131,432,142,416,0,0,13,0.265
730ce510a501d4bf981545f69c72e0d0a7fde052,491,508,266,462,6,232,571,0.268
0154e8d591b393440b872ef28b311a6fad944e70,265,200,6,191,0,0,241,0.274
bc6d86f083a6bd926b7179907a6c5cdd57950d8b,-1,-1,-1,-1,-1,-1,-1,0.275
760d4f3b0cbe1494168d8ee11b6cedad4d98c371,128,362,353,328,3,168,885,0.293
d05b2dcdd4c353668d66a8e78a44979fa7fee856,-1,-1,-1,-1,-1,-1,-1,0.304
7e0bdd1137f5d9e7369bdee1591055ba187e648e,-1,-1,-1,-1,-1,-1,-1,0.327
f024bafd3c14afd8cc861fd4f7c59348d9e6ab30,3,24,14,21,1,1,5,0.332
afc0d60013f0960345bef4fc3c0994893a2ec692,107,38,97,38,0,0,7,0.333
3fd5df124925449e80e06f1613f210b7017a2a7f,32,195,27,186,0,0,0,0.349
16773ecdf3c18000913680e1c743cc16dd6d57f1,43,418,182,249,0,0,143,0.350
1cd547d155343f92e8f57fc08595000688048a71,49,155,34,96,0,0,204,0.354
9d143565a4207d34adb1870c6adfb4d4b9c127b3,60,137,29,133,0,0,9,0.364
2d3162fc4b4962117f286838d47e5dfbe952e236,427,262,139,248,2,3,632,0.378
d89f597248b8dcab1b02cd44b8bd38a101bd339c,187,432,137,415,0,0,6,0.382
6ab51df1f55fc2dabeef5f8cb7e38e92b5e14734,-1,-1,-1,-1,-1,-1,-1,0.398
df2389ba0d53665b508973adb8d5081a620be7e9,2,30,3,21,1,16,46,0.427
6a2db19608552bd3fec604ea96575f90a170e4e9,1707,71,251,420,0,0,332,0.434
