id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
b175c31a866940998aabd94bf41020ae1cf48509,178,142,348,137,0,0,26,0.011
ad9857c670bc463b555901913ade8ecbb2a240f2,442,155,468,130,1,0,6,0.044
0f2b9a60c2253fdc43666705672f5a9dbf5d7125,-1,-1,-1,-1,-1,-1,-1,0.048
14096a4f7322d77d155faf9b646840cfc6a58b97,264,99,7,9,1,5,56,0.077
6c83bab16f438a897e9fe6e7f1f0144535314302,-1,-1,-1,-1,-1,-1,-1,0.100
53405c229207851ff002f2b4169502980bfedede,274,237,69,262,0,0,7,0.224
c288156bd1b6363099a72ce43a33048ead63f8d5,-1,-1,-1,-1,-1,-1,-1,0.255
d59ecb9662adf205f3d62416f9577b179509e2e9,151,49,97,53,0,0,0,0.256
77f850e98b6ef910be1e3ea897c837e1b8ca3968,168,94,132,92,2,0,1,0.321
8451dc6df970ddfc27d98ea6536545614bace8b4,-1,-1,-1,-1,-1,-1,-1,0.343
d6f79a3de2a705154e7f8961e7cf3c9c370c6f25,86,15,13,6,0,0,2,0.372
afbc539fe8ff8f2351f8857c616121bc686df8ee,163,7,4,6,0,0,4,0.375
29987d55272d61ac114c99ca6915b439a9470293,66,3,11,2,1,4,31,0.379
6a918f8548280693a29b4d0606d06dc889f8370c,72,151,102,138,3,0,2,0.380
c0fa2c91795bfc0d0b923b62000cd1a90f1699fe,-1,-1,-1,-1,-1,-1,-1,0.381
66f1026bf5bed36bbb5c7a7f7860a2c1bd6ce120,69,83,98,78,2,0,14,0.385
be965ab5203d163d52111189a48683172a32efb5,40,36,57,74,0,0,0,0.394
35fe0eed2ee84958a6df91a00356fcf0d3f7d1c8,51,24,4,23,1,0,375,0.443
4a08835fa80441675643359e98744e956a6f235c,-1,-1,-1,-1,-1,-1,-1,0.461
ea92a74512443bc3e3749c57f681aaac05b32227,139,266,118,274,13,0,3955,0.502
b1e78a955d4012dfa01aa9167f8c8f4e68080711,134,177,103,184,7,7,2144,0.521
9fabfcedc97b0d3e53ee154bd7b1b83fe9317404,-1,-1,-1,-1,-1,-1,-1,0.524
6aaca25da4b5d714bb350b4e469fccd629a45bac,-1,-1,-1,-1,-1,-1,-1,0.562
0c3ce54f3f2448c318b2cbfac743260394fe527f,-1,-1,-1,-1,-1,-1,-1,0.570
037e1e17d52f80f35699ab76845d2ff0375af73f,8122,793,3429,1066,0,0,6,0.617
ed21f43b22ee316154807406a4934384957f38d0,72,73,50,70,0,0,8,0.632
c034c64ac4ad01865a760b7c8282915bc1b7bf30,136,28,25,33,0,0,163,0.632
04dcf7f6c06da44c4d60ace3efc38f92ec58c42d,91,267,14,267,1,0,207,0.696
82d1bf5c75b46dfce27a45f63f340478dad61aa7,84,110,24,108,0,0,50,0.709
286966c7313dedc0b3a8f87cac68f2f253e5f585,295,138,41,137,0,0,8,0.717
1b6a71920203997dcefd8d2613d459edb42b10ce,39,32,11,23,0,0,73,0.737
46de229ca3cd1da0b49d054ce34919e3d4c42320,120,662,96,629,0,0,3,0.759
ce79db64a32fafd79255ed099cdcb5209ee7e47d,39,85,23,75,0,0,0,0.768
a7ba325dc083016fa7a6cc8f9913ebbf3d99ce67,68,392,253,377,0,0,2,0.797
ae66cd1f764eeb01723c64742f78737c52d5f8f9,81,157,13,139,1,0,9,0.807
3c4f365d8c170ad59056e9a86b1f5e29a96b3cfc,1,22,1,22,0,0,7,0.832
27b59b941c854e83c4fbb41e84b9f9a328432d32,15,1,0,0,0,0,1,0.914
