id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
d3f3dd749c4b725f226197bc1eb1f9f68c6fc8dc,409,155,673,151,0,0,97,0.002
ac15b457871f1ffeac9c6fb4f20b995ec1a40f92,-1,-1,-1,-1,-1,-1,-1,0.005
2b50a72de9fbfc5af48bc8d619218bdf70214159,8772,39,1501,15,0,0,3392,0.009
d8c71c91e762e9ff050fa44c6e10a837c9f3ca4f,-1,-1,-1,-1,-1,-1,-1,0.009
6556912f6b686a4c609a17edb5a3ebee5d6ca532,-1,-1,-1,-1,-1,-1,-1,0.010
9244e4d6b904eb31d1a64de7e24e2e60a9d733fe,659,54,137,51,14,794,306,0.010
dd15fd4e1a71e76a43dd1f19ea227cfef78847de,359,234,193,52,16,808,4003,0.013
3e47adefa454b703cc14c095fc34ef21bc05dcb8,2930,41,256,16,3,85,218,0.016
e825d966f65513e8996bb440a7086b6ebbecbb54,563,122,110,123,0,0,1341,0.018
6c7879e37780f89eb1bae6e01094999a62e7f153,781,63,187,68,1,33,193,0.023
f112230e0e16459f700a77d14609c92bf7f3edd9,266,7,71,8,0,0,137,0.023
432f01c11131a8d0aa382f8c086bf187992d2b41,-1,-1,-1,-1,-1,-1,-1,0.025
1a74da38e3ca94993a22267797cc4685e1766680,-1,-1,-1,-1,-1,-1,-1,0.026
ba5296f5adc63e3a7b5dcb7f21d393eeb77d0768,1355,219,241,207,5,361,2178,0.027
88652cdd725303a171417a9d7e640d14b0132403,424,37,338,36,7,275,1943,0.028
592d114152ebb0f7d0dc685950e279ce745aa756,-1,-1,-1,-1,-1,-1,-1,0.029
a82b9d731dafde8e9021a1a97a1f9583ae37f8a1,217,18,36,24,0,0,4,0.030
9a1caa6bf6db0b8673c628e4401923c748925e39,1686,160,396,156,1,0,959,0.032
28d293e8dc6ce4c45d13c5a6bea0d34eaec7342e,-1,-1,-1,-1,-1,-1,-1,0.033
c9e10ab60d225d8220b69a3fe4d0677b2da8cec5,-1,-1,-1,-1,-1,-1,-1,0.033
ff39e00887d91a976dbff707a2bd3300692a7e13,303,16,91,15,0,0,66,0.035
d7eb76b34a9a5614c083ebcad685d58a016835e6,3464,4,56,25,12,1077,250,0.039
702277fa65c9ec79131a4e2aa3df260f77c3bc7b,-1,-1,-1,-1,-1,-1,-1,0.040
bb8be9bab5db2f6114735be88a468c26c50f50d2,215,95,51,94,2,0,0,0.041
fd56dae7391367e1935941c261d53f250b3d25a3,2795,13,1535,20,1,194,1681,0.048
4b5e5e45cfb2441c2c90c122a922f5cdc694e9bb,547,173,102,172,0,0,192,0.051
9d014838cd3444224941eff9c6d96c79f1ed4911,-1,117,206,104,0,0,19,0.051
d7664afd432350a4ae68784e06a87bb474fdd3a6,295,18,19,19,0,0,6,0.053
258ae10c7f52aea1a1418efc2c5bc96c209c3252,181,33,243,34,0,0,219,0.053
2884482f58ccbd6970afbf5a377e442c0eac00e4,250,71,60,68,0,0,103,0.058
2c8332370839cde3d6d735c805253f4e61981c6d,330,24,76,26,0,0,63,0.058
555c7e2364f15b8f33c7200c00bac448ff486b36,164,11,52,12,6,37,29,0.058
d43206e5c415e66320ef0a60fc895adb558c439b,-1,-1,-1,-1,-1,-1,-1,0.059
b4cc371c3938eba41a324fb94a311ff42e527d4b,202,100,164,99,0,0,95,0.061
cb5b97ca890c3952cf65d9112fb70ec910cdf135,287,1,57,1,0,0,223,0.062
bcb0e1c359db605353b32fd98988844fae82c7c3,194,12,136,12,0,0,0,0.065
bf66db9e1a8d47c678d15babd592579209eaa914,581,135,176,127,8,66,453,0.065
03216d55d1ace56e5560f02e5f9d906b20128627,645,129,190,129,0,0,842,0.066
f2c6aeb84fca74203716be29c7d3f01c05c18fd2,107,4,73,4,1,1,2,0.066
1a2df91e080dd785d94499b4592bb3f5191358ec,128,177,101,171,0,0,44,0.066
a77e872c06bda0fe4771c6848f97302b1c8a812c,43,47,290,45,8,1,40,0.068
9072ac438f35994b751e060130fe9507c1f3563f,-1,-1,-1,-1,-1,-1,-1,0.069
8b37aa7ea7cb07fcb2ed812659bacc436b432960,19,5,7,0,0,0,39,0.069
05b171bff4280c0fc9e563f9a29175e9dc0329a1,40,29,56,6,1,15,470,0.071
b0009864eea6feedca2683cfd17b355d3c4b60f5,253,39,48,39,0,0,0,0.073
e11e7b70b8a5940fd13b754952ef14fbbdf5bbf7,357,242,159,89,2,58,2344,0.077
8d8b6f17a8abffcdb8ae29a09ac525c31be93627,233,15,207,14,1,0,4,0.079
9d43c54957684b916230ae70b9b63ecc63b03dd5,433,4,885,4,3,55,28,0.080
8935bfbea4fe1d84117718d7a435b16e847325df,-1,-1,-1,-1,-1,-1,-1,0.081
c266967404d2b3cedbd4ee983747faf7b36fcd6e,97,39,177,39,0,0,2,0.082
769ba7c1d531c32748e48990b24f3fc4dfb540cc,304,134,109,137,2,0,18,0.086
572263550b0dffcaf85c170a36dc304a72f03310,1949,541,374,556,1,882,2409,0.091
5fb6f56f3adaecc55dde55e52224d5087c463690,568,101,733,96,0,0,3,0.092
4d99d0a05982ed5710970f122f19daebc504c019,452,65,197,28,1,30,57,0.093
c63f82d513de58c5427f11ad824804c2991c77ac,186,0,26,0,2,154,0,0.095
02c58f28f785f19058df5f7330c88630516380ba,438,140,108,72,1,0,81,0.097
b462d1e376f72af828a7832f6ae07cc3f970c663,177,42,131,42,0,0,878,0.100
6459c1bc5ceb256d411940e02b7b9188f1ceb210,48,21,29,20,0,0,5,0.100
cc192d5490f5db299eddeb1eb26ea9158fd380c7,534,128,1008,130,1,18,2899,0.101
d7301dad2e0e75c417cf20ddf1425607d216d1ff,112,31,73,29,0,0,31,0.103
514966ef4704934fd2c57b4e70fc1fdd495adf38,203,174,60,163,4,10,1444,0.105
f48c9b3a88a111798914fb4271ebbdb4c78cf3ce,-1,-1,-1,-1,-1,-1,-1,0.105
afe25cfed91cba3b63a5838d1bb8cb32251f2e9e,31,0,131,0,0,0,16,0.105
f39c90ddf4f1620588212dd3b0ee6f08fb2a9c46,481,33,59,32,1,1,8,0.106
6fe604e44a1768595d5f0cd750948e07ee803c59,377,54,232,51,1,1,202,0.107
81fda7d0e1abc5fee69cb6c5c1d892943d9406b2,225,45,141,41,7,628,4,0.111
b51ebf5672619d3ad8797b5f91feb2db3b08f7b8,-1,-1,-1,-1,-1,-1,-1,0.111
145c4c373ace948a3f021118b06ca9f01f465943,349,122,199,121,1,0,1034,0.111
a2c13df885709a932e703d256e5a2a1831265d43,498,56,81,60,0,0,282,0.114
f4bb20e07557dfa006610fb8e3b8f1e228418fa6,891,92,195,90,2,0,72,0.115
a88292e96dcc4b1cbba9509b249d79ce33084046,278,51,129,49,3,21,27,0.116
f80e56c92cf6df2893214aa86ec212b1e9c3d7cd,-1,-1,-1,-1,-1,-1,-1,0.118
65b9417f6117180916294d38c3a23f660398e971,87,48,70,47,0,0,2,0.124
0ae0ceeef086b62146b5f34a307c0ff1648f4a48,387,17,290,15,1,0,22,0.126
