id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
515d054cfeb42baa5c80012b2d572082ea7b1897,346,261,2814,252,0,0,1379,0.002
cb00fa757b93e38acff2881b3543699e5fffca73,529,19,318,21,1,80,91,0.006
d3f691327818be5c346066fd70d2bfcda22770a6,267,87,218,88,9,634,1813,0.007
6c18b4da2e6e2d9effcb58211f848474bc6c8391,260,104,98,103,0,0,378,0.008
54e07f9142c6178c5486354e0f99f8ac409fae66,-1,-1,-1,-1,-1,-1,-1,0.009
c8d2ce2073a556df0a7edf9cbafb790bd2095929,-1,125,1456,126,34,1300,2125,0.009
4fefd97512194a84ba8eeba7212c87d04b7ed968,-1,-1,-1,-1,-1,-1,-1,0.010
a9d319f928b7ceda0464ebf7bc687d7ea6e2c747,382,164,395,93,3,16,630,0.010
835ffa283c3c44551bba06126039d2dccee00894,772,56,862,58,0,0,1015,0.011
b4005adba54db02539b37ac2f12d79f13e5f7e4a,1859,121,686,134,24,1014,3438,0.015
0eb64a2145387d1516f2e69b4850679870dd419c,834,748,746,704,2,0,2776,0.016
8d1a8805618889343744eb64cce2d69995a1fedd,10000,26,20429,19,1,0,46,0.016
49667dd71d244619496fbf338efe58c79a634d22,1932,94,45,57,0,0,1706,0.018
2b05f8d00868a55081987f2c0803b5760b812f79,450,125,652,122,32,3532,1465,0.019
84687ce0b83ca6d9ffbd74eb695afca16bafe53f,9535,66,1201,64,0,0,1378,0.027
54643436b83e797831fdf7a446ed39cc5bd3a71c,-1,-1,-1,-1,-1,-1,-1,0.033
39997c1055dfe7d70bc66ca820e1b81b5b8366b7,751,136,745,159,39,2677,1118,0.033
bcc9f80113e88ff371ca312ac5180badf3dd2044,-1,-1,-1,-1,-1,-1,-1,0.037
c54428451cbc86fd13ec4be978715e2cf4745ef5,3432,12,2129,450,10,222,36,0.037
be2d78808ecf6e7df752994c318fd4145b4f87c8,-1,-1,-1,-1,-1,-1,-1,0.038
27cdcf0d3998ec0d0528eeea1e0ca29203e5d187,3898,16,399,19,6,182,290,0.043
97f8785ec713fd1c69d51f56be54fd620da393f2,-1,-1,-1,-1,-1,-1,-1,0.045
e4646097c82f35d3a27d34912736e6c0d7ebfa47,-1,-1,-1,-1,-1,-1,-1,0.052
1c70201c433a2174015c8eb8aa25e54b095ebca8,192,62,69,49,0,0,2704,0.055
88324a825f5bfeec50af8e237765c1e72ea6a045,-1,-1,-1,-1,-1,-1,-1,0.062
41f05b33d173d33685498430533fc0b72f75c5f6,943,71,1274,67,0,0,82,0.068
b99c8bf6df305174a8e7b6eccec339563e5959a6,1235,301,2974,327,1,92,1677,0.072
98ee11d1511313d05a8126ee9f72e3405acd3aea,213,64,8902,43,1,1569,89,0.083
fc15db2345a9900f73ed3598897bff3009b2b037,807,72,96,73,0,0,9,0.088
133cbc5f58ca67188f8e228aa73a2a95ac9fab57,62,58,30,55,4,50,45,0.097
11bf1ba4a942a266b546abbdb28c9673468ae6a1,-1,-1,-1,-1,-1,-1,-1,0.104
9298422e6dc1fe72a51602bf69301fbf50c139f2,267,104,365,94,0,0,0,0.104
57482af8f72a3d43a89599124e91017f6adbcf94,124,115,184,62,1,52,41,0.110
2e992ba72e287e8d457fb133f3eeed4592aa2357,202,103,56,46,7,381,427,0.111
c2b4c7531c6d8eabf29d139d8806b27155a0ac38,178,189,642,181,1,0,383,0.114
98b036f16d3617a29673ea8704b20c278d779853,1321,1000,208,443,2,3,1338,0.116
71ddc4f1c49e0d629afde551b49355210ef55276,255,220,350,213,0,0,510,0.123
0d32ff61029943967505c0c7625302672e65969e,-1,-1,-1,-1,-1,-1,-1,0.128
ae0681340dffc0f183879f3282a6efdbe52537b0,868,583,695,349,0,0,1012,0.152
00dd7a2d6cf6aa0c7cc8f23494823f605643c58c,520,156,453,150,0,0,70,0.153
16fff651f6faf6682ac2ef50917847d12c8bad13,131,490,270,437,0,0,33,0.155
50b99e7c919ead07b611319849327a0cb52fc39a,-1,-1,-1,-1,-1,-1,-1,0.155
9a6aee6a73a3a7969f945f1aed2224f1f272b7e7,98,44,152,44,0,0,3,0.156
61824a46b0eb9b283c5ef447c5c7a970d3f676f5,174,216,404,206,1,4,22,0.161
f8b18b63edea4a19ea8c60eb7f69198a339f5e6c,-1,-1,-1,-1,-1,-1,-1,0.168
0fa5111b5b167e7391eff88757ee2f9726e21aaa,-1,-1,-1,-1,-1,-1,-1,0.171
5f7f9aa6328e5a247f1d9375b02904a9e61b3b63,508,163,239,81,2,0,1,0.172
99d5dd893770b3974a66a16c16db281c020e17af,384,197,229,133,0,0,20,0.194
ec01c98a9e804dde858cc1fa8fd50e7fb5cde716,494,138,361,129,0,0,4,0.197
bb8120dcbc72f421ef61280d61979ebc13de8521,-1,-1,-1,-1,-1,-1,-1,0.208
ab89bf0225240f6902d37f59c3d734e5f1338b74,337,128,408,131,0,0,765,0.219
f81e1ba6d1a2d97980a1e61c5934ab85183cec0e,452,125,440,104,0,0,3,0.220
3c074e8963a072c6bd7254b8c0481f9329ae2fbd,396,88,414,92,2,16,142,0.225
6a5d2f47a92832dc6c172f71c75254a178b49468,-1,-1,-1,-1,-1,-1,-1,0.226
d0d0486e666a8e91a6f07cb60a490b361721fa94,49,3,375,4,0,0,7,0.226
c0c88d8c16a4db8d3e8b22171f68ddd40453adc4,76,17,120,17,1,52,13,0.227
d670f1e33bd30bed597310be34e7a358b2ed3714,98,59,191,61,2,2,41,0.229
576aedb8bedc41d5b0034c38088fc684b085eab6,206,266,238,245,0,0,0,0.236
54d59f48a26fee5865d71b465e3acd5f1a80f0da,272,352,690,294,2,2,2,0.241
6eb1c1747cf432b721f71c5dfc12f906f7eef706,-1,-1,-1,-1,-1,-1,-1,0.241
b3a2249f409f44c639c9955136bbeec64b79fab1,372,416,221,404,0,0,3,0.250
4cb40cdee3ae054f238607ba7d3f02edd1e095d1,127,256,192,226,25,107,2544,0.253
95c8280575864a2e035b8700291dda0676e4c5a8,392,59,141,50,0,0,10,0.256
afd136ecdcb2a001f461366cf10256f8b21ded3b,211,42,323,42,0,0,3,0.259
b7309b88332e4afd525d0411a1546666e04924ec,233,47,392,46,0,0,201,0.261
bb43737580a0a30912cf8c65128c2e637fa1d7ee,172,21,712,23,0,0,5,0.261
aa14667314ce41697097d9355548345d97585e2d,193,234,396,211,0,0,12,0.265
4134e1e69c2af24a49d96e2c624ae4dd9a43b2fe,261,285,351,226,3,0,16,0.266
20b8527d38117ff0882c56cad3a7829a70def2cc,81,147,182,134,0,0,14,0.268
92afd6c3d40666cb5ec8af2f94315252e8fd95f2,282,79,204,75,1,0,5,0.271
2c3011f761bbabcf7b29493e3f5174746f100931,61,64,82,64,0,0,0,0.274
3c3cbdc234587db81ac0420839748d0a4b1d38eb,716,537,638,480,0,0,1,0.278
bc6eac91b16569f4cbd12d1045b6e90cbb704848,-1,-1,-1,-1,-1,-1,-1,0.280
af02705479a6940779e913767adfd26d6c56f224,182,11,174,9,0,0,0,0.281
18e3d6e18a8277e2f98d0a5d42f81280ab45690d,717,1000,157,1231,0,0,3132,0.292
8cae132050987fa71032091481a7373dff05306b,-1,-1,-1,-1,-1,-1,-1,0.298
13d4e1a6dac65162a20285dad31f9fa7d5163e8f,109,134,231,129,0,0,0,0.298
228a498cc6406885fa1a3b90c93a8bdbca0eb095,54,121,229,118,0,0,4,0.301
c54fd333ac63b416a2066e6d4f5540ada1954aac,122,127,146,174,0,0,237,0.305
5e2095f87f482852aef3f6de499ac1fc4cdc22c1,491,88,269,79,0,0,237,0.306
4592b9a880f05114a3bccff77d2d2896e8dc533f,309,23,64,13,2,0,0,0.310
c3dc788a33ea754c61c16d1040805e3d9e0fadc8,137,125,334,132,17,526,203,0.315
aefb079a6222362966cea9411478b27e1ac3470c,-1,-1,-1,-1,-1,-1,-1,0.315
f07f1e297d0180b0903018e24207fb26924bfb32,102,96,91,86,0,0,2,0.333
83caad6204973c87b8d61d749e0c80acf260b6fb,365,3,397,3,0,0,9,0.345
011a4449b25446e0b2b2b84517236733a816a1f8,271,1169,1680,1058,0,0,28737,0.347
7a29d984da46537e4644e0ed55aa8ced6bc3f651,269,851,177,791,1,0,6981,0.348
1b26d5c9280dc8c762bc433a5e68a872467e4d4d,89,88,87,83,0,0,15,0.353
afbf91dc8fff405d517a40693d256f7559a50f78,240,99,116,97,0,0,19,0.354
