id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
2426a5a1faeb3f064d1c123abafb1f1027038c9c,138,23,156,22,2,11,25,0.005
837bec756259ebc175efda7fe55abf1d32e98961,3605,274,28,115,7,1399,2555,0.011
0178acb2021286d004bee6e551df2cc9d6df595e,-1,-1,-1,-1,-1,-1,-1,0.015
d2a1018cae564ef66801efefc39c15c79e5e902f,512,189,350,186,6,115,619,0.016
f64c13e1cccb9984bf9732ccf65f87decf252f54,1344,84,430,89,3,20,45,0.018
19f59781d370d85c3fa4dea7778ca8e15177f40b,493,80,713,77,0,0,209,0.021
8431b879210cc956314c9047d0997002e9cf52dd,705,21,573,34,5,0,508,0.021
ffee6a3189372b896b7c04b0b1b0490d9a50bdda,984,83,1048,83,0,0,1778,0.022
79863929a9d5ec44d733c72b662d4979353ffe9c,4183,287,267,327,14,1050,1916,0.023
1f67a936748ee02cad9190e5544802162d765752,973,110,88,127,7,448,1860,0.028
d6df6f2f5a11fa57df8575d6fefa23497a54b33e,152,71,41,53,0,0,249,0.030
3bf64d86064f8c13e3d0db565d426994bdcc7b36,-1,-1,-1,-1,-1,-1,-1,0.033
afb7015b59c0f2540d4a64da3a5cf99dc6022f07,1388,90,77,91,0,0,702,0.035
1fedeb97e9282ae5c7c26f7466fdab247f0dd919,165,69,595,67,3,315,4,0.039
7ea2c8e922bf796c3e4a839702307af07e55d736,270,36,3054,75,1,0,1583,0.044
c5e815900b9cb5fc230bc63be2e54eb5a888762b,956,464,417,415,14,538,21902,0.046
9e1e7ee8118b062ddc31e9a674a0948edf0bec6f,294,39,116,37,6,23,74,0.047
21542f8483865587594926d4e60e6c6fa40bec7f,-1,-1,-1,-1,-1,-1,-1,0.049
8aad667fd4bbbbba234da8a647bd7b4db6ea50f5,1930,451,311,495,2,0,3436,0.049
167a770df93bc3dcf1924101f48fedfe5374a44e,-1,-1,-1,-1,-1,-1,-1,0.050
b279740a179eb9fe78e358a4c3b0e7b5e3ff575a,-1,-1,-1,-1,-1,-1,-1,0.053
2f0dea174232be7b97832345de44efa9ba95caed,1576,637,315,621,0,0,281,0.055
ad99112d3d722cba563f0c3a6aae37a5b821ea95,407,156,550,81,1,1,350,0.055
f6e0fb0f795428cbf5644c171196ed0386f6a227,-1,-1,-1,-1,-1,-1,-1,0.058
c466f79363032da27a3ee948216827f629a45b62,658,532,265,260,2,0,167,0.063
94a7e8d1224d6e02235d050ec8045b544dcc93b5,2460,78,404,172,7,593,527,0.064
39aacd32f7f539a0e71ab508c21771f53d62ede4,-1,-1,-1,-1,-1,-1,-1,0.071
985c2deaded6be2e45b3236b7e7f20b21c88618d,1283,499,808,510,8,68,4738,0.081
ec68f3a1598f2303d21b159ed8e05235fe65ac1e,312,127,74,121,0,0,1063,0.084
45c1f868325eef2f4529078f92a7a40a240a0ef6,-1,-1,-1,-1,-1,-1,-1,0.086
fcc43c3a81bbc5d7fb98f15471d9dbddcb2f91b0,1418,84,77,84,2,0,101,0.087
a7f1d55efdc648e4ad321dbfbde49fcc2d0a54ba,371,304,143,204,2,4,509,0.087
