id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
6c8c4b62ce950cc45eff0897888ba51d0e068243,139,13,97,14,0,0,0,0.009
86c4b6c60f37aeb7e842e135811d0c1006b8f6a2,-1,-1,-1,-1,-1,-1,-1,0.009
c5d88e661149e37e5551b0883860b2b4ef8ae7dc,565,68,468,67,0,0,18,0.012
02c4bf4072cb36bee27c7846f356a76d04186f8e,254,97,248,44,6,229,149,0.021
d5abeb81aaee6e1c5ff632ef6764cf05fbbbacd7,-1,-1,-1,-1,-1,-1,-1,0.023
a62f358363b3e3fa491be093ad87c1a4414658db,281,104,270,95,0,0,61,0.023
ea5785a59cd672062669b3fac7302e77c7394e92,637,241,1091,229,4,149,183,0.023
738f396f5e8818095ddc1cf0d01c0a5c1cf74099,88,215,198,204,21,4,112,0.023
e732871384324a37bc22b241c2360125039237c8,3120,556,231,238,12,711,2610,0.038
13d91865e0c18b4088ee11acd21f00ba506ec318,832,239,631,296,0,0,280,0.043
e1a9d2bb97b9d2f5480715810700db7f9a8fda3f,268,38,85,37,2,2,197,0.050
93b945d4c7b3d632fed2c228ab1890185fcdfd10,332,35,114,34,2,23,301,0.060
f06bfdb68ed4a811fa08e051d4898e0a99dfddd5,717,285,893,273,2,0,549,0.067
4cefaf68231b166a4b0d322e164d5eb479a9998e,568,760,713,406,0,0,3275,0.087
e7f49f4d2060b9af769c07c933da473dfceb853c,-1,-1,-1,-1,-1,-1,-1,0.090
1d87f58f00ec60ec8dd359e77128b90e81de3834,218,5,184,8,2,1,4,0.116
b03deadf369b2299c15a3e5bf186c404e9c66c05,-1,-1,-1,-1,-1,-1,-1,0.120
7f59a91dfb49a1be0af5b6a3c632c11836628d50,-1,-1,-1,-1,-1,-1,-1,0.129
c18aaf892aa61247606553be28066639a977d427,318,134,260,128,2,85,1,0.179
ea6d58a12c743e7f034cd1762b860822d83e17a7,346,167,85,105,2,11,281,0.191
3077f622c82d0922f155edeaf380183fa505a3b3,-1,210,211,196,1,0,2,0.195
8eb470de2a0d97e950a3044b824006b0ae06aa4b,329,89,72,103,0,0,1,0.196
31f4a33b71143c5e151103b0b73ef128b5a59831,637,168,349,171,2,0,265,0.197
6bc2424353d76f924a85fc8b9829cf038e927f7f,206,26,232,25,6,6,2,0.200
598e4cad2380d32773c54513ccc59001752d1ebf,460,78,92,82,1,6,70,0.215
881e9504123c3164ab6b4467878416634c8c2610,-1,-1,-1,-1,-1,-1,-1,0.217
e68a9e4299fbb27b2ab03a93af42ba720665d748,-1,-1,-1,-1,-1,-1,-1,0.218
3dd91f7a76c6686c07405295034fe0049925ec8f,52,18,196,18,1,0,1,0.220
6230a49142cf271543a556e568c07ec549398d31,166,72,215,82,5,0,29,0.221
98990fa92f6417bb464cc27a9c15a53636ec0763,50,41,47,40,0,0,21,0.221
ada44c06ddaf3c4b177c966c8e1be50f07b8e4ee,154,155,123,145,14,32,290,0.226
0ffcda4a18a74c7a708012854208269ccd450176,82,45,195,36,0,0,24,0.228
193add125c78d17e2919569ee52a63824a23efaa,118,133,223,132,0,0,53,0.231
f97616ea09c86fef54e9daa25d534ca567a701c6,37,9,224,9,0,0,150,0.233
0cb9858d59f47d042ec1ccbc9b8dcff56b5c99ea,-1,-1,-1,-1,-1,-1,-1,0.247
9985a91b020f57d6ef25813328fae3fad2c5de84,-1,-1,-1,-1,-1,-1,-1,0.247
4da1791ead2402a9c196d4aef55cfe41ecab6cad,-1,-1,-1,-1,-1,-1,-1,0.248
567dd1dfdd050280f5a692c93d3e460f78759338,414,193,477,105,4,102,229,0.248
7f04f86a70fbc6a387cb40169d90eb7487c0b524,1244,155,508,140,13,43,1660,0.251
bd5733b9094b34a2192a1e8967ac224d68c606c4,296,248,665,241,0,0,45,0.259
34b4b6799322503eac074be36407b97dd2778431,694,338,3274,294,1,0,8,0.266
3a445d64335ea6d582f4dc29645d5f30071180f6,246,706,228,304,5,0,0,0.266
20c9465f26c6f1439d2113c61df948aadd35c9e8,-1,-1,-1,-1,-1,-1,-1,0.267
b864d0bf3377541439cca158abc27c848c413d57,446,163,41,154,0,0,8,0.272
d6cfef68ae11a57fcd4ce8cb9a29f361ade1bf53,-1,-1,-1,-1,-1,-1,-1,0.273
b6dfa25e71d887b7dd8f405c30f7bc63f0eac915,-1,-1,-1,-1,-1,-1,-1,0.275
1810fedba7c2fb9eeacb621425234e39069be5c5,590,294,129,131,2,0,2,0.280
315f3df28af3e3c789f6b3a59e089f43c025eb63,-1,-1,-1,-1,-1,-1,-1,0.292
51ec8563aaed12c98270a8f61e6eabd99b4de81f,218,851,231,519,2,100,69,0.298
