id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
dffeaac14d239ad19b088f020cfa323f23ee5a5b,-1,-1,-1,-1,-1,-1,-1,0.002
6382da7cf831f2117127f4e85a3f33f0664b3d52,843,88,110,81,0,0,215,0.003
3e199df421258c98d66cd430cc99265ab4e5d885,-1,-1,-1,-1,-1,-1,-1,0.003
49cd8de179182957f591fb68fe5aa5d5226ac0ce,51,3,24,3,10,162,336,0.004
aafd5b08434a1df45a62ad5db6dede2354bbb42b,18,0,7,0,0,0,13,0.004
28a7b8945cf47413afab27fcea4ddd8ff6542559,108,14,62,14,1,4,15,0.004
551285a15e29e3dd5786c656854bc3b080ebf40f,49,52,54,16,4,59,35,0.006
eaf72d75e5abeccb38b6669752a3f0faa609458a,942,58,603,57,2,126,3175,0.007
1808ef0c984c9e0c87c528749b09faf0f974cd16,698,12,479,12,10,465,96,0.008
7217bf2928545fc4830691acc70ad6fb1a41e7d4,262,152,334,139,5,59,235,0.009
da379caeebd211263a24b3503de2c1e47de86362,-1,-1,-1,-1,-1,-1,-1,0.010
4d890a2f6d29d55616c06ba9e83a71fd13f5a0cf,180,55,98,46,9,535,280,0.010
bac91517e48f64f28f4fd9566377ed6b5f4e0173,-1,-1,-1,-1,-1,-1,-1,0.011
f678a2e43cbc699c5c84b94a5a3abf31f12e3592,527,18,151,18,4,399,891,0.011
647cf8a5aad661cb751fc4adb7df90a6111c524d,-1,-1,-1,-1,-1,-1,-1,0.012
986f9e3d23a39ba5794d1cce16680b3973fffa0a,1441,6,186,379,2,15,344,0.013
5c6e2b7b3814daab9f09fef3da64de368930aba9,673,178,325,174,0,0,3769,0.013
28526da45f8e65c72cf9305c338e187a072c5646,52,21,6,23,3,22,105,0.013
fc6d9cbcc3d6c2f3d287bd3ece2370fde9e7c00e,239,46,106,16,2,50,303,0.017
0ea1c53371455dc1a8199e0811ceab1f21fb5726,80,31,7,14,16,241,45,0.017
575f6d9f554f3ace8fa94072430b889ceb54f7e7,342,116,265,112,1,144,30,0.017
50972584119520ffb72b1c7776031abb82fc6507,1284,45,574,24,5,124,888,0.018
39313ca9746098cc7e74bca18085a20378549b31,-1,-1,-1,-1,-1,-1,-1,0.018
51f486eb730ab5c0dccf132c055e0aec18252349,1111,27,146,30,4,116,816,0.019
7b1e07ea55e5a2d65ec62ed5c91b9e3e51683aed,-1,-1,-1,-1,-1,-1,-1,0.020
74bc7d902c89daacd61014584675016989ea4745,-1,334,1636,422,5,1051,356,0.021
142628ebdc19b957964c9554e2d5f3c4783f9a02,594,220,168,267,4,26,1667,0.022
7f183ab2f03a24041b8badd678b67b79223c6ae3,-1,-1,-1,-1,-1,-1,-1,0.022
a1ad51617812014966c579f03ac25a15ba940cab,591,69,262,71,1,257,23,0.022
75ab96f4ac1f3b79bf3a8cfcdd29a9723dd56464,6289,688,527,778,10,679,3758,0.023
3d68530600c6fd54d946f40fe1bd76732cd24274,179,23,52,22,5,26,30,0.023
1c460b6f455b9f36d77e085c8a14b35abcc40956,82,16,61,4,27,47,283,0.023
bc9f5e9e53d6dab592fc1c2dea40559546ae7e9d,49,14,73,16,0,0,2704,0.024
0676ebbfbd887bd3b50de2ff067b2c86520b3713,114,39,10,22,0,0,1,0.024
5113a6d1db1fe5c63209096483731037fa36614f,-1,-1,-1,-1,-1,-1,-1,0.025
dedaeff35fd07897061420e6def3fcbbb5e18c2d,700,114,1317,113,13,586,3865,0.027
962c4d0a7e33e147c02a9c316c538919d7f2fee9,235,65,491,62,0,0,59,0.027
885c43be037461865e5fe951730f04a717dcb967,231,68,83,66,2,2,525,0.030
a907fc0c7b13f9431646917a7e6890a9db16a1d8,187,25,133,23,0,0,1657,0.032
381899fa50ad260f5da4c64b218930cbb66c259f,498,131,384,49,7,317,1013,0.033
896b09a8ce3c72a02c623b80c49f6f3f4b80d8ed,322,11,67,18,0,0,42,0.037
4f759306b202e8d4899a4f384e00d004428f4d93,148,23,18,27,0,0,9,0.044
20d8b24be1a2d42246538bf97833798c9c825b18,-1,-1,-1,-1,-1,-1,-1,0.044
85ff9c35e6310da2ebfbf35626a67f32f02c4f8b,186,75,101,71,2,10,149,0.044
c9468f89cd201b441fa9a284d8b9912ad43754da,-1,-1,-1,-1,-1,-1,-1,0.045
9e638a72b8e4eff3719c2c6da5bcf9b1b04d3f86,152,34,14,21,7,259,701,0.045
eed7b5274d93984c969004531b2549888ac0f622,1781,51,150,87,6,207,798,0.049
398d6042c3fcf1f92429332048836224dfd9a133,98,17,113,5,3,87,693,0.049
cca89d8a4c4877e3bc627b0881c475c19ce31a6e,43,5,10,7,0,0,480,0.052
3ba6beb44da0d154bb0647b58565ec6ebfb58a3d,313,38,142,36,2,6,244,0.054
68cb8786f1d9016a3611d9ad6ee70d45eceb8ce2,3383,34,505,34,3,38,530,0.058
00d7234d6de216db50e5473ab7e71fe15c596851,-1,-1,-1,-1,-1,-1,-1,0.060
01fd497d8ac4401f2d4205548ed76f042b6cc174,1978,68,853,65,4,105,2642,0.065
bae0535824b113b64ec972f5bc38a67290db2595,243,94,11,60,1,21,184,0.066
f4848be383dca00b1a5694a53370e00bb35147b2,-1,-1,-1,-1,-1,-1,-1,0.067
a4be823ea8e77eb056afd821912bada51acce666,19,35,17,35,0,0,14,0.069
a24f587d09544a0bfe82aa0b08f1e6884c7e1105,54,21,9,9,0,0,59,0.073
8fe2bfa9adf7d173ea1ef3d2a4880e107108b177,239,131,43,130,12,185,880,0.074
e32dc990113482d511d09a525888ec0847dbec66,-1,-1,-1,-1,-1,-1,-1,0.074
4d471fabf8820479cde70d9e0a255131ae228de7,-1,-1,-1,-1,-1,-1,-1,0.079
b235c822976b1f676c148ab0d286374038715ccd,-1,-1,-1,-1,-1,-1,-1,0.083
17b98ffe5a86a1409a09e51a2ad2966e84781679,-1,-1,-1,-1,-1,-1,-1,0.083
4358b4dc10e020a57fb1eaea139b78b28c67d781,133,87,124,40,11,397,115,0.084
5c54674f34f8d007402530a624f2926f5c0e90e8,-1,-1,-1,-1,-1,-1,-1,0.084
e4f9af0b144dc0918dfde59a6ae0a74b2a655f9a,127,45,75,28,1,3,728,0.085
c3870176e6b35df649389985076ca95646a06004,28,0,38,0,0,0,72,0.089
5341627c857dc1c8c3b0ddac28d5c21b7ab27bd1,-1,-1,-1,-1,-1,-1,-1,0.089
827833eb9151db7a9a7b892f6592b7585b8fa1ac,241,66,42,8,0,0,0,0.091
db1e2421c57f11227c4284ddd1f5531b2aefc362,-1,-1,-1,-1,-1,-1,-1,0.094
046e2e6f3eec1cfd30672d5c4f2bb37dd5c4050b,11,0,6,0,0,0,0,0.096
cbfb87b33b233ad134996e44ce8e48f31a1d588b,139,19,156,19,0,0,5,0.099
ab64dd6d2b0b9c1fa184db751e56e78148eab998,-1,133,120,24,5,136,160,0.100
01e9148fdb6f18d686922ec91b123b9fcd1f3341,9746,208,322,264,1,135,9458,0.102
10b6e7ba35ac1eb6efb211aedc59239145f09264,31,5,21,1,0,0,29,0.103
43f54087d282d111670691f80f9b4da2002f9cce,-1,-1,-1,-1,-1,-1,-1,0.103
bad9547d0c0a162cb3c1c673efef9dfdf41ba212,118,48,105,17,7,83,132,0.106
af11a729cf62ac2dcff7f5473c2ec443a348a254,105,26,14,10,1,1,46,0.106
f19d95cfb746c961bb282992554cfe9c36608bbb,328,6,66,9,2,11,337,0.108
1a455e6c1c985b14d2ad630faf9b85987910327c,204,32,67,16,1,10,290,0.119
395bc22b21bf98f991687104aff6a1b574dc8281,-1,-1,-1,-1,-1,-1,-1,0.119
43b22cf06e5980e1174898dca73c31e5aef1a98c,-1,129,68,120,0,0,119,0.121
dba75027cace8abfe7fbeed9aea6b00c4249176c,-1,-1,-1,-1,-1,-1,-1,0.121
b7eaf26ef3364e89a0a9c0625a2cd1fddacd3450,10,0,11,1,1,6,46,0.121
29583a219a4fe861e5c57f2f5e4373d2f8508830,58,10,11,11,1,5,23,0.128
2a29469de43dd73cbb264d6b4e4f4e10bb838ac3,2176,230,541,469,33,2004,9073,0.132
cddf126227e807f338fe26733cacd654e5dc8954,20,9,13,2,0,0,3,0.132
44b0b9654f0be8e57a7a7da64175fc84d2460e52,154,158,63,154,0,0,712,0.137
0f85d276c6fd56107a08c7c12000350cfcd2dc14,190,42,247,41,0,0,204,0.137
5368c7e05aad373e349f772917f432d8a7b9ffb9,297,67,271,66,3,123,559,0.139
467285ea23b3bdf7ce82b7e0f566b29ba6a665a1,-1,-1,-1,-1,-1,-1,-1,0.140
630363ce4799eed2a79c567a37a36d9a28304c6b,176,38,65,42,3,115,213,0.140
d0ced22df9789e7cb0f0faf85a43da0a5972f9ca,-1,-1,-1,-1,-1,-1,-1,0.149
7a841b70e164ce6a47ebcfcf9e9f0f7f529dd18a,959,539,502,630,29,725,1395,0.155
935ae1903e1b99b846dec3b4ccac70f367344aa0,223,114,305,106,1,11,2088,0.156
cd106ddc54e0654cf7af01419be7a56731f6d06e,265,163,97,166,1,41,415,0.157
b39ad4a701258b787ef6539fff8542a9581200cf,180,182,39,25,6,58,424,0.157
ed5e2390e3175cbdb72f0dfb88fb8d619e217cc9,-1,-1,-1,-1,-1,-1,-1,0.157
759249b004682ffeb7b91e0abf90f261fb9ca2fe,-1,-1,-1,-1,-1,-1,-1,0.161
d5d6a43a8dd5e4c17b5497d40a719719a3ddb4fe,350,29,30,29,6,130,25,0.164
a598ce4c45e89f27992e0dd9f48c97aef0df72ba,-1,-1,-1,-1,-1,-1,-1,0.166
cc7dd400699bb09a2ed77d2c3c12c77c3b678bf2,-1,-1,-1,-1,-1,-1,-1,0.167
7647125ed9fac623de4579f6d21efa4431bd4b35,787,378,242,356,2,105,2476,0.169
e32273707cec70693a1b14f7d5967c15a424e9ce,-1,-1,-1,-1,-1,-1,-1,0.176
98f58950aacf025f0b396291d46281a0c42d6fb2,311,14,95,22,2,126,225,0.181
1ee2785b6c46a24b399486c472b594715131fb7d,242,20,38,11,1,29,5597,0.187
