id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
e491ad2aec4f8769fa25ef7fdf696ca4c1b79964,411,14,56,9,21,793,398,0.055
d46b2356f37c2c8eef09f44fd94f5a4d6931327d,1189,60,1147,59,0,0,17,0.163
968fc4cebc9a7ea8600348f702355f9b45e1b637,260,23,382,24,3,49,239,0.166
c8a2f2e04a20fc9ccc29e2fd7427542cf4d30271,92,5,15,8,0,0,79,0.181
b06adffdb26c1791ab86777503adc79ab35173a2,164,19,180,17,0,0,198,0.216
d2adc9aad8aa6d9ce16c8290f81514a2b526ce73,192,18,76,16,0,0,122,0.234
61558d72d5fffada68704014e5890fc86a765692,632,135,240,121,3,0,19,0.254
746adaa81a4827385b124fa0fab06f7fa29796c2,616,185,590,177,1,0,12,0.262
f8b625bb73b4a177bb7c876d9d266e52a1f9855e,97,133,183,86,6,66,1432,0.274
fa16f08ade284548a457c6d5726e6a399bdb7591,311,75,457,76,0,0,2,0.282
95a91751cdefdb1b31c4c70853d83b32aa81524f,160,101,952,97,0,0,0,0.291
325bbe5963c693f3e05c00f2f2e31a821cbde349,441,210,82,156,0,0,155,0.302
e3af2382989414b49972936ffa19af59c49272ea,594,473,1039,451,1,1,4,0.306
04f90faaa6501ed4d1bbbd333b26f1594c0136bb,230,165,96,156,0,0,151,0.328
a08c8ad49efd65fb8c9146874d9624d6fc2d4beb,156,169,187,87,2,0,6,0.341
65b085e50045557496b1d5c7bec696340ad893e0,2140,313,28,366,0,0,43,0.361
70ed9fbab4cdc3155dd9baea3f3b6d33d5cd3dc2,201,782,556,707,2,0,3,0.402
1d7458af676a50b4c6257524a92dcd017745ca54,434,145,298,145,3,0,7,0.404
0d728a2e0212ea1a1e287cf92edccb81cd3812fb,-1,85,209,58,4,0,1,0.406
b07b9c61c96ebaeae100460530e963c02493497f,899,280,691,146,0,0,45,0.407
c149b31e2dee2629184de9b770bde991d2eb2161,170,223,352,197,1,0,10,0.414
127113ac0369234878ce8410a3fdb1a6c88d564f,269,78,32,43,3,7,7,0.434
59375b9c355fd600200a488ee0407b79eda7a6c0,172,189,56,203,8,0,142,0.444
51bd0b00a56cbb2b07010e37b359fad80441c506,188,202,153,198,0,0,1,0.461
3048ed07aba66ea6fea8942a5fcc0d114a1147e0,243,103,151,108,2,0,13,0.462
f1192483e76165d7edcd8c9227e167c915cd8622,215,58,91,55,0,0,5,0.478
1e1abc2bf5dc0bf8fa3a165bb0bea49992bcf51f,264,320,263,286,0,0,13,0.479
7c91105406f8f279d33e88384d7ce84f51bf597c,-1,-1,-1,-1,-1,-1,-1,0.490
f89e44162d3cda73a7291b8d43222caf77f7cb5c,-1,-1,-1,-1,-1,-1,-1,0.490
81c0c702bce88b690fe836f80d701c1d096f502e,257,252,56,328,4,1,406,0.492
14bc1e621f2ccfcc0579f92185ca439bf3a422b8,-1,-1,-1,-1,-1,-1,-1,0.498
8f6c9896a05337a8284ecff3788c16391e2e1eaa,198,155,106,154,0,0,6,0.502
246fb083bb5733065f32c00f65518f9636392684,-1,-1,-1,-1,-1,-1,-1,0.502
f3bca6f4953e0a6101502d3f2c5922cf80849f22,377,39,282,39,0,0,3,0.504
0da0643d9ffdabb09a1aa3958357dca07211ed4b,115,35,68,26,2,3,200,0.507
72a966728626b6abe95b437e0e16b25de891feac,-1,-1,-1,-1,-1,-1,-1,0.525
de23c13efdd18ffffe25993968cf4e77f3f7e454,241,252,104,241,2,0,2,0.548
ece4f78079d81d39667eaa9c389f3115c35f20ec,52,82,24,69,1,0,12,0.569
97c22b76d3cf3b4abec464607a86a865c9861291,166,41,34,41,0,0,59,0.574
488e6a42999ad2939dc62f763568eed06f091354,108,76,40,74,1,0,16,0.575
3d39f981adcc750ab9cc35d1a590823ae411521f,414,806,388,743,19,0,1,0.578
9fc5c889da42c1d495cf1b3aefe670aa5764a792,317,35,34,24,0,0,11,0.578
76f67b73f7c8cd31c561a2279cfb6b4ba3e1d221,169,205,17,205,2,6,206,0.588
b514a3185f698d420088e833615d9092d39c1cbf,166,13,34,13,5,0,2,0.590
1465dbe016ad9eb2b3a73544762d8f254ee97cb6,-1,-1,-1,-1,-1,-1,-1,0.610
e2d8583c2365ae2d6cdb9db2900b9ae6e4a29e44,-1,-1,-1,-1,-1,-1,-1,0.634
d045146db7b811ed1f3f7e60554eb31694d834bd,190,67,163,55,0,0,9,0.661
64dfc7444c57e6643495715d724999246e60c093,109,12,76,4,0,0,4,0.679
56e5b5dbe2317e0da1167cc731d5035da28bad04,196,91,295,96,2,0,1,0.682
a79d943fbed01ad3e221eae0de3b71cec47b0c47,-1,-1,-1,-1,-1,-1,-1,0.685
f478e8d81f95f426dd6603de8ba79e26879514e2,-1,-1,-1,-1,-1,-1,-1,0.691
886d9b176ad1b9d8b2b85bf16ef343cc2c2fa9be,51,165,196,152,0,0,65,0.695
7675787c75cf4400e5e5993d8b11e01bcf3501dc,-1,-1,-1,-1,-1,-1,-1,0.703
535ffd80ef2c0746557642fa081a739dd226ae4b,194,58,234,57,3,0,14,0.710
