id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
e8d413b93206262781006d4042b4d17e01a1d9c5,603,148,863,139,1,78,395,0.020
5b490aa2b1fe14fb73d93f6057d64141ce53e994,654,201,385,198,0,0,113,0.023
db7263ca798722a027146e1328902d857a300730,-1,-1,-1,-1,-1,-1,-1,0.025
1fb3ba1dccdf41eb30751239fa220523fe74b892,383,108,825,102,4,9,585,0.032
246d2b69a3206e9ef603e790eace5885fc79fa92,290,149,891,143,14,1042,658,0.033
5aa6eeb666a87c8988e7009e098dde8e223744e8,454,172,106,162,1,2,69,0.037
246de2d9fea1c3cf21c16feb283a699afa31b3f8,310,26,9,26,0,0,10,0.047
5b095dd1a496229ac73822488decd54ba5577faa,-1,-1,-1,-1,-1,-1,-1,0.056
33b9e236fa562ec1d4230424c19ba7811142b7ab,687,155,239,146,0,0,1153,0.070
07f5779a9f895eb5a714e656863906836c2c43d3,9203,3,0,4,4,32,3972,0.078
d5c96c341f84ff6c639fe06e8a48694f1b0797f9,460,60,411,57,0,0,106,0.087
2b3ca51c5e560c6346a37126d9be58598847b49d,-1,-1,-1,-1,-1,-1,-1,0.091
f069c6c4e360b6db5038b83199bbeab1df825f1c,-1,-1,-1,-1,-1,-1,-1,0.101
f85f606442f3de22269f63908503dc3afbfcf42a,194,71,33,32,2,19,79,0.101
478b00f865f32695854036f263fab0bdd1dd80fc,-1,-1,-1,-1,-1,-1,-1,0.116
6ceb45be679079952ab4c9f02fbdd5d369504f0a,474,170,495,151,1,0,331,0.138
b7f18ce5217fc5323504f0c3b617c6d753daa603,100,1,162,6,2,15,2071,0.156
d274589ce760e6185909ffe5e7202908b8e4fe1d,173,119,243,151,3,0,43,0.170
c4489c5d112c36b8443dfe797d88e86c948e2bd3,180,302,112,186,2,72,2593,0.194
44c5928e1dee84c0cae6ad0640cd1f49e2f4fce7,-1,-1,-1,-1,-1,-1,-1,0.196
0c1a918029a1d7b37451874412445012a8cfbc62,-1,-1,-1,-1,-1,-1,-1,0.197
f8f9c8819cdd5c0c4d38520fd006e038e845188e,-1,-1,-1,-1,-1,-1,-1,0.198
d58ab7df64b3ad534166c7ab0f526f3fe2962690,-1,-1,-1,-1,-1,-1,-1,0.202
6c179283ec377fdbe52061172a4f589e8297fa6f,403,56,260,54,0,0,29,0.206
e50d4aa4503aac2c455a5f36322973c9a6dbd901,423,228,219,212,10,64,44,0.208
7d38b725ed07c7085714b0f6bcf46b6ab2bddb8d,199,47,150,43,0,0,353,0.215
e68a9e4299fbb27b2ab03a93af42ba720665d748,-1,-1,-1,-1,-1,-1,-1,0.218
cb9efa20ac8e160b1e094e39b31d38fda4179251,327,171,393,155,0,0,5,0.223
55dbac5d414c090471feba7e34d9f3905b8662bc,427,712,134,657,2,0,4773,0.224
f2527cfcb92b25fbe2620a1000285c6bab7b4b58,-1,-1,-1,-1,-1,-1,-1,0.227
cc79d655e3fed28377c3f2d9968012218e8d9908,1086,37,379,34,0,0,28,0.228
bc4b65217174a959ffd525b6707b6bb76ff2dbb9,523,89,159,84,1,0,3,0.234
75d55e4b08b375a2e106d067b37bdbcb05f56f5a,184,42,138,24,1,0,15,0.234
a617d249ac6a342379b00dc20c1e88af364cc5ba,459,202,210,240,11,68,2661,0.237
9c3fcccb0af890173a9f8e628183516f39c6a1b2,167,52,484,50,0,0,3,0.240
4ee97293f4e683da8fc72300c84757f56f4aadea,252,48,253,47,0,0,9,0.243
be55dd2995438876db3ea7a08042d590c52d5506,192,182,329,173,1,8,7,0.249
d6edbc8c9363f415b12315a69d636fa8cb4642b8,76,55,35,53,3,0,66,0.250
13aa6a557eed04c09cc8381d20823fe5c4798865,125,724,485,266,2,0,1,0.251
7bdd7a1b7a9d8d1dd1568b0530fa77289c5739b9,438,251,653,236,10,4,643,0.258
f938701e7bb58114ba10281e38c09b98e2a76564,56,330,282,284,1,0,0,0.259
99383d796a5f7ce8686c0ed2dad9b1acc5f433c2,135,47,216,46,0,0,2,0.263
29ec7f1075cf98ad33f7dc6f5d18e25f5a5973c6,131,55,269,76,0,0,1,0.266
90dd93b7fbc0f7218424bdb9f0c5fe9c5d461bd3,286,52,315,51,1,0,42,0.272
4dedeb853167ffc3f721721de05266d673d67c86,95,42,455,47,10,0,200,0.273
5a84f9a79a715556be7a80a01a706e26a707acf2,232,41,344,43,3,0,2,0.274
fedfa6597ae25ffe603983b3677424d168fe2942,113,459,231,430,0,0,1,0.280
6c9530dded02db3f6bbb790c1c661658e30f84e8,114,345,239,331,0,0,0,0.284
e357126d074d8b3a2ccb765bb819f4dc6098188b,119,103,357,98,0,0,4,0.293
90d8558b0884d7b20bce55c07144a38b1f8c4a42,91,124,179,124,12,0,51,0.295
8da654ea742bff9dbc02eacafc7aa13bc0bfe4eb,-1,-1,-1,-1,-1,-1,-1,0.296
f7d669ed8daa45db48d8a9356c9b7bcfff0e9296,196,104,202,136,3,0,1502,0.299
bdb617180c52aefad51181360e4e13383f959a68,155,176,307,157,4,108,2325,0.300
5a37325a451170f383467b0d5ec7cb2ea926da15,157,42,80,44,3,2,120,0.300
3780752ae314841ea492c6513c1bac67ff17e867,-1,-1,-1,-1,-1,-1,-1,0.300
887d7f54c454cebe753d1cdfb5e3f737e38b23c6,79,-2,50,72,0,0,3,0.301
8c12a6b1dfc1b8f7be778a5fbaab2530dd1c92b1,283,526,245,501,3,0,11,0.303
7f6f48bb87d5a1b0c893c684684751bb96c6bd30,135,23,113,25,0,0,80,0.305
