id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
57324993ed16c466322b2250ebe2545c4be374c6,180,128,314,31,2,52,13,0.049
41f67e6c3968683dc01c8339da5f8fde316b6b1c,368,91,232,87,0,0,47,0.054
567b37eca83a2fe210382da7c7604de7154b7038,-1,-1,-1,-1,-1,-1,-1,0.055
2d82e245db06ed397903974b7b028c64a8531ab7,-1,-1,-1,-1,-1,-1,-1,0.058
c24d542638fe925423b11a5037f58d467914ebd1,542,789,785,742,0,0,413,0.073
5cb614ddc5fdd65edfc6858970dfef4e4ca78cb5,71,67,246,63,0,0,0,0.183
a0da9e209fa474d598b1de17eb43dc1ff476f488,8340,62,4936,1133,0,0,96,0.199
0fa02085401de8d6673a18be9d2fe3545f3a796f,-1,-1,-1,-1,-1,-1,-1,0.224
c280951112818885f07d30e343e3bf248df2963d,283,528,279,497,1,0,5,0.241
700bdb4185a3f7eb42a15114bae49eb884d695a7,205,317,188,262,0,0,0,0.244
42182dacaf381458586f98bdbc209c794d6540e8,-1,-1,-1,-1,-1,-1,-1,0.247
921e84332553fb658c2905ec9bc0affdc33e0b72,105,21,412,20,0,0,2,0.257
0bfc0771989b461d578c68181c439efb6e4e99d5,86,187,293,174,1,0,4,0.280
26901c9c9ad4bd52f5a5c4947c949db633124b44,68,130,172,124,0,0,0,0.281
5c89379fbf5f8cfb64f5340bead829128b4e5437,110,41,318,40,0,0,3,0.291
754ee3334bd6a2e4f24fa495a6913394d7325c5c,43,205,173,145,0,0,72,0.296
f8089c887e4299816c2cfd0e142d2a92b68bfea8,-1,-1,-1,-1,-1,-1,-1,0.297
96540b6b2e4df38f148b891f0c25e4ebbd6289d3,236,87,190,81,0,0,5,0.300
b3a42b00d9ac1acbb6d3afaa9bd6b9384d836d8c,-1,-1,-1,-1,-1,-1,-1,0.302
5a497ad8973674caa1a54b5b27fe0c72c4b1d55e,147,65,592,65,0,0,3,0.310
0d42138940bc80380efb6aa9ee0a1c95293c22f9,223,174,86,87,5,0,319,0.321
f2e7a81df70183483ffd8f1bb206e8ecde1c888f,-1,-1,-1,-1,-1,-1,-1,0.337
e91313a9a95798b4a2fce149868a3ec898a7a4b5,117,146,65,130,0,0,8,0.369
691104ef82c43a3c5cff177ded83413f84ad24eb,178,49,329,49,0,0,156,0.389
7324eab38f1166ec3f9f987bbb56a9c71954d854,404,436,311,402,0,0,3,0.401
efebe70b940afb478316aed486d3389878b2c87b,120,125,136,112,0,0,4,0.444
017b54e72dfaa903af0e578ee363b4f7dfb4e70b,-1,-1,-1,-1,-1,-1,-1,0.463
322e3e3c84ccfc4e41c2ac3897a7b6b5beed92a0,557,81,100,48,0,0,914,0.465
ae383f0ddeaa57c36fa667de4dc70ba8aea285d6,441,160,137,154,0,0,4,0.477
229707c578cdf2ba9d43c806d5953d15fbbc5106,405,41,167,29,0,0,8,0.529
9e4f817adba0fe8eb9203fe624170be369188af8,221,85,74,80,1,0,2,0.532
12d377fe84048df5e1203a0f77f3657cc29b5e55,365,47,138,47,0,0,5,0.553
b5b5c73b1a06b0a01c660819bdb3d00deb3cf8ff,249,165,104,149,1,0,1,0.628
ba5c26b351f3e9fb0e9333a88e64e19abfa9cfe3,-1,-1,-1,-1,-1,-1,-1,0.652
98137fc9e3227c157cbe16391066dac5e2fcdda5,99,77,45,53,0,0,1,0.697
ea9ad12a4f60db2f179959e83dcc52d875a77704,-1,-1,-1,-1,-1,-1,-1,0.766
324a12a3506ed6d9db9a025e0cfaa0f17377cc02,133,17,0,16,0,0,3,0.852
62f560a3f3bd2a75975852a97371f1bc49d94150,-1,-1,-1,-1,-1,-1,-1,0.898
c812d8a548834f8c8fe32c70a89a4b42bfb1bfe2,-1,-1,-1,-1,-1,-1,-1,0.945
9738703f9a29d7b6f96f620a18f899d864c56362,75,90,27,86,0,0,13,0.948
