id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
320ed4d31a31281a184a1c49441f6a3c50095f7b,30,16,4,4,5,37,24,0.006
2c827a96032286573269ac1e77e222a4b365eca4,-1,-1,-1,-1,-1,-1,-1,0.229
d6e4f438addccd62a601d9e26bbc011e98a022d7,81,308,61,289,1,3,951,0.362
17fe1a59bb67167deab13ef85628403b4b5de4d6,21,5,5,4,0,0,2,0.433
7d560b75e3b308ea89d2d9c0be2bbdaf8cdbc2ae,-1,-1,-1,-1,-1,-1,-1,0.437
71cd0685cac7afca99f2a1db38c20435e764e89b,41,165,88,159,5,1,56,0.552
2aac8f6674da199927faebf40bf65b689b9ee22b,-1,-1,-1,-1,-1,-1,-1,0.558
89024575212607ab7baca05d58b8e6b6802de6bc,60,10,15,17,3,8,31,0.792
8607f9be01a42bd6b5e63f6f38e5ae031a67d98c,-1,-1,-1,-1,-1,-1,-1,0.794
10828cfae67ab7339ad2c73557548f9ce92e503c,-1,-1,-1,-1,-1,-1,-1,0.825
e24f318c0edcf9fcf5c96b920537cbfc7cfaacae,37,8,8,9,0,0,5,0.927
703ae289ca5e89dde16907b05346d7ef61bcc5d4,6,2,0,0,0,0,1,0.961
