id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
639ce4cbac47583ddf085d3112d143eb51254423,7420,47,6405,201,0,0,11846,0.001
3cc4c4af89db8512a526e628b9f851454f09f9ac,6702,486,8971,97,8,188,5229,0.002
941f19cbfefcdae3043ff201637c355580f8342f,9461,44,4375,102,0,0,958,0.002
26ff64882f288200ca6e472a42628f9f914f584b,7104,168,2524,183,1,51,284,0.002
4fbbc0aa5687c8d4be176ae6701e26a2e7a22ee4,523,59,851,55,1,3,158,0.003
dd3fe7481d2bd62924c12857b83293af47513a6a,5164,34,193,467,1,7,1324,0.004
9b2cff22a92f58942243f2edcb0b4a57fc77a2ac,2668,47,420,241,1,1,836,0.005
0f53e34f6be571080f4c69453158aaea781305d9,-1,-1,-1,-1,-1,-1,-1,0.007
0d669251d9b4ee0ca863c1cbc8d4474bb7154425,5116,209,1981,456,1,1,230,0.008
d551c7ed95a3679b9a73c9dc3e67ab5c16595b39,4151,90,456,113,1,3,1013,0.008
e5658ebed75e26c1d3819811570cf7f51df297cf,4605,63,7012,479,7,1002,6247,0.008
4bab2ee7718d5d9b308e847187f377b09e68676c,355,45,177,42,0,0,504,0.009
bea65c9600f34428cd3e142d4de3e746fd10ac5a,4918,113,775,827,2,187,3912,0.011
83973a85c4049ab70acee4ae4ccc8bfdcebfa64d,-1,-1,-1,-1,-1,-1,-1,0.011
99b23691b9efe1c151a26b5c8871a7c4d649d346,4308,12,1555,602,9,123,703,0.011
377fc545222f30fa734b62e76347816f3cd9ba91,3762,193,0,18,19,805,1455,0.011
e04c7e091f1981718a18ba55e76a5795e401a654,4914,411,1856,599,0,0,4291,0.014
cb16bf68bd911741d8aad93c1de7a0e914781469,4357,303,333,290,52,1373,23821,0.014
043251ba305615e0277ae85f81cebcb8542dcc70,4141,44,2008,739,18,311,1367,0.016
9d220b2e4201bc1263d0691ac896bf8edfd080bf,4487,27,3866,569,2,10,889,0.016
78fde920404539a946022b85b22d510b26883906,6872,100,809,99,3,60,2580,0.017
e8f204ad298eb5b7ae3d89a12f042ef3aa253b81,6502,82,1016,342,0,0,178,0.019
eefcf36090cf3d2a9d27fe75d70371ce6129a5b8,188,61,242,60,0,0,44,0.022
9c3489a288095261cc576560b33980046040d6cd,4066,42,1532,289,12,903,909,0.023
580705392467d671da754ada4ea4a0d7b8c46cff,6633,209,546,265,1,13,162,0.024
589d7e9ba443bd8d2061a9ea3021ad7adfcfdf4b,6722,155,3063,447,2,158,6333,0.024
494841ee555bed41fff6dbeddf7cf78e73589e3c,4377,143,3625,556,0,0,2373,0.026
6b735a981a42e0b900efaec0f57200abab0e32f7,8914,74,2939,213,1,0,2455,0.026
378cd124921a9aa336cb92866258910690a5f043,7028,64,3505,627,5,349,1554,0.027
717f3ba2a624d8f1f95cb2315131fddefaa1ba2a,-1,-1,-1,-1,-1,-1,-1,0.028
a03d8475c9beca3af53ee4cdf8b9b692c092724e,4937,514,767,785,5,280,2840,0.032
b1349c9931aefca370d32ecb63f4174d130083d5,350,64,335,58,3,175,135,0.034
be0f83869df60ec91f3d6e5ad321852dc3d13647,3094,115,1125,123,0,0,63,0.035
4bddaffd2fcbad1b0486e57d76a9f8912bd33732,295,33,491,31,0,0,250,0.037
56fa4436da9ed4d9bdd62714fee7e1e650cd9607,2499,126,140,290,10,238,1732,0.043
f1cfaca6872109481b7ac2c892bdfed6eb846e3a,4809,34,2065,184,0,0,992,0.045
1ed3aac7423d4445cfff88a470ee9f6f1e467e53,6813,290,1765,98,20,3810,662,0.047
e9f514a8dfef35cd9bcfd93e4073efc582c58f58,7085,6,4328,236,3,49,2465,0.051
bf881ffbc7a5576da0595b427b44b2c58568990b,3182,54,1010,159,0,0,189,0.052
74b0cd540ee2d64002ec0d019efeb7551a583665,7333,32,2860,447,0,0,1791,0.053
452262e81c9667bbcdbeccb41a261d7a0d87a9ab,188,36,230,36,0,0,123,0.060
fbd6c69b3840e18def93376735c17d93cf778252,6684,71,2101,333,0,0,1029,0.064
5f7a1d1fe416d74d59cc3fa308d2c5005c32c01b,-1,-1,-1,-1,-1,-1,-1,0.064
a8baecd875ef42602a4e513d81abea9c1399f2b0,218,2,150,6,1,11,2,0.069
a05e3052dec12d699be5c25d19f62d917838e135,7056,58,346,465,2,71,5615,0.071
4f69efea80ebf66e785677a29684fa7841b3a024,3252,7,5093,7,1,52,3440,0.076
3baecf5ed7eed95ba0901ff98a45cc286af02cc3,3783,37,435,716,0,0,1601,0.076
c0fe02cedccfd3957108b58dcf190e4fba4cb6c4,7046,89,674,323,0,0,1766,0.076
7efdfb48ddc05d3c6a053ee4589e6dbaba464a58,-1,-1,-1,-1,-1,-1,-1,0.078
8a8aead1c40b794ebfb7cc7514e6bbb53c51cf8a,4007,100,1477,252,15,769,1754,0.083
41f43da75d75a44952494b5e639b4398061036f2,272,81,267,82,0,0,797,0.091
343f86652d21a420e5510e0f92cd4d3b40c89ad7,3806,182,1808,341,0,0,1320,0.092
e74b55a680a9aad8cc5363b3c4259d466b9852b0,719,57,411,52,0,0,1,0.098
031dd8062a646bd8c84335a23da8373f25a7f9e3,269,99,122,95,2,92,36,0.099
64fc96fb32e5fd3ce7bf2ef58bffa5649547369c,4947,33,101,1396,1,16,944,0.100
5d5d2e03376364399fb7008767925e83b8f83da5,845,117,913,115,0,0,157,0.104
52996f2100cdcd8469bd3a7784823f566123d0ee,1910,207,565,191,0,0,1196,0.104
b8fc153fa4d11a1f391aefa189c183b61ef75d53,499,89,537,82,2,31,80,0.106
1ecbc1929a3dbb03753bdd490050cf201d929562,1825,142,102,224,0,0,1046,0.111
ce379ecf14f130654b53088c18f7129f00e5a601,-1,-1,-1,-1,-1,-1,-1,0.111
fea7335fb59be51638f2c63512b7804590f53cda,199,44,480,43,0,0,2,0.117
a35664e264e7199f35d03198c3978aa74fc915d1,5718,119,805,151,3,424,159,0.118
0f7f6c223f5920bb62db5acc3454583878825e13,-1,-1,-1,-1,-1,-1,-1,0.118
e9fa5c67b60bc8548394b0e206e0389676de8a4d,2605,220,2881,251,11,1505,874,0.120
0d9c4e9eefaf00eb026952a3fdc6e0c1bd14c987,271,129,123,127,4,33,452,0.124
4c7840144dfbca22ceda5e416211d63d1f466ecd,4958,49,6304,351,1,0,2803,0.125
e4b7a3973e0abb91abd1503bacf081dc6a7ea6ad,637,250,438,240,2,148,73,0.136
9cdbff1d672a7375be775b090dde4888e89e5719,3865,144,1484,208,1,2,5570,0.138
452971ead643657ac367a98d64b27a764f992d7e,197,11,80,10,0,0,2,0.144
a3e8c8655a0cceab697be4f84db054913e259be7,114,64,37,59,0,0,138,0.147
f624542c071fc35617abebddeb5114261cd8c665,1903,231,469,269,1,4,581,0.149
661a2b44f514693645a0605aa25cd1ed2fc6049e,8952,7,2147,6,5,607,1245,0.153
63427f1eb68eba23d0813bd461707c4f6ad1a1d1,1412,212,295,222,5,104,179,0.156
3c7cd4d037fbd48d2b2369c47d07b1fff31fc356,5122,48,66,155,0,0,187,0.160
bee7604827bcbf04f1dd541878fafa2a6f80e715,455,830,555,789,4,68,161,0.162
e18ba76cfbdc0a2fa52483b69b76c2787e1e5644,74,11,114,11,0,0,2,0.166
97e6202bef2c02287ba75c510873b1c279db2c9c,3276,19,1078,19,0,0,40,0.167
