id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
09a9ec0aa87442fdd65b51b92e3a8812c1f3a5a8,349,61,204,68,0,0,141,0.007
c8cd040d3fdd7ab7a0b87f33215628cd52aa2627,516,63,1,62,1,0,0,0.016
190f223d9eebf13d4c8e2e934c57fd10b4615b81,552,45,118,54,0,0,1478,0.018
e1edf3a803eb8a7cde1874e810c9b4b631ca64c3,4171,81,1180,154,1,1,1938,0.018
5095c0c910b555cbaa42477eeb5172f416a18076,470,76,262,75,1,0,221,0.021
c29e186e2f1ffd1ff9724f125b45332dbe6c46e6,2511,220,127,123,5,149,936,0.021
c91cfee0428854a0a684d3288b46b795096b0c01,354,250,527,218,15,412,450,0.022
347137f15f40dc37c3bcd336e9dfe87984a6a270,7948,89,2,159,1,16,912,0.023
4ca91808dd013d802e350f4b02e82721cf2e8969,-1,-1,-1,-1,-1,-1,-1,0.025
d60fb542961eda47e73c9924283a53afce783458,531,10,226,9,2,0,42,0.027
6c3094349e92d070bf4d01d973993bd368475c74,323,48,322,46,1,40,972,0.027
b60a2725a590eee159404099998f3fe0578e8247,307,34,24,31,0,0,15,0.028
3529d54f60c77e4f75ec93e574a4793a6f71de95,583,46,300,49,0,0,1972,0.028
ce46bdb1b1c515cb4ecff71e23a0828c115b5c72,294,116,473,113,2,0,182,0.028
265d722682d8d2bb50df60127203f0874cb9dae2,457,104,59,100,5,154,855,0.029
3a74305b205af59b2d4a1fffc6c5d2f9bae4ed34,1183,88,80,158,0,0,88,0.031
ee99fbeefe6fd2a6d4b5d9e21ce35f2fc66f6d69,-1,-1,-1,-1,-1,-1,-1,0.035
57ab865d45aad81a0d4f24cc8b92672e493563a7,214,24,103,26,0,0,114,0.038
e185ec0d306b22843b1dd377036f4aeb6c2cedc0,472,72,379,77,1,37,295,0.038
fe7e1214d2f0f5afeb9143ac2975313439a148d9,303,58,356,32,0,0,199,0.039
76cfa53787161d6f08b298224d698cc980f2306f,458,81,117,44,10,682,73,0.039
2263f747aa23a7a38e368a99999ebe08fb44b2c4,467,41,185,71,1,2,262,0.040
67b65193693e795e8297bd263472879bc8911d67,-1,-1,-1,-1,-1,-1,-1,0.041
ce31de6dce60d6fb22fd03371f917d09155d317e,750,88,212,85,3,54,311,0.043
d78c91f231a1f69c26e949dbd377ea8c64321dcb,-1,-1,-1,-1,-1,-1,-1,0.044
2d215efa8be9b0a51d030f412697d51e6853fd9b,-1,121,427,114,0,0,302,0.046
811e77b08cd129d3ee5309debdfad96c1b83eec8,333,85,445,69,0,0,409,0.047
4fc1a5e840fc3667e7454fce6146467c1ff8da8c,709,103,231,105,4,276,71,0.052
3aff6b5680c9a531dac9b8fe69752920815cfb0f,-1,-1,-1,-1,-1,-1,-1,0.054
99f441d2c4e3c36fed2bab05dd5aeabcded56a08,815,159,890,182,12,354,581,0.054
75d362e767d8fe23e8f642e3b77941117d469623,173,61,100,57,0,0,7,0.056
192599645f3086a87cac258a2597a7a6ea702edc,513,72,20,8,2,98,535,0.056
f63fcdfbf202058e6fabed69a604c04682cd1797,142,13,21,12,3,47,23,0.056
ddf3821ff6ca0fb442958bc68efdcea93154dcdb,1308,24,47,36,3,235,1,0.061
6e7815d723b9e3e250da8daf4e43f2118aa7a5c0,881,114,823,114,2,0,596,0.062
0e60fdf5293b5513f2507f68ef263ccd8c33ff94,6200,18,153,264,0,0,32,0.063
5632cfb8aa11129a1f2a9f971ce20cf4293ccb13,3371,38,412,91,5,59,1100,0.063
46e8ef15c237ab98d8d7bb83b76ddc4b53652d4d,454,42,687,45,0,0,806,0.064
27fb8bde26b345dcf1b9d09accc2d7da0c82232c,212,127,316,122,1,0,799,0.066
c987cf0bb1aebf826bc1e01a89316f3389bde8e7,647,29,165,27,1,24,104,0.075
4570edb8af637cfb3665bdef4b46e8c4981f1337,510,66,190,36,4,60,42,0.081
f651c2bc0c64087e5791a9787dd361e0a4039b25,617,109,57,24,2,9,68,0.083
8345d39d827e10cf73b9d48fba6b9c1c09de408c,-1,-1,-1,-1,-1,-1,-1,0.083
236febbbca70c38c38e5429503ac78b7455f2890,811,320,1054,134,0,0,176,0.084
9d4acdd093919a4831326d7617e07fac7b0baf00,216,61,232,59,3,64,1803,0.084
d8def148989552c69b736f57092e89abcd5187a4,495,112,38,68,6,41,3320,0.086
