id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
56f74ff9e3cfb7421ed6856700292f1831487d56,330,190,349,180,2,186,95,0.001
c56ed2c5c490c77bb6fa24b8b030647c341241de,116,77,236,78,1,36,1468,0.003
988d26e38224c1a706c30a2bf03b71863ecb166d,156,15,54,26,0,0,112,0.003
150c3ff36fa1112a3f7e5242bb08538d8a94247e,-1,-1,-1,-1,-1,-1,-1,0.004
397b75d73be291dcfa2f0cb7f97045e20f951593,430,299,374,88,1,25,99,0.004
3e36f392fa3915469d6d98b144c0e79a20e7e709,233,96,286,85,13,167,6359,0.005
9908b9a995bc9ec3bc11b6f3b07445a5f1042093,-1,-1,-1,-1,-1,-1,-1,0.005
ec0845907c49556dd4d21735a6bbcd80896a1680,-1,-1,-1,-1,-1,-1,-1,0.005
c3f698dbc46d4ced011f9832a4c675f6280b32b4,-1,-1,-1,-1,-1,-1,-1,0.005
66e2bcc7a7aa247c7724db0a824f89059e2f6c61,529,103,1011,96,20,1681,1713,0.005
acc6219c43ccf24e03b5b4643dbf70e3df1e1072,3947,152,3711,145,1,107,604,0.006
434ed82aa367d246ad2094335cb7ce1f2001a492,-1,-1,-1,-1,-1,-1,-1,0.007
087655056cd05d2959c9e3c251bc39f3008fe44c,125,17,123,18,1,0,225,0.007
deaf892cef0749db252c8fdacd139eb5d1436f2c,5943,236,919,656,14,292,1134,0.007
cad6739e14e630ede2af656c4f9fc510ea63498d,191,144,298,136,8,39,584,0.007
3b2f9a67455796e2cc15851ad4afdc7ab8fa575e,-1,-1,-1,-1,-1,-1,-1,0.008
12f14330e1477ccc548ea97b780fd2231dd7558c,397,451,162,156,17,361,1158,0.008
2ca45a7b0a124bffb9ce36e8ae5134bd756dcc4e,148,97,171,91,10,104,135,0.008
9389a93cc1db75e0d3979bfa3fed3490733e58bf,317,61,86,59,17,401,888,0.009
b81163e41a77e1297c2f316ed0c8344b8d5ba82d,109,100,219,59,4,107,693,0.010
57c89c55eaedb82a266a7d8aa76e628befc6f26c,482,147,238,145,2,84,598,0.010
868996aedec76f183d8328efe29c7acb272b7ddf,-1,-1,-1,-1,-1,-1,-1,0.010
7f51c69b03c610d2fe1b9064e228e4f0f9cce5f6,135,5,24,8,1,272,66,0.011
e17f078ef70a5630201950916cbaf33d7bed6306,114,62,63,55,6,6,1562,0.011
e6e6fb6fe9659b87d373289e39f6a1dedb18bed6,-1,-1,-1,-1,-1,-1,-1,0.012
cffd93c579ac4e95ee3fb867d7289e5b5b921f71,-1,-1,-1,-1,-1,-1,-1,0.014
5b76c54b57b9fabf42a2a050dbea0f66c62a89d6,74,1,18,3,6,40,13,0.015
f57cae9f388570a0e02b6538de2d85c4ed862960,547,149,1024,184,21,354,457,0.016
65666442ed41817e939dab8c9880d1a611b411e3,294,78,218,79,2,0,1507,0.016
a5c3f70641ed6c87e3beb695fd6501a8b3bec6e4,-1,-1,-1,-1,-1,-1,-1,0.017
1e1ae9f74e63fa6d0f72245722402cf192b80223,1010,14,83,40,1,6,394,0.017
7fb4955eec69882d11bb2670e65ca7ac717ffecd,235,106,166,107,0,0,4478,0.018
a5e03486bcb0ef6e7fbbca5399c93d2cce8fb6cc,141,2,174,2,0,0,12,0.019
b796e8e2468b69338a1e682600b38f407b07d3fc,81,24,98,7,1,4,45,0.019
05f7cbf372ac25396877e1105375a81bab94ae9e,385,573,12,426,2,36,7838,0.019
b0e00c491c1e4b21ae21b59d66c4449a2dc5f18b,163,46,37,34,1,13,162,0.019
0b5b725a1468d3b1e81ca5f2d9dd1cebad256cf9,164,88,326,85,27,766,124,0.019
2282ce749f240dc6d7e7f430a86a62edbad20661,74,33,61,6,3,30,17,0.020
656fb11bc8386e45dbf2e623217898b22630a84a,94,8,85,7,0,0,102,0.021
6ed904796816b78e78935b67404e45f5a3008b2c,408,13,91,14,1,112,10,0.022
5007ef23b32532862fc9dc73871be353e15f56ae,69,5,79,6,3,46,21,0.023
c3b75141f3a0786d1faa0d6e77e17edd6c7d3c60,100,93,70,86,0,0,305,0.023
8351111e493af766eb1178c33353863fd3abae21,374,65,491,70,20,633,3809,0.024
e2d1cf7a4a6b6d1bca9f2e2c156cb0bfb95f8c40,2164,124,955,297,5,88,2326,0.024
3211ec81cef0ab7da9a92c77485c83044ab867da,691,213,54,229,11,96,893,0.027
b2cbf8917d5249f237583522735f7008e839847b,366,51,231,55,3,96,118,0.027
8a15562e3b107e3b79c6024a244bc9ba30e350e9,581,95,559,100,7,583,1084,0.027
e778633d46c473123f16950627b21d47d3f074f0,621,44,152,20,11,189,184,0.027
d5aa2e73009a7f8aa8a9c80842923af54e860146,591,343,497,325,15,788,1198,0.028
bc17c490f6e9c4503792a53d135f62394e99f6ea,395,137,308,141,5,327,272,0.029
dc6607744d780a162b19b3b7b01d5f1770a93f47,590,90,1449,88,2,797,685,0.029
65470fa82a1ae4f045e36a613713753703463289,766,128,178,137,15,1339,2279,0.029
6d6fda0a6f5a93bfa30ae13977e1859a87e136b7,-1,-1,-1,-1,-1,-1,-1,0.030
df120e60d7f2fe706dc526eb60941ad970eff4aa,306,110,156,1,0,0,5699,0.031
7ffd20360b68de72aca046eb73debd2bc2806ff6,480,207,105,45,13,189,13,0.031
ebb4f2166f441bb52197d86ee0e94775e95dafca,148,276,265,264,0,0,4600,0.032
81df23c77c63f4cd883dd7a9fe4e6916cf97c314,218,580,2829,172,19,788,11358,0.035
339178848024d87aaca51f765fd7a84c082b22d3,313,31,366,41,2,4,2415,0.035
9992630d7cf3973d3c8a3a6a3762c7de82ba17b8,558,304,307,159,1,0,47,0.036
8eba45f580ebb7c7c112ad537c8fda0aea327e1c,-1,-1,-1,-1,-1,-1,-1,0.036
32e6db0a5a704c2995e743b7022b707479e95dba,521,59,150,64,0,0,4938,0.036
e63c6f56e06c6e8aea2fa2e70ca62b65387db07d,429,88,333,85,1,526,2165,0.036
4820cd605d65a07e17b71802144cd2c9e9365ca0,213,22,128,21,0,0,30,0.040
375eb9bd3ef2d6967389e1277af16c391f9f9b49,259,569,93,94,7,73,1048,0.041
0c6b1ae9160cb1a9f82ac3c656f4593edd2116a5,489,740,832,147,19,571,2645,0.041
f53026d2daf58cd16ef6861a138bf255fef00839,329,198,46,80,3,248,103,0.042
1cc7ae995b90230d786fd824eaa210b3fce6e1ba,167,51,64,50,12,513,323,0.044
7d057daaaf1f16eaf0202e846a91fe4e6a83cf4a,56,9,40,9,0,0,92,0.045
b9ae0e70779b0726d792a12516fa75559c93dab3,285,429,411,420,2,129,1907,0.045
0321a078df9b38ba33fef7443bfd9363d3ed0ba7,549,178,335,226,5,104,672,0.047
