id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
25cab0ce57a9a9a2e0c034824c464ca7618ad52b,33,28,26,27,8,39,468,0.227
125b6e0d0d5b959c300a0ec88441330708ac01a2,-1,-1,-1,-1,-1,-1,-1,0.247
d5753cfaa7fecabfcb07abd725e1954419bc404a,7902,47,1180,410,19,1032,4187,0.266
17b946f7e335a6c731483b6428a8926a1ceaae8d,-1,-1,-1,-1,-1,-1,-1,0.275
c2ad4371f43e7702cdb8691924442629274d7197,-1,-1,-1,-1,-1,-1,-1,0.302
46eacec112cf358e996bb4a016cf6cf5dccd783c,4523,15,9,6,4,16,23,0.312
102c51cf72785ccae78b37ecd570637414bb347e,69,55,64,55,0,0,104,0.318
5ad017b838f26f2563b65f355c80baedc2ab9657,134,1012,322,972,0,0,17,0.321
ebbdb303ad0b4e5e865345f046ba4f7577d050cb,3367,3,273,282,9,198,2165,0.329
9a59f8c65923bb6020e0d0008a5fea4538283fa8,122,46,109,45,0,0,9,0.349
8d60db141df355e1e13ef2ad0690a2d58278ed8e,1071,543,147,646,22,28,2953,0.375
674fae0257ab770becef2b48a37707c2de653666,-1,-1,-1,-1,-1,-1,-1,0.388
de203db346d544d83931069ad5acdd5b8cd7d647,-1,-1,-1,-1,-1,-1,-1,0.401
229b5bc7e371493aecc4b83d0fd56139c480c84a,204,355,469,334,2,0,2,0.409
64069fcde7e0c1ae985505faa3c40639fb71fb48,250,66,1,66,0,0,1,0.431
e1b5909267a78ce56a6b27ae2449139682946ba4,-1,-1,-1,-1,-1,-1,-1,0.443
6911db3edb47f73d945edb219fd4d09d594f191f,415,236,133,219,14,63,3,0.449
d4cb7c91ffc910dd9027f1a6b98e3e8c15b7db2c,123,92,0,84,1,0,1,0.453
eb18bab3933c3010fdade647401e5daeb14ff04d,480,343,172,295,7,0,542,0.459
d0c23c66fef232c54ee5e6a76a81cf2013ea61dd,65,41,269,38,0,0,3,0.475
63f4a69b0464da91af883c948541047ea8a37232,414,163,48,161,0,0,6,0.478
3bdf6527a9e4a609c099d8ad0ca6bafa6981b828,-1,-1,-1,-1,-1,-1,-1,0.489
a10bd31955772eeb482c47335efeaf373eab6c64,-1,-1,-1,-1,-1,-1,-1,0.494
27b7cb710f22ea87ae536fa4d81a24d57192a3bd,74,46,43,44,0,0,9,0.495
053dd98f3387b048410e922eefea78dd4aa9853f,416,109,482,107,3,0,31,0.502
0658f15014f063793796fedc1a7fb2a7e8110626,233,949,467,881,3,0,25,0.503
484e6e33a0e42e3ccfc308a095d83f52e2577c13,-1,-1,-1,-1,-1,-1,-1,0.507
51fae2c951519aba20ec669d0dee289c7c1f5639,-1,-1,-1,-1,-1,-1,-1,0.512
e3b47b31397320de7625dfcace7f958751b21ac3,510,372,179,310,5,0,533,0.512
462288a500d8432ff3285e7e7f889f0cdba465f8,136,356,254,340,0,0,4,0.516
2cc57c51c97346d4d250c5978d966c9bbef53fe2,-1,-1,-1,-1,-1,-1,-1,0.516
35f61585caae9c86a32c7fc678c3163ad1a991d1,70,77,53,89,0,0,3,0.516
1a05e50aa5a9edae2c7827e9476fc2cf4c9e45c0,-1,-1,-1,-1,-1,-1,-1,0.520
2612353da4eee89f9a8c4ad2085cfa4f259e64b4,-1,-1,-1,-1,-1,-1,-1,0.527
2be269eb5b233b782097d504ac5cf9c232e79ab1,1491,73,0,43,0,0,531,0.549
00dcfd25d0365bf2b7e330d5673a5d80a5b00320,64,136,74,125,1,47,47,0.556
0ca2f3ec256fde20ca8cfdcc86133f3298c08645,233,377,341,347,6,0,4,0.558
f7ed4380e8be77a35aeced19d7e23f551e04e37a,-1,-1,-1,-1,-1,-1,-1,0.569
d37d90d561636b8beaae5c2a80e5213f7df73f0c,335,740,408,803,7,0,2,0.577
5bcb559ee0f3038a78faa4ac383b3ed0ea4a6045,-1,-1,-1,-1,-1,-1,-1,0.617
5c9a7dfb610d9b3c5479416be3494c1ccd4c422e,-1,-1,-1,-1,-1,-1,-1,0.621
3f648a35eff661ea5d8c2b48e42873aee0916440,2124,71,23,30,1,0,10,0.631
5980308b5d0180c4c3aaa017b8a8ce9302cc9ef8,-1,-1,-1,-1,-1,-1,-1,0.635
85c9eca46bc9b9f3cd2e1abee61e679beb9c2b1b,18,525,74,262,0,0,28,0.638
0c7598c4489f9bfafd65d3baeddaf03902d9d50b,-1,-1,-1,-1,-1,-1,-1,0.655
c55de44a300ad99a2dba084f4f8c15f87b6aa612,2947,14,172,39,0,0,11,0.671
8f7ec2dd51e98a9c60a0eb83092483fcae8009a8,26,87,39,83,0,0,8,0.671
ffb1a3ebd9af4cd0e58553c9ba4d76f65551df6b,280,247,198,237,4,4,11,0.680
8e6b905e298c7025e2c0c639609f9a4195ad5149,161,202,15,194,3,0,8,0.691
ad95cf339ac89b033cff81c7fc3d47db01119ad2,235,52,110,57,5,1,69,0.691
2a38c89554f5e0140bfd8eefebfc46788e10f313,116,536,3925,376,0,0,3,0.694
0258fc1bf0fee5bad3314cdb349900010464d339,-1,-1,-1,-1,-1,-1,-1,0.700
90dedc3272e39c9b5cf154a197102cc158063d9f,200,195,84,131,14,1,17,0.704
7e70b42cdcfc91d76a1dacba640274007d33954f,104,117,84,87,5,0,4,0.724
b4a562df1e8b0eea877c7e56bf792caa0aacfe7e,142,263,206,237,34,0,14,0.727
