id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
28b33147b7169a08fdaac5b5f3f781c776a06e8a,-1,-1,-1,-1,-1,-1,-1,0.002
8c43a05d4ee55fba37cdf4aa51653d60403b64ad,1933,41,2043,39,1,3,734,0.004
b535c3352ce75e12cfa3fef9f5bc23194d72e035,4783,352,1639,338,4,271,5627,0.006
1e8d6ca96b03cbb0ed2c905a55853f3ea5fc5ae0,1284,35,398,43,18,813,3237,0.008
e15d0c4c469dbafae599a20cb3aeaf041898392d,275,128,466,129,7,202,332,0.010
3757690d5810b0d36190a90adc6fb9286b5422a1,1340,57,367,63,2,159,1143,0.015
cc9e2653cc3751e5248fa043b4356d77c8751566,544,16,380,23,11,436,163,0.017
c03754299b1ad004e75ab5ccd5dca975a10fff35,1593,105,362,119,1,0,107,0.020
356d9851029601dbe1b35f2c479297172c3e7a14,625,25,38,43,5,550,199,0.022
8058866d2fb5864eb781fb1f96009cc3ea6c37f3,2336,533,587,295,37,1055,5446,0.027
371542119e4aece4cc5961ec5b835023b120d1f0,1990,111,394,157,0,0,11548,0.030
aa10e083ceb7f4727c7654fef8fdf2ebc336655c,5269,60,1161,172,2,289,859,0.032
0decff667b2fabb884b6a34a551ab5a4da0c131a,145,8,83,6,0,0,92,0.032
723b73dfe15736716ecb04a95f423588f1b36616,349,34,228,35,1,128,45,0.034
d9705d136b35a2425961c0b765c53c7ae0f36910,2772,7,0,5,0,0,23,0.039
71643dfd27485de233999827f15fa5545dffb2df,2810,116,1811,117,1,582,109,0.040
a3558ea3038a8271e788e1dffda271b7f09c0f66,7508,93,45484,377,8,179,2766,0.044
9bb77d658c89cb9bd1c62d3254efee37b8f51eeb,815,225,150,27,2,27,94,0.049
7f33993ecb9d48261833d27d81818a8b50367279,-1,-1,-1,-1,-1,-1,-1,0.051
741c55d19462354884b2d16cc029bf1d9ff59601,224,92,151,88,7,20,238,0.051
42fe36b60bfdfdbed31fa356d9957e0a998e8e27,-1,134,110,571,1,1,3775,0.053
dacc105d833a82dd53e2fca46db267409cae8b20,-1,-1,-1,-1,-1,-1,-1,0.055
94aa3e59fd13d1e5e708cfd56753a49cafe7e11f,268,53,266,50,1,16,14,0.058
ebefef12925bc144ef9aea5b816f9d670cc7a0ed,482,205,1454,186,11,853,2625,0.063
b08f1817f871380c59b0747f94faddd6b2008344,7203,33,2349,42,5,768,1153,0.075
0907911107d0c0d3922eb1f567ce2e3b9d34b048,485,33,515,237,1,2,37,0.081
257115d36e74c8b8bf0255e62dab9f67a4c5f403,1280,36,1103,45,2,52,260,0.082
f5f19fddce6560f9f3a352365fc787a49c22dd59,6417,14,4745,76,26,6923,248,0.082
816a3dfe38890fdd5be71967b49a9eeffb4a9577,222,70,330,65,0,0,148,0.084
42c281bd2c2e1b4497372f04634ddacc99cede09,207,196,218,191,0,0,378,0.085
0c5717b8ad033f78274ea4db16bce22791cb9ed1,116,93,336,89,1,0,1,0.085
1f749ba345d5634441249c5b25d7180dc95ed45c,1569,68,1178,68,1,39,50,0.090
70c6d05a15509f6bdf07a42a3555f673c54eac5b,958,595,230,235,2,18,1714,0.091
12ebc2e5c3d139a2c689ce52df604b853ecc753a,-1,-1,-1,-1,-1,-1,-1,0.093
ac696aa9607fa56e84b836db00d1bdcc78ddf636,5034,263,631,403,1,435,1448,0.095
f26406e0bb24c07b91f5d057a8c13672fbca6303,-1,-1,-1,-1,-1,-1,-1,0.095
489467052e1bc5ec5449dc550ffa175d4a79d370,418,145,280,134,1,92,35,0.100
08e7a9dde73fc4d0cc7b00860221b477e9f9b133,267,101,484,96,0,0,1,0.103
124a4abadeb1707a0b688b711c3bb675d100e9a8,251,142,84,132,4,0,34,0.106
9ebb7d4f8181d3809ddd7587e6e46f87b82b44d0,106,44,104,40,0,0,1198,0.109
956a4840e00d4e7e4496eef62dde5fdb585cd422,-1,-1,-1,-1,-1,-1,-1,0.109
0b9d3c476dfa19dd1bb4cf8395bb6786fb03b495,265,36,49,16,8,219,169,0.110
f24dd3eed8722b7b78f93ede5bf6c17f7afd625d,169,247,399,235,0,0,63,0.114
037d2e1abef29722d9d858352582f5a51352ff50,8463,52,1812,131,26,5244,7370,0.115
6fd44698df5421cc24ab5836a5fa487f5f2cd12f,383,132,428,130,1,393,627,0.117
e9fa5c67b60bc8548394b0e206e0389676de8a4d,2587,220,2881,251,11,1505,874,0.120
0c597419172d51f0fad34f2938a5596f1846f77d,236,39,15,38,0,0,3,0.125
ee59cb8a8f40167ab72fc63473f01cc0603b4864,312,54,420,53,1,25,581,0.126
a1793afae1f650d863165988779c8565beab4d87,78,75,69,69,3,15,186,0.126
15a884e07d9d900921f9c148b18f5cfe7ed5e71b,944,231,484,366,0,0,13,0.127
7fbcdc41956a91b2f3a5d3808ce3bcd74e1ded5d,30,93,362,86,1,3,7,0.129
b4b10029d1958058785d0d631c2da888963fe546,-1,-1,-1,-1,-1,-1,-1,0.133
d100e2ca172e96c1df8062095a73703af3b1f98f,5002,98,820,281,19,1029,12851,0.135
0feee2c0d65e1eec72e90bcf840d5b2d67a9782a,7075,45,4059,552,3,364,22051,0.139
35792dcc45e010fdef5f6ba097aa6e29650a8e76,-1,-1,-1,-1,-1,-1,-1,0.141
50508093a7b1cee081be42c03a22a55c4163a1e5,260,402,422,414,6,88,26,0.142
fd911d98a76010f8284a0db9918dd2dacfe40769,573,544,387,491,3,42,500,0.150
14227986e7fbe5e5790ef3e24ae9715875118264,3780,27,522,24,0,0,2048,0.151
661a2b44f514693645a0605aa25cd1ed2fc6049e,8894,7,2147,6,5,607,1245,0.153
bb91d70e3ed0717e4c07cce29853fb9ed14f5436,9898,18,5028,15,11,1208,57,0.160
583021dba0f67af0cc620937b90411590ae5dbc2,223,20,260,19,0,0,3,0.161
813361b5caf455ed46857db9d0f8dea9c85c488e,217,25,144,24,1,25,966,0.163
dfefcee31cf0bd753043ea41c283dba8469bbb9c,441,254,124,252,26,490,217,0.166
716cce3d9673c05e7deb4ef09d63fbe23e208f69,-1,-1,-1,-1,-1,-1,-1,0.166
bdd0c5740936f496e60090104ee436bbe349c22f,83,113,161,103,0,0,0,0.167
c0b23e68c1bcf9c16d830d6ef33843d6ed47363c,997,52,9877,51,1,0,52,0.168
59cabbe348527efd13c1bc9a15fb1679da2b84eb,-1,203,104,207,2,0,9,0.169
2bcf97d2a51b0a469d1b41b61ea91f38b11c812e,428,82,656,76,0,0,4,0.175
70232063a9f1ba6be751a6487f215977c0836236,36,0,34,0,0,0,3,0.179
e28bb356bc3f0a595f56060edf19b19788878416,438,212,389,202,26,680,1311,0.187
603a55c8d1693ac532a8d4ef25c0fda30f408be8,-1,-1,-1,-1,-1,-1,-1,0.189
87bf5e233d49c79039b80961fbe6c0760d0b0687,147,18,318,18,0,0,4,0.193
beb21d506a4541a85b3b2a7779d029c9b5fc91cb,46,48,146,46,1,14,19,0.196
be42411355c6cad4c68c5ce8f892c2f0fd4914ab,1910,101,325,210,1,32,585,0.198
a1d6a60fea7a6315835efddd2a41f9316d0a1450,239,85,219,80,0,0,30,0.199
1d5dec9721c571bc4fa5c629a1e436e97c764e16,-1,165,178,161,0,0,24,0.200
e1cc333bedb4072213c9bb80156d733cfa300ab8,3800,42,320,148,0,0,322,0.202
2f9eb39a0f67d88ef7eba16ca2fc9341e576e6cd,-1,-1,-1,-1,-1,-1,-1,0.209
103c6f3777801a8bf2a4b57c044cdc2772d485ee,394,112,536,104,0,0,128,0.215
67107cbbaa7b1f96c5a8aa8556df2abc54fdd006,-1,-1,-1,-1,-1,-1,-1,0.215
6d107d4ab8f316751c17cd4081d7e9e7f7529338,341,163,767,157,0,0,17,0.216
97177f678e12a05b7dd6be2fccc1dd5f5b3f500a,215,158,509,141,1,0,1371,0.219
36a7f744eff9e443863e0c4f2666919c32376b66,1652,893,776,1318,2,0,98,0.222
c36f5697b4d1bd9c9e22aa10c3112f037a9915a1,-1,-1,-1,-1,-1,-1,-1,0.223
34c4a91674f4725f9fde08e7b34b6bfd13b00fa5,270,28,561,28,0,0,6,0.223
23ac54ce6412a39f39e14e0bcb0355d9090ff010,132,5,162,5,1,3,4,0.226
0b5a41da442d0029ee6247c816bf33d74f70014c,1168,321,366,311,18,525,182,0.227
f7583d11cde4c10861a0961693bb1c0485f2e500,211,133,459,130,1,1,5,0.229
9096200762eefd00f2fc4424f4d7e07b3b693975,177,168,223,164,0,0,26,0.237
705096f674834f1e518a6e2e4018a1356ef49686,33,66,237,64,1,0,4,0.241
a676be50dc643a1023d4165968925636385197f6,-1,-1,-1,-1,-1,-1,-1,0.243
b9183e93eb37b23c02716c82f47a3ce167f2f811,67,31,233,26,0,0,0,0.243
