id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
8eace73b83a2318b11f8f7154f965b6ddb86b5b8,-1,30,182,30,1,104,541,0.117
279901dc9a45836d74d21e919bf09cd763c20b72,167,321,958,271,1,0,4,0.276
bb14ae1010848727ef7ab15337e521c4c37ac7cb,260,88,174,95,2,116,59,0.281
bfa4acf8dba9853d4f5a1d0c103cfef34c0857ec,78,-2,115,131,0,0,39,0.320
4876486db391cd709604f312ce6b047d8d5c8f10,-1,-1,-1,-1,-1,-1,-1,0.322
2fbbfaa7a9e3b2380a74c51694485ce40d79a96e,-1,-1,-1,-1,-1,-1,-1,0.333
65c5761dec3e08afc08d91e5cbf8e5cdb770b988,253,378,144,373,0,0,1,0.337
06f87e0a425a8a8b24511fbe25ec8395b83f89f3,19,281,76,270,0,0,272,0.381
55083a36e2b7fdbdd3654a0cec4eaee08a3719f8,103,471,192,383,3,108,24,0.395
b22040c702b0eb4f56fb55031671677f0e8fd93d,304,404,351,326,0,0,217,0.405
526555f3c011848863b0ddc0a12ab544de35752d,157,157,333,154,0,0,8,0.406
a237b8a8d4ac23dcdb7c7b36a966230063d5ceaf,147,266,238,262,0,0,0,0.437
5e125019c0d951b549634c2337a209fe4a0b0eb5,264,-2,428,489,0,0,302,0.450
3c2ceade8d7339751331391948fb45f01e022bd3,-1,-1,-1,-1,-1,-1,-1,0.457
041d9a4a0b50a76cac5353740592572d64cc0a87,347,679,378,591,6,1,5141,0.466
db5a8a1ab95289c82258280c73bd26470bddaf72,1107,251,1282,230,2,0,1,0.504
7313e541b24847c4879e8fe06992f5141888b141,170,634,262,596,0,0,3,0.511
13d5fb97c492c5fa7dc3ca029e045f7225cb50d6,131,49,196,50,2,0,10,0.515
3deb7fe8a780ff3778018e6329ea4bedcaa3fa8a,102,18,201,18,0,0,1,0.533
d481adffaf8935f1e460bc03252755041bf0fc9d,191,339,186,332,1,5,8,0.543
6067dea63f22647b437876575fc413bb200c6c21,120,118,370,125,0,0,9,0.543
549b447871f60f90f526894448cbc401d8a5a6a2,-1,-1,-1,-1,-1,-1,-1,0.544
e4c4d8f088595a4bcde965d02b45e5eedd569693,1397,108,1479,104,4,0,2,0.557
40538c1d442f2178ec9fbe2c1c83f2613e860a81,515,10,60,11,0,0,2,0.570
003cdb04149d064362cf201040ba25755491a31c,226,81,135,108,4,0,79,0.579
adcb12492639852840057aa8ec256bb396e95464,150,1128,526,1040,0,0,3,0.584
33d8f4117aecb015a6bb77205ec188ad39655554,-1,-1,-1,-1,-1,-1,-1,0.587
312e9c179b65173f1be4b444850b797c135b8b86,323,99,156,79,0,0,4,0.612
dbca8ed25960916bfe9c6f53489c43a136e330a9,274,26,354,29,3,0,103,0.613
4e547246f822448e7a5eb4267622f35204858920,-1,227,486,209,5,0,2,0.615
d73778b77925b2bc9f45a6848a2f244cac2f11d6,889,1570,1180,1505,0,0,0,0.615
763003c97047139acfc255ef68572476d77bb93d,179,107,37,103,0,0,8,0.623
7cadbff94d365065cdfb5f13562a5c71568b4c5a,1365,67,418,62,0,0,13,0.630
7b102bd84214d5c24f548cb9e85c5343b3894fa9,27,91,322,94,0,0,1,0.661
da484818c7956e57595bcc0e5d7149eb262955ba,133,43,22,39,2,0,1,0.673
100368778366499ba8263d604ecade40c1950c61,-1,201,99,186,0,0,1,0.710
73db1062d2f4bf1d8423a7f29b1291fca7ee782f,128,153,217,151,3,0,2,0.716
52fb8e6bc40bfed782d663b3b52b9e1dc16efb2a,-1,-1,-1,-1,-1,-1,-1,0.720
37e1fecdacadc98400f9f99dc8794b8f87d0853a,315,129,68,127,4,0,162,0.723
bda378b9ce6ac2dd02d195d8d33b3cae3a634f22,117,51,69,47,4,0,22,0.739
763d7ac5c3a0b8730244f4cff591c064c3064a37,1993,101,720,98,0,0,6,0.751
bce8d5a830f273e3456ebda7e807a9c469f63580,83,0,266,0,0,0,0,0.759
e0535b40b56a66e8e8163a785aef7a9e3fd990c1,-1,48,89,48,0,0,15,0.761
39d2880550e7b317cc1df9d8327d3712df44b691,842,706,579,623,0,0,2,0.781
04291349c8952e11421e97237e4fc995c9a5db6d,112,37,74,37,0,0,3,0.785
5ea6f2b837b85969f8f73791d62af943047d4c90,66,55,101,48,5,0,16,0.787
1570405e7389c298932e7856a13cc4e31cdf5907,136,250,158,245,0,0,9,0.802
e2da5649f358d9c15a79664de519437bc5e1f4f3,659,521,135,499,0,0,14,0.803
984f01adaa1481626c38307771b1d61533bff646,631,332,25,313,2,0,6,0.813
b42edaa436e98e69d6094c1910799c563e62c0d5,547,79,83,75,0,0,1,0.816
ee0841de2ee70503c17d894f589806f19165a953,80,274,199,263,1,0,7,0.828
bfe967880d45f0a343338439684800bc44d3cdc7,152,74,259,63,3,0,18,0.833
61647332c80822dc1df8d7a0eb20761fa6752c0c,222,138,98,152,1,0,3,0.838
87a5c57d6cdf8490e4c698c2b5eca50a169e1099,122,78,108,75,2,0,0,0.843
2595ec2f1af9e270a9de7d349bdf40f2be6d881f,1118,87,77,82,0,0,39,0.845
e872b3bcc1628f9ac29d5a79e9dd7419c0135f32,1043,162,358,155,0,0,6,0.860
ddb8aa8a69c19c86337032ed3c506db2cca23ae2,-1,-1,-1,-1,-1,-1,-1,0.865
4585a94fe9faaec3570e41a004a8bab759dd5bbd,363,220,70,197,0,0,9,0.876
8fa6e8005836247b2eccc0631f7fadb39d4d3f53,54,166,27,165,0,0,7,0.883
