id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
6da35f6ba2daefd4e73e8d9ed87e50f8c8437dbb,-1,-1,-1,-1,-1,-1,-1,0.047
9babb648afa0617e4589f7c309beb7b7a879d03c,432,27,768,27,0,0,1390,0.073
481f7f5ce357e2bacdc04138f23f1ea2d59abd39,558,28,53,37,7,57,386,0.159
ec8d9048b38cba2d7ce9ad922e1189d8a981a9e3,-1,-1,-1,-1,-1,-1,-1,0.255
ffb2331902de1d2aba52d2c232458e46119f04de,202,204,272,182,5,322,2153,0.258
05853a1551c3a58df18f4d6a9547309f2a252429,240,37,261,40,0,0,442,0.279
7d33a57d76d7dcb63b48a4324de7d04d412c98f2,14,342,85,331,1,0,0,0.284
80a5cfb1dea107632fe21c360427fba5e659882c,83,17,99,22,0,0,71,0.287
4573a4ba2611cbf69fe642bdc8612020535eae38,125,20,148,17,0,0,499,0.290
0e2704ced30d4a3988c9983eb0dcff7c4f286df6,138,141,27,157,1,4,561,0.295
380220e92973c3ea7109cc0688885d8459a88a3f,-1,-1,-1,-1,-1,-1,-1,0.302
5c8ff79e78a7e669ee143b9fedcb7de3924eacb4,-1,-1,-1,-1,-1,-1,-1,0.321
0cd5b966a88510a95f217d4d1a98b0cf3a830a34,159,85,278,88,0,0,11,0.374
6c4123bd7042d1fe7c3a21f0368ee3e16c1b7c42,44,60,50,35,1,5,14,0.387
81d868fbafd4b16b1dac5fac0384753e2ce9914f,-1,-1,-1,-1,-1,-1,-1,0.448
417da4775b85bf6518f6d6aa72742c28229624d1,-1,-1,-1,-1,-1,-1,-1,0.521
a5391cccd11b22f4859252bc04feead7675a414d,-1,-1,-1,-1,-1,-1,-1,0.541
f1d634654be781b78aa97be0c77a73061ffdee77,227,170,32,140,0,0,5,0.542
b0a1d4e82d03e905a9672fc49e9430cb738020a0,-1,-1,-1,-1,-1,-1,-1,0.585
a6dc501e544ff5bd4836deff03eb8c597bd5f979,-1,-1,-1,-1,-1,-1,-1,0.595
b2b00c0fe519fe1cfe61e6693fd25f7ba6e37f50,-1,-1,-1,-1,-1,-1,-1,0.623
75794891195c21c3f7808c441d833179375e1efc,-1,-1,-1,-1,-1,-1,-1,0.643
1e60dc639e6d646ff19e5d781fa3272caf963db8,-1,-1,-1,-1,-1,-1,-1,0.865
808685e839f9985249812c6c36823db1c61c66f5,-1,-1,-1,-1,-1,-1,-1,0.883
eb1ced2bcd783f77da78555354c95028241cd68c,-1,-1,-1,-1,-1,-1,-1,0.892
3683ddbbe44bedf271ed970bdfdd3fbc5e86fa51,-1,-1,-1,-1,-1,-1,-1,0.911
