id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
a9cd4cfd04bad84d833f8a2c79dbf0b62d7f23f1,7476,53,828,52,1,30,184,0.015
943a01d75534339422dcf33001df34f9c1cc461e,1911,27,240,2488,3,403,542,0.018
d5c224867b960012e0ead0c65eaccc29f7179163,2680,2,351,315,1,13,95,0.023
c9bf59116a2a89bc422fd60479b7bf76621809a6,-1,-1,-1,-1,-1,-1,-1,0.103
34baa6b98c0913a89357a3fefd34a4de2bdb9d87,7045,147,3592,71,0,0,439,0.200
107749b67ee71f5b236a4e6b2f1452a3a3d5da4b,-1,-1,-1,-1,-1,-1,-1,0.205
19a751fb2a4f645e97207f65e0cf85e4b952b634,663,112,1578,111,1,11,12,0.221
a243bee39a428c6922a2a57407170acb3c248500,143,56,171,74,1,0,13,0.281
1788223737363e9e13956a4de90605aa4d15f365,1608,92,279,88,0,0,128,0.286
5ff647d6acd1f9251ee5e3e6445350079b77bf29,-1,-1,-1,-1,-1,-1,-1,0.287
a8aeff86a698ecdcf3697c5bbc7d8cad0e2b4ab8,1542,187,102,1405,12,593,152,0.295
912acc695daa99ce7e05e3a2a07a7444424dd241,-1,-1,-1,-1,-1,-1,-1,0.315
8218d707e6f5f56396bdb414d578a66932907e8c,69,29,53,19,0,0,0,0.320
9a6128ade09bdec22ef121779aa979f83837b3a6,123,120,166,120,1,0,12,0.333
fdd5d1ea62a36a507f008673711034f1bb40c0ba,165,342,136,229,1,0,5049,0.334
a192e26697292086c3bf40c820bb03476e4bae6c,71,71,48,59,1,3,5,0.337
f899597c6dc33e47b2e9c8de43460238727c7138,-1,-1,-1,-1,-1,-1,-1,0.338
63eae980fd5fc374d768b317f5f73891d536af8c,245,127,130,123,1,0,8,0.341
dbcff710c6bf7adbd6adf6db1320527834e4d391,4510,12,13,123,0,0,0,0.349
1da3b7f3d7c0787aed309bc756655e923df9d860,227,1,185,1,0,0,10,0.352
7daa87c87487cd4be4cb995a1d785ba8bd8fa2f3,59,25,36,25,0,0,3,0.356
a750ad8f11935e02f7ae7769bae2b56429e4937f,131,1479,126,1446,5,0,11,0.359
5e634e1bc6a95c8885e2a4ca6e95044e6d55d6f2,90,101,150,97,2,0,8,0.370
93065d85d11a9f505865cbd5ae493646e35490a9,1327,298,1101,280,1,0,4,0.370
ef4c29e479b11c5f23af63db965d7c069a60fe2c,29,46,10,40,8,7,1029,0.377
0ff027055af48fb7c1e4dddba6baa21d023976e3,-1,-1,-1,-1,-1,-1,-1,0.380
81736422c32ec633e41648545fda8566c984e579,1060,182,4,173,0,0,10,0.380
c31b745fe5ca5fa85fb6903dcc9008ebc8aca19b,81,151,35,145,0,0,11,0.380
488fae58b741a56e7811c4fa7dcfb39b03a02c0a,44,156,316,151,0,0,6,0.384
150eb0e8d4855d61852d5fee039340c2bd774a4e,213,180,590,174,1,0,4,0.397
4020419b1d325b0dbfa99a0bd04f4ce320012fba,87,104,108,101,1,0,0,0.400
da5f8bf6ab1c529b2dd2634dd529dfb72b356b13,63,250,153,236,1,0,600,0.405
115930e4951d0d25196982c6a606b55614480e66,16,5,55,12,1,0,14,0.410
9e497a51d5cfa542be36878f020782cbf0fba9d0,26,13,42,8,1,65,45,0.414
63ba44b9cb994b18b5a36d9e2b3d71c92b13d5d7,189,343,135,328,4,1,101,0.415
0ce105929581c0a2c31076bc1795a5249567d888,-1,-1,-1,-1,-1,-1,-1,0.422
e809e0793b9aaac2b61ce129e99305e1ad03afc6,87,160,45,153,1,1,246,0.439
33da90a36141de4d4bbf41ec7f3c5a7bbe180e62,-1,-1,-1,-1,-1,-1,-1,0.443
2545e0426db22b79dff83b4c64e2e5e1f6fdf63a,-1,44,55,43,5,0,25,0.455
61ee13a9e67e90ff48845ac0fecd1512c749a404,171,103,370,90,0,0,12,0.458
e9513c5c35897cfd99d096ecbd670df8b7fcb7d7,3789,22,152,783,7,429,6951,0.462
2cff9a0988b46fb65b9898f81ea69076c2a61bff,61,28,0,31,0,0,4,0.462
0f6bfbda0136505e5823c6ab4f0f7da97be4b2ee,219,282,89,268,0,0,7,0.487
98f904a8300593bc7bb50901a739fc768ee44492,31,43,19,43,0,0,0,0.492
31df5611fe973da0af2b6d418b0ae61e30f915b9,4695,7,1046,4,1,106,990,0.512
c1d46503078c7dc0b1eed76f66debac61eba05c8,107,249,238,231,1,1,4,0.517
e5aa4e1b081e148e5e7da3db354deb78be11aba0,100,24,703,22,0,0,4,0.522
129b69e1e209fdbfea7013a62d581d7095c2e760,43,73,39,59,0,0,13,0.542
669f8ec1aba58e62bf9966445394fc30ebea3af3,-1,-1,-1,-1,-1,-1,-1,0.544
93074260a0c2d99478f4fe8c7b275ec6064009b3,82,42,137,97,3,0,34,0.547
dae5fed0cc5a041ec6f937b47543c41bd50c4618,275,436,170,418,0,0,96,0.547
9ffaf3bae9342a467f02a4693c33d7a46b827fca,97,31,62,29,0,0,6,0.559
4e56670b9bfb027ff9be33450e3fc0640b9a68f4,186,456,100,407,0,0,2,0.563
e82755801000335a5eaa9059c6bf4b01333f59f8,-1,-1,-1,-1,-1,-1,-1,0.573
ec503a52812d1f8e2636ee7474f1e3723a85ef5c,16,63,5,51,0,0,170,0.602
267dbb5f92d1b28dce30669cf3cad0f9c5752e2c,102,341,189,310,1,0,1,0.607
31db1df6e0f4a80c0bff773f28a58bfa13ed70a8,22,24,7,11,0,0,19,0.613
