id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
cb35c282f1cf0d377a4f9e100d1ba30f778519a9,132,66,272,59,17,759,568,0.000
5e500cfbd5f180d61868716f556d9bd1527c3e60,313,37,221,34,3,71,851,0.000
257981c981f3174322b8b10d8f923fbccce7e6ab,-1,-1,-1,-1,-1,-1,-1,0.000
09ef9aa7b2de2810b22a3c11e1243d3074cd03e6,301,45,1112,45,12,303,734,0.000
8d81153490c7695da25f7be14efa59238d27814d,257,79,458,69,1,6,109,0.000
c8be68d3ae3280c280fa131622af8171a6988f9a,102,3,54,3,2,10,23,0.000
5996865eddbc032af09b39dc8fa0782231c7d428,185,31,327,30,1,72,0,0.000
20695e320823b04ae703db07ea73624a1da10700,518,196,818,182,1,1,1992,0.000
9d513d4c8b7a54ce878ecabe8712777f1ac880bc,482,59,949,64,0,0,896,0.000
e99d34fd1927d09b4aec4787c1fc20e12b1f4fa7,410,21,468,21,1,13,734,0.000
e5190d92e77c7f532df94907abaeaebd92aa3794,282,11,123,14,1,54,328,0.000
90299de539086a11e6e7f5476a0d91d21320b185,-1,-1,-1,-1,-1,-1,-1,0.000
037cd087561ec95927b7ede4234511fb6362139d,-1,-1,-1,-1,-1,-1,-1,0.000
1a60c87e133b75de3c9bab4cb79404ac0a9a3c88,171,23,274,24,1,3,70,0.000
c1eed3bf4ab76c4ab790e77d411cb1b6f5bd5061,254,31,192,27,4,256,278,0.000
064c24ddd2723293aa5699814e774476a6e783d2,414,43,581,43,8,783,424,0.000
61794ccd75d53b26b5bc2472693659edec61a367,-1,-1,-1,-1,-1,-1,-1,0.000
5c61bfcf7fa71ce845841981056b1e4e7fb9ed61,345,30,582,31,0,0,148,0.000
d05aa197bf4d670719dc98b85888bdef4f0828df,404,19,177,19,13,411,464,0.000
de77232ff7142e28ae466b1ad2949f18007a1f25,414,24,448,31,0,0,308,0.000
768c4aa0fc399a174cff67b0b6c9ba84615c8fc0,163,126,1412,118,2,58,623,0.000
d542e3845d4d4e154c26f6cd4fd6150764159c64,-1,-1,-1,-1,-1,-1,-1,0.000
219adaddfcbacfd4d839e722828df7963504e81d,240,47,208,49,0,0,468,0.000
499d2e7966b3c71b6a0d18b3298d2000e47f9477,148,52,325,45,4,113,1439,0.000
f6002f83fd0de7d1cb23df627360f392b2f081c3,50,16,126,17,1,2,48,0.000
