id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
4319b1139a61569b48dbbda2168fea1482424fb8,270,207,1195,109,3,35,355,0.000
fdaea6f1a91f2e669331b35665d261a9093d9d9c,-1,-1,-1,-1,-1,-1,-1,0.000
3d75e50929e2f89e1b41f90206aaa25d4718cc61,-1,-1,-1,-1,-1,-1,-1,0.000
68d76fcae335855648e4d55c59b65becc4e915f1,223,31,419,37,3,94,368,0.000
f1c497c4f2b7714677c7fdd6be91c3d074bab612,1054,348,1015,75,17,743,4069,0.000
b09210e273478e64d8883467c090a1f2987ce75b,-1,-1,-1,-1,-1,-1,-1,0.000
a8e351ecc1e7fc0b65ccc2a54d3a28c7880297be,183,4,108,3,1,89,240,0.000
603d7c256cbe272683144d6e5d806ab0d35f7335,226,37,163,14,3,31,48,0.000
3eca362bad91c642c8c307020c7229d9e781ba8b,214,14,95,14,1,15,20,0.000
43297618438942699c22ec304338fed16bded5d0,-1,-1,-1,-1,-1,-1,-1,0.000
95fc9f56bcefd6f9303ac0c456e0c940b84eecbd,-1,-1,-1,-1,-1,-1,-1,0.000
25cf20963c1902b46004beb62918ab32d1c037ab,152,6,20,6,9,279,1,0.000
2672d98299a3d7d682cba33c3d63243c867d4a2a,-1,-1,-1,-1,-1,-1,-1,0.000
431f9909d60cdbd34a4fc898a9b014e43ea360fe,-1,-1,-1,-1,-1,-1,-1,0.000
39874ccbd7c308b59837954d23c5998a9bad45b1,-1,-1,-1,-1,-1,-1,-1,0.000
8a17e1eb83c125908118392c9097a18d9cfd416d,-1,-1,-1,-1,-1,-1,-1,0.000
a206f81c0cbb86e1bc5225ee58fc9963f9c1b33c,318,90,199,97,1,3,207,0.000
90ec8166f7ae9092e8a56ccc01d009c39b5d73d5,712,32,188,36,10,165,445,0.000
936ba538e98c446735c9579dedbb4d6a34b38654,193,70,231,71,2,14,489,0.000
d840d5ae4303ff93a3c6e591b5907f293cdba787,155,36,240,36,0,0,331,0.000
c3699e7507ecb173b1942b8cbcdc648ed9333854,318,13,77,15,1,49,132,0.000
05ec793c81aa305f70e7f06c902e90eb09021c88,219,14,120,14,0,0,469,0.000
8292357dc0b809afc18d9721987b5a1d2d5905a2,294,18,154,19,9,399,129,0.000
af2005a94d47df520354992cade5f9721f018afc,-1,-1,-1,-1,-1,-1,-1,0.000
6f74ee577fd6326d5c50630363bf8197f38113ee,1320,18,1053,41,0,0,2,0.000
02fcad1c41a4d32dddfea6c45e66603920bae966,174,6,82,7,0,0,60,0.000
dc9edad172ef0609f681586f54b74a3ebed4e6f9,-1,-1,-1,-1,-1,-1,-1,0.000
517834e58d29290e718df1d89ffa348a97132214,116,79,434,76,8,15,2138,0.000
5a2b162946a8d980f093621a4c9c7ac836dfe761,213,87,198,81,2,2,191,0.000
99cde4583882bd1b2f5e1e5b509caa6e033e6b3f,94,4,53,2,0,0,112,0.000
ee8718c63fe62f8e2eb41018bec5e0ad857a414b,-1,-1,-1,-1,-1,-1,-1,0.000
8f29539aca974c41022c17ccc461538561894fe5,878,24,541,67,0,0,1658,0.000
baf753d71b7d729ff0d2f89cf9ddec392f89717d,338,28,98,28,2,0,29,0.000
ab9600e84797c4b04eb48e48e4c921959df60209,-1,-1,-1,-1,-1,-1,-1,0.000
f945f00da9e02140859d1503aa8211f56b3bccd4,-1,-1,-1,-1,-1,-1,-1,0.000
09f7ff9366afd990863be921b89cf15c5559cb5a,145,6,94,6,0,0,29,0.000
18f89aa0b4dd782ef09cd04bbea34ab27a46e682,187,50,162,48,0,0,469,0.000
713f88cc90578b36d040ea8c9d785e77be43bc4d,170,9,172,8,0,0,3,0.000
79bfb518763a8e444fb3dba4914b9a37ad724c0d,331,19,202,19,14,671,321,0.000
0862f6ee931962571f5f3a42527ad9985195d138,-1,-1,-1,-1,-1,-1,-1,0.000
a1f87cc7cbd8e7bf6bbd80630000664d488f872a,290,264,186,257,0,0,466,0.000
947f13cefbbc8509202e1bb732b86298891e9330,124,80,81,74,1,0,129,0.000
3c8f82da8a83ddf7dfa3d2e2d1d6643bd20f03db,-1,-1,-1,-1,-1,-1,-1,0.000
e9ff9085130bc242b9738a9cc7858b20d85344d4,226,58,178,54,1,55,625,0.000
