id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
3581d3b8c131a1778891afc266f06d773c1b520f,-1,-1,-1,-1,-1,-1,-1,0.000
69293c37244e2292e023db58e93e15407c095f2d,8102,167,3364,318,8,598,9835,0.000
4a18cc34829afd0afd6a13d71db5ecfd8fc49dbd,536,47,87,49,1,1,256,0.000
75578a67b648575610798eeaa95ed0df26413187,547,217,2397,205,3,77,1762,0.000
3b2f239d4fb80cf33e64de65079ae3774e6b185c,-1,1,327,3,5,609,1218,0.000
2edd2da6c09d0eb50d3d3d47f89689e6b434475b,-1,-1,-1,-1,-1,-1,-1,0.001
35717182966a7599e69acaa0e18e818d7c9cec19,892,400,559,86,37,2230,2387,0.001
28cd7616f7562d22dfcc67ee64cd510daca32e6b,1701,58,155,60,0,0,5353,0.001
05a569c596a14a6ac49f17fe31f06af23f1944cc,2023,143,532,133,0,0,1293,0.001
7b82b0dfef30a46e303ade85691c7f5d58e8d95f,1928,67,263,163,3,17,438,0.001
c0f8a7cfcfaac79e8875e7396ec08c9adbd52b08,-1,-1,-1,-1,-1,-1,-1,0.001
69a1a5bf72c3ace2720a20d4211719332ea098a7,273,279,149,249,14,356,285,0.001
e906a748c390b5f3fc9108d4ff57035471759ea3,-1,-1,-1,-1,-1,-1,-1,0.002
2b6dca711e90869b25dcb11a9b8a143466606de4,288,33,227,37,0,0,98,0.002
8f5ec57575e6531781ee4e2386138cc23f90df54,155,75,163,73,25,858,1012,0.002
c7b725054db725f3d5c5f6f80935ad08030b7efa,800,237,195,228,3,19,3239,0.002
42f09596390e79e881a36267291f0877cf190fe9,264,5,89,6,1,0,585,0.003
130cbc3a2ad5f375199051665f639d02c6543d5b,-1,-1,-1,-1,-1,-1,-1,0.003
2eec41eb2b49b73ed4e9da8fee5317121ab1f451,258,53,513,53,0,0,72,0.003
1b8f7ed7272f9c035fa1ed1b7611fabe401b0dee,120,2,326,2,2,0,80,0.004
0e424df535e702cc7bd2df9704fce15b62be911f,-1,-1,-1,-1,-1,-1,-1,0.004
3027ad301e1890aed33ea3741115dbcfde4df82e,-1,-1,-1,-1,-1,-1,-1,0.004
0739ad44ab0bdfcb776fbff816e5d41f47556851,7715,210,1564,1244,3,3,4492,0.004
