id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
f58eb02cbcaed8990724b6b789c0d880f3e03bdf,544,49,70,19,23,2017,19,0.000
bdeb6f3698ee51fd6b5f4318cb7b2d891771e7b1,343,18,177,17,0,0,39,0.000
5c5f784188ad6bd2b196619a16ff7b2ced4463ee,132,15,151,19,4,79,26,0.000
b9e06b66b849651e86a8c51053327e00a5c14804,1797,321,991,310,20,1627,5749,0.000
cb8eddfb2213d0882e19e141c96aabba1707c9cd,352,86,201,88,0,0,175,0.001
90e212633098d04154b75289c0fbdf21d41dbae2,245,36,249,36,1,8,5,0.002
56a792f2412ae6fa0cc55cf71ff0541d06a4c6a0,1360,66,744,96,6,86,8273,0.002
27be287f539da65ee393d5dcf8df9b0c1b38dec7,-1,-1,-1,-1,-1,-1,-1,0.002
d3f442e1d3347102e543b2d35aaba6acd421633c,957,263,285,260,26,562,3695,0.003
cd7a15a6a110dc0fbcace6411c96877f3216b5f1,177,45,179,41,1,1,68,0.003
2c6c9e1572db616685dd55be34fedd6ad727ccb6,220,15,525,5,17,337,42,0.005
f8d63b80dbca23b567fad147d2ca10dc0fb7be19,-1,-1,-1,-1,-1,-1,-1,0.006
a4b4e5b401581464f5cb86c062d98f0919b43114,696,112,280,112,0,0,669,0.009
7545092b31e4e5866e929030d4c8be215b29b37d,714,620,106,613,14,302,2439,0.010
1866bd1749820746a6e585a42a7d6a3219aced5f,952,25,94,27,1,32,139,0.014
ea9bbc3e4690845ec455a6b4061cc128eb61f7d5,1153,1000,132,404,50,509,7684,0.022
da710efb5fcb265a499597df0bb2a8c7550deb1b,447,61,49,66,6,86,450,0.026
66b455674673b36e15363d4bf26d53f4ad96fab9,3318,23,5891,21,33,5792,5747,0.073
927d96160614219a2ce7c9ddfa2795f983ca1952,9891,32,8898,42,7,937,1882,0.075
5481d6cfa5998c3f6bbda2a7da52c466934dd174,1911,300,398,285,0,0,283,0.086
02edbe2d89306e412fea140078341efd8e3531d2,-1,-1,-1,-1,-1,-1,-1,0.087
a07d4c9499f19b53fdb11ea31e034980413fa67e,108,76,57,72,1,21,10,0.094
574cf057bcbf38bf0927c7503834564c44d7cf19,1057,0,85,336,1,1,86,0.111
e12d4a852fcc291a36b538d8a74418272678bbd2,207,31,3,55,0,0,405,0.153
005abaf3515a01373c729cb1b073b1eed53dd1f6,247,20,55,24,3,439,273,0.258
19b2197c013a024d2a4a237bcccda4816598df4d,174,152,36,144,3,91,744,0.267
a1697150662c639f58d681ba3192356883d1aa3c,-1,-1,-1,-1,-1,-1,-1,0.286
bb02d8ccdbbd60283ce9ebb372469caf61eb077e,282,685,130,215,6,83,342,0.299
eb817f543bd70ef5135cbb396cb4a433c482cd06,127,29,84,28,0,0,46,0.299
5f7bf833b7b1e908c6da423c931c99df40d0100a,2454,144,313,219,0,0,981,0.450
57606bd91424a31e46ddce83b2ee9cbb8c220052,4707,681,45,1558,16,267,1276,0.496
1f9c5f64a72a40d5fc267eac4d166eee1d66b134,1845,2,153,20,0,0,149,0.596
403d2ff10b5cedfcfa41cd4bec685c2c946cf6c6,467,107,49,268,0,0,88,0.633
bb01fb6d1900d5a66d4c1504271ed358caf0d82b,1083,65,24,107,0,0,233,0.654
212c86abd70936058e017be2b702a2bc918f34a8,4335,101,9,282,0,0,2307,0.655
ddf2b8d43f951e0c58ce8fbd4dcc25ffeea84e0a,2427,212,119,393,77,3205,2007,0.657
28e34877cd06b5f89248ba026be9bab8c49e5665,60,56,11,53,1,0,27,0.680
3228373f44ba32d2114712329a452e8bd2a13f83,7003,1000,332,655,0,0,14643,0.681
1bbb19f5f054801abb7b4d4060d3c60747c980de,35,11,0,4,0,0,2,0.686
bffdc15a320cc2dc150ccd7d2138d2279d7b0254,-1,34,2,32,1,6,10,0.717
501ad578c637d0a18758790fbc5edca68d68d1ea,1012,44,4,7,0,0,958,0.721
708c0f2d0328754cc1c71815769f87382cc1d494,1567,582,44,124,62,388,1239,0.776
8f44607c4b4c51d1af7787a1912cb5bb6c7a86c3,1138,66,14,155,2,5,292,0.784
38487d73360a616d3a381f0ba90d5fd5cef98c6a,2973,76,214,601,0,0,2925,0.804
e6ce51183d3b2b74fc6884688e2788182fa9080d,-1,-1,-1,-1,-1,-1,-1,0.884
243d60a2ac82a5f80c0ca63fd2f82c595aaebd62,983,99,51,10,5,115,44,0.886
668db38898e22a66686f259ab918f4413f6d7157,2254,214,88,213,0,0,722,0.895
3445533935f34535907c26c320b5b71eeb3dad24,9,8,6,2,0,0,8,0.902
ba08d1a3d9356d8abfad0e292918ff4d5838ec5f,268,258,18,520,0,0,198,0.907
6cf7728a5c0dc7b1d28cb49a52ad6453eaff96fc,-1,-1,-1,-1,-1,-1,-1,0.913
