id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
37b41551b4c859899ed49a93d9804fa47c8f0fb2,191,166,109,169,5,158,761,0.001
4e63e8043f72d13799af1b8635b34578b7431551,597,102,155,104,9,163,2066,0.001
b4ad606886fe68fdd4d17ffe3003e3e54e2fe444,6188,52,1387,132,1,96,970,0.001
28f415bd0828d3a73a4bfd15d8f89b8c6f7387ce,688,74,142,72,1,72,826,0.001
78e36ef3d913a52bea7a1a6f1b1a1784ec0eab68,3379,14,961,101,0,0,3058,0.001
c47b197e3eab4330ae8bd1f78eece0075f50ba62,64,19,100,17,1,10,12,0.002
1b3285afa5443717724e3a5d2b46e31b75ad8ce6,284,27,200,64,1,29,311,0.002
71e22fa957b975b0720493bba5f8a2906eb910ca,367,10,63,9,0,0,7,0.002
6e365466890f846e011700f57c4cd07529024f67,-1,-1,-1,-1,-1,-1,-1,0.002
f8d0fcedeae1925719f43497930e1713f097ead5,4580,25,194,23,4,100,3035,0.002
b291b8496f1e98857cbb81cf72bf7535f381e763,3348,76,408,73,1,72,155,0.002
2f7ecd072cd6c2a67db72d886fce8a9ad1e76b4e,1647,44,384,41,3,99,1219,0.002
1fafa460ae61b2a1a2e91c3572c7a0538e2ff43f,3298,120,345,297,36,316,806,0.002
2b398deb58779e4a5642a8ac7c12c0242e2b2e10,3373,1000,2289,299,18,420,4808,0.003
e2d77e9cdebc52f5f12cd407f8f35d7bdca23f57,150,41,48,39,0,0,360,0.003
9d46f3289b67f361b1ecd37c4fe04c1afccbfcdf,275,127,627,129,7,263,1106,0.003
167ea977d49459a97fb8e00d6c05214536709a36,400,12,219,12,6,117,46,0.003
841d40bfe837acfdc4c844622fef996efc654e91,-1,-1,-1,-1,-1,-1,-1,0.004
ecf98ac8f5c42fec91515f99f6476f2b64c8ac2b,485,202,236,200,8,499,300,0.004
d9bee33cbaba5aff7fd17aa3bfcb8e0756002bfd,370,37,46,37,1,20,1117,0.004
d218f049456a20465f1e77a133cab6c5ed245cfc,2549,30,804,30,0,0,1964,0.004
876c681dc45ee66f314f5c450a6e6b72e1749bbf,1014,131,383,127,0,0,0,0.005
a056ab3ab1ab2dcd43002bbdc29fe5bfdb5b7bbc,1236,104,211,103,3,2,2664,0.005
29391aeb451a344deff9fedd8506b7ab54c4e949,2701,40,43,39,53,4795,1056,0.005
654535eae528bc09c1f1211d92b8acbe07149f1a,-1,-1,-1,-1,-1,-1,-1,0.005
f7b4b099254165c03fe32269782847559d9de439,3605,195,145,438,1,0,3216,0.005
cd7d686556faa087268dfdeddaa9d20ecbab832a,3269,40,21,32,6,104,2785,0.005
17b8ddd34a8661b5f1986a977fc1a1c2e1198893,2559,175,568,164,0,0,1240,0.005
da39a55fec5ed110804b258b16617396bb3a3665,914,35,204,38,2,53,639,0.006
76b41beaac55b8577ee75d36a22471d1a565b3b2,1208,811,170,547,0,0,4977,0.006
d8cc64cb76e535c0a9d5a04662b533e988a7c1b8,829,148,679,145,11,227,1099,0.006
29e3b9197492b68f3eef2287e5903f952a2f6161,-1,-1,-1,-1,-1,-1,-1,0.006
dcb730dfc0c968b8ba5ee80315ee1d1c3d2c9ade,2086,2,231,2,11,381,71,0.007
ca926ed9fba4721a649bc9b7233e919e572ca65e,1135,146,469,155,2,133,2324,0.007
abf73a341c219566ebc42c9a371cc26ae2f3b736,798,708,59,433,1,21,2987,0.008
4c25475906fa52bb7c36b30d3e924ee19ed8d4cb,2312,301,605,297,6,354,2224,0.008
bee51109bb412708f6d893fa338e5fb131ed527d,741,234,143,77,1,4,1262,0.008
a9a501dff8627930c24dce26116029202b78ddb6,573,99,152,90,19,780,383,0.009
b1c6e48e1e7b67720073cd6d754b0cbe98d9a4e1,-1,110,3765,164,1,125,1729,0.009
e8539456e78e0cb9ac06653c77caf73180020edb,2171,534,505,454,4,174,321,0.009
1bb5d0b1ec9a618ae1e384e5fc22ceff1090a1a9,2244,474,1499,461,4,860,2362,0.009
c48b405e3022350cf260180c7113573d1f5f3b28,375,177,136,53,1,0,110,0.009
a387c5a48f640df4e88d888b371c5c8903ea29a5,556,120,267,118,8,636,432,0.009
668b7b180099dbff2d94291e68776ac3bbc1a0ec,-1,-1,-1,-1,-1,-1,-1,0.010
14b263cf1af99bb4e97c56a40d0a551fea817fd0,63,28,14,26,0,0,0,0.011
ae90b726b5709d0646d391bf5c47d020215ac16f,5814,263,362,335,0,0,1586,0.011
c90f33f4ab826f27f5c4d8f1a0fba22dfd9811b8,2093,138,920,135,2,132,1595,0.012
330e774e643c3b9230064e31c39c5c55ddfdd732,445,48,318,55,2,2,518,0.012
c60b3488d4e2592ac31d88a3d4f457235341046b,459,220,58,225,0,0,174,0.012
280058212be1ec95a42c2c707dfc112ab753320b,1077,148,764,143,1,0,93,0.013
65c769b3bb6d180cff90db8ec137f9015cf5637e,5822,0,1239,95,0,0,1796,0.013
903f16e1733d80c5cc2d1e21952c224cee406e7b,549,98,181,94,0,0,203,0.014
