id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
c33b3bd033c6bc2e7ad79c2b9cd27b88b9cc4b01,503,190,12529,192,0,0,6303,0.000
aa049041dd30e25c425fad541d5c0a2379391c09,-1,-1,-1,-1,-1,-1,-1,0.000
da865df11d4f432dd0f4a8fbfcaed320e54aa23b,298,19,2014,18,0,0,165,0.000
76b28ef71e2491d771894578325795858f4d51b5,280,81,1295,77,0,0,495,0.000
98ed75c25cf4dd265c968b95c238d8431f22e22f,-1,-1,-1,-1,-1,-1,-1,0.000
9fb4af65701722f7d423966ae98030a21b819ae6,340,92,1033,96,5,118,235,0.000
1d849b378a555c82c3b18bbd330d49248ff26267,-1,-1,-1,-1,-1,-1,-1,0.000
6f9e4a818243500e083e4b0ed52f8d826bad167f,254,60,1079,56,0,0,436,0.000
9c9b228fd11b02a0f84a41592a3cab9d40d19522,157,16,1240,15,4,539,1249,0.000
eb46c788ab57374d0cd606004a3ecf28d91e7db6,552,26,552,27,0,0,435,0.000
863bbc790bbcdb80e35d0ec140308e7287f06f6a,432,47,1076,43,2,8,363,0.000
bd757af72c1bd6f68fd0ffd49a355e3c39bab1b6,-1,-1,-1,-1,-1,-1,-1,0.000
742c1cd6d881d0d0593d8cbd1a89c76215b773ce,386,8,864,13,6,842,356,0.000
a50706ee5f02c9f0c1c45018375b3bf6816bb954,386,490,1254,94,23,482,1004,0.000
e3dda1bb66b630951d47886f1eadb6d2b407eeec,436,169,1712,185,3,27,268,0.000
ff38936810608d98a83eb549acf2adb04effd432,-1,-1,-1,-1,-1,-1,-1,0.000
c90297fa11c6587e29623c4afe268f3e859b31ed,346,49,526,47,0,0,580,0.000
1039698de0a8c9c4ad415d6244c3642ec14bfa5b,479,21,814,21,0,0,231,0.000
6886678c51b1779dd430df3e519a80f5ab484fdd,465,7,140,8,16,505,592,0.000
38921700f6d08e01b7b28ea1e6aa9a3710201e5f,308,46,544,14,9,251,672,0.000
7681ca4364d4aacb90c4d0859b40ac1bb61d9f16,352,41,340,39,1,6,7,0.000
66a08164ad3fa7e4cdef7290426a6b8515bc7d32,196,123,707,118,2,38,421,0.000
6a6cd07f42443918dacc06cc97a3d44ed1b533f0,-1,-1,-1,-1,-1,-1,-1,0.000
8b69cc92b77392a42b1e95ee20dd52ca56d54bfd,314,25,610,25,0,0,161,0.000
99c0719ae79ad93b83e3ec8e2971a541f2c44c7f,1215,477,2479,489,12,909,2775,0.000
d9ba7b39724eeb7f511f942efecac55ec547670e,1406,43,1227,42,1,0,344,0.000
c745d7d537838950177379f2f419bfdf2f46dabd,730,76,1116,75,2,99,1110,0.000
6d1d2ff1dcdece0c28c988bac71fa3ab6efaf8cc,858,33,1361,33,1,0,0,0.000
d9a162a3c6e3933f775aa871ddc067bdec15cf2b,-1,-1,-1,-1,-1,-1,-1,0.000
6be89687e48e58e85dff8ae9ca75f09d82155aa3,1518,91,1277,112,4,121,2005,0.000
8b6e0d84937d6dba7966ee7f4a117abf31bdbf6d,-1,-1,-1,-1,-1,-1,-1,0.000
8852049572a3603ba7859123903432c46d8d5ad2,244,15,614,13,2,120,143,0.000
feb2182a21a515479ee794ae801f6b2b932c0056,-1,-1,-1,-1,-1,-1,-1,0.000
55056d0de30014f93894752664e9487e0f084bb1,7646,1177,15624,1850,23,1443,6402,0.000
2cfc0f463e398ece286d08f3fbbc211c166a107d,1205,373,2961,374,19,479,7369,0.000
c20b8b6a31b9288a3324c49d8417a459a8c1920a,475,154,417,147,4,70,1007,0.000
8a6b1ed3fa71f1ef173e3f890f496ef741f3cd52,1481,67,720,89,13,396,216,0.000
2ded4aa72ed65e17772344f16cb25b903ddbed15,1846,667,5282,805,1,42,1742,0.000
5b89add6c3310dca31c1219d31beed7cf95798f3,-1,-1,-1,-1,-1,-1,-1,0.000
382f8d00298c4ff451a697640cdc4cacb864c8c4,2080,35,821,73,1,16,1066,0.000
b17305965a9bf742869c5d346214fa8854b06e47,701,528,3119,533,4,47,1665,0.000
0c120f571f56f3689696388978f7cddef0468271,547,16,262,18,20,2551,773,0.000
5bc7362ca519c8bac8984770570a25671def57a2,288,16,200,16,0,0,44,0.000
6de393dd62ab4a055a0d871d7fc0825b4a796c48,-1,-1,-1,-1,-1,-1,-1,0.000
7c7dbf17e3bddb19a10acb935f71e96358c38e76,721,220,1091,209,0,0,127,0.000
d86a61bd524bd1c5592e8aebaecae91a429b5845,644,254,628,240,3,233,5172,0.000
941981e9cf5202e9d7510c39141326cb19b9ab01,710,812,856,195,2,60,419,0.000
932fbad3c6dd3ccce9819bbbcc51d8a8c928a368,175,26,91,26,0,0,62,0.000
44d034db17270d5c2d35bbbbd6994ed1f37fa4da,629,38,1800,46,1,16,147,0.000
78237be33ec42c642f5b3be3051ed6a30a802767,282,21,216,19,0,0,163,0.000
24c90d6fede916bdfac10c58a6c2b20a38e53aea,-1,-1,-1,-1,-1,-1,-1,0.000
2e4b210f4539e5c88e92d0c3c52e879ed3e321a3,-1,-1,-1,-1,-1,-1,-1,0.000
ff0ef059a2cb7ed3776da74d5dd1d81bdd25ac5e,297,6,57,8,10,295,176,0.000
c27db344c99b54ffd113ccc7b9a87e63cbc7e5ca,2744,135,1266,280,5,94,1211,0.000
1b6d9bfb734d5f18a2383d16c05007e4591ee2dc,782,168,1821,164,5,155,2042,0.000
f9d8211c77b41a8bd1743b82258eee239eeb4a73,2695,486,3132,754,31,1140,6017,0.000
6fd343241d43b35aadb001e454c74a5dbc5c4010,342,158,997,73,0,0,716,0.000
4dc1e9bfdb52dfc9fe31e735652ed17fab312ad6,474,62,1002,58,3,140,1500,0.000
e0517afe31946ea51fd19ba1187cf04fbc7992db,494,258,389,42,20,570,2195,0.000
db46993a4a00b5888037293f332f7811fa82c0c7,203,58,532,53,0,0,2586,0.000
cc46dc512526231d78ece2cbd8ab5d19c5089094,-1,-1,-1,-1,-1,-1,-1,0.000
9329997fbaf5dc9ed9bea1c8c0f311fa206cade3,-1,-1,-1,-1,-1,-1,-1,0.000
41a216ef415cf2c9b134ff75b076271e5d3e876e,2792,223,1243,382,1,0,934,0.000
132c6be9ff28d7f199365a2b584e1c2b7b339bab,191,2,698,2,39,1938,38,0.000
