id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
d9ba7b39724eeb7f511f942efecac55ec547670e,1405,43,1221,42,1,0,344,0.000
8d6a4bfc71016dbee1994dbeaaa7edb650b07da8,1731,445,516,433,3,119,1770,0.000
12fed736e99c35490b4fb7961fe98ac930f36726,-1,-1,-1,-1,-1,-1,-1,0.000
191dc26ea219ca18d2718f80d39788933b92c807,-1,-1,-1,-1,-1,-1,-1,0.000
86e712a4b611a1af10202da42bac2a76238c933b,2011,725,457,689,15,602,8796,0.000
56aa8aadd235940cb1075ce009214a2fef434dae,279,110,540,110,0,0,5485,0.000
ccabd58e76441df8663c9ad2ad239780717587fc,-1,-1,-1,-1,-1,-1,-1,0.000
a9c618dd618b05a9a6ed4d9be57ab46eedddf466,1360,117,677,139,5,208,4511,0.000
051b94f07f28623e61d3e9628c32aefa53bf1da6,742,134,352,126,9,508,503,0.000
f76496deace935f11ab0e1525ae152eeff64c809,1752,787,1537,772,1,43,5343,0.000
245e78c91984f75e967d808bf92b412667183193,5249,107,1005,104,5,58,1190,0.001
5ddb8dce402cd104b75edde84cd6dd7bfdcfcb30,1333,156,533,165,9,167,2522,0.001
786d0e453ce1ada6868f81e31845882e867a0103,2212,125,270,176,16,375,567,0.001
970d25647be4c21379c91322c5807b3551886f3a,852,232,464,217,3,20,3048,0.001
e3525f99a6d1702c667f89d17575a7a1534c21dd,247,6,8665,6,0,0,1786,0.001
7cb7d5ed8ef38d66424c2f11e09f7ae4ddc56aff,2329,272,269,325,7,77,2345,0.001
b32caaad226f4f57e4f3cf220a9f3664e22122d1,1086,107,282,113,6,249,1076,0.001
9a3ac29bfc5dff58f2882aff388051995cbe0f42,9110,35,1950,34,7,273,1958,0.001
2feee694731490e0a879c47d2ac3e644b15368c5,1796,221,478,241,2,69,2486,0.001
87e8b80bca290d4b7cf444da0be1e9d9d90cbd48,832,206,220,195,8,128,1168,0.001
599ad3ea0f1f3e798f40f004d00d63c6523334c6,4795,231,1692,227,16,526,1962,0.001
f77dddd8c414840be6143873496b2d00d411fcb5,-1,-1,-1,-1,-1,-1,-1,0.001
bac9c9e0e05d72a664bee6aaa5f0f3ad55b4b08f,-1,-1,-1,-1,-1,-1,-1,0.001
e5709b4933a4889dbf93ba8772485727f97ad932,1399,220,195,85,8,1212,865,0.001
651bd3bd7f49098efc3ad7f8cc9d9a790c3c43b8,-1,-1,-1,-1,-1,-1,-1,0.001
1091d82602f68f52a732c6f2448ad01a246654cc,-1,-1,-1,-1,-1,-1,-1,0.001
537ca03cb44c3cddebd4a2aab6aa37aabe14ee16,1823,120,275,155,83,9297,8272,0.001
08d5fc53f1d4724064b2d2b253ca0b998ede58c4,943,122,134,141,7,199,2855,0.001
3d157f62dd53a7850467b837d46e6a17963d837d,-1,-1,-1,-1,-1,-1,-1,0.002
e18e6c827f1b509fdef647df58e0487b4583a8d9,422,96,160,97,45,1466,628,0.002
8c9acb206505046082b2b84cec8a8480cd28fc88,591,129,314,140,5,252,544,0.002
565cd91dadb9127b5ff03400256822f4851774d9,511,69,115,69,13,1834,766,0.002
31f511caa175c58eda434963cb59863d76c847dc,937,442,166,200,5,255,1714,0.002
55cda4ecf38fed7bc1af773cd5ade4190f8c3ff1,1037,33,689,32,0,0,437,0.002
6514046acf9ebada674f62cf2c9be543cee1e09a,724,24,169,23,17,461,2535,0.002
00a58566ddee563aafa27afc6913e1f63fc6c22a,-1,-1,-1,-1,-1,-1,-1,0.002
7cef837fde71fddac4b91996b66ece862c0f9fa6,643,103,242,95,1,37,665,0.002
f97ebe11b1b67327e557a18e9097719585bb9c94,1846,225,376,248,3,191,5448,0.002
f3017532d69a9b435b45d40914d8e6d4c3c8e9c9,784,343,470,345,2,70,671,0.002
3ee1bca344a0016bed1c98ebdb3a3291e072c15c,-1,-1,-1,-1,-1,-1,-1,0.002
c089e447a28dd7caaae10ba67cf74893758b7c45,-1,-1,-1,-1,-1,-1,-1,0.002
a3331fdfaa13550a2bb5d140a1624931e7f2f566,-1,-1,-1,-1,-1,-1,-1,0.002
a17a5996b2172a5c9262603be7ca25dc0388c0a0,423,162,100,159,0,0,205,0.003
186f4a0ffc27886e8143f8728b3ef8d5e6b7f50c,722,181,371,182,5,372,6237,0.003
b20364df1b8884e0183e7a7971632e839c42ab7f,562,71,64,72,1,0,65,0.003
c2bb6b44f361b9366c2848fd1e64d566be6d5cfc,1041,74,154,87,1,0,774,0.003
45cb276c99971af7c6fdb8537e8ba96395832695,1724,157,428,170,22,813,4725,0.003
f626d34e82ee0615218f93b76e60b6caa19be060,1658,78,207,84,0,0,1259,0.003
fa7b5db74f730331c8f0173f837b97ca2a52f18c,1577,227,183,246,1,0,4122,0.003
b26c8160a5f00811651d60dfd0ab756486a2e662,624,2,350,1,0,0,52,0.004
710f2c916b57ad9266d591dc7d76a731efac4fe5,1111,412,286,403,1,0,116,0.004
13ebe1a1a0924a22377b713a254489bb621e3367,1763,1000,152,56,3,192,6056,0.004
f910f62b73a44cca7335fa9b60f23af71c5c51b7,416,25,156,26,0,0,13,0.004
7c88ced34d109b1e06dcfa1717caab4ba702358a,442,25,156,24,3,93,295,0.004
7f83d9fbc3d751adb647db805893d0acbc3fd9cf,-1,-1,-1,-1,-1,-1,-1,0.004
4f28d9912bf2694370ca21b0271b63f3a4b880ba,591,148,239,141,2,41,248,0.005
aef337c985cdc751e4ce605880f6b5bdf8437472,422,282,277,274,1,0,310,0.005
be3f7c230cafc9110b76b1cce1f59c8423ac003e,919,50,178,68,0,0,8,0.005
aa2eadb6dca46dad8948b8c1b78b89247297ee2c,1687,223,31,225,1,17,878,0.006
c16f4bb4556c0b7fa61cf6005d44b9c9e076f575,7013,52,320,162,1,55,511,0.006
8a7e53e9ef86ea4192d5cf8d2d089225da396e91,-1,-1,-1,-1,-1,-1,-1,0.006
9c79bda64ba6d093f912e56ddb8decabe27a210c,252,136,91,135,2,27,134,0.006
e134039971cd0d553d68061a3685c1c74ff79bf4,-1,-1,-1,-1,-1,-1,-1,0.006
0bc124d8afe0c01a13f701ab163930830df6d40c,93,89,116,89,1,2,476,0.006
4117a971b3351a2c550a298ccc25e22d9b6f218d,2024,183,364,178,49,1232,6551,0.007
ec87bc72108796779286d3b93ed9b63c4740b452,4838,43,405,40,0,0,602,0.007
ce2a00e2b5ee23f1dca8344e6715dc59581fd2bc,1092,1000,183,74,0,0,891,0.007
d1cc56c891464f73920bc025b0f1d43457c91b2f,-1,-1,-1,-1,-1,-1,-1,0.007
c6a3082351f84186c1b43ec7d098bf5e94ab45fb,667,168,133,172,1,89,596,0.008
c73c7c03d0a7b798c24f70ea78d57e6104e9cac6,976,340,242,343,4,147,1143,0.008
dffc9adf8f31d313f9d4fc9f98e02a3ad6a9db1b,-1,-1,-1,-1,-1,-1,-1,0.009
