id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
0d6c42be7a8e86a00a35739c805a5d1724a8f62b,246,3,555,3,0,0,0,0.000
26270b6b00354cc03f3a9cba073effdaa8fa860e,108,4,2,4,0,0,0,0.000
539264f4b8a750f0b95e5842730559413b753f08,206,23,186,22,7,89,538,0.000
bc87ccbabf3b1927ee9a23790b9b8f9cf7d60ae8,434,7,150,8,2,27,42,0.000
c0f94108d1d34cec0bd929ffed7ce00b439e9257,-1,-1,-1,-1,-1,-1,-1,0.000
a3b5fd36fe02dfd4064b31a07d7f3ab7609bfc7d,384,416,552,426,2,128,1253,0.000
32bf7f3956608a446698ee1b5d0c7e3600783f91,1335,587,327,24,3,76,1575,0.000
1789f0cce3801bce65e4464be2b789ed1d9ddc93,-1,-1,-1,-1,-1,-1,-1,0.000
9e6f62582999f07ad2068b59173a0a18ddf3a6d1,9976,289,8525,32,261,23331,20801,0.001
02d211b1ce516c75fbaf38a8dc242937cd91ca50,-1,-1,-1,-1,-1,-1,-1,0.001
96f7ed8263f526ef2dd8b965fdc42050113de07a,929,186,580,178,1,183,1768,0.001
ee9d9bf5ec47d7fd5be9981113303c28a03ca075,-1,-1,-1,-1,-1,-1,-1,0.001
1abf1c8a0fdb9645eca7dd04d90cb65fe9ead3cf,181,22,59,20,4,24,90,0.001
5e677b180d22946fb88598a4385e18bbf8dd7b04,1791,146,1025,210,17,1258,10519,0.001
46687142cf6818bd1c3898f25b3accddfe7f1894,6679,37,4567,616,3,271,8504,0.001
2485e3b870e5da238a813d8832c0f6e51a4bd674,359,25,122,35,0,0,253,0.001
affbd63dbebd216024819368c276f0f8dd971450,-1,-1,-1,-1,-1,-1,-1,0.001
ad1295962e37d30109a79235e832d05c996ba9c2,-1,-1,-1,-1,-1,-1,-1,0.001
3b82b6967032904443c3c1db6f0845b27e2afcc3,212,43,127,46,32,1863,1008,0.001
dff2a43a07528509b1f85c61b29f49b39eeee4b4,452,67,197,87,2,74,974,0.001
08aee4fb3401cb5158d320c8693abb77a0925a00,-1,-1,-1,-1,-1,-1,-1,0.001
d912096b302aeb4854c42782546942958eed3f47,-1,-1,-1,-1,-1,-1,-1,0.001
33dea5b4c8c214be22fcc01f53325d5a75db5542,1326,215,901,265,3,62,1402,0.001
d91ca1897d2c412fa5ac8b62a4648b8ae4912fb0,221,93,343,88,0,0,3467,0.001
7041f3ed10c9a213eaa62432234f25260a209ed0,103,0,26,2,2,1,39,0.001
5ad72738d046bf96de59c31a9f4b8cd47423f1ad,636,47,112,133,7,848,69,0.001
4a750df5819858541a278c788c3b90fa36e71e42,-1,-1,-1,-1,-1,-1,-1,0.002
888e06e65b0aaceaa627b34cc5be96d6b2d0c8c6,276,161,260,160,1,1,2930,0.002
b95a4ab5d5b5a424f6bcd6ae90a2093cd13e5fb4,49,28,54,28,1,16,0,0.002
ca274735bf1c8f8bf47ab08036750bf7bf359ff5,81,17,22,17,0,0,43,0.002
c7b8edbe7d2c87931c3fd202186e647d6ce8d4c8,122,16,103,15,2,85,146,0.002
e475f44b304cd0a3b2e749aacb65f001cdfd64d4,141,82,41,78,0,0,95,0.002
eec84c07de9d3aa7fab4d39ee03de33225dbfad3,557,74,151,72,35,1664,1484,0.002
62352bab41ef5bce0ccec25d4af6f325abc6ded0,5192,347,1022,704,2,80,3728,0.002
1f67c6ee9d1a63569e90c1653ef881c8eb3850c6,150,77,51,67,0,0,36,0.002
61f6ed02c3cc56929b9fc2970cd1205e863f211c,113,227,139,220,0,0,1941,0.002
6a20032962eae66c11f257df119421dec722ffaf,136,20,68,21,0,0,375,0.002
dd9a15060feebaade280ed0fe8d84677a9a7c97d,215,12,123,12,12,544,52,0.002
12eb852e23a64dc44eb34da51249bfbbe223ffb2,4540,81,45,30,115,5301,3781,0.002
c53f7030631ddc10725cf38d97e947eb86753ca0,-1,-1,-1,-1,-1,-1,-1,0.002
2f5cc35bbcd19fc6d7654bf151372ffa0ac9fa7d,424,167,68,182,7,62,1630,0.002
f56c1427012c1fe59728363f2b193d22f3742a40,85,0,36,0,0,0,5,0.003
39af19a3e31deef20f97dc95803caf48d90d9d19,96,59,52,63,30,1667,2484,0.003
510694747c3f98eb5bea6bf931a1e4d5807e0d07,496,25,93,22,4,98,2258,0.003
002b7f8ada710790a89f1d36d6367b159c2a566f,-1,-1,-1,-1,-1,-1,-1,0.003
7999971ee42bf30408f01124d09c658feda95922,1187,263,539,288,2,94,1035,0.004
0b1ac87fc361bfb6e9a115d69ee1c7a94c93ca66,668,96,284,101,0,0,901,0.004
174d87ed67ba1a348e44492dcc043c03070d4d3f,93,3,22,4,1,0,112,0.004
1e94162f07ae8b98323598645d45c42ad251ad28,181,92,87,88,7,346,618,0.004
b836b50ccc654ebdf7b8272d13c02b8ababd7e2b,141,87,65,24,13,547,319,0.004
a2415446183527565099f35d93fbdc705ff4850c,710,21,407,42,5,212,1345,0.005
ec2c84051f67dc76c1331ee2c227eb66f8cc165a,1034,220,1026,207,7,165,8582,0.005
93505ba11c18ddb7c227e2c164181da2987bf764,-1,-1,-1,-1,-1,-1,-1,0.005
ecdefe1679611082c42125f4d84b5db29c53c147,-1,-1,-1,-1,-1,-1,-1,0.005
3f9bdee873864957ebfa042e92a03e79c600808e,2791,1000,437,651,0,0,1167,0.005
f5dad01fe4a56c4f0b671987507ad49c80c97f5b,-1,-1,-1,-1,-1,-1,-1,0.005
0ec294548a7c647443d1896b7a6456cea9136b19,351,93,38,88,3,92,44,0.006
ef1adf0ef70594c2982271f96f0b65d2d15cf5c7,-1,-1,-1,-1,-1,-1,-1,0.006
c8d3350fbf0302ceed16841e2f27606693e009a1,-1,-1,-1,-1,-1,-1,-1,0.006
8cc09169677435bcda03a4e8b2cb49f607215b50,8873,275,1741,394,40,1287,14815,0.006
37a60204cde6a4f2dff35fff0c700f475516edea,-1,-1,-1,-1,-1,-1,-1,0.007
197c604e54be96bbb8cece07be6bfbb7fbc40ddb,-1,-1,-1,-1,-1,-1,-1,0.008
bc4afed82787ffce90ed9db2d1c8f83b8d68158f,212,8,87,34,3,177,17,0.008
b62d6bc518d281724d8c55e899d54facf5bd1f19,200,147,62,54,4,385,250,0.009
a589da67cddb50ad3e7119edcc784d354f775a8a,348,333,980,317,3,26,1642,0.009
3a1a7e481171b908638e649e6051ad143c3be30a,665,133,254,130,7,424,436,0.009
16a508927e73f5daad3d1d7c5da8b9b9d3aca3fa,1665,689,1217,647,16,193,7668,0.009
f2af7aeed56bbf041bc3ab1a7a1f7377a70e001b,37,61,3,60,1,0,225,0.009
9ca63aa15d6916e869b07f26cf8d889cf6cda716,449,43,376,42,12,483,526,0.010
f2340ca40a323b98145de905d1be28dc42e69c86,30,12,39,11,2,1,47,0.010
71fa06898c89b14a45959d62abab977d9af77d8b,-1,-1,-1,-1,-1,-1,-1,0.010
8fa95eb8638392ca51e9615a89a474248c688ed3,503,122,603,121,1,0,24,0.011
3020ee12a154de853fd66a313bf94ec1de86b49f,358,11,42,10,4,170,8,0.011
3ad6b558e438e9bb76652fad67e0a65ae9e9eb95,160,74,195,72,20,976,3468,0.011
319c0e3823bceed393448f62725580723b8fd0fe,214,17,871,16,0,0,553,0.012
f835da3338cbd534ba5ac80d6421d2c079256534,488,39,367,44,0,0,340,0.012
1edb2bccd440efb9305a3a6d6b18216316a3ee97,65,0,11,1,3,63,1,0.012
043727f8d17278234fac3a937358f0843562933c,-1,-1,-1,-1,-1,-1,-1,0.012
3cadc2825174c99912b71ed1ce024c19d5b42865,218,59,172,56,0,0,8,0.013
0606e34abd19f8a171c10701c63a495a8c0dce83,38,143,24,78,1,24,72,0.014
4d6468cfb6600fd5f550a4433a3914dd6d9cf598,956,204,366,231,32,1198,2800,0.014
e3e45686293ebca2a762c8f88bf779a3802d9bea,1485,178,497,160,0,0,2827,0.015
7c3f912e3884c6db4c495a9bb0a2d6a84410eb94,261,250,382,244,0,0,111,0.015
a35733d2aa8d613441ba7c2f7fc0ef63fa45afed,-1,-1,-1,-1,-1,-1,-1,0.017
c6dacb1abeaa90b8ad63d8525517cc04c49ac24f,-1,-1,-1,-1,-1,-1,-1,0.017
