id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
3b922f1741a045abd19233dee5ef44eb393b0a26,798,-2,599,28,13,407,3359,0.000
9f23c0deeee3b6fb7a43247b5dbcbcf3e4d83883,-1,-1,-1,-1,-1,-1,-1,0.001
58472b638ee71b176c141edf46b30d2a3dc9b8a2,-1,-1,-1,-1,-1,-1,-1,0.001
a6ec24142872dcdb22dea64d9f9dcb36da3f638f,-1,-1,-1,-1,-1,-1,-1,0.001
f467e0c484e321361233fe8b63b107b92bde9eb3,-1,-1,-1,-1,-1,-1,-1,0.001
17c412aea01c5751e3f5245502e11f9b35069604,38,17,26,16,0,0,2197,0.002
af8d2706a3e8bdb8cefd59e1f202ce77d7e950e9,-1,-1,-1,-1,-1,-1,-1,0.002
47968de0c25180cbefdb694a49848806df3f2d53,-1,-1,-1,-1,-1,-1,-1,0.003
8d22fa5942a29ebe43e90e664ac6c4be57fc5d3b,-1,-1,-1,-1,-1,-1,-1,0.004
21bcab82dd8869de42a15fb7913fa7ba4abe0106,-1,-1,-1,-1,-1,-1,-1,0.006
b07635646872772b2914b082ef8ba75d8e105d56,-1,-1,-1,-1,-1,-1,-1,0.006
44a7538af5a40f296ad6496ec8b862ea2be9cef4,507,85,557,78,0,0,87,0.006
721740a77de96c2bd01ec08ed4aa42d2241572f5,9,146,21,136,0,0,0,0.006
8388827375ad6e1b0e038ce11d23e921a697492f,229,139,1199,32,0,0,3999,0.007
6ef89fc4e04f5e9c8cc11a3817b73703ff655a0e,161,60,69,56,1,22,3427,0.007
f2d507c1be0a56c262d1e1508a39350aef2305ca,-1,-1,-1,-1,-1,-1,-1,0.008
7b05d84119592eb358d6fb86cb773254fec96080,62,290,112,281,0,0,810,0.010
b7b8d2600a4c36f81fa5356d7dfbafe19f852eef,1426,180,708,174,0,0,4089,0.010
f7a2f4e4a9d342da3441a302cfbb95d512e1b3e8,65,111,58,66,0,0,18,0.010
61de9083273e29f7eb5ebe4bc6c2bbf2bdeae96c,237,157,160,145,3,72,5120,0.012
ecc124e16cfb446bd78c4ff1d0afc12b6b716e9d,455,859,375,649,6,128,1143,0.013
38c50839dc6c5e9b53d2a07860277cf45746476b,66,12,202,12,0,0,31,0.013
3419e403b598a7523990f432780ac0566ada2f8f,1305,526,953,153,4,165,4816,0.013
51b5a69e2466fde21372f4c159d6e530a5d1923a,-1,-1,-1,-1,-1,-1,-1,0.014
90b2506ab9d0395026f9390365dfc559a1e61d7f,221,111,206,105,0,0,174,0.015
9388cb4182647314889a888dd8b0788581e453a0,118,201,357,186,0,0,436,0.015
dbf62a451653fcda3eaebd709cb4945189fc4434,117,73,98,71,1,28,19,0.016
0284d713cb461fcaacd9759be467b8031b6e231e,217,148,501,143,0,0,2,0.016
611c964508dd016d03c2dd4e5ae711314b15c4b9,80,74,120,71,1,0,0,0.016
bdfb0de0fc78e4547bb13726ba46902d4d69c464,64,34,128,34,2,81,146,0.017
1e3f8d5bbdc40c2f7169e462d6dc618013e07670,834,1000,1668,104,225,11517,7607,0.017
e3faccb2227d01280b74b80ed08290d18133034e,244,108,629,106,5,1102,1656,0.018
6f8fcc8f2ab96e92543a755dfdd4d86b28d5e340,2609,45,730,11,46,2722,1403,0.019
b6ca32199ca2a5427162d903327e203374fc95c5,165,153,226,153,0,0,100,0.019
805a15ed7e223bc2139fe94bd074bcfbf9174c3c,630,72,536,70,14,2225,30,0.020
21fe09ff255adc92496535fbbb3ddfc4cd1aa07e,295,7,198,7,1,0,69,0.020
889629e50ca0acc2f0b85cba7e2e6635c1fb1422,1097,303,67,293,4,363,4168,0.020
876038367ab3a9fcfbb79eaacf04c5b356c7dd6b,1074,225,216,215,1,262,3050,0.021
81bb58646febee208b29c42c00e8b7b0ce2d187e,277,75,67,37,9,191,137,0.022
042b7f33ebdad0c30f63f34e4da4ae16c7e02237,106,73,202,69,0,0,99,0.022
a4ce1462e73fcb472e316ed40316bc9c52d6c222,-1,-1,-1,-1,-1,-1,-1,0.022
231524dd0ea85d900614828bf47b63ed95c16a96,149,80,329,76,3,43,157,0.024
b2be655237b3b693ff00551cd92dc3eaff4f1a85,218,130,363,124,2,0,236,0.024
4e4bd124ac45d3180d04aec2c993907d1cafca47,216,130,412,118,3,63,2149,0.026
7081914800b5b6d3e5fc1418d2311977ad581394,474,34,208,39,0,0,173,0.027
b4fc4d92dc3f536dc78fc87fa409492c47561069,259,59,226,59,0,0,334,0.028
3ffa56b2e6dd19514a8bc75899a61616af50bd24,-1,-1,-1,-1,-1,-1,-1,0.030
b42d11697b49ff5ed55f759a398b2044d2c83dc8,159,43,283,40,0,0,708,0.031
2f73e8fc701bec2972c8b9af2f1e343736cef8ca,148,5,33,5,0,0,9,0.032
bd3403073bdad23a06a5f7e9ef08152dca2b7fd7,160,107,184,106,0,0,377,0.033
68b4eaad30b89150fbbaf4bae0a943e68135c204,35,7,37,5,13,284,13,0.034
ed9eedab2c71a914aaab0788709f30c9ef1fbf2b,899,310,4011,300,1,1,1296,0.035
2aaeb9752be37fdbbef5c92fd8f6248cc33334dc,322,253,1091,245,0,0,1483,0.038
bfe0955e02d28c6354cd7edfba69cb05393af850,-1,-1,-1,-1,-1,-1,-1,0.041
1c0f326bb9918aa495574433491cae379bd89f80,477,106,1020,38,20,1273,9385,0.047
fbadeace37aeef08068e099ec86df406c0f9368b,365,69,184,69,3,17,3122,0.047
f826c6ecca612b2eaaf4f00a62b6cfde1c77f815,110,227,287,216,1,0,485,0.050
cea22dd7b688fc7266e0fc3f38b1c08371ff3d1c,9186,86,601,304,2,180,5513,0.055
