id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
59af80c474b59f5478f3a0d49dd4d9ef797b3ce1,221,17,1749,16,6,89,2752,0.000
1d1637bdb08d3f04be48600198b05c5bbc64829c,2459,58,131,57,8,638,851,0.000
d75715c7772fd0a0a081d6f2c6216abac923bea5,510,1,63,35,4,139,1821,0.000
f8e3f4cbf82b9166e2d62dd1d94e169164e1ae13,6665,160,4952,86,44,1340,1573,0.000
2a0caab4591a830ca0461efc82cc931842d00a8c,246,140,307,130,3,187,800,0.000
c54b143925d8b1e731e769f1dfd75e39ca275070,-1,-1,-1,-1,-1,-1,-1,0.001
c36011432c96a340058b5dbac69b0d5a8c77d61d,129,53,320,54,0,0,348,0.002
eb16434e1174166c088fdfad05830118577ae44b,1144,122,1733,123,4,72,3448,0.002
1a51e355ac308964f9236dee2fa935ec72d1c3a1,744,87,124,102,44,1063,950,0.002
e9a47933e869f0d7b42924dd85e145a8f15332ac,-1,-1,-1,-1,-1,-1,-1,0.002
83bcf7f710a1b4acb9079d3cda88ad629f6b945a,2957,30,436,212,20,343,843,0.002
06149d5540efb5f1f01ea7edf655462d452f5193,676,14,411,16,0,0,864,0.002
51fcf5af49dcb8d36684ad674f022eb57782b88a,-1,-1,-1,-1,-1,-1,-1,0.002
d333fff416424651ae14d2b4854e952152bcf735,1514,26,374,25,6,221,995,0.002
52b4f18b856889f1a79107ecd2e5d4a81c1f46c0,5959,623,1174,704,9,412,11800,0.003
0f04baed40861d76c233123092adf4fac6cbdbfe,1007,-2,362,2,0,0,1929,0.003
c88bf0f1cf4c4ed69679897d8d60666e153ff33d,481,87,653,252,0,0,267,0.003
69df9a302e6aae93ab9492e796aa5415f0bc8005,1421,21,259,68,10,225,417,0.003
8bc819d312d5c7f8eaa3a6a7abea5064d6ea5339,517,11,91,10,0,0,478,0.003
0a539e44137a408cfc709f4db664a4f63f08929d,1489,15,174,58,0,0,193,0.003
590efe71931fdeaf9802f51ed8439ace8316dca3,65,65,87,28,25,1017,1383,0.003
ebb983ae3d164984b00548adaef1f9bb93d427fa,-1,-1,-1,-1,-1,-1,-1,0.004
b41f8f2d9e5f799891f58ac56ef353727385df64,414,29,148,29,0,0,282,0.004
083e9246f7b95b6a88a712df6abf09936baedae1,6927,657,2184,251,15,674,2106,0.004
544b3be32e0205e059828dc0506466d38f7988ff,-1,-1,-1,-1,-1,-1,-1,0.004
676f3e9f3db16e96aa874e6fd8a73c8aaba6bde3,-1,-1,-1,-1,-1,-1,-1,0.004
ffccd1bb3b3f99f2f649b6113c1e1f374824cbcc,195,226,188,98,6,49,339,0.005
9dc5fdcb79f31ba8f79555199bb18c6f5c6e519c,668,90,554,81,1,10,1412,0.005
c4fe3c5da4cc21487882480fad6cbac1f655d93d,4018,24,2261,136,5,63,336,0.005
405b89ee2b2bd9a40393a5b6016c774c911eda36,1218,100,1004,99,0,0,3248,0.005
9a79e93880eb515c3753121bd553fb4ad87efba2,1794,32,95,365,1,0,13,0.006
1a94eee5d6740814729d408f53098fcd1387af65,1487,479,1012,82,0,0,2282,0.006
138569c913224f621bd6d07d2f3bd47134a2c8f5,7113,48,3072,195,13,337,4397,0.006
ff348e8a4ee210d20dd2b4849b7ffa059672091c,426,349,792,344,1,2,5342,0.007
36bc8374ecdcffc349737ff99094475fb927df07,283,244,271,38,26,1509,793,0.008
1137d2761d32e4da46d9dd0501d2ef753f14cda3,3503,21,267,190,4,59,1756,0.008
ad1a2f2f1992807a1592807784acc4b1d493ad1f,1080,279,279,248,10,178,243,0.009
d60cbc66231e5f3eb5853c069e85d317c963a0ba,3512,15,851,48,2,14,258,0.009
383774f37f272136ea24bc07fe63e4a5e9d7a1e1,337,543,379,61,4,119,1770,0.009
708e2b7bf37b15f42bd0d6de59da00b911981223,808,127,769,136,1,1,297,0.009
