id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
8f996befa9edb6b70be8bd0ad3775ccdd5b90d01,282,39,658,36,4,135,146,0.000
c4426329f996cf46ace14ef80bf986070869a7f3,435,24,1049,23,1,26,351,0.000
c0058df22cea0197585bf75c9aea04a3eb5404b7,285,73,1410,73,0,0,27,0.000
d4ae65f584a191604d98bf139799b159f06cc24e,-1,-1,-1,-1,-1,-1,-1,0.000
e89ce5c59643a61c530cc50a4da274b57739a385,279,86,290,85,0,0,249,0.000
79b4ab5b091c0d1a937db43a8379a9de49363961,643,53,267,49,2,24,648,0.000
93e67dfe4e60d7ed60af9b8fb87c82f539646207,-1,-1,-1,-1,-1,-1,-1,0.000
e67f01f654355b181487edc705d1c2d557731e45,172,12,125,12,1,0,147,0.000
88c58fcb4f3a0344e91059e1eef46a7bd30e7ed0,-1,-1,-1,-1,-1,-1,-1,0.000
ed5f2636a2624c983ae755d9a4f21a64b0b09433,299,46,106,41,4,154,1358,0.000
455856765d8c9df12b31a44eeaeb95abd09f26ce,-1,-1,-1,-1,-1,-1,-1,0.000
370689d9b3c4ce086527b1ab859c6cedf7e2d170,858,158,720,188,5,445,2379,0.000
55d833d2a3ae3adc9aa39b6862be0ad7964dc932,-1,-1,-1,-1,-1,-1,-1,0.000
af96c9c5de87072b7d5696857f5ccd84cb89421c,419,134,365,30,2,29,187,0.000
df710a0db759c878170ced3c989855bc9946f6cf,685,25,490,27,1,235,2027,0.000
786f797020fd1cf5385fd0d0b1cbe660b170541d,479,-2,52,35,2,223,692,0.000
472eb6dccc21e0970d344debf49a768e7bd4e604,161,132,325,125,1,15,223,0.000
f5634265d925e3d8dc43c21d16468be4562e43aa,-1,-1,-1,-1,-1,-1,-1,0.000
473145084abf34c7a2d0638666f7e6f3c0d32dea,476,198,620,186,24,314,4157,0.000
efd33f3f4ba52582e8cad73c8eee11e24b0317d5,551,60,142,68,7,487,2615,0.000
df55c01aa268cee46fc441f1bb3c9322670ee877,155,3,114,3,0,0,21,0.000
8ee8611bdf538e446998d2f222d796756e0e3bb4,741,179,139,50,4,140,981,0.000
7c8db81d583adcabf041ee7de0d99258cc07fe47,-1,-1,-1,-1,-1,-1,-1,0.000
b664af307ca874b31718c1a6d29970c2d849b1f0,1315,267,1540,249,2,72,927,0.001
28a59895f07364440e5a1b36341f5942eb5e6874,209,2,39,4,0,0,35,0.001
5793276eb9c7b2607efa1472b8b28b304a981e35,1806,80,1003,147,0,0,575,0.001
a3cf979f78907da34d3db7304e54c9395ade1b18,-1,-1,-1,-1,-1,-1,-1,0.001
b953cda07ce577bac214a28101883c3388cd09c6,131,13,140,12,3,42,354,0.001
6c9e0bdadafd34384167c13af2d71ecc8e69512a,-1,-1,-1,-1,-1,-1,-1,0.001
850b09a7c15430b93f459a3e091e6f3eb964076b,296,66,194,68,1,248,48,0.001
8a2205713138959b097e9dfc99a11bf8b4f15e38,-1,-1,-1,-1,-1,-1,-1,0.001
2dafcc6c8bdb75d83baca6ddcd28164a0e93058b,250,7,22,10,2,35,51,0.001
a65516a69874a837ca5b663de39b7698a7b5e4b4,279,37,239,36,10,605,494,0.001
859566272d7a60d5ba3507b5a03d36908cf56d9e,-1,-1,-1,-1,-1,-1,-1,0.001
4d39978a7021c57939fb3c03f8441cfcbd2e002e,651,-2,143,66,0,0,934,0.001
90a6bb5330df77376d3081f52301b5ae8e2cd0ba,274,130,245,126,13,266,212,0.001
fc43403a167392a4ca92c0d49ecd5f8c8fd839f7,-1,-1,-1,-1,-1,-1,-1,0.001
33dfd01fe73ccbbefd175605850467e250054e3f,-1,-1,-1,-1,-1,-1,-1,0.001
00d2bd4cd2b119d5ac1b18173452703c9eec04f6,287,39,140,40,0,0,95,0.001
cbeaadd35c3ea1fde3372cefd0669dbf9ace99a6,-1,-1,-1,-1,-1,-1,-1,0.001
3edff00ad5815766a8136ac41308aa9185ba432c,1124,345,142,48,98,4380,836,0.001
69c0e388d8a917f411f7e5366369a5b253b49ac9,152,121,51,112,5,66,1471,0.002
15f77e993f5ad79f7460c8e8b50c5e5603b54bc1,-1,-1,-1,-1,-1,-1,-1,0.002
566eb1382cce2486ff11685f0efedfae6c2e0e0f,162,44,164,44,0,0,205,0.002
6c802fec17adb2a2a850ec5d99a142123e822269,-1,-1,-1,-1,-1,-1,-1,0.002
a5275296b2e5a2687a1f17c50901881396fe7093,264,89,601,82,28,2591,158,0.002
95354da34014410af56826a974040dcce883bf3c,-1,-1,-1,-1,-1,-1,-1,0.002
fd24bca701dc2048e54b08faddc7ff008d795380,305,35,261,35,1,56,1051,0.002
a4dea061a66877b5532c219d03b328cb9e4720e5,517,43,213,45,3,49,69,0.002
6edfface4dc6b4da83d5046b654657fb39c21f86,128,119,227,15,18,787,149,0.002
d7a9efb9c2ca228ee08da4631eafa84bacc98b2f,299,104,83,112,3,20,996,0.002
af1684f87e0b6d5695a45efb098622bae689a8ab,362,35,139,37,0,0,418,0.002
56500c2e58f61c352bfcbe6da37eb53e1a8ea52e,3731,385,1019,642,14,591,12276,0.002
6189486657a4e3c0075ee1fd2c1a93d7312a84cd,186,12,94,14,2,16,212,0.002
981ed1a395a7ae524bc96abc81a61f7636459677,198,8,139,9,7,442,13,0.002
13113bd134ba52b2bfd9161f079e4e5e316beebb,252,33,118,36,1,4,287,0.002
6a265c13ea0e8f7b4e135fe0f73e0b3affbcff61,2073,195,346,311,2,7,1785,0.002
0dc18b97c3e7be0fa3b7a323d34ac0ebea8dee7a,-1,-1,-1,-1,-1,-1,-1,0.003
3dff43c305c20319473cfb359a61a0a6bd68ed8e,381,817,1066,800,1,48,1766,0.003
b72ef64aeff6a2eaf9800fbfa8bcc9af9b5642a5,267,12,78,10,4,88,856,0.003
acfd05dea79eeb19d32fe68ad79bec518f30b5cb,-1,-1,-1,-1,-1,-1,-1,0.003
d0a80b4553d2ebb83dd0738f560d9276cf52063e,213,90,469,87,0,0,20,0.003
66f032031c73a0cd1feceadad5be58182be6bf14,263,44,153,44,12,181,901,0.003
d8aa42e23e3f1ea29d850d62446e7ef0a2e75c72,102,38,100,37,0,0,52,0.003
383858b77af637d538e9ef81e00c9d1566921d34,240,14,308,32,0,0,325,0.003
24044d485ca83f01964d9b5da1856ff486e8f9d6,268,9,31,10,0,0,114,0.003
5324a73e4fb1a790749facceb2a455eeea052fed,317,135,554,143,1,1,618,0.003
0f1111831c18baec247d8840eeb9058bcfb1cecd,-1,-1,-1,-1,-1,-1,-1,0.003
a3a60643c1a08722324aa38c73a2eb7aba7f2a64,721,101,273,150,21,791,1221,0.004
eac79c26babf1fa3d81aba47aeea4cc8ae68f2bf,-1,-1,-1,-1,-1,-1,-1,0.004
b3d2c05b5d9be3f3ef396675304af8eda12f517d,372,72,455,66,0,0,233,0.004
b06345d33c93433f05bb4ebda7ccef9ab4b98186,-1,-1,-1,-1,-1,-1,-1,0.004
584627774cdc9e4c16280a32ac95964923dc3ef3,-1,-1,-1,-1,-1,-1,-1,0.004
ed6f86f7ba041b6db954fb36e8750798a1c9a0b2,-1,-1,-1,-1,-1,-1,-1,0.005
1dce806d1817fc0f2844b3d992dba27091ee5ab4,-1,-1,-1,-1,-1,-1,-1,0.005
10b3401ada7497118797435817d6687ef1e16de4,321,67,213,68,1,0,396,0.005
3308e1539c79ae88aa14947e84e07af3aceef0c1,206,63,196,59,1,43,188,0.005
b10f90132ced1c54e03c02f2e41818e2ee2a9436,101,33,48,32,0,0,626,0.005
956cc1bb634d6e223a7964d8240b8f0afd8e8646,-1,-1,-1,-1,-1,-1,-1,0.005
b333dd3778c026a5d1d8422e9d2e15f49964314a,29,4,2,4,1,11,6,0.005
95d034ae615391e46fa41a5544237a875faa8a73,284,72,139,69,0,0,305,0.005
67409f3cfc4874600330e48619af7e88b9f858eb,352,25,47,26,0,0,1587,0.005
9c00f49369f5e2cf7aa120043dd000d7d19e4ec8,287,52,135,49,29,1050,385,0.005
f6b91455f393973a583f5258f847a1645d86cb7f,726,166,342,184,13,263,627,0.006
181bfe02d85f2648f38b141254e6058dfbf24dec,81,354,183,153,26,734,235,0.006
c41c248de4967b3c139f551a0a0d6e737be628e8,-1,-1,-1,-1,-1,-1,-1,0.006
e11550dd9f23d87622d866d9383d81934fdc524f,94,23,277,23,0,0,2306,0.006
ac0d57e5dea0a1228c8d6fecd0c16fa9ecc220a6,-1,-1,-1,-1,-1,-1,-1,0.006
b59e73353b9f93f6b66b84db135535b1e7ed59db,-1,-1,-1,-1,-1,-1,-1,0.007
99e36363823e81bf52bba3c883469c3ba2400205,-1,-1,-1,-1,-1,-1,-1,0.007
d124d3dffef615a82a90c77391d7a6cae5cdfa1e,201,116,266,109,7,239,1072,0.008
f14e32b4a575298dd614e73019c8b342a011d9a1,143,16,47,18,9,286,125,0.008
59d09ce3bc688c528bd36401f08cae20e3e38362,-1,-1,-1,-1,-1,-1,-1,0.008
8531d5fa1bac47a7f80e052db02a5f9f3e85cfda,140,576,384,131,17,2923,1847,0.009
a2647d24af681c96ad6615a72cac6ae6c3c825e7,367,80,127,80,1,0,605,0.009
42fe149bca18165880ab547effe0dd504a349de2,744,362,375,377,0,0,905,0.010
679a19e922db1b68125c99d8dc4f2a61707b11f7,116,209,127,205,1,27,350,0.010
764e4782b893d4fcb2221edd86c8718c7e5e686e,423,32,34,33,5,321,715,0.010
94a2af85f8600e9628b966beaf8b982f0b576a4e,-1,-1,-1,-1,-1,-1,-1,0.011
158a00561e35690d88272aff8f8ca33251385c41,80,17,98,18,2,3,197,0.012
602e679c4714e02ce8bb2f4c91abfb4fc8febb47,214,18,111,16,0,0,351,0.012
172a7b80e2587247b716e9f966d96e07c519415d,2922,132,81,242,45,4923,7780,0.012
a89f9891ed3813cbe63f6ce3a7a5214c8bb4909b,228,6,169,7,5,93,219,0.012
e57895fbd798ca04e31de0b19c818d4a846586c0,-1,-1,-1,-1,-1,-1,-1,0.013
6c50f3c731fc23fe166d60bbdab61b09e38a56e7,105,184,143,43,6,371,115,0.013
ff03bf221396fe8bdce13430350a831dac34d9b7,234,45,152,44,0,0,53,0.013
1f80ab1d9ba4bd3d4e89ba8a94019770540c341d,-1,-1,-1,-1,-1,-1,-1,0.014
b77221b516c50e25cd900210b465448b730c5616,-1,-1,-1,-1,-1,-1,-1,0.015
39c9bfdc1c6fc70180ffe381b8053a7449a921c5,-1,-1,-1,-1,-1,-1,-1,0.016
6cb5a90047c66e766d9ab6dd54f2f2c0d546ea4a,326,45,358,44,2,46,1525,0.017
fa28b0491f79edc2f08b09b6cc0c205cb19cd08f,-1,-1,-1,-1,-1,-1,-1,0.017
97020a5556f2bd75b501eb0ef83a3bb5dc5e6579,106,28,90,28,0,0,30,0.018
362b1e25233347c44a2579ada28e4cc2806928a6,204,35,35,33,1,17,13,0.019
61fadbb218722cb241a33df349894229d41806d5,129,95,97,94,0,0,152,0.020
eb6f6ccddfeb007efee1d987e4b82eeb0f6cb534,-1,-1,-1,-1,-1,-1,-1,0.020
75be76107e985b02e426b6dd427a27e9578059dc,112,42,48,43,0,0,444,0.021
4e333c758fe1de7078ccc60f6e982834dc8daadd,1879,269,680,385,7,755,3056,0.023
c724ccd50355bd5e1e669b4c81d3f2abd638742c,254,194,136,194,1,47,692,0.024
033dc9e0e2741c5d43367bc790f2d9ad4ed70294,-1,-1,-1,-1,-1,-1,-1,0.025
8b9171f550c8839a26d3f83eb760f600e64f71d9,119,6,66,6,0,0,91,0.027
cd3666c6ec12dd13efbfa3b20e9745a6eff4215c,67,46,64,42,2,2,9,0.029
14c3f02ecc98e976cedc0d40ff1fe905ee84cfce,-1,-1,-1,-1,-1,-1,-1,0.030
67f2961c5b481a65f1d28eaa15493678dd9a7683,357,96,197,95,2,0,124,0.030
0b0c6a61c191d687526c177f5295225961510450,239,61,872,56,2,140,42,0.035
02a00488a9160cb471980e1b84e1f1f9a399e60f,504,161,379,166,1,18,2309,0.035
0163f194d3fc29e2f7e538e8add118551c756c4b,60,15,14,14,1,7,33,0.044
8940c248487bd3dcef5f0221b4fab5c6e7c15a78,39,43,28,16,1,0,61,0.047
9f9d220fbe7fe047c93da01279effbee286affa3,191,60,176,56,12,1323,1583,0.052
0015e2a40412ae71c9870ff9585c17eff88e30e0,222,40,58,40,0,0,311,0.053
66a93fa1a6d4b03f3f6b40075b68efd3f5f6ce1d,1479,262,91,104,31,868,5512,0.053
1e90dd7e7d386fcc018cc193e0d878bbfa49ac65,58,40,52,38,0,0,177,0.064
52350e0168713ed9cf9e94e7aed30c53879c29f8,133,53,122,52,0,0,123,0.086
cd69b3cd31846aedd9c417bad4e903f297d3e06d,123,64,1,61,2,33,236,0.087
3bcf83af105600b4ef2c3765544e1c58f8639938,-1,-1,-1,-1,-1,-1,-1,0.089
29bb6e08157e1ec78af05f985503455904b8f9de,64,88,122,85,4,55,18,0.090
8fc072aeb905a1e04ecc2e56cad8b07bcfd982c1,72,18,10,18,0,0,39,0.111
9732ea3b87560d1920748c8be9acecfbdb880c15,377,204,1267,185,0,0,59,0.115
5d1fd146bec8acfaecda8692b7241b296f1f0a5d,116,0,47,2,18,382,136,0.119
0d37d4b9ccbf90584465ee7664b67f9b660ccd5c,2820,24,2252,23,71,6114,21725,0.127
e48811d5c3783779567ebc7cc4cd8dbaec6eace5,55,7,33,3,2,0,6,0.137
a710b711cbb3b5a5171e72b8ab15ef17e7ada958,115,11,33,11,0,0,29,0.138
e9840f6c525875564cb5ce4c667f09cfeb76ad6a,1347,116,41,148,6,279,541,0.139
6bd724559afe3d2b765b96e58e20c87691c5a7ba,446,86,362,85,1,14,1579,0.144
f26104c4bdf5fd4d917a4132c24fa2802ee4eb58,2466,205,29,28,3,20,881,0.167
995dbaf6037c64b62087af806991686569f8f74c,514,149,607,137,2,8,95,0.190
85893a1f6d13b2f3fc66e264908aa0daac8477cd,-1,-1,-1,-1,-1,-1,-1,0.193
c1224e36e77359d599293ded8a32ed8b753e342a,3491,8,498,972,1,83,395,0.203
72dfe12100de08e15f6577e3a283829bc378cac1,252,57,127,56,1,1,5,0.210
199b9f476691592a9469847bbb477149c2e2d523,267,114,342,108,0,0,4,0.227
f64bc4eae242bbee1f17d337ef00b8907d662111,199,76,223,75,6,2,649,0.234
69daf3c8c8d7957458eeb0e9d1d53d7f8c5e023c,169,130,167,67,1,52,5161,0.237
5218eb970efd2b1e4f0215f8a2ab3154c8541071,99,144,142,120,1,37,88,0.237
d93973f515d9a2b302a1651a305fbac1b612e7ae,225,80,38,21,1,134,240,0.254
e1c42d05c62c06f0a71dca821c89d454059ec4ae,-1,-1,-1,-1,-1,-1,-1,0.259
38c2dd7a3fb90b967941b65195ec407d434bd2a0,-1,-1,-1,-1,-1,-1,-1,0.263
9ae00a0d7b225ebed2a906956d51ed9c7fe0b001,-1,-1,-1,-1,-1,-1,-1,0.267
e47876ac513f1afe84551aaf5ee737d666687213,4742,343,1067,933,4,14,4541,0.276
e9c6c0f424ea0271f3778e53e9be4d1c059e9652,813,53,214,66,0,0,2955,0.289
afee6aba44498b3d00c12d76bfcf9378958e10b3,8482,23,2571,23,6,319,49,0.341
79fb07582523f7955c9c0084aeeb0b6032c34f26,150,19,45,17,2,9,66,0.371
ae44dceae5cdd7b9d0974f39cefb83e0adc9f382,80,5,50,10,0,0,136,0.414
80ef4914fb9a8581f2ec10ce1a6286c681581078,58,34,98,33,1,3,80,0.417
c27d910eda426b64b21ac2f705ce6d86fd963e66,29,140,50,116,0,0,424,0.449
c7b1d36f77e2fbc3586ffdd7d5ad0b80a9289711,56,161,12,108,6,115,717,0.458
