id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
9366b0e84f6e4d9b643cd42cfcd514b547a0d387,4920,240,3246,920,13,707,7308,0.000
f4f273b49973a9195da14f00f4f962d1d307fea4,1917,211,326,140,16,496,626,0.001
a4b2956964dcc14b7fadbfa5669bc6e203bc224e,-1,-1,-1,-1,-1,-1,-1,0.001
c850a45eca04afeb8505b41de07641ddd6624d2f,472,4,244,14,11,217,43,0.001
eb219043325f88a300dae8eeb41b1557575805d8,485,44,80,45,0,0,462,0.002
850d323073c08e3684a3474cba01a30919613b5d,652,254,278,262,5,323,1601,0.002
9a3b92f6855278265647b4f03233fb25d374d612,309,21,172,20,0,0,346,0.003
779e199fd7cfa087415b35c696ed1ea55cb5748b,596,119,222,19,19,1169,1333,0.003
8e48fbcca7997e9aa3f3044ad5153c7d3e0a0be6,-1,-1,-1,-1,-1,-1,-1,0.003
a387e74c86468be81ed1e9f10bf3bbb1031bc68f,657,77,389,78,0,0,3669,0.005
6ce3ebcef46329002e31f15c3174379d1f984876,-1,-1,-1,-1,-1,-1,-1,0.005
5a195152288a894ffef01eb204f9011a0ad742bc,361,1,110,2,0,0,18,0.006
bf198d28983318ff140378d6ad7c4d91b143c518,452,46,222,44,0,0,458,0.006
c6bd3c4672d3eb76156bcef8417c478bd823ac83,980,21,334,32,1,42,555,0.009
22df1310560b8e6866f58a009b84c8eb0cbb61a8,328,86,294,82,1,16,212,0.010
660b3fa0eda83f05da99adef49d909f70e3f0447,-1,-1,-1,-1,-1,-1,-1,0.010
201a78f90f64c30d972e879051dc7da56c061caf,1483,75,316,99,1,47,1478,0.011
9b696afbbdefbf368c2ed4e0b615ee15770a7b90,358,124,325,115,1,4,3043,0.011
4a473e344e9ca384b8fce3a13c48ed59c3d5866a,-1,-1,-1,-1,-1,-1,-1,0.012
55aed7bef284915af8fe229c60476c3e640cc20b,-1,-1,-1,-1,-1,-1,-1,0.013
40b7ef9f3793a8666f649832388be17350ec141e,390,259,642,249,0,0,1568,0.013
08de4cefdc2e6477431e780d732682869f632f06,226,27,322,34,1,34,581,0.016
a0c4c89a579128e3dd68971289f6bf76351ad120,737,62,264,72,0,0,1297,0.018
72f244f6938120b26708f3ddd367bee45a97cf16,793,161,599,146,1,0,116,0.018
065902b5ece5d23e21b273d255072b89a5eaba1e,-1,-1,-1,-1,-1,-1,-1,0.018
369f4e2ea7d2a89d2428262a9d5bada6185d643e,4604,102,1870,92,32,502,7899,0.019
