id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
bc97fdec27b894262efd049c1cac7241acc26c71,668,235,1834,228,6,2164,807,0.000
0ef25ab5255f93c5af4d8b82938ce8b755d1b279,718,51,369,50,2,173,437,0.000
8f715a1e543503530cc3338075e4c172e06416b1,993,368,127,368,2,92,1896,0.001
a78b52368696fad354da687cdfa2f1de58248ae0,2255,102,1547,102,0,0,508,0.001
56ee881f6645ce33f7d170e550716ac1a8395032,1121,617,168,579,4,743,345,0.002
4f5762780605300d03cfb38a21e8dab042e54b0c,514,502,694,284,3,165,407,0.003
cc92ee91bc868aa9aaaf7374b7fc3580ff824151,717,26,487,34,2,22,1107,0.004
5c033c5504084b6ebf53c68023467a9b0bf400ad,-1,-1,-1,-1,-1,-1,-1,0.004
285a0b0bf3dddc957174cb6bdd599275fd6748f9,530,71,93,68,0,0,37,0.005
180c181bb724b0837bc39f6e849945a84e29e888,139,119,256,115,2,40,95,0.006
929fd6b2ac58409e4848747255bef2df0a8aac4f,-1,-1,-1,-1,-1,-1,-1,0.006
8e201784a4d1e8e19ef7c95d357f04a8d4229c83,1099,243,369,292,1,81,742,0.006
a835c0c28d494127a3e122f6053026fdbd404937,62,160,226,154,0,0,650,0.007
141dd6c5cb0fd97d916bc70f9ce388c1c53aab7a,405,102,637,40,6,454,511,0.008
fac93b5f147a99f169fc10879693a1d8262712bf,2586,127,323,210,2,140,900,0.009
76a048a962a8d4f2e4a66a58b9fd18dc4772b6d5,992,106,281,107,8,156,903,0.009
7dc8b0e614a1dfcd0cca5fb5fc8ce0177f653bf1,271,115,210,114,1,221,402,0.009
a49bc8926f84a2a5a87644b572362e51b469aceb,314,122,345,119,3,135,95,0.010
b138a0269f28d93cae88533126bb5cc9e32daec4,512,88,354,95,0,0,1780,0.014
07fb8300b164ffd2244c9f1f1ba976217985a2e9,423,496,494,460,4,91,1265,0.015
f1997cb3e831162219845a2965ead3d25e68d94f,-1,-1,-1,-1,-1,-1,-1,0.016
aedc8b7f9e4cc78fb62bfb2a0a8da9b9e0b0a898,-1,-1,-1,-1,-1,-1,-1,0.016
0407d2b1be9455807f80017c960d475a609dd466,757,402,87,380,10,1283,1892,0.018
cf8136ef04e587ebe2b3adaffb630944af04f3b5,160,24,110,24,0,0,1,0.019
9d9cc9303d5fe047cbc0b2b81d5dd0756450c2b5,431,43,168,42,1,0,493,0.019
db416a582469d842cc2c2fcd7c6571abf6d18926,2298,1000,620,869,15,1281,4459,0.020
f0033da11f8a6acc4ce170bab868fca724f6fbbe,55,94,13,41,1,10,26,0.020
b1347e58369f314f3b2f954b7763a5458b1c57e5,288,54,609,57,1,186,337,0.022
edeece341ee4db0beb0c1f6815b2b64e338c9048,683,58,209,57,3,155,1046,0.023
0ce4cb9cbdd5c8d93512046724e752f579331f8d,585,54,113,51,1,0,217,0.023
c77467e6a939b43bc70415742fb54b48ab963fea,722,770,2184,742,1,72,1347,0.024
0f17301d222b0912f1808521bb65c4e5c487e0a5,225,105,211,98,0,0,67,0.024
052421a27967c0576f6ddc930bf281c96c8df727,506,55,155,56,0,0,1257,0.025
14bd0b1d44c0819198a45a93d80806a1bfc3548f,217,255,386,232,2,0,309,0.027
892eade8ea115916cc033512d4d1bb360d12f0d5,-1,-1,-1,-1,-1,-1,-1,0.029
0e06ea7064a133aa8039dafa3dcba70717f3024a,348,63,26,62,2,13,622,0.030
1a59d34b5400a0688c6614d93e6c6a573b6e51f5,320,112,22,108,1,309,110,0.032
4fbf8d83f914202cc6abee99a7d1c2ea9df7ffe4,330,131,133,127,0,0,302,0.033
646639d6226ed7dd12ad62152dc40b682dc3281c,151,99,197,98,0,0,20,0.033
abdc7354d87b5441fb7340acd69c046bc882677e,151,64,186,62,2,0,143,0.034
061070674edd3c7800d6a701312330401573db46,174,81,222,77,3,61,21,0.036
d5e0c188114e702f746b19c2567d69e3353449ab,268,100,254,98,1,32,239,0.037
90fd45782ca4fd38e907187bdff8acfcb06d9de9,-1,-1,-1,-1,-1,-1,-1,0.037
f9e98cf48d12284b7384edff814f3e699cf159a3,432,78,175,71,0,0,508,0.043
d49aa9c33bbf02c5edddd6bbc10cf8bfe1fd751d,215,112,191,121,1,1,2268,0.044
01aec8fe7f8c0e109528df08fc752016be17c9ab,368,10,98,14,0,0,107,0.049
045fcfa46193d735c651f44aa80704a7c54bbd64,361,9,543,9,0,0,1073,0.051
574f3164b97c8056269c2a39a1c37a150059d896,1970,231,500,375,0,0,1175,0.055
9e5066eeeb30eaae57affc251d2803817fbfbc52,22,1,207,1,0,0,0,0.056
52e1f719b79c186b416e840b11dee9d795e8a409,842,153,216,146,0,0,748,0.057
61819b6550a500e11326dc758a268105b5df5860,181,896,344,827,2,68,76,0.062
6df6c4eab0429c18ce1d87e6f2b84bcd51c229aa,397,196,72,112,2,19,76,0.065
dd116612c90651ef0c6b42624bb63c124f504ff1,87,13,51,4,0,0,110,0.065
614a84122639005ba85cdf7fae4e60cf8799a2cc,450,79,337,78,1,0,13,0.068
c030b935338b3d526601834319ac26855fa73554,137,99,71,89,1,0,2260,0.075
7a6c91263b1c0ae6fb94a225cb30cfc6f990861a,458,240,127,239,2,89,221,0.078
03a8967ca1b2a94ebc605d729efcedd4148139d3,276,257,522,245,1,0,973,0.082
5922fd294b9f9c46d99424e84fda8f235ce5c4d6,131,67,346,67,1,0,1,0.083
