id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
4debd7a39da65b0060985df4ee4ca6b055b203b3,471,42,4389,38,0,0,534,0.000
4fa3fc3a373e723d1c224e518fbd574af0b93418,1868,631,2848,659,8,620,6331,0.000
93592d9b0bb50685e4e8d540e4760faad48dacde,571,105,1043,103,0,0,2,0.000
caf9c1165144053501cbfef9592f0c686ae2a747,780,425,3053,447,5,114,798,0.000
659d97d4bd9a54e791c6f61eb757193c1042f4a8,7169,30,4471,598,0,0,4151,0.000
14fce3fed8fb457e634b5b2d49eb4e5f64339519,1176,43,368,60,4,258,487,0.000
18b2ed117e240557e27947c09861d12a082ef7d0,408,170,1541,158,1,125,2048,0.000
6ba97d9fcc3b0bbfc81af21c3ef7ff2eb755704e,835,43,1078,47,1,16,54,0.000
20e233f41639fc91259da2c987a9c9a06d602174,259,108,1705,106,3,53,1959,0.000
571468a30129039a53849917a5d6172a08fd6d2c,-1,-1,-1,-1,-1,-1,-1,0.000
6c6474af1bddf3e4e1aa3de5f15c652d4bd046eb,178,53,175,50,17,261,713,0.000
0409530e16275fc2b537ca3ca22d26e6ad6435ce,658,1614,3286,1560,18,653,7859,0.000
7dc658cdc3571baf759e6b26fde34c3493cfed53,182,51,242,48,0,0,691,0.000
b7c379b166150ddf00f5ed34ef7d8342d9319635,260,1433,2221,1360,810,51874,35868,0.000
7805534efac64b73bdf1dda2ef40f9813bebc3b7,382,164,640,158,11,165,244,0.000
e16336498ee359e388f3221b8efbb82710fa7965,739,116,1108,124,39,1674,3546,0.000
19e6da9b1ce1926cf0430416d56cbd7e5191c764,-1,-1,-1,-1,-1,-1,-1,0.001
08782e100937c9c643b589793179a81af399bd01,296,68,276,69,0,0,235,0.001
2389f667ff05f15688583da5d6ff8e441bf6ed1c,1164,342,616,331,5,670,6272,0.001
981c19a2f3d2a1a1f244d01b0028f6183779223b,3126,41,476,345,4,79,918,0.001
090e474214fc729057cd2b795c6fe8e072bc3dd5,-1,-1,-1,-1,-1,-1,-1,0.001
97d3e4d9f8547f54e3f57a2a312c7c9ab373ec8c,-1,-1,-1,-1,-1,-1,-1,0.001
ee90daa66f2ada2f4f8973549147626dcac9462f,1188,238,1328,240,0,0,2128,0.001
c9da3c0a940db364771f3a72d642174dd328608f,1273,30,320,60,19,2213,1463,0.001
4fa49db113e582c668e3b7939326db4b80b01df6,417,18,34,27,0,0,13,0.001
b8e8d0979996e3c606fcabde88fb8beef1c91758,6892,33,3712,46,2,320,11737,0.001
4d10df3310b30d28e71bf9de2f67310861aff105,-1,-1,-1,-1,-1,-1,-1,0.001
6c4904e9c6e19af7124fae2c5be5e4ea03a8e7eb,808,969,523,187,20,1448,6650,0.001
d4e14a3fbbd22cc4ed3dd7db5ac0f806d7992c1e,-1,-1,-1,-1,-1,-1,-1,0.001
de58640fbe0d11a4205bf9883c252bcdfd7b2588,-1,-1,-1,-1,-1,-1,-1,0.001
66dea79b5e9dcf3b3c3425d64c61af7d600fa452,415,42,167,38,4,494,187,0.001
9e5ef315529957a2c29dc26e55239f1e3acc2eac,266,69,256,65,3,65,111,0.001
ec21253e4de8df2eff1e666489f384058dbca0d7,-1,-1,-1,-1,-1,-1,-1,0.001
ec55dab79331a2cb0a6d45e3d77b360d28d36347,-1,-1,-1,-1,-1,-1,-1,0.001
c1df0e9ef1863e2b2124c2e1b6e98ab6d03abc6a,6757,243,1474,1267,1,153,6016,0.001
98ef99577ff709cc92117c7254638a00195b2945,387,12,44,13,4,172,68,0.001
9f4504037103210aea2a3a762c05e2d38e843f44,146,135,102,130,0,0,1048,0.001
23ff84588e607ccd501686e794102e2531997c6d,206,74,178,74,9,219,233,0.001
bcf951dc8699ceef0e83760ae549e04ab3680467,71,21,12,4,10,821,624,0.002
c4358c207ec759ce81f938856f4e29e23f89e168,-1,-1,-1,-1,-1,-1,-1,0.002
ad49e6a668a77e24dfe34ae798d93c2ab217b76e,-1,-1,-1,-1,-1,-1,-1,0.002
16c98dc838c168eefd255bbcef1672e2a42e7703,186,41,90,37,0,0,690,0.002
a6deebc1fab74a7cef218eabb9b045a8036522e6,-1,-1,-1,-1,-1,-1,-1,0.002
f682c50e9c95f052b46ec0904cfb49cddded3961,1638,271,97,258,0,0,7052,0.002
d192793488f67cf03fb40ec02ab0fc55de497f12,486,149,358,134,0,0,1139,0.002
8ed6a57245d22f179a322e463eb12d2a3a890884,303,47,50,71,9,353,1061,0.002
ddeaf44c6aacf966a71a00b0c269027e56ff32fa,247,17,160,19,2,29,472,0.002
98ac462efd47a4c69a32377ea50e457ace35eed3,-1,-1,-1,-1,-1,-1,-1,0.002
f0c95dea0b85f61322271009ec6da093a9e299a5,361,26,990,23,1,2,1205,0.002
a392d96743a4ee09feaf30be3e1cfb38ecc807f9,79,37,179,34,0,0,4,0.002
6fee6bbf40c35f87ca86f0bc1090413fc1306033,285,71,611,68,8,397,1472,0.002
6bdfc7ecd60ebb4531ee6267b5f2ea791050fffe,2715,227,1485,2973,75,3472,17637,0.002
a550e9c258f43c6ca9a994be66fa44c2247d6a4a,896,121,1000,115,34,2255,1912,0.002
dfb79ac1c2c688f27f1e150ff093dfe387ee58d3,129,210,211,199,32,1074,2571,0.002
95daa1c82f5fcde3d7b5007148740700ad8b8881,811,390,442,80,0,0,137,0.002
38b8898f9d3ebd3f4b1c60dfc621bd70566dfbde,-1,-1,-1,-1,-1,-1,-1,0.002
c4d24174792a20613107144735f9d59d48bd20c8,-1,-1,-1,-1,-1,-1,-1,0.002
6289d0223aad0c10731923ecc9d9366fbbf4557c,1783,1246,456,1225,55,4225,1575,0.002
7b8b01f4adead695e8fa32330662b2a897105ceb,370,29,149,26,3,76,385,0.002
147f41587e16a30ecac3f98c5c5531d7579745f8,9976,380,18217,103,44,1164,29343,0.002
57947ffea712304098942c35e2c1efbd1e5fd664,124,6,69,6,1,11,397,0.003
da7222af5de3fd460a4aedf0de1ec8b81e5ec00e,893,219,780,229,0,0,1044,0.003
08ac39d45c6679c947b9090d241b08124ddf48e7,-1,-1,-1,-1,-1,-1,-1,0.003
8626baec2f30f445f5b293adcf6467275e151bc4,8601,92,2409,427,23,317,6141,0.003
48ec00795f34384ad4dd3e11214307b14f9e5397,144,14,91,15,2,0,351,0.003
2558abc043db5feeffd71186782727a02c32ca73,608,12,389,12,0,0,74,0.003
64d46387126d98cac84d3ce484abf8c75b067983,-1,-1,-1,-1,-1,-1,-1,0.003
79ef1ac7fcab9d3a6475375ce102d83158947f83,4334,407,95,678,26,1826,19430,0.003
ccbeab41a417f31f6af504d9feaa466ee6707ebe,-1,-1,-1,-1,-1,-1,-1,0.003
69ce3bccc14f792d529f9f9366b290be8cbe3db8,281,229,451,221,5,92,5399,0.003
8a984eb22636d8a3fdfc5ee313562f75fa47c58a,-1,-1,-1,-1,-1,-1,-1,0.003
10e715f9d5cb505c31fe0c98cd388602de2a5e4a,-1,-1,-1,-1,-1,-1,-1,0.003
6a57a2158b203327fea71928de83af4fbb82cf9a,352,338,88,109,4,32,580,0.003
9c6884f37bc07c41f7e0a64554a7f50a949e5674,311,201,303,203,5,211,3057,0.003
0cf8d091151941bf1df1129a865a56719348820d,9479,1,14662,0,47,4885,14674,0.004
a154dadd5dfe9edb66090dc002503df3a9f55d98,443,294,509,286,0,0,5534,0.004
1e242a74d50f8f66165e1178e6d45cf64cf3225a,301,18,116,19,1,15,169,0.004
d53e82ee906557705c39553849206608df24c9c3,645,536,974,60,0,0,2055,0.004
2821cb12578433f44e4a7aeca397d4b46cf39480,-1,-1,-1,-1,-1,-1,-1,0.004
f7be868e23f389777b57238540c99296a4c6569b,1909,422,205,395,32,717,1630,0.004
313f08b9cf77e3b5b4c89b355a18d6c2627a81e4,-1,-1,-1,-1,-1,-1,-1,0.004
94eeca5a8afdf3dca082cff7d095b8a1f02fe073,233,18,110,20,12,346,939,0.004
55de3118175627eb04de1736b5bdf78c2b1de491,2230,35,121,104,10,835,379,0.004
d8410e5b48aa9c38d01faeaabcc7d72182d0887a,245,52,473,50,0,0,70,0.004
5287721341b083a2b81c57fc12acc0f7f98a9af9,377,142,281,143,11,296,1088,0.004
ac5bbeff5057410d26a0f2d4ee1aaf5953389301,216,23,34,22,2,6,108,0.004
e9962f1bb28ef8f8cceb5c89017f990408941bb0,282,12,73,11,36,5365,283,0.004
ab38b5b201b782f9f4c82ead74ee26e9047b6d07,174,36,84,48,2,2,1924,0.004
58b3572bdba086547a828b6aec76c55deb1cdf59,652,364,856,349,6,248,1446,0.005
0447173ab4bf1404965c1b4014910ff59949c4d1,0,69,24,67,0,0,13672,0.005
3309376ef71c307ac36117984392b19f6220a986,962,35,201,38,6,625,2671,0.005
d863376dbe0999fd02e5a3ba479e10f6ec59f21a,255,231,718,224,1,6,1428,0.005
b3035e740150061da2cfc7f322f68c361f480e88,284,65,302,25,34,2823,1368,0.005
637b0035052ebc6177306cd49eef6b618d182650,649,98,904,88,1,211,4143,0.005
c246bbcc5c08975b3dd68ba1cd74d34613f2aaa8,8690,125,9947,286,4,121,2657,0.005
5c960b93662051ed6dc1604b60530dc4d02ad14e,1841,139,1040,58,7,421,1524,0.005
f6bf13016a16d2fb5e896ed09543ffa3040914fd,2416,306,342,284,2,21,241,0.005
b53438dfc4b3acfc29cc5f59b6827217e6b59d60,322,15,86,15,2,26,217,0.005
6ec2b36ad8198b21d8f812c740a3a1347a5efa30,782,133,143,124,4,69,3397,0.005
c5c8fe32c7b39963bde747c508772cf18f54efc8,136,43,91,15,5,138,514,0.006
20c178355327597d4683587fbec70250b4b407ae,225,29,56,32,6,137,9,0.006
1cb427dc12022bb53c3a27d6f9c8d0c2f560f146,210,16,110,16,5,72,300,0.006
fb0bfd05ed465b58634e8a0077a9632b6c8c03a5,663,309,589,296,1,92,2729,0.006
f18bb83f30e481dcae1c09f677a24e7484179198,397,52,163,50,1,40,75,0.006
438f3dd177c0ae2c1c554eb2d664a12737268c95,-1,-1,-1,-1,-1,-1,-1,0.006
20f14b45a3cfb59d3aff9fb425e167fb6b8a58e7,251,202,343,215,7,166,2701,0.006
8b784af4cf7ce4f98b3e021b46a7f27b5658e030,-1,-1,-1,-1,-1,-1,-1,0.007
120e7ced3cdf4d90c45d6775d0368672e4ec5629,192,32,115,30,0,0,99,0.007
17bb4c046891c9042e2cc51ad700890618934ce3,-1,-1,-1,-1,-1,-1,-1,0.007
1fecdd64d90112ff0b917357393426355006467c,257,38,119,40,0,0,332,0.007
522334f2e20d583f1b2a3030929d99fb53ccd695,405,215,125,223,0,0,2150,0.007
fd56e66ed8bba671bd6a78929e80b1a1d3ea1786,-1,-1,-1,-1,-1,-1,-1,0.007
7e065486726d1c7814ccc9ac58c7a73a8f02e701,-1,-1,-1,-1,-1,-1,-1,0.008
d52ea3231cba15e58811d076dacc2777320be432,96,68,136,64,11,193,2580,0.008
b73b23c3be69d2ff7b186f1abfe1cdf38fd99f33,-1,-1,-1,-1,-1,-1,-1,0.008
901c1cdc4518cb444606f17f39c9ed59a76e0e54,267,20,45,25,4,46,344,0.008
c20d11e32755b55a98fca0d38f8eff0e6ef92e60,149,301,260,151,1,11,519,0.009
c83050d1d5fded42ebe4efff4e6539f91d2b1940,232,22,0,23,12,403,618,0.009
4af8c4b4122ac6b0da7a5eeb17b7bcfff400c0fc,-1,-1,-1,-1,-1,-1,-1,0.009
fdf840ad54345a3ba56ae6ce53ba8fd0b61912e8,-1,-1,-1,-1,-1,-1,-1,0.009
d38105e5e80fa484f4933de6edf3dd79bca06450,6295,24,1160,25,11,181,236,0.009
3b7cefb84383b8d7823f2672e7d784e3e3d26d0b,1615,13,241,25,6,188,877,0.010
ab9fb166b138df093cf4c784b10476142e969b25,270,17,235,19,0,0,45,0.010
0dc4a97ce2236f624b9fbac042bf7071bf6cece3,337,44,404,47,0,0,416,0.011
17d8cfb7c976fe747d338decfa3064a2cc180960,136,142,92,138,2,17,479,0.011
491c566c49dfef0713b7985721d27655992bdcf6,4362,425,133,566,49,3022,619,0.011
cf710915af06edbcba7bdde100e688932bf81aa4,298,18,220,23,0,0,14,0.011
